,Li-Li,Li-Se,Se-Se,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,1.6698029195676374e-07,0.0,0.0,0.5
6,1.520781994908333e-06,0.0,0.0,0.6000000000000001
7,9.976659244035618e-06,0.0,0.0,0.7000000000000001
8,5.066393897157225e-05,0.0,0.0,0.8
9,0.00021016823274678872,6.591099240473295e-07,0.0,0.9
10,0.0007354811109452964,8.903229855587484e-06,0.0,1.0
11,0.002216812679707709,6.988515485674995e-05,0.0,1.1
12,0.0058439733906236755,0.00040678958642787,0.0,1.2000000000000002
13,0.01365456487567844,0.0018765079392875324,6.479005715975452e-07,1.3
14,0.028627990270414294,0.007169830086620336,4.224842435346081e-06,1.4000000000000001
15,0.054527029780325025,0.023072680596746904,2.1455520252747794e-05,1.5
16,0.0954681530397579,0.06313202888948583,8.684242423031131e-05,1.6
17,0.15516473128197908,0.1479098539946562,0.0002756918017910562,1.7000000000000002
18,0.23580017816768403,0.2988867628642717,0.0007050542406936402,1.8
19,0.3368343848737251,0.5255408123718788,0.0015050472998662907,1.9000000000000001
20,0.4544068768640424,0.8129949930568963,0.002847604281570153,2.0
21,0.5818331847268666,1.1213472204141521,0.0051321841758464925,2.1
22,0.7109659755932006,1.3998763668726635,0.009224951646502843,2.2
23,0.8336084912486902,1.6065914604985896,0.016467417600357623,2.3000000000000003
24,0.9424161524907122,1.720529284856295,0.028445038293312224,2.4000000000000004
25,1.0316377715747633,1.7428797765681434,0.04663364243790606,2.5
26,1.0981694049652735,1.6912363621432167,0.07193196052003686,2.6
27,1.1423049083834693,1.591734871289284,0.10444601627260708,2.7
28,1.1671195120533686,1.471080500815028,0.14429527778601062,2.8000000000000003
29,1.1765699478286,1.349904072527719,0.19310045338705673,2.9000000000000004
30,1.1737554390900369,1.2396683964675235,0.2540694616555446,3.0
31,1.1607231424645055,1.1441200919710177,0.32931571047517977,3.1
32,1.1396453900234709,1.063209177475458,0.416353869661616,3.2
33,1.1137024755414258,0.9960602357097086,0.5080722005798761,3.3000000000000003
34,1.0864632657231648,0.9418832872914068,0.5976036941546968,3.4000000000000004
35,1.0605269280459253,0.899893443084803,0.6838158673648012,3.5
36,1.037096125415885,0.8691381007895774,0.7715677943952993,3.6
37,1.0167580363578146,0.8484834885176437,0.8661337730070617,3.7
38,1.000120579989003,0.836934797490714,0.9674216809375655,3.8000000000000003
39,0.9875518258928186,0.8339181436261813,1.0698530032251388,3.9000000000000004
40,0.9788690487166544,0.8390005551726827,1.1670984312394856,4.0
41,0.9736426308266845,0.8512770987966921,1.2548795340273475,4.1000000000000005
42,0.9714908852563334,0.8690139259397854,1.3291424609464444,4.2
43,0.9718936942472395,0.8898290059394997,1.3845438566970536,4.3
44,0.9740884875015787,0.9113446966696304,1.4165185286843107,4.4
45,0.9774069981360795,0.9320044433739811,1.4233726576030317,4.5
46,0.9814727921922405,0.9514704089618727,1.4057279218542795,4.6000000000000005
47,0.9858558650806026,0.9700885044332223,1.3660387993258203,4.7
48,0.9897869521736193,0.9878302195494101,1.3097281370388512,4.800000000000001
49,0.9925357524264473,1.003817873048199,1.2451519888420435,4.9
50,0.9940334934685666,1.016861995926496,1.1808284777042362,5.0
51,0.9948697858645144,1.0263322898867167,1.1227867188251894,5.1000000000000005
52,0.9955938182948653,1.0325571265254736,1.0742251179024733,5.2
53,0.9961804544445346,1.0364072343500832,1.0360829608588222,5.300000000000001
54,0.9962813704692725,1.0384100499357782,1.0069792396413828,5.4
55,0.9958038220189522,1.0384130503905349,0.9835021347338909,5.5
56,0.9950760615810789,1.036261427201215,0.961781023650328,5.6000000000000005
57,0.9946083790920487,1.0325254887703408,0.9395686702379911,5.7
58,0.9948254291752376,1.02820825215189,0.9175077805710832,5.800000000000001
59,0.9958334618764364,1.0239209921892163,0.8984973419994552,5.9
60,0.9972566656353867,1.0197831861029345,0.885435036739772,6.0
61,0.9984279152216939,1.016009622216527,0.8792330571562487,6.1000000000000005
62,0.9989043072967038,1.013086012826902,0.8786507867011667,6.2
63,0.9987927559925147,1.0112540935682375,0.8814518967926364,6.300000000000001
64,0.9985143833038272,1.0101311677325955,0.885586016488965,6.4
65,0.9982986685520213,1.0089404661659513,0.8898748516502188,6.5
66,0.9980140616402656,1.0070565955060797,0.8942248983954202,6.6000000000000005
67,0.9975148106600066,1.004444212977721,0.8995441350212287,6.7
68,0.9969829697265786,1.0017178781552705,0.907527289094014,6.800000000000001
69,0.9967754129514932,0.9996753061077078,0.9198820850246731,6.9
70,0.9969941831834672,0.9987176146147545,0.9367309668909478,7.0
71,0.9973429471769587,0.9987557400512626,0.9555770927613066,7.1000000000000005
72,0.9974388173963581,0.9994625885162014,0.9722620860783807,7.2
73,0.9972085128163396,1.000354232861326,0.9830303315061092,7.300000000000001
74,0.9969330359368614,1.0007519325387841,0.9858985252203863,7.4
75,0.9969564930745987,1.000064374225806,0.9812498347319248,7.5
76,0.9974261478515929,0.9983001427421843,0.9719372320702904,7.6000000000000005
77,0.998271918642721,0.99616948626788,0.9621927420189964,7.7
78,0.9992860608439308,0.9945559294924886,0.9556009878415721,7.800000000000001
79,1.0001593903179407,0.9939396472828732,0.9540058046995931,7.9
80,1.0005424798325628,0.9943245389834034,0.9580553578769572,8.0
81,1.0002506051806634,0.9955068776174205,0.9677593666013065,8.1
82,0.9994524526465515,0.9972525151600125,0.9821051403334199,8.200000000000001
83,0.9985687124389606,0.999295644062698,0.9986269469203964,8.3
84,0.9979544897396573,1.0013428369369377,1.0136144691291216,8.4
85,0.9976923608562389,1.0031129525111573,1.0229459861095545,8.5
86,0.9975925785726129,1.0043354866202598,1.0239503971359292,8.6
87,0.99733413024366,1.004775003561935,1.017424263510287,8.700000000000001
88,0.9967329978464649,1.0044663536210778,1.0073404690435046,8.8
89,0.9959565961767454,1.0039301359532133,0.9980775030832847,8.9
90,0.9954114712944594,1.0039036673597772,0.9919320618363469,9.0
91,0.9953924978384692,1.0047092130261688,0.9889015079262862,9.1
92,0.9958631816169563,1.005977187037186,0.988014018452051,9.200000000000001
93,0.9965278695453481,1.0071197552298878,0.9883952121905445,9.3
94,0.9970522875913387,1.0079899167333757,0.9891354057257051,9.4
95,0.9972207523113062,1.008813557499452,0.9888974121622379,9.5
96,0.9969319241644609,1.0095162712245707,0.9866390628699255,9.600000000000001
97,0.9961200401184861,1.0095388899532698,0.9828421730907644,9.700000000000001
98,0.9948092470779387,1.0085160068578414,0.9793426024584554,9.8
99,0.9933185491851161,1.006895967223096,0.97751787733351,9.9
100,0.992290256205144,1.0056914944350641,0.977094586983041,10.0
