,Mg-Mg,Mg-Si,Si-Si,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.7000000000000001
8,0.0,0.0,0.0,0.8
9,0.0,0.0,0.0,0.9
10,0.0,6.732527094001983e-08,5.386021675201586e-07,1.0
11,0.0,7.41140398577868e-07,9.312917415591696e-06,1.1
12,9.816024503054893e-07,7.19894671137666e-06,7.889321521303422e-05,1.2000000000000002
13,8.082609814894199e-06,4.861995529801861e-05,0.00047239354111432895,1.3
14,5.2216029834890705e-05,0.000260719935659153,0.0022255515372358935,1.4000000000000001
15,0.0002595791371875706,0.0011521157443521537,0.008606621522308377,1.5
16,0.001057238749641964,0.004300234146357829,0.02783908327200079,1.6
17,0.0036331298107541606,0.01371145564714559,0.07610868320993214,1.7000000000000002
18,0.0107431075546901,0.03761657127664778,0.17740403467192883,1.8
19,0.027637631777849038,0.08942963013378866,0.35557783842951496,1.9000000000000001
20,0.06235652587445352,0.1856634009332581,0.6182980447389452,2.0
21,0.12432871403196266,0.33942983497280316,0.9416606289872467,2.1
22,0.22114906238088483,0.55136846589279,1.2692002946924468,2.2
23,0.3550277892867624,0.8033146710533517,1.5313477443061805,2.3000000000000003
24,0.520691781034865,1.0602720322025447,1.6758718198504232,2.4000000000000004
25,0.7054132852053991,1.2818406256197543,1.690319202915858,2.5
26,0.891145221844195,1.4374918366566034,1.602378970698998,2.6
27,1.0586305578262873,1.5163244263227786,1.4599333625273472,2.7
28,1.192174833004117,1.5259410331005379,1.3068573642146155,2.8000000000000003
29,1.2829886077235821,1.4839991530452548,1.170193944016715,2.9000000000000004
30,1.3300734926480382,1.4101664330580181,1.0608374046321396,3.0
31,1.33894744067736,1.3219728985042998,0.979689528729318,3.1
32,1.3189263537956264,1.2327794897770339,0.9227727162876844,3.2
33,1.2798292963525904,1.1504715679546091,0.8845224473812711,3.3000000000000003
34,1.2294548541393235,1.078109650105963,0.8601838537307169,3.4000000000000004
35,1.1732292073165,1.0166083271562556,0.8467948561473103,3.5
36,1.115914377031061,0.9668339175484992,0.8424704129596707,3.6
37,1.0629439220240522,0.9295879936682174,0.8456264848860298,3.7
38,1.0194303213790898,0.9048192449870022,0.8554048853111058,3.8000000000000003
39,0.9878946312235619,0.8915358625983332,0.871890086964819,3.9000000000000004
40,0.9673298469936307,0.888145232357782,0.894494693421577,4.0
41,0.9545297883835767,0.8926175632015991,0.9202114707135663,4.1000000000000005
42,0.9464058693627647,0.902818075939744,0.9447182036839109,4.2
43,0.9415120931905706,0.9171483142561715,0.9654121164474647,4.3
44,0.9399167255999582,0.9346235552378581,0.9825491696386771,4.4
45,0.9420361249248661,0.954005093473726,0.9973469915202681,4.5
46,0.9476638087364581,0.9731526055200876,1.0097318366574644,4.6000000000000005
47,0.9557790551395269,0.9896848465362478,1.0182799462644543,4.7
48,0.964945168342364,1.0023094455483663,1.0219531732068476,4.800000000000001
49,0.9739275652509185,1.0113511600574399,1.0214249527846166,4.9
50,0.9820546096509999,1.0180444919819278,1.0186232926618808,5.0
51,0.9889988202740395,1.0234375707053862,1.0151964691819193,5.1000000000000005
52,0.9944821779439869,1.027810941042473,1.0115396296294734,5.2
53,0.99848587053748,1.030854142681774,1.007202441640115,5.300000000000001
54,1.0015231516809417,1.0322308401890472,1.00199180532311,5.4
55,1.0041713715717286,1.0319029322818132,0.9963900664733768,5.5
56,1.0062369276540786,1.0299809148815255,0.9909455964276938,5.6000000000000005
57,1.0067756440605793,1.0265317163361722,0.9857820585595825,5.7
58,1.0051769766409144,1.0217668387387235,0.9809462172878702,5.800000000000001
59,1.0019696782375902,1.0163761193017,0.9768207353568809,5.9
60,0.9983435260699242,1.0114604070283362,0.9738950560076292,6.0
61,0.9950768687120832,1.007966950230629,0.9724006483727605,6.1000000000000005
62,0.9922331102524337,1.006100332694254,0.9723868984847664,6.2
63,0.9898298017869092,1.0052159492761312,0.9739438725274921,6.300000000000001
64,0.9883859501818155,1.004357486871522,0.9770553946039708,6.4
65,0.9884069753402029,1.003073450424045,0.9812217541900844,6.5
66,0.9894587935140435,1.001761003463653,0.9854247973394729,6.6000000000000005
67,0.9903068145916536,1.0011593413841013,0.9886472613890734,6.7
68,0.9901587599030707,1.0015997438875428,0.9904363735969592,6.800000000000001
69,0.9893821015812261,1.0028579422279742,0.9909194987946329,6.9
70,0.9888692433079287,1.0044945401057501,0.99041688535714,7.0
71,0.9890664859352474,1.0060398889118365,0.989221185597111,7.1000000000000005
72,0.9897854001875237,1.0070135510352805,0.9876046241633893,7.2
73,0.9906646169211056,1.0071518142435045,0.9857317776055582,7.300000000000001
74,0.9914842332772664,1.0066556450916007,0.9836305128206391,7.4
75,0.992066264168653,1.0060723892454568,0.9814441399930953,7.5
76,0.9922280023585891,1.0059525824301985,0.9795571762216083,7.6000000000000005
77,0.9919906988221223,1.00666185153283,0.9782832737345791,7.7
78,0.9915900832632388,1.0082917252369528,0.9775710771096074,7.800000000000001
79,0.9912384028869443,1.0105272871537043,0.9772054440129149,7.9
80,0.9911557401470497,1.0127283677723116,0.9771736924153267,8.0
81,0.9917207946955878,1.0143660195137856,0.977647940232372,8.1
82,0.9931403384680502,1.0153843568402274,0.9786059111961196,8.200000000000001
83,0.9949543604854809,1.0160683688945187,0.9795617718571527,8.3
84,0.9962332115789179,1.016646729695215,0.9798390913017382,8.4
85,0.9962946398801836,1.0171287388377868,0.9792386698829734,8.5
86,0.9950614532146851,1.0174156359213415,0.9783344119186064,8.6
87,0.9928622517131482,1.0173895577222383,0.9779887401345078,8.700000000000001
88,0.990105318290524,1.0169229912434703,0.9787174716990882,8.8
89,0.9871114672421126,1.0159093542270674,0.9805345022639212,8.9
90,0.9841782246557295,1.014266200320157,0.983076712713545,9.0
91,0.981776704237323,1.0119910370311904,0.9857654052003922,9.1
92,0.9805897749713439,1.009354890317171,0.9881111481038217,9.200000000000001
93,0.9811706200094091,1.006889219387224,0.9900124747951694,9.3
94,0.98344750535514,1.0048930799603626,0.9916564092837985,9.4
95,0.986603492485857,1.003072497126422,0.9931166421730011,9.5
96,0.9895977228741305,1.0009568468319137,0.994165802650248,9.600000000000001
97,0.9919084741923984,0.9985774514954993,0.9945092519730698,9.700000000000001
98,0.9936895855416625,0.9964695520658625,0.994134532290944,9.8
99,0.9951635533081836,0.9950864946896856,0.9934090403547473,9.9
100,0.9961027755337022,0.9944690593740825,0.9928637021181729,10.0
