,Si-Si,Si-As,As-As,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.7000000000000001
8,0.0,0.0,0.0,0.8
9,0.0,0.0,0.0,0.9
10,1.1403798898235322e-07,8.552849173676492e-08,0.0,1.0
11,3.4558930474834624e-06,2.6303009924307563e-06,2.3028724090896256e-06,1.1
12,4.0629589325025175e-05,2.8955877904227247e-05,2.748666853209263e-05,1.2000000000000002
13,0.0002943349591579422,0.000210439772769839,0.00019339286556991855,1.3
14,0.001561888455030205,0.0011205379446814078,0.0010116785871845443,1.4000000000000001
15,0.006660482558355524,0.004805343350577204,0.004235737730449665,1.5
16,0.023421655772034734,0.017049283578486275,0.0146143492757432,1.6
17,0.06854296430338615,0.05050795783163355,0.04204816267963941,1.7000000000000002
18,0.1680215673443225,0.1256889047267241,0.10184041204232373,1.8
19,0.34752031033535,0.2644788755343328,0.2095877581089035,1.9000000000000001
20,0.6120735988810676,0.474680421196388,0.37041626186774407,2.0
21,0.9287405636828753,0.7349632073510993,0.5692655764949002,2.1
22,1.2316209471452637,0.9959137979340579,0.7719770606936204,2.2
23,1.4518570669450799,1.2017995900575391,0.9390051543713813,2.3000000000000003
24,1.5511189199050697,1.3178732813020373,1.0426093459043824,2.4000000000000004
25,1.5344618054806634,1.3426141439573456,1.0769262930598862,2.5
26,1.4386082600026713,1.299232169003637,1.057300165033647,2.6
27,1.3095167083809138,1.2181717585037293,1.0108896975791177,2.7
28,1.184091662072768,1.124853370982125,0.9634910923150475,2.8000000000000003
29,1.0825175920303978,1.0365845812005599,0.9295189256846428,2.9000000000000004
30,1.01012683022577,0.9640631353701119,0.9102413611254041,3.0
31,0.9637819292914939,0.9131781544511408,0.8997493839165471,3.1
32,0.9376838601756631,0.8861057274394253,0.893198819702648,3.2
33,0.9263833997694414,0.8818381009902205,0.8908651923776341,3.3000000000000003
34,0.9253738297839407,0.8964223154417801,0.8962044606662419,3.4000000000000004
35,0.9306205441486185,0.9235651115585165,0.9117838696519384,3.5
36,0.9384731692001762,0.9558225692878689,0.9370054081731576,3.6
37,0.9465348577040433,0.9858850527749647,0.9673842921594998,3.7
38,0.9544508895433957,1.0079204875703467,0.9949083801182488,3.8000000000000003
39,0.9630971262172493,1.0192482301217798,1.0113744983894024,3.9000000000000004
40,0.9725612805305823,1.0215398492972056,1.0142908296288728,4.0
41,0.9811333908760013,1.0199289303868242,1.009407815748594,4.1000000000000005
42,0.9865517918413876,1.0198370360288211,1.0056494945837455,4.2
43,0.9880859189206823,1.023765452808906,1.006730633957503,4.3
44,0.9870793205054875,1.030496548341148,1.0083181808252022,4.4
45,0.9855730709524958,1.0367510844694956,1.0036661863803416,4.5
46,0.9847901519885772,1.0395496859895055,0.9908620194595542,4.6000000000000005
47,0.9848985079298337,1.0378690447621612,0.9737850688337979,4.7
48,0.9856347077867407,1.032999576251313,0.9575981607260401,4.800000000000001
49,0.9867125628881126,1.027425655831983,0.9454339982204245,4.9
50,0.9877229771626483,1.0229707025473425,0.9388789400013193,5.0
51,0.9880742284188424,1.0198535624177707,0.9389619747032489,5.1000000000000005
52,0.9874128989873915,1.0173273255672237,0.9452326508522155,5.2
53,0.986073535047952,1.0148343529561075,0.9547826288430209,5.300000000000001
54,0.9848811468777157,1.0125736892070687,0.963361323545616,5.4
55,0.9845369836954774,1.011341629457192,0.9673909676783943,5.5
56,0.985379528446873,1.0118842660865293,0.9652455020459199,5.6000000000000005
57,0.9875295361295134,1.0141850495740232,0.9581159042952596,5.7
58,0.9908369261291767,1.017293733747565,0.9502363579898278,5.800000000000001
59,0.9945748029112736,1.0198377976776423,0.9466863514616851,5.9
60,0.9974793252522433,1.0206497813856408,0.9496157255896096,6.0
61,0.9984629534874769,1.01906829787469,0.9568557776598797,6.1000000000000005
62,0.9973882982992929,1.0150859401248058,0.964424916526258,6.2
63,0.9950581700383592,1.0095512213296864,0.969874840925579,6.300000000000001
64,0.9924927586625625,1.0040813165382705,0.973340540562362,6.4
65,0.9903574260290651,1.0003730521282805,0.9763534864187964,6.5
66,0.9889770829655374,0.999369007825604,0.9802352920846292,6.6000000000000005
67,0.9885434919968534,1.000948206280352,0.9852550501666588,6.7
68,0.9890053704558365,1.0041061900257522,0.9906138148838594,6.800000000000001
69,0.9898077683132885,1.0073106379263217,0.9951130416477145,6.9
70,0.9901275334412838,1.0090835248120438,0.9979359977580069,7.0
71,0.9896181417613464,1.0087460644565196,0.9986702792534545,7.1000000000000005
72,0.9888551519981481,1.0067747260325786,0.9968628835321156,7.2
73,0.9889175345693021,1.0044117070956742,0.9923014677413239,7.300000000000001
74,0.9905299820695982,1.0028652098577922,0.985769785712749,7.4
75,0.9935353972085975,1.0027389792090498,0.9786756762404444,7.5
76,0.9970111544762416,1.0039549159561105,0.9717452681187675,7.6000000000000005
77,0.9998768230438695,1.00607451872004,0.9649096926048537,7.7
78,1.0015393044914456,1.0087012931593853,0.9586189024326187,7.800000000000001
79,1.0020362857744194,1.0116324743410805,0.9542503869421121,7.9
80,1.0016841974113022,1.0146536296157964,0.9525898491727747,8.0
81,1.0007896811106196,1.0172917627214353,0.952488788491823,8.1
82,0.9996331977715448,1.0189393825712598,0.9519060275086079,8.200000000000001
83,0.9984289467834572,1.0193154304935663,0.9505187738323222,8.3
