,Li-Li,Li-Tc,Tc-Tc,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,2.4023103576661683e-07,0.0,0.0,0.5
6,2.464101065982263e-06,3.1070697738182324e-07,0.0,0.6000000000000001
7,1.5251954700191207e-05,2.5673845995254784e-06,0.0,0.7000000000000001
8,7.414320480153772e-05,1.6197906000880504e-05,0.0,0.8
9,0.0002928691658338765,7.94007542713823e-05,0.0,0.9
10,0.0009651037086435316,0.000319901479473273,4.229067192141483e-06,1.0
11,0.0027202340276657943,0.0010919553827734854,6.78105233841055e-05,1.1
12,0.006754353585274332,0.0032347352263591674,0.0004805055289177558,1.2000000000000002
13,0.015181309824745352,0.00845673126488646,0.002566430939289846,1.3
14,0.03147681388677768,0.019774354367969288,0.010990091315352744,1.4000000000000001
15,0.060643334765203,0.04176812699793636,0.03878438109329965,1.5
16,0.10848758142397072,0.0803517588412064,0.11485904666387037,1.6
17,0.17983368261631588,0.1416703415859567,0.29114652646526706,1.7000000000000002
18,0.27638864362380355,0.2298523734551234,0.6432958826032596,1.8
19,0.3953615858411976,0.3440723071933742,1.2570290163860716,1.9000000000000001
20,0.5295572552674291,0.476697478636131,2.190377080700532,2.0
21,0.6691051327606834,0.6146019136628333,3.4118247924795417,2.1
22,0.804150434469246,0.7435497407411533,4.749248049854891,2.2
23,0.9269483665398568,0.8527751777328413,5.913381134284705,2.3000000000000003
24,1.0322240424070788,0.9368409416192017,6.618673625962228,2.4000000000000004
25,1.1165741819307728,0.9947076919228293,6.728095300926757,2.5
26,1.1784198343061378,1.0279910023135406,6.310139755008539,2.6
27,1.2184055576023807,1.0396086638467374,5.572070064987067,2.7
28,1.2389537748351445,1.0328106718681016,4.736816393787567,2.8000000000000003
29,1.2428483908440076,1.0108916785438924,3.9561004565709044,2.9000000000000004
30,1.2322790577851694,0.9778905396020234,3.2948358359162584,3.0
31,1.2093750940909618,0.9392639842511297,2.7588416701583327,3.1
32,1.177498843177399,0.9010180930081076,2.3279447895592775,3.2
33,1.1415170209250933,0.8677093950802854,1.980295759545986,3.3000000000000003
34,1.1063021485569922,0.8416656655411814,1.7049974269624366,3.4000000000000004
35,1.074792289307497,0.8241361940471439,1.501352569936808,3.5
36,1.0474329178226833,0.8163047238005802,1.3697173133079936,3.6
37,1.0232574571102035,0.8186947150789281,1.3044060264454842,3.7
38,1.0013992093841697,0.8301106231822845,1.2931998635644253,3.8000000000000003
39,0.9818529219665216,0.8478178758309379,1.32048985141837,3.9000000000000004
40,0.9652889649211678,0.8688257951921079,1.369996996989056,4.0
41,0.9526279254435096,0.8909016003201709,1.4262305473310284,4.1000000000000005
42,0.9447790477319193,0.9126664128487731,1.4759872635304776,4.2
43,0.9422658096724369,0.9334090653815064,1.5102861221954318,4.3
44,0.9447728921122487,0.9531358890667515,1.5252511956937134,4.4
45,0.9511248944442189,0.9724307192309608,1.521112738150775,4.5
46,0.959754011705448,0.9916534683339161,1.5002281565825815,4.6000000000000005
47,0.9692116951690486,1.0099480829576104,1.4649785573179184,4.7
48,0.9784118349592689,1.0251372379922143,1.4160993094439285,4.800000000000001
49,0.9865738072206067,1.0349191351189935,1.3527102097714199,4.9
50,0.993086145728159,1.0383579441163875,1.2747454206212256,5.0
51,0.9975926689450132,1.0363821708418628,1.1858672204678624,5.1000000000000005
52,1.000235022139749,1.0312300017115266,1.093851983936707,5.2
53,1.001659875444347,1.025466946622451,1.0081184499466374,5.300000000000001
54,1.002641629986107,1.020906525039849,0.9364114313735544,5.4
55,1.0036350987080807,1.0179735347774546,0.8823305175537178,5.5
56,1.0046468778915212,1.0161198237748308,0.8445591301252424,5.6000000000000005
57,1.0054697853475683,1.0147638803184722,0.8184135165393213,5.7
58,1.005944638951171,1.0135876827642987,0.7990876040063548,5.800000000000001
59,1.0059802293478795,1.0123125832078268,0.7843548845940209,5.9
60,1.005466006960336,1.0108114474123944,0.774735074686785,6.0
61,1.0043304009750706,1.009380327788786,0.7710801924805398,6.1000000000000005
62,1.0026640968741942,1.0084832915942628,0.7718313025440648,6.2
63,1.0006854774235663,1.008194919498779,0.7729182556491458,6.300000000000001
64,0.9985955057212984,1.0082203114218462,0.7704300716915632,6.4
65,0.9965544564392347,1.0086248178717818,0.7627470630861052,6.5
66,0.9947514020395742,1.010325021812064,0.7502485571821862,6.6000000000000005
67,0.9933453061986445,1.0144670327192922,0.7342026672207808,6.7
68,0.9923264860150808,1.0211591740570747,0.7166007817061938,6.800000000000001
69,0.9915415266406827,1.028977334386712,0.7002017457073462,6.9
70,0.9908546468316866,1.035913858440232,0.6876659923641016,7.0
71,0.9902405484507927,1.0407870524808247,0.6802608220643722,7.1000000000000005
72,0.9898033448222323,1.043607925728331,0.6772278038906893,7.2
73,0.9897587872089766,1.0447555445398484,0.6762019881006959,7.300000000000001
74,0.9902673183363999,1.0442624400021536,0.6744608272147966,7.4
75,0.9911932164961947,1.042101303663275,0.670408049966335,7.5
76,0.9921094203872387,1.0388076420460177,0.6643976908371099,7.6000000000000005
77,0.992596411363976,1.0353858045119708,0.6581836960484223,7.7
78,0.992530558809881,1.0325523885922114,0.6535052909932237,7.800000000000001
79,0.9921280732886927,1.0302832350326134,0.6512234199729583,7.9
80,0.9917682811677171,1.028205377510109,0.6515472742537914,8.0
81,0.9917988934358546,1.0262577978475993,0.6544315125942813,8.1
82,0.9924614481321792,1.0247611415756348,0.6594202114463881,8.200000000000001
