,Si-Si,Si-Ru,Ru-Ru,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.7000000000000001
8,0.0,0.0,0.0,0.8
9,0.0,0.0,0.0,0.9
10,0.0,4.7240402702889125e-07,0.0,1.0
11,9.539682429475392e-07,5.836369469374944e-06,0.0,1.1
12,1.2247348733621118e-05,4.992499165913008e-05,1.1798290575046558e-06,1.2000000000000002
13,8.989228439594089e-05,0.0003056098768603088,2.09689691262604e-05,1.3
14,0.0004932585238115244,0.001490769933016857,0.0001752870920093677,1.4000000000000001
15,0.002169770505623226,0.006019860717518241,0.0010109033033223983,1.5
16,0.007906408761699006,0.020496617031981627,0.00458213611687488,1.6
17,0.024274741664091295,0.059420747314215705,0.01696816345128898,1.7000000000000002
18,0.06352346231695138,0.14741968198061334,0.052007332241169255,1.8
19,0.14301606235050443,0.3143275398818618,0.13308279887808985,1.9000000000000001
20,0.27930496747819183,0.5785407636015962,0.2868608765975403,2.0
21,0.4769777533446296,0.924159625834305,0.5263769701038146,2.1
22,0.718472763753552,1.2906885463702822,0.8329120695438216,2.2
23,0.9645337510012039,1.5925877741351997,1.1543799078128518,2.3000000000000003
24,1.1691458055384885,1.7613484475614265,1.4270958383149885,2.4000000000000004
25,1.3003859231080945,1.778524165073912,1.6054884863918182,2.5
26,1.352110836329867,1.6755405048071859,1.6772030579783348,2.6
27,1.3395011701993167,1.5072940526437988,1.6572860296943808,2.7
28,1.2858451636064703,1.3245073378769656,1.5730718160955024,2.8000000000000003
29,1.2125175569247253,1.1604991679571457,1.4522549766876742,2.9000000000000004
30,1.1363724334493865,1.0307906730683893,1.3171227768797413,3.0
31,1.07059320992168,0.9377042158032032,1.1829975498009557,3.1
32,1.024540362071758,0.8757221159307894,1.0595373983659087,3.2
33,1.0018774343488477,0.8366595857705755,0.9531656026195375,3.3000000000000003
34,0.9991589947348164,0.8134783121524471,0.8682456716616446,3.4000000000000004
35,1.0072568297885527,0.8016845003436696,0.8067335115439708,3.5
36,1.0157530901490013,0.7989923480929064,0.7680979175876483,3.6
37,1.0178949727804383,0.8047189604086399,0.750503644692972,3.7
38,1.013220771585778,0.8191498832683701,0.7522472969090516,3.8000000000000003
39,1.0064563645458484,0.8426014480463061,0.7718639688247316,3.9000000000000004
40,1.0036116314527015,0.8745451836687688,0.8066798991607855,4.0
41,1.0081374183301703,0.9132231495882982,0.8516817366028167,4.1000000000000005
42,1.0196095654783852,0.9556407497576579,0.9006599182438073,4.2
43,1.0348986548120198,0.9978641804178795,0.9486852503921887,4.3
44,1.0498339385665165,1.0357419571150237,0.9931013085614043,4.4
45,1.0603079752554057,1.065942760984741,1.0324313961689815,4.5
46,1.063118449600595,1.0868384269404427,1.0652258555062366,4.6000000000000005
47,1.0565475651416698,1.0986339262201983,1.0899760597357318,4.7
48,1.0406213570798717,1.102572078467018,1.1054235601501783,4.800000000000001
49,1.0175038026500776,1.099970926436215,1.110957005779176,4.9
50,0.9916508532494017,1.0919332347273791,1.107145322270407,5.0
51,0.9685108942725128,1.079472389834796,1.0957600893407535,5.1000000000000005
52,0.9520759636132613,1.0634597948117797,1.0789642503215764,5.2
53,0.9432587680986081,1.0446947697943099,1.0585445816134529,5.300000000000001
54,0.9403063930713211,1.0244399133055997,1.0359806550005244,5.4
55,0.9406447523172052,1.0046237446280666,1.0129344497494042,5.5
56,0.9424407151182999,0.9870709677163502,0.9913000121575506,5.6000000000000005
57,0.9446715063806763,0.9727126036639115,0.9727359432554209,5.7
58,0.9464923627481461,0.9619289123962147,0.9582821494264547,5.800000000000001
59,0.9472858149066039,0.9553698879616821,0.9483568872957076,5.9
60,0.9471084051908193,0.9537944628874486,0.9429060056452504,6.0
61,0.9466228701137461,0.9571690173599108,0.941505331186361,6.1000000000000005
62,0.946541574568232,0.9644700673084037,0.9435434279478006,6.2
63,0.9469867129710016,0.9744162372264277,0.9485188282435065,6.300000000000001
64,0.9471863364799056,0.9860374363715378,0.9562012313360848,6.4
65,0.9463336509039522,0.9985809174954761,0.9664449025764833,6.5
66,0.945137684888241,1.011177500770391,0.9787444947189503,6.6000000000000005
67,0.9459022931463114,1.02265308419806,0.9919078017353895,6.7
68,0.9504993383877667,1.0316670539687356,1.0042473324017023,6.800000000000001
69,0.9584170369984303,1.0372203674077025,1.0142929412459205,6.9
70,0.9667750440968468,1.039190350015636,1.0214246156572562,7.0
71,0.972273239655092,1.038438533244785,1.0258029487751572,7.1000000000000005
72,0.9736043648844643,1.036367604371707,1.0277694534947714,7.2
73,0.972220209605369,1.034120743982747,1.027499606948643,7.300000000000001
74,0.9706264635822016,1.0319132533939168,1.0252582026524162,7.4
75,0.9701335439697667,1.029054508479126,1.021666173065878,7.5
76,0.9703484451868927,1.024704534704341,1.0174109196513361,7.6000000000000005
77,0.9701972928558134,1.018665226732246,1.0126817595082378,7.7
78,0.9688846724535883,1.011520887963955,1.0070694576879844,7.800000000000001
79,0.9662536960164985,1.004282477267386,1.0001157199206367,7.9
80,0.9629772265834837,0.9980552571211833,0.991951895456151,8.0
81,0.96050058748368,0.9937295533266514,0.9834943386878935,8.1
82,0.9602823199801748,0.9915253555116168,0.9762213020853311,8.200000000000001
83,0.962827476278838,0.9907621417273054,0.9717116432863161,8.3
84,0.96762492755739,0.9903004498093273,0.9709701872377172,8.4
85,0.9739490145316474,0.9893387474530174,0.9738303157724281,8.5
86,0.981197008749249,0.9878477677366949,0.9789930342153533,8.6
87,0.9883500886051345,0.9864387246462825,0.9848140860685057,8.700000000000001
88,0.9937513086258507,0.985963410501945,0.9901859287170552,8.8
89,0.9959196032854468,0.987102431422024,0.994792346921925,8.9
90,0.9945058000424744,0.9900886199092623,0.9987456314690638,9.0
91,0.9903947262463978,0.9947259687912626,1.0022090970087034,9.1
92,0.9850660299038413,1.000677336484999,1.0053450889937243,9.200000000000001
93,0.9798372476315538,1.0077240078513168,1.008341261557656,9.3
94,0.9753990778128437,1.0156853953083773,1.011277547301373,9.4
95,0.9717944474561226,1.0240072473414534,1.0139538904879037,9.5
96,0.968748029322516,1.0315129336243238,1.0159031575536082,9.600000000000001
97,0.9659953540688556,1.0368656984301625,1.0166577834402306,9.700000000000001
98,0.9634500955317559,1.0395014255990889,1.0161430414602681,9.8
99,0.9613122805156457,1.0400627643242046,1.0149100497062589,9.9
100,0.9600395889669395,1.0398531946742953,1.013917537870795,10.0
