,Li-Li,Li-Al,Al-Al,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,1.4017817974306462e-07,0.0,0.0,0.5
6,1.2766803155876355e-06,0.0,0.0,0.6000000000000001
7,8.059431197300402e-06,0.0,0.0,0.7000000000000001
8,4.037957943007077e-05,0.0,0.0,0.8
9,0.000163526060550602,5.12329419908692e-07,0.0,0.9
10,0.000558663407771377,5.991321593454871e-06,0.0,1.0
11,0.0016434733489381077,4.130407826865701e-05,0.0,1.1
12,0.004235384185722088,0.0002149422347704704,1.4806320235361203e-06,1.2000000000000002
13,0.009716361818789557,0.0009112704085793827,2.4091935199282124e-05,1.3
14,0.02020085773198945,0.0032112268493043167,0.0001762117710454013,1.4000000000000001
15,0.0388288061065921,0.00961328758501493,0.0009588256465679546,1.5
16,0.07019281043043098,0.02490304386942172,0.004175208456791129,1.6
17,0.12018747359453255,0.056724265884192375,0.014934803614667102,1.7000000000000002
18,0.19409814307605397,0.11508060087083191,0.04473335154075048,1.8
19,0.29304599274675797,0.2098621276240073,0.11387640350969384,1.9000000000000001
20,0.4114401559786343,0.3464373828262344,0.2497470046287378,2.0
21,0.5384792417593399,0.5213619688730553,0.47717262759563633,2.1
22,0.6632596496807149,0.7212072572834981,0.8009324758554481,2.2
23,0.7792272203329182,0.9255157182059635,1.18865100178396,2.3000000000000003
24,0.8843948112518011,1.1122574490224626,1.5698206711793012,2.4000000000000004
25,0.9782156937091269,1.2633318567387872,1.8612310599341306,2.5
26,1.0587156016691213,1.3680517106639,2.0071523186435027,2.6
27,1.1222808950974237,1.4237359675565504,2.0043603388429614,2.7
28,1.165854869455937,1.43441790712274,1.892358805356899,2.8000000000000003
29,1.189301212233927,1.4092043304349597,1.721691343287193,2.9000000000000004
30,1.1955259496793222,1.3604544276281707,1.5309683271857595,3.0
31,1.1883945952148127,1.3010477099609605,1.3455142768765158,3.1
32,1.1709943800909055,1.2409134428706288,1.1839681304113387,3.2
33,1.145774342164163,1.184648471599562,1.0581376863268979,3.3000000000000003
34,1.1153822015618926,1.1322878737480238,0.9687398630650724,3.4000000000000004
35,1.0827086115769669,1.0828066825783182,0.9066687536585926,3.5
36,1.0504593546393521,1.0370292442284368,0.860674752569562,3.6
37,1.0210922538028564,0.9973840372890312,0.8241636768569707,3.7
38,0.996789301494272,0.965823414761939,0.7963469038202282,3.8000000000000003
39,0.978839808872732,0.9427662023960486,0.7792848408796166,3.9000000000000004
40,0.966916523662592,0.9276219051971201,0.7742840164799077,4.0
41,0.9593793788500584,0.919372277540114,0.7796370450790692,4.1000000000000005
42,0.9545915320021628,0.9167415596601166,0.7908311017542341,4.2
43,0.9518616911393813,0.918754523784876,0.8032441334746125,4.3
44,0.9511640909947151,0.9254089191930575,0.8150721351310194,4.4
45,0.9524279875632403,0.9372979908309198,0.8278338616457149,4.5
46,0.9553693949421631,0.9543229544047549,0.8443733672865049,4.6000000000000005
47,0.959787303699636,0.974832901728478,0.866502957650366,4.7
48,0.9657721631886007,0.995928649896735,0.8936622279677892,4.800000000000001
49,0.973438408573284,1.0145967221835523,0.9227009634275487,4.9
50,0.9823638107749693,1.0289240410691785,0.9488936221439485,5.0
51,0.9914727231756305,1.038642818208016,0.9681106132513991,5.1000000000000005
52,0.9996327889980686,1.0445744056697932,0.978905071421314,5.2
53,1.0061568419165992,1.0475159373367378,0.982816804894935,5.300000000000001
54,1.010693395925065,1.0477179942445158,0.9826468989997289,5.4
55,1.0130715212212735,1.0452241559371411,0.9802848899562081,5.5
56,1.0134625177845997,1.0403555430069074,0.97594362400287,5.6000000000000005
57,1.0124241400118728,1.0338454749024597,0.9690735037414995,5.7
58,1.0105346161286421,1.0266204777364547,0.9597496719561437,5.800000000000001
59,1.0080515762449571,1.0193255278476787,0.9492725193124972,5.9
60,1.0051023466006612,1.012027423364473,0.9396955966845377,6.0
61,1.0021512011996505,1.0045649930780867,0.9330176255145507,6.1000000000000005
62,0.9999888362275107,0.9972107089000123,0.9307346551541819,6.2
63,0.9991128376451337,0.9909048459068829,0.9335922601992056,6.300000000000001
64,0.999269852336254,0.9868011469461657,0.9412699580048538,6.4
65,0.9996149867413692,0.9854162541938714,0.9523218033202031,6.5
66,0.9991652119683859,0.9861455308280664,0.9644762759475557,6.6000000000000005
67,0.9972249496690018,0.9877954887385807,0.9751806393865664,6.7
68,0.9938194577502916,0.9895319060573439,0.9823233450648716,6.800000000000001
69,0.9898018676345051,0.9911328618676717,0.9848107857717429,6.9
70,0.9862527705654,0.9926128434289562,0.982680374382398,7.0
71,0.9837443679553142,0.9940121251854457,0.9769026982672249,7.1000000000000005
72,0.9823180851613361,0.9954542990977725,0.9692335015096196,7.2
73,0.981925822018229,0.9971491615394181,0.9619333689279691,7.300000000000001
74,0.9825445157119514,0.9992796396091911,0.9570875849231392,7.4
75,0.983990149520928,1.001855593057642,0.9557294007463345,7.5
76,0.9859787047281001,1.0045760029480286,0.9574984867368888,7.6000000000000005
77,0.9883691482183512,1.0068126103796833,0.9611441460043779,7.7
78,0.9911222051128222,1.007900114103155,0.9652944348269308,7.800000000000001
79,0.9939813292051808,1.0076911220942961,0.9688376256648836,7.9
80,0.9963781313613895,1.0068027330042777,0.9710959846983411,8.0
81,0.9978149252499817,1.0060328482176166,0.9720957408426092,8.1
82,0.9982646728577841,1.0055642155974467,0.9724440412935043,8.200000000000001
83,0.9980055942907844,1.005037359809681,0.9725533237953027,8.3
84,0.9972068522920154,1.0043171514154532,0.9722576536578046,8.4
85,0.9959561000097509,1.0038118967813463,0.9714632697318017,8.5
86,0.9945768221712457,1.003974519826409,0.9706438796597321,8.6
87,0.993581119011309,1.0046923129265333,0.9702893773016714,8.700000000000001
88,0.9932526588486209,1.0052883684697662,0.9704017125781045,8.8
89,0.9934001590349333,1.005078395708006,0.970797614704949,8.9
90,0.9935436329083198,1.0038435716369987,0.971387559074485,9.0
91,0.9933386275507449,1.0018412706465412,0.9719774732570768,9.1
92,0.9929093247109817,0.9995400010620579,0.9722536163927776,9.200000000000001
93,0.9928174013099271,0.9974132215581881,0.9721104393164709,9.3
94,0.9936405009262224,0.9959258924972952,0.971749121815294,9.4
95,0.9954769001734259,0.9956272524303942,0.9712627096037463,9.5
96,0.997774957869985,0.9970534804164187,0.9701331962003718,9.600000000000001
97,0.9996623038089454,1.0002835018946492,0.9674852795558974,9.700000000000001
98,1.000566125688802,1.0045645859896908,0.9631885693961909,9.8
99,1.0006010947890471,1.0085311291098238,0.9585304010876475,9.9
100,1.0003628534386726,1.010878167305022,0.9555069424485625,10.0
