,Si-Si,Si-S,S-S,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.7000000000000001
8,0.0,1.3684880695820887e-07,0.0,0.8
9,0.0,2.710703406002339e-06,5.657048721317416e-06,0.9
10,0.0,3.6608690950488494e-05,7.271482069892422e-05,1.0
11,0.0,0.00028432516388521317,0.0005000115243027121,1.1
12,1.6290481980305176e-05,0.001585369046435608,0.0025347652469843098,1.2000000000000002
13,0.00015913471084628777,0.007040113784149324,0.01028034868098384,1.3
14,0.00095655972717615,0.025709077208607316,0.03397340133340925,1.4000000000000001
15,0.004448773397251261,0.07796593613446443,0.09227527884808608,1.5
16,0.01659562267653056,0.19755116952657265,0.20757155478838474,1.6
17,0.05038632227149054,0.4210493299692552,0.3900990563025452,1.7000000000000002
18,0.12599067853771986,0.7612425481308053,0.6190485138773572,1.8
19,0.2629568521116697,1.1798584678516815,0.8406047496688541,1.9000000000000001
20,0.4654117206946092,1.5880635928785654,0.9934507698977545,2.0
21,0.7114183770477792,1.8849762620623487,1.0447235695404236,2.1
22,0.9578620304294841,2.007825258683386,1.0065471769495853,2.2
23,1.1584980030441943,1.9558410095801393,0.9221127028587359,2.3000000000000003
24,1.2816232593477628,1.7770812353218035,0.8373697353544235,2.4000000000000004
25,1.3179036400462998,1.5377896516838567,0.7808962534120661,2.5
26,1.278896225115621,1.2969590691271438,0.7604970440268098,2.6
27,1.1906618471927448,1.0939688109596508,0.7702460742973183,2.7
28,1.08485042032934,0.9466403657840681,0.7987940976404302,2.8000000000000003
29,0.9884343143357828,0.8555398414833358,0.8351255845677508,2.9000000000000004
30,0.9153918247998005,0.8112071121556499,0.8718363744189115,3.0
31,0.8654148469547074,0.8010458959280887,0.9058944892207512,3.1
32,0.8308754335511299,0.813324213999654,0.9368948161230336,3.2
33,0.8062632813262791,0.838101618455466,0.9646664205611561,3.3000000000000003
34,0.7921107011013303,0.8670079457358554,0.9884802457846302,3.4000000000000004
35,0.791451634200954,0.8934986057432789,1.007900799204941,3.5
36,0.803965953113623,0.9136422182782828,1.0233352322780789,3.6
37,0.8238920001893856,0.9267167405097595,1.0352629050076803,3.7
38,0.843178506345572,0.9348598151271398,1.0433813308828475,3.8000000000000003
39,0.8564064858590386,0.9413847360950186,1.0470521595305196,3.9000000000000004
40,0.8630485427154402,0.9486288122145894,1.0463926912337504,4.0
41,0.8660978086753434,0.9570324524592868,1.0424468096304202,4.1000000000000005
42,0.869423076336592,0.9658583979232871,1.036332265624527,4.2
43,0.8759857755552298,0.9742726104616033,1.0287027910123443,4.3
44,0.8869461113749953,0.9817133038522718,1.0202350007417182,4.4
45,0.9013324260762536,0.9876414242153754,1.0122873593456192,4.5
46,0.916750711348027,0.9914188031616537,1.0065732773800633,4.6000000000000005
47,0.9314952594881554,0.992865431965042,1.003975797343869,4.7
48,0.9464613514898136,0.9929133468607196,1.0037619060443344,4.800000000000001
49,0.9640609485030635,0.9931755443638649,1.004118431031655,4.9
50,0.9842325417814938,0.9945282998895744,1.0035934594177511,5.0
51,1.0025377879458954,0.9963460371331581,1.0021074620619805,5.1000000000000005
52,1.0136974563320962,0.9973013573416443,1.0006187407360336,5.2
53,1.0164516511485482,0.9967655249727613,0.9998932864102961,5.300000000000001
54,1.014110620766239,0.9953746878766566,0.9996806114156803,5.4
55,1.0111946873506,0.994455132818327,0.999006281431743,5.5
56,1.0103529142771588,0.995102544569888,0.9970585276778137,5.6000000000000005
57,1.0118811441087951,0.9976325829479425,0.9938538566884568,5.7
58,1.014990336999224,1.001502298252115,0.9903414946787484,5.800000000000001
59,1.0185700798473025,1.0056727042824662,0.9880017402879512,5.9
60,1.0207488881941906,1.0094140042093975,0.9881493372472363,6.0
61,1.0191336887523177,1.0128645195017771,0.9911730262478335,6.1000000000000005
62,1.0126948273880372,1.0164725986869112,0.9961044964670402,6.2
63,1.0030647932471206,1.019854603109883,1.0010177696569231,6.300000000000001
64,0.9931015210677423,1.0216038948640533,1.0041703975081882,6.4
65,0.9843669396036397,1.0204192889334427,1.0049596402024763,6.5
66,0.9767270280198629,1.0161514735959352,1.003947580435643,6.6000000000000005
67,0.9701404581530916,1.0096646152819422,1.0021815333054431,6.7
68,0.9656835242530096,1.002140671992214,1.0004235765647458,6.800000000000001
69,0.9644900700818833,0.9949540337854653,0.9987059500861463,6.9
70,0.9665851229069365,0.989772580774133,0.9964975905538247,7.0
71,0.9713435828609649,0.9878991132206463,0.9933621584134293,7.1000000000000005
72,0.978476349962401,0.989290340746817,0.9895006616074317,7.2
73,0.9875161192140132,0.9926270231342039,0.985739028190367,7.300000000000001
74,0.9961720479727132,0.9964617932545502,0.9830617134875278,7.4
75,1.000312152766566,1.0001035096585331,0.9820988527157093,7.5
76,0.9968255448239898,1.0035293463393835,0.9829390880546959,7.6000000000000005
77,0.9864099189694162,1.0068420580088673,0.9853386249573177,7.7
78,0.9728923024913094,1.0099140655102774,0.9890030107882142,7.800000000000001
79,0.9603052975599217,1.012391284752567,0.9935503540075739,7.9
80,0.9514781047799173,1.01393214453355,0.9982559140656917,8.0
81,0.9486478445298405,1.014435975723021,1.0021012464021763,8.1
82,0.953359875043827,1.0140587489636164,1.0042781895143202,8.200000000000001
83,0.9647870869632255,1.013033606284335,1.0046183250231357,8.3
