,Ga-Ga,Ga-Si,Si-Si,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.7000000000000001
8,0.0,0.0,0.0,0.8
9,0.0,0.0,0.0,0.9
10,0.0,1.8521284742136568e-07,1.1112770845281938e-06,1.0
11,1.0527888169214467e-06,2.9531525153763166e-06,1.1734641817125476e-05,1.1
12,1.131571017058652e-05,2.6741307860058058e-05,8.497003880863679e-05,1.2000000000000002
13,7.858162958160007e-05,0.0001689604669197514,0.00047704014007261114,1.3
14,0.00041437375968951214,0.0008378336066481269,0.0021634839679464746,1.4000000000000001
15,0.001769717030305754,0.003412083081638482,0.008198157113441375,1.5
16,0.006299671795101305,0.011665657685593413,0.02647680820837838,1.6
17,0.019026323648281565,0.033855028625568266,0.073327368522013,1.7000000000000002
18,0.04935522166318263,0.08405812285125812,0.1743589546939274,1.8
19,0.11099175309742335,0.18001059357318658,0.35627829242078324,1.9000000000000001
20,0.2181382518385716,0.335537324986951,0.6275585548168662,2.0
21,0.37766568322143795,0.5502187047274274,0.9596704292914227,2.1
22,0.5812042733401627,0.8034824867731846,1.2892341915400405,2.2
23,0.8037495199989514,1.0587169983863822,1.5463003036961975,2.3000000000000003
24,1.0117806676955303,1.2756891599355211,1.687088197907178,2.4000000000000004
25,1.1761554440842887,1.4242432941228247,1.7064996048679824,2.5
26,1.2815138487032023,1.4929917719938588,1.6292004132658535,2.6
27,1.327918521029893,1.4899245851694733,1.4936546829265829,2.7
28,1.3264049415149535,1.4356444481163224,1.3381601602663138,2.8000000000000003
29,1.2926948304651935,1.3538150511327538,1.1912660048082548,2.9000000000000004
30,1.242234618673839,1.264131540858737,1.068700472676895,3.0
31,1.1871975726730126,1.179740660803789,0.9760176704985292,3.1
32,1.1349414072273325,1.1076636329998963,0.9120628338641037,3.2
33,1.088175307872634,1.0502275027015704,0.8710139868503677,3.3000000000000003
34,1.0468968035071728,1.006747444932712,0.8451401536450198,3.4000000000000004
35,1.0106967187572882,0.9753491701236765,0.8284368232752304,3.5
36,0.9798753490802452,0.9542430194713154,0.8181335122173771,3.6
37,0.955236934236457,0.9418025786547425,0.8135426832387304,3.7
38,0.9374585301860019,0.9361070515257087,0.8149680985265926,3.8000000000000003
39,0.9267126236407307,0.935267084873648,0.8235633076901739,3.9000000000000004
40,0.9225758138550977,0.9383245545057756,0.8399499065109324,4.0
41,0.9240910711671271,0.9452692813654355,0.8615050986795431,4.1000000000000005
42,0.9300982791627289,0.9560319804204509,0.8822435859873115,4.2
43,0.9396895102336312,0.9698038726673249,0.8971260013678837,4.3
44,0.9521876553205038,0.9852443045150276,0.9062136587780956,4.4
45,0.9666224433740749,1.0007504023413099,0.9139080947285232,4.5
46,0.9815078594238891,1.0145009243451064,0.9245703246872392,4.6000000000000005
47,0.9953206657442529,1.0248999907315821,0.9390009823198909,4.7
48,1.0069796356509961,1.0313485299726608,0.9540981557693077,4.800000000000001
49,1.015738952343854,1.0343517728589264,0.9651925655338787,4.9
50,1.0209144818519384,1.034791692954401,0.9693771852717333,5.0
51,1.0220832171032028,1.0333714590409717,0.9678083254788484,5.1000000000000005
52,1.0195401619638462,1.0306961132647812,0.9649624683438073,5.2
53,1.0144045767862202,1.0273436548975143,0.9648886870041924,5.300000000000001
54,1.0082992994746485,1.0235672736396675,0.9678292697218415,5.4
55,1.0028812317190066,1.019185859796261,0.9705789335299417,5.5
56,0.9992810414247632,1.0139973149240156,0.969818343696,5.6000000000000005
57,0.9976107297600141,1.0082995318010763,0.9648845770367531,5.7
58,0.9970172793799278,1.0029435193274805,0.9580679081968719,5.800000000000001
59,0.9964752932965375,0.9989044481319428,0.9529094731069762,5.9
60,0.9956877481359109,0.9967999382897551,0.9517776476850274,6.0
61,0.9951264923094575,0.9966392693669675,0.9543860051452917,6.1000000000000005
62,0.9951373603294298,0.9978756498481222,0.9584484796514188,6.2
63,0.9952858742244228,0.9997490974543604,0.9617605015397467,6.300000000000001
64,0.9948229203422561,1.0016682034175142,0.963517481750478,6.4
65,0.9935684267513495,1.0033032561876265,0.9639881440274982,6.5
66,0.9920582514357235,1.0044203665103786,0.963629367361622,6.6000000000000005
67,0.9910514519251374,1.0048389927353438,0.9626278958397234,6.7
68,0.9911155985305125,1.0046533548475969,0.9609787172620763,6.800000000000001
69,0.9923643900178423,1.0044113154598735,0.9590636386821717,6.9
70,0.9942572611771456,1.0049383139372998,0.9579361822665589,7.0
71,0.9958902854364585,1.0068181278341253,0.9584432603910563,7.1000000000000005
72,0.9967664318238855,1.0098262276100545,0.9600701583160509,7.2
73,0.9971344461359718,1.012785676759638,0.9611952355169963,7.300000000000001
74,0.9974660993927925,1.0141894002729313,0.9605756442153328,7.4
75,0.9978968649176964,1.0132873215867033,0.9583260429900878,7.5
76,0.9983517065845016,1.0106288333953308,0.9555650712115109,7.6000000000000005
77,0.9988983942293919,1.0074700199284108,0.9536484920950508,7.7
78,0.9996625619196486,1.0047554641255787,0.9538152146233032,7.800000000000001
79,1.0004895283011797,1.0027479298861326,0.9566843419872237,7.9
80,1.000950570086974,1.0014179408983057,0.9612530970820431,8.0
81,1.0007467633591813,1.0008884878500444,0.9648444495287691,8.1
82,1.0000278444777835,1.0013939423431135,0.9650318108351306,8.200000000000001
83,0.9992472885478,1.0029119133176458,0.9619260737296484,8.3
