,Li-Li,Li-Ta,Ta-Ta,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,4.330463070906188e-07,0.0,0.0,0.5
6,5.437560421347516e-06,0.0,0.0,0.6000000000000001
7,3.658852889429945e-05,0.0,0.0,0.7000000000000001
8,0.0001935042397674531,7.146955654132282e-08,0.0,0.8
9,0.0008308342142875666,9.09200761273094e-07,0.0,0.9
10,0.0029825992616819737,6.498852507812916e-06,0.0,1.0
11,0.009178894741345311,3.69519649139668e-05,0.0,1.1
12,0.02469881579114009,0.00016782859836297104,1.6466585827120766e-06,1.2000000000000002
13,0.0589496842517602,0.0006410032715480366,1.6628858279625865e-05,1.3
14,0.12589189863496664,0.002097310729498484,0.0001126029969219307,1.4000000000000001
15,0.2417507832882681,0.005957566292200257,0.000579962371083433,1.5
16,0.4190691349060291,0.014834699427869134,0.002426582516695463,1.6
17,0.6587615957587167,0.032666640452999815,0.008469823053450044,1.7000000000000002
18,0.9441984843535216,0.06420930417541716,0.025124289285611074,1.8
19,1.241734420575559,0.11385766127059813,0.06415626073789647,1.9000000000000001
20,1.5104994019908788,0.18429639204032586,0.14260321119318756,2.0
21,1.7186301192067046,0.2758219791547109,0.2787397563920888,2.1
22,1.8553887040579171,0.38682824691139306,0.48398419551353633,2.2
23,1.9292618058717361,0.514551249183095,0.7542355385935441,2.3000000000000003
24,1.9551299936895048,0.6542434733737593,1.0657963675914686,2.4000000000000004
25,1.9438469884144427,0.796807054283718,1.3789119310297064,2.5
26,1.9017150644306637,0.9279880100950817,1.6484494679380544,2.6
27,1.8354555723657027,1.031687703284904,1.838290148489064,2.7
28,1.7549923038855946,1.0957829422826342,1.9327970584438448,2.8000000000000003
29,1.6713416813683806,1.1166416579544391,1.938391059500481,2.9000000000000004
30,1.5923117153727298,1.100046600488835,1.8750455586059243,3.0
31,1.5201285873015709,1.0583835994068207,1.7651459747607054,3.1
32,1.4527505707229045,1.005455903733396,1.6267844285124862,3.2
33,1.3874106152575931,0.9517649368107941,1.4727908890520605,3.3000000000000003
34,1.3236469515836677,0.902984907871408,1.3132070076106397,3.4000000000000004
35,1.263831484785627,0.8615610754814763,1.1581359891918444,3.5
36,1.211393027256075,0.8287976594715684,1.018266444674547,3.6
37,1.1686583790499883,0.80553984494997,0.9025172247046216,3.7
38,1.1359266954557028,0.7918208539844143,0.8152892617533998,3.8000000000000003
39,1.1116362132250468,0.78671102786961,0.7560345582402428,3.9000000000000004
40,1.0928223834531066,0.7889222486917086,0.7213451587706803,4.0
41,1.0760060276436916,0.797627932741643,0.7076769549731109,4.1000000000000005
42,1.0589283413795132,0.8125672995222716,0.7127225250217863,4.2
43,1.0421549455093926,0.8334255123171681,0.7349040642707299,4.3
44,1.028538256216525,0.8594279768593343,0.7720373704650798,4.4
45,1.0206070749796456,0.8895050483801755,0.820551653732357,4.5
46,1.0183498442308938,0.922357566958886,0.875886213097333,4.6000000000000005
47,1.0192029724600193,0.9562613454926516,0.9336160887080932,4.7
48,1.019769075585912,0.9892254272263312,0.9902778637883286,4.800000000000001
49,1.0176979834250117,1.019521789674348,1.0432372602303,4.9
50,1.0124462580147873,1.0459047414964275,1.0899597395765834,5.0
51,1.004597435169381,1.067354662837686,1.1275740194992643,5.1000000000000005
52,0.9947510541106119,1.0828682406436658,1.1531817216956683,5.2
53,0.9831025877200121,1.0917492966541222,1.1647133217038488,5.300000000000001
54,0.9697036561104838,1.0942245439325515,1.1618052916411037,5.4
55,0.9547784112102801,1.0916553800706648,1.1461269792484925,5.5
56,0.9388832895375222,1.0859028733944633,1.1208815995550168,5.6000000000000005
57,0.9229936923089909,1.0784389599664506,1.0898204004020249,5.7
58,0.9083505050578454,1.0700548645311947,1.056297108916009,5.800000000000001
59,0.8959739467248033,1.0612288953696265,1.0226221428828703,5.9
60,0.8861685422552398,1.0525292263112216,0.9898951589040996,6.0
61,0.8785792448049758,1.0446447223261526,0.9585710979107531,6.1000000000000005
62,0.8727324174023471,1.0381613172954132,0.929529097731312,6.2
63,0.868334464765202,1.0332951094745053,0.9046203023518108,6.300000000000001
64,0.8650338222759675,1.029760358735441,0.8860737432549469,6.4
65,0.8623321959197329,1.027077178153776,0.8754388968815131,6.5
66,0.8600519335990853,1.0252033490406751,0.8730200368904595,6.6000000000000005
67,0.8587378934386186,1.0247655851037984,0.8780293971747206,6.7
68,0.859330680061061,1.0265113448336443,0.8891371517392616,6.800000000000001
69,0.8624080407895962,1.0306314462842663,0.9049083603890739,6.9
70,0.8676907268435231,1.0367191462746617,0.9237375021082915,7.0
71,0.8741156191771734,1.0442470205847088,0.9435849117359494,7.1000000000000005
72,0.8803842373787125,1.05287749001745,0.962314620231436,7.2
73,0.8857092111745803,1.0622714651567116,0.9786138680606637,7.300000000000001
74,0.8901474294770183,1.0716701938996762,0.992349822643788,7.4
75,0.893995337069166,1.0797794835757968,1.0038592350917521,7.5
76,0.8968742000619937,1.0851948541564427,1.0131790253250057,7.6000000000000005
77,0.8979207723371686,1.0871057593702373,1.0200654020391593,7.7
78,0.8970127417932785,1.0856802274539628,1.0242744245445612,7.800000000000001
79,0.8952424256679778,1.0817182857250613,1.025446989490951,7.9
80,0.8938537112215869,1.075913934278612,1.0229845926644765,8.0
81,0.8931588073146888,1.068600582475893,1.0165033554457459,8.1
82,0.8928566766543509,1.0602532567126288,1.0064924636056574,8.200000000000001
