,Li-Li,Li-Rh,Rh-Rh,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,7.500838301997212e-07,0.0,0.0,0.5
6,7.154806826526661e-06,0.0,0.0,0.6000000000000001
7,4.467075684196085e-05,1.4084907478194773e-07,0.0,0.7000000000000001
8,0.0002221130188695697,1.289830736316644e-06,0.0,0.8
9,0.0008933524884303572,8.347040856281875e-06,0.0,0.9
10,0.0030115910126630465,4.53269142196112e-05,0.0,1.0
11,0.008692461650699975,0.00020738078509160998,4.3893409731216375e-08,1.1
12,0.02182823307133144,0.0008220394869970215,2.6630491223771654e-06,1.2000000000000002
13,0.04822822103869712,0.0028842021901347666,3.1863734328335176e-05,1.3
14,0.09449361677191845,0.009011566734377413,0.00022719941140917255,1.4000000000000001
15,0.16551209226534974,0.02496579095474285,0.0012091988301882425,1.5
16,0.2620670845157123,0.060932652320084324,0.005165987227366753,1.6
17,0.3805971178135107,0.13066560854214732,0.01824273499225202,1.7000000000000002
18,0.5149915077294254,0.24681391481077103,0.053937814675534684,1.8
19,0.6579340178369792,0.41358224887224665,0.13475884364072774,1.9000000000000001
20,0.800292874217482,0.6212859289467405,0.2869848896921592,2.0
21,0.9304463156582101,0.8473282500142482,0.5257947993897273,2.1
22,1.0364950072574444,1.0634996735053281,0.8374192483417117,2.2
23,1.1107776089111134,1.2448297579803997,1.1733090565362025,2.3000000000000003
24,1.1525259744278369,1.3752052962713581,1.465978540363403,2.4000000000000004
25,1.1662424867955181,1.4486147775490084,1.6583549168085938,2.5
26,1.1578859893059996,1.4677717535470116,1.726598240686243,2.6
27,1.1323612431916759,1.4418896012770086,1.6830958171742247,2.7
28,1.0938233841480218,1.384124549533994,1.5627025137013137,2.8000000000000003
29,1.0476333470017498,1.3086690671033014,1.4048703757898795,2.9000000000000004
30,1.0009433886848051,1.2278607060801512,1.2418187868674475,3.0
31,0.9601786844867531,1.150220071255082,1.0948824433708355,3.1
32,0.9278195875387639,1.0802653807294127,0.9755085415733761,3.2
33,0.9024908578127772,1.020029903983474,0.8871666613557854,3.3000000000000003
34,0.8824490012671616,0.9708965085182951,0.8274024762047947,3.4000000000000004
35,0.8685060072855814,0.9341515126987325,0.7908399913460844,3.5
36,0.8633920105117604,0.9102224889119183,0.7724029850424571,3.6
37,0.8685878069992762,0.8980712723371228,0.768785754083287,3.7
38,0.882249997642492,0.8956610606561055,0.7778423415459528,3.8000000000000003
39,0.9006047815201408,0.9009353121557264,0.797603624554617,3.9000000000000004
40,0.921093310331659,0.912317596465593,0.8260465649709297,4.0
41,0.9432467187111874,0.9285266769713356,0.8611831445466733,4.1000000000000005
42,0.9664075785024645,0.948237971717626,0.9010399481399836,4.2
43,0.9878559276457463,0.9699650141770718,0.9435968067512325,4.3
44,1.0042463082102617,0.9921238905454465,0.9865573589609651,4.4
45,1.0144723111650624,1.013136205440957,1.0269851442885236,4.5
46,1.020182206117969,1.0314502246418578,1.0614268308568318,4.6000000000000005
47,1.0235967576496001,1.0455062248510216,1.0868708566929086,4.7
48,1.025600319048911,1.053898954375557,1.1017707655242346,4.800000000000001
49,1.0260082343330827,1.0558891612331152,1.1062221906187972,4.9
50,1.0247593625629914,1.0519417436050782,1.1014037510599801,5.0
51,1.022355267944827,1.0438263680023943,1.0890197767791223,5.1000000000000005
52,1.0194586742736431,1.034064679586992,1.071078952911618,5.2
53,1.0162633362473985,1.0248741433907087,1.049795491050714,5.300000000000001
54,1.0121706623572249,1.0172323581818996,1.027422587003807,5.4
55,1.0061406227575564,1.0108103968857967,1.0060479529279476,5.5
56,0.9974949773266456,1.0048193690507383,0.987276820078657,5.6000000000000005
57,0.9864929120755415,0.9988899650638895,0.9718192298193412,5.7
58,0.9744245671526541,0.9932761073363914,0.9595252237049781,5.800000000000001
59,0.9633277832758712,0.9885955518273393,0.9501931267249893,5.9
60,0.9552569875389815,0.9856331349425729,0.9442940003398815,6.0
61,0.951250646776745,0.9852035615782586,0.9426310634317392,6.1000000000000005
62,0.9508278746455144,0.9878273115247714,0.945371154133221,6.2
63,0.9524755001774121,0.9933031398447439,0.9516482303827851,6.300000000000001
64,0.9545608695758968,1.0005283588588543,0.960005011203333,6.4
65,0.9560117278733411,1.007856453475518,0.9690624554679135,6.5
66,0.9566860267660949,1.013884850256473,0.9779875036622183,6.6000000000000005
67,0.9574282874687452,1.018087061069844,0.9866268870009861,6.7
68,0.959498420408093,1.020779050747067,0.9951562074261262,6.800000000000001
69,0.9635935828668839,1.0225645855546979,1.0034557904285821,6.9
70,0.9691920435966483,1.0238171126868028,1.0108891609455206,7.0
71,0.9747171079498154,1.0245406819737246,1.0167105520410589,7.1000000000000005
72,0.9785229638915233,1.0244798976859313,1.0204825164093132,7.2
73,0.9800458769325704,1.0233033729417398,1.0220372583939572,7.300000000000001
74,0.9801232423515127,1.0208794025791734,1.0213264085016998,7.4
75,0.9802320821989574,1.0175254599526191,1.0185535997319142,7.5
76,0.9814723559002846,1.013942417014544,1.01432753796601,7.6000000000000005
77,0.9841257866613803,1.0108080081042774,1.009456021074235,7.7
78,0.9877394452676035,1.008380438669096,1.004522403701935,7.800000000000001
79,0.991314893952596,1.006430825264612,0.9997252522732706,7.9
80,0.9936402515154825,1.0044928359065233,0.9951322734670464,8.0
81,0.9939321320941262,1.002193598379785,0.9909756067493773,8.1
82,0.9923962124673129,0.9994749925032037,0.9875637417805586,8.200000000000001
