,Li-Li,Li-Fe,Fe-Fe,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,1.6740817252200878e-06,0.0,0.0,0.6000000000000001
7,1.4707993221353297e-05,1.4583111917472766e-07,0.0,0.7000000000000001
8,8.862171427079953e-05,1.784055583820263e-06,7.690312925229777e-07,0.8
9,0.00041491416734312715,1.3951801207109932e-05,1.5914202448367973e-05,0.9
10,0.0015752402088856819,7.971307121915486e-05,0.00014859401959894846,1.0
11,0.004955026196199838,0.0003691731471300764,0.0009356169892341058,1.1
12,0.013190705808894247,0.0014240475053981807,0.004548757561800138,1.2000000000000002
13,0.03035494651007377,0.004671046132476307,0.018032540950313557,1.3
14,0.06163388093390021,0.013202743352456357,0.05939804503013207,1.4000000000000001
15,0.11240875764382925,0.03248363959438596,0.1640655271930788,1.5
16,0.18681190133433018,0.07021843307434059,0.38298043948528654,1.6
17,0.28617420355509804,0.1345674041725433,0.7617852762739591,1.7000000000000002
18,0.4081647617066203,0.23083013111026818,1.3036615752971417,1.8
19,0.5469788698401199,0.35816554350968854,1.94145717630349,1.9000000000000001
20,0.6940569732596633,0.5083721747998128,2.550035035974797,2.0
21,0.8390914670938294,0.6674585384761517,3.000146458880415,2.1
22,0.9718291040960337,0.8190992890782014,3.216974955696318,2.2
23,1.0842135273504288,0.948443386914824,3.202669656011913,2.3000000000000003
24,1.1712787546358505,1.044917675934206,3.0154704416106903,2.4000000000000004
25,1.2306341102822262,1.1034742453520692,2.730937073642699,2.5
26,1.262125171281623,1.1247088191355996,2.4133586340898305,2.6
27,1.268155666991143,1.1143174780518257,2.105977320408881,2.7
28,1.253579029665378,1.0816736311064084,1.8333675491036445,2.8000000000000003
29,1.2246683390358029,1.037294978502685,1.607244178133967,2.9000000000000004
30,1.1877964491472344,0.9899585553399594,1.430825506028104,3.0
31,1.1483335572318483,0.9451332719755663,1.3011470545805177,3.1
32,1.1099530131994633,0.9056495205050814,1.211351099432821,3.2
33,1.0745217427796363,0.8734440554191656,1.1541064335474487,3.3000000000000003
34,1.0426477998277226,0.8504618023706768,1.1242084954433769,3.4000000000000004
35,1.01461496378193,0.8382630664504661,1.1179954928516647,3.5
36,0.9910483333903973,0.8372191849096868,1.130865694013807,3.6
37,0.972806853336298,0.8460243000639359,1.156082184469886,3.7
38,0.960407892760945,0.8618827868726544,1.1859222950122443,3.8000000000000003
39,0.953678127987881,0.8814848855761086,1.213669149899181,3.9000000000000004
40,0.9518695489180907,0.902229328614837,1.2346078103361913,4.0
41,0.9538887435911468,0.9227637831644481,1.2459711015881363,4.1000000000000005
42,0.9584315021813934,0.9425463760491427,1.246781816382364,4.2
43,0.9642861900874193,0.9610906756922815,1.2376511018850378,4.3
44,0.9707949038462094,0.9776824019879763,1.2199252883768388,4.4
45,0.9778849884709944,0.9916060886460365,1.194772155080916,4.5
46,0.9855403128078176,1.0024007827900308,1.1634451108004067,4.6000000000000005
47,0.9933314396919843,1.0099618322813595,1.1280542322839668,4.7
48,1.0004748070398561,1.014632202993677,1.0911206662964108,4.800000000000001
49,1.0062522646204901,1.017217726539105,1.054423737803347,4.9
50,1.0103364094947456,1.018666539358371,1.0190027195236602,5.0
51,1.0126902525926669,1.01956034087616,0.9862506463160926,5.1000000000000005
52,1.0133044409818464,1.019955376699199,0.9583118153130463,5.2
53,1.0122278956507675,1.0197286454387036,0.9370333738011226,5.300000000000001
54,1.0097210764882452,1.0189298233582156,0.9227026403711134,5.4
55,1.0061477248339608,1.0177862848835957,0.9140657787057934,5.5
56,1.0018158456144441,1.0166343758691514,0.9093920824545143,5.6000000000000005
57,0.9970779191991394,1.0160225387138895,0.907174543668006,5.7
58,0.9924869484229051,1.0166658537087798,0.90600884216233,5.800000000000001
59,0.9886659726953494,1.0189807831041362,0.9045445658080188,5.9
60,0.9860102780201992,1.022619101476401,0.9018920586579877,6.0
61,0.9845561634776926,1.0266135181146347,0.897759490752013,6.1000000000000005
62,0.9840067646019205,1.0300480308374353,0.8920479898961097,6.2
63,0.983796638652547,1.0325422534784037,0.8846135721987823,6.300000000000001
64,0.983413280696538,1.0341925138916557,0.8755461565651165,6.4
65,0.9829383971311415,1.0352691906235512,0.8654637876601473,6.5
66,0.9831013096898112,1.0359997597119066,0.8554098513215352,6.6000000000000005
67,0.9845456698329464,1.0365143127131042,0.8464668063497262,6.7
68,0.9871008576302571,1.0369121998689441,0.8393987053881923,6.800000000000001
69,0.9898568757181079,1.0373110146787232,0.8345360526827276,6.9
70,0.9918787570055058,1.0377616835657102,0.8319602070192054,7.0
71,0.992811573920683,1.0381654237916709,0.8316840782674256,7.1000000000000005
72,0.9928838185129694,1.038343767906095,0.833419763273927,7.2
73,0.9924652121117997,1.038165087027051,0.8361758871446667,7.300000000000001
74,0.9917564527573217,1.037582247140273,0.8384167973879815,7.4
75,0.9908997446409454,1.0366245553723394,0.8389743934702493,7.5
76,0.9901364693287459,1.0354233483413646,0.8379229415520194,7.6000000000000005
77,0.9896727753549001,1.0342300314769983,0.8364628687677258,7.7
78,0.9894971393554022,1.033338178338755,0.8358433789803811,7.800000000000001
79,0.9894392366464972,1.0329710930531522,0.8363829636865803,7.9
80,0.9893446526542881,1.03324346458532,0.8374272259363347,8.0
81,0.9891300937872229,1.0341694860893937,0.8379342618028082,8.1
82,0.9887276869217305,1.0356623607889726,0.837035714576092,8.200000000000001
