,Ti-Ti,Ti-Si,Si-Si,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.7000000000000001
8,0.0,0.0,0.0,0.8
9,4.6494015150903583e-07,0.0,0.0,0.9
10,3.4465057649116197e-06,6.91191891903865e-08,4.1471513514231914e-07,1.0
11,1.996203416258443e-05,6.368185833437376e-07,6.302309538587109e-06,1.1
12,9.012337519767755e-05,7.869419645213722e-06,5.354363403506236e-05,1.2000000000000002
13,0.00033456201859155066,6.141459142676849e-05,0.00032347127903079693,1.3
14,0.0010507387862958273,0.0003623187320316735,0.001537898953954421,1.4000000000000001
15,0.0028915688056786624,0.0017093900326536349,0.006015555230129045,1.5
16,0.007209330035098643,0.0067038815565023365,0.019721010389134187,1.6
17,0.016673114825599324,0.022113541201347137,0.05468978214926676,1.7000000000000002
18,0.03600808295273882,0.061826172875084205,0.12923173098212318,1.8
19,0.07212853845744036,0.1476286521827791,0.26214800140171135,1.9000000000000001
20,0.13255409984672373,0.303645592724892,0.4604609217912788,2.0
21,0.22198824994108846,0.5431794103344403,0.7076705150752245,2.1
22,0.33918603885345117,0.8540091221487264,0.9636520903970768,2.2
23,0.47723592568010226,1.1934855620789608,1.180071040515133,2.3000000000000003
24,0.6270370172180983,1.5007351370495479,1.3217554293559264,2.4000000000000004
25,0.7793669807184851,1.7210178541304213,1.3793049077438022,2.5
26,0.9231680908383062,1.8269911783590542,1.366672866018094,2.6
27,1.0449487751223991,1.8237638479474731,1.3092154244899508,2.7
28,1.1339266007911637,1.73810154622362,1.231700759855385,2.8000000000000003
29,1.1877682617969476,1.6029767993806956,1.1518892306558333,2.9000000000000004
30,1.211183393073104,1.4470918764529723,1.0798126135486743,3.0
31,1.2097099727055836,1.2912231513521384,1.0199246513632443,3.1
32,1.1869499268834072,1.148817595001826,0.9733931736063474,3.2
33,1.146699342920368,1.0279816012034817,0.9396359446690714,3.3000000000000003
34,1.094761876379891,0.9329614075831126,0.9174484249640459,3.4000000000000004
35,1.0376956270616813,0.8647159523710787,0.905688018386751,3.5
36,0.980570955384246,0.821541088748312,0.9030292511809119,3.6
37,0.9266052065825638,0.8003239633866628,0.9072509401995965,3.7
38,0.8787844925946448,0.7976639464259705,0.9155018970997509,3.8000000000000003
39,0.8409892335672231,0.810153361895937,0.9256710790173331,3.9000000000000004
40,0.8169928371284121,0.834215718204789,0.9372116054083117,4.0
41,0.8088801315505214,0.8661045311047654,0.9504807898831634,4.1000000000000005
42,0.8168047043289144,0.9020344969621625,0.9656315873425116,4.2
43,0.8395865071264716,0.9383285160268744,0.9820931699579318,4.3
44,0.8747360791548046,0.9717766367731719,0.9985586962975465,4.4
45,0.9179590442290333,1.0001929485604626,1.0132968250023202,4.5
46,0.9635030317061982,1.0225892277239423,1.0248759224701551,4.6000000000000005
47,1.0056257050663768,1.0386865259638165,1.0328106335535892,4.7
48,1.0400746451654268,1.0483816392826217,1.037418432933334,4.800000000000001
49,1.0645959524343702,1.0517515982951955,1.0391350335706195,4.9
50,1.0784421121999181,1.0493959249797187,1.0381725444856258,5.0
51,1.081641290618698,1.04268589156861,1.0347638223438183,5.1000000000000005
52,1.0749819475159963,1.0336484357708602,1.0294320808603437,5.2
53,1.0604844973043805,1.0244122169178698,1.0228777367085216,5.300000000000001
54,1.0409820956360898,1.0164996953869792,1.0157228812974999,5.4
55,1.018925824770933,1.0105524831285908,1.0084349945482936,5.5
56,0.9962538704549131,1.0066227214870687,1.0014105338546722,5.6000000000000005
57,0.9754366141185853,1.0045060636673186,0.9950225230664566,5.7
58,0.9593769189425942,1.0036576795361158,0.9896030629923782,5.800000000000001
59,0.9494320929165061,1.0030410452033778,0.9854751051046009,5.9
60,0.9442088767826482,1.0015545830852173,0.983023747537288,6.0
61,0.9410711644939541,0.9988932321779466,0.9825755106914814,6.1000000000000005
62,0.9383830600865412,0.9958876054869497,0.984074885414351,6.2
63,0.9359481960422958,0.9938721334923165,0.9869129915281767,6.300000000000001
64,0.9343315953060735,0.9937315118717768,0.990111810148372,6.4
65,0.9346517769526866,0.9954678646800201,0.9926921873290897,6.5
66,0.9383910388192631,0.9983753980655865,0.994061351826619,6.6000000000000005
67,0.9463339844882364,1.0014051072773145,0.9943052950441104,6.7
68,0.9574219158728282,1.0035752651029997,0.9941069602084188,6.800000000000001
69,0.9688704152671774,1.004435499437348,0.9941661317737924,6.9
70,0.9777084521713856,1.0042904844560747,0.9946511831471316,7.0
71,0.9826587994404445,1.0039277689105441,0.9953014862089319,7.1000000000000005
72,0.9847490377040494,1.004063680260722,0.9959843330733633,7.2
73,0.9858954065096244,1.0049304585441894,0.9969629558958282,7.300000000000001
74,0.9869194534424117,1.0062242040766007,0.9985862063414289,7.4
75,0.9873341071507538,1.0074372957819238,1.000769083591415,7.5
76,0.9869085906045238,1.0083161762793103,1.0028714459338497,7.6000000000000005
77,0.9865206679767825,1.0089583334643213,1.0041824261725134,7.7
78,0.9871331937329095,1.0094641799678248,1.0045413556075735,7.800000000000001
79,0.988686981692414,1.0096700880825709,1.004393838079362,7.9
80,0.9904676866154699,1.0092731089706417,1.0042356578993965,8.0
81,0.9921255727053279,1.0080494080213966,1.0041005997928372,8.1
82,0.9938632469581957,1.0059907766223453,1.0036169144610096,8.200000000000001
