,Si-Si,Si-Au,Au-Au,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.7000000000000001
8,0.0,0.0,0.0,0.8
9,5.9515686815209146e-08,0.0,0.0,0.9
10,6.00437121008336e-07,1.5925956934810596e-07,0.0,1.0
11,7.024264531537139e-06,1.896122243273849e-06,0.0,1.1
12,5.7626953303914114e-05,1.867084878449104e-05,0.0,1.2000000000000002
13,0.000343404588452798,0.00012548319524834198,0.0,1.3
14,0.001634959274424357,0.0006587413185978663,1.599176667421064e-06,1.4000000000000001
15,0.006447168368248183,0.002834393492430731,2.1255184043079898e-05,1.5
16,0.021303960798110352,0.010233023406881373,0.00015258500292338905,1.6
17,0.059389511538725015,0.031292414376967274,0.0008072984314344125,1.7000000000000002
18,0.14064834086733435,0.08156733351490553,0.0034157011941207322,1.8
19,0.28534985599859375,0.18232507579499674,0.011879842691844925,1.9000000000000001
20,0.5008393429050628,0.3519414020971941,0.034396232227079646,2.0
21,0.7689166793186946,0.5914950738422069,0.08386939601339934,2.1
22,1.0453101811743446,0.8740435344974216,0.17427100376581478,2.2
23,1.275859874084246,1.1490414026833966,0.31266931214976385,2.3000000000000003
24,1.4203729741042368,1.3628958930655848,0.4913894055193054,2.4000000000000004
25,1.4681039098532025,1.4823157782289236,0.6869562666016539,2.5
26,1.4361632583777564,1.504993022513372,0.8682868949888279,2.6
27,1.3557173196491463,1.4539345104356518,1.009622664108705,2.7
28,1.2570701566233609,1.3628411091356076,1.1001684328094,2.8000000000000003
29,1.1611399854654936,1.2618532871168573,1.1449704609780105,2.9000000000000004
30,1.078459811896454,1.1698526123527018,1.157856691506632,3.0
31,1.0125981261243167,1.0947069322694354,1.1525320320350763,3.1
32,0.9638941437395516,1.0377263504582162,1.1378122786144216,3.2
33,0.93131851071261,0.9974818015224953,1.1180709206866828,3.3000000000000003
34,0.9127989519125909,0.9715940941340474,1.0953081767246389,3.4000000000000004
35,0.9053654743861944,0.9575131090499035,1.0700758094176528,3.5
36,0.9058782610118263,0.9527513480362818,1.0424596119184701,3.6
37,0.9119196483715165,0.9546525548534333,1.0139387210331452,3.7
38,0.9219181698723637,0.9605053955322846,0.9875272271998774,3.8000000000000003
39,0.9345655661369041,0.9683066598858651,0.9653458562871917,3.9000000000000004
40,0.9485016148046699,0.9771791801481997,0.9472238553530197,4.0
41,0.9624844879989112,0.9866385945535366,0.9326314119121815,4.1000000000000005
42,0.9754535957751667,0.9955515459617618,0.9228922012864037,4.2
43,0.9863613776688858,1.002292826955448,0.9204453642075647,4.3
44,0.9942585039281068,1.0060046239544447,0.9264598969733179,4.4
45,0.9987346867527599,1.0073383109218765,0.9395272359645814,4.5
46,1.000257453599683,1.0078833303676487,0.9558450168424134,4.6000000000000005
47,1.0000325060804116,1.0090372344147276,0.9706816417433122,4.7
48,0.9994909553988248,1.0112865980163992,0.9809212432171839,4.800000000000001
49,0.9997025685475498,1.0142674784829402,0.9864484101799257,4.9
50,1.0009134311504928,1.0173318822238062,0.9884459038302683,5.0
51,1.0024499264878217,1.0199674268837855,0.9870373447596117,5.1000000000000005
52,1.0031943788509787,1.0217879150011222,0.9817276481052569,5.2
53,1.0024051468181143,1.0224605188904918,0.9735668582520104,5.300000000000001
54,1.0002963413880184,1.0218287589760702,0.965325580358217,5.4
55,0.9979904333770925,1.0200689537205172,0.9591251601521285,5.5
56,0.9967763943217292,1.01769446733898,0.9548622558248853,5.6000000000000005
57,0.997116018786867,1.0153526554294345,0.9517270632823674,5.7
58,0.9983372942393469,1.0134189037863117,0.9504982418542494,5.800000000000001
59,0.9993161671097803,1.0117293247519286,0.9530757221789519,5.9
60,0.9993175314163582,1.0098828541529252,0.9600364595321702,6.0
61,0.9982601460111062,1.0078709766829372,0.9696695760940818,6.1000000000000005
62,0.9965467327300784,1.0062711042160934,0.9790803490428399,6.2
63,0.9947336566125686,1.0057702551379186,0.9855166221113059,6.300000000000001
64,0.9931582903806059,1.0065481019423437,0.9875514503148763,6.4
65,0.9918216359322272,1.0080811929387974,0.9861760644455602,6.5
66,0.9906863024602084,1.0094786698904588,0.98431092953135,6.6000000000000005
67,0.9899729511354679,1.0100136693891621,0.9843054877877285,6.7
68,0.9900449417744767,1.0094385319477899,0.985971153676796,6.800000000000001
69,0.991043919641786,1.0080125441506156,0.9872225084073808,6.9
70,0.9927025262499334,1.006312612118071,0.9862833715644268,7.0
71,0.9945136171211267,1.0048405401523306,0.9831834886797999,7.1000000000000005
72,0.9960416840622965,1.003681675862907,0.9797288069969882,7.2
73,0.9970205173822948,1.0026629748420277,0.9785219251411124,7.300000000000001
74,0.9972292537343938,1.0018442590860206,0.98159669006668,7.4
75,0.9965302371967597,1.0016079869251366,0.9891139489640554,7.5
76,0.9951394951628533,1.0022477956307276,0.9990499308401009,7.6000000000000005
77,0.9936826296103385,1.0036540986166385,1.0083925174135422,7.7
78,0.992836799017279,1.0053522247549946,1.0148040363490973,7.800000000000001
79,0.9929200593438414,1.0066826346532767,1.0172688532746703,7.9
80,0.9937845951619029,1.0070598339284251,1.0156967578748235,8.0
81,0.9950425338161272,1.0062991715793288,1.010523566645843,8.1
82,0.9963971732595367,1.0047243972991844,1.0027860524666123,8.200000000000001
83,0.9977400061013282,1.0028796220572425,0.9942096109927958,8.3
