,Li-Li,Li-Si,Li-B,Si-Si,Si-B,B-B,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,2.0135081011275245e-06,0.4
5,5.718839577166934e-07,0.0,0.0,0.0,0.0,3.200189272942284e-05,0.5
6,4.222255870854997e-06,0.0,2.4655201238296216e-07,0.0,0.0,0.00034210938536493674,0.6000000000000001
7,2.4301379855255387e-05,0.0,2.252043668863494e-06,0.0,0.0,0.0022160087056644216,0.7000000000000001
8,0.00010876005584963254,0.0,1.7274118397812267e-05,0.0,9.343936031794914e-06,0.01108272204234335,0.8
9,0.0003970905373532535,5.852411089782423e-07,0.00010018009442838253,0.0,0.00010281665896356954,0.04485210786920269,0.9
10,0.001216140507806855,6.948375126293566e-06,0.0004706273843357835,1.1186156117375139e-06,0.0006816725734127573,0.1499471830428381,1.0
11,0.003219599000300955,5.071429182826566e-05,0.0018620849968496542,1.3518874670033315e-05,0.0034019517766684985,0.416960245145933,1.1
12,0.007609025952953696,0.0002762798449135145,0.0063112223767221925,0.00010481521119641676,0.013646292472293764,0.9690476956635591,1.2000000000000002
13,0.01649303684569523,0.001213377225492854,0.018420847168027485,0.0005833105161909312,0.04494972667323916,1.8920638518316,1.3
14,0.0332990495396728,0.004436476423614991,0.04655687676859015,0.00260264968929499,0.12300129982476653,3.1210554283228467,1.4000000000000001
15,0.06285144805891069,0.013732502315468556,0.10260286550055972,0.009599075973439196,0.2824486296560934,4.377550735388347,1.5
16,0.11054505314641538,0.03647479268498148,0.19895464325597814,0.029711897418286483,0.5497885155747635,5.263087235043502,1.6
17,0.1805170270804641,0.08408208171728576,0.3428083597465246,0.077874374777151,0.9168751068422708,5.4850645693743045,1.7000000000000002
18,0.273669758357175,0.17005390365909825,0.5298228751102787,0.17431362775881207,1.3251331999257514,5.034740125045301,1.8
19,0.38668238030299656,0.3049027626380737,0.7409219317495863,0.3363003017118896,1.6805947800075656,4.161914742285952,1.9000000000000001
20,0.5123507658832999,0.4896020462779796,0.9461609309361085,0.5649470299203979,1.8965649441313444,3.189962529441249,2.0
21,0.6409941162990552,0.711278802270835,1.1157731930921688,0.8355509803735218,1.9357163276993679,2.3463820345160062,2.1
22,0.7627916698248474,0.9445602110825331,1.2318330161490276,1.1008385198415171,1.8227123066139614,1.7168598236205836,2.2
23,0.8703969214865563,1.1586681333091566,1.2923259951697719,1.3083824214322637,1.6221361231473452,1.293042063574883,2.3000000000000003
24,0.9602006751182017,1.3267806687969226,1.3061858549136771,1.4226936674251829,1.4016692353902143,1.0328308647905526,2.4000000000000004
25,1.0312907253830934,1.4334513067924397,1.285434802215502,1.4384351116288183,1.206235955911173,0.8923080425489711,2.5
26,1.0835323815788886,1.4773915018134152,1.2408935314072738,1.3774461636326,1.0536995846126005,0.8355410915702782,2.6
27,1.1171418911174784,1.468927296379643,1.1825570469787423,1.2738361357737038,0.9445136567236369,0.8358757354857898,2.7
28,1.1336294422447908,1.423964330924394,1.120808531862672,1.1584217074214338,0.8727778759219512,0.8737340504168726,2.8000000000000003
29,1.1357200061962431,1.3582417359549228,1.0650298572154282,1.050860830179918,0.8323106365103462,0.9330852145236121,2.9000000000000004
30,1.1258971447725143,1.2845161549273283,1.0208278859998279,0.9601805978340463,0.8177509048975934,0.9991468824158017,3.0
31,1.1061284152204214,1.2120070143732409,0.9892587906664141,0.8894157489850005,0.8232673429226388,1.0575841547843092,3.1
32,1.0794021428230003,1.1462052467692927,0.9686753263506876,0.8395167122116979,0.8417733396101987,1.0947127298510109,3.2
33,1.0504398834720177,1.0889956556865046,0.9570021158094167,0.8101744083282335,0.8661271082673546,1.1006635722083717,3.3000000000000003
34,1.0240159184707054,1.0401556891632084,0.9528177764259272,0.7988863943552721,0.8909671927641527,1.0750085134405551,3.4000000000000004
35,1.0026323683611704,0.9996511390616899,0.9552771200112431,0.8010166037826894,0.9130110352735509,1.0288443196265833,3.5
36,0.9859178783937776,0.9686478316081412,0.9635232307461632,0.8115347775427338,0.9299835006501758,0.9784973328119638,3.6
37,0.9721440909407768,0.9483618630023942,0.9759804065044475,0.8266515559499484,0.9403126872107582,0.9357719602832179,3.7
38,0.960499833204975,0.9384434479531757,0.9901053407361871,0.8440614690287125,0.944215722150537,0.9038153267759652,3.8000000000000003
39,0.9521747307532369,0.9369116913937731,1.0033666301370312,0.8624135238453975,0.944549986732304,0.8805107076378588,3.9000000000000004
40,0.9492324320029276,0.9413432166816551,1.014847735321538,0.8811660991255661,0.945519740302828,0.8635084269102183,4.0
41,0.9524427823172432,0.9496015886042536,1.025433734061208,0.9007840004025819,0.9497269362485273,0.8519293528945272,4.1000000000000005
42,0.9602933581567116,0.9597014805049894,1.0359197862708065,0.9219794375162457,0.9565266076911453,0.8450275007832927,4.2
43,0.9699184472124308,0.969917721556619,1.045281619568659,0.9439083792638469,0.963690121616395,0.8410805364140883,4.3
44,0.9788850052255982,0.9794758576140717,1.0511165088863859,0.9636822419263662,0.9702673293495926,0.8382785915854083,4.4
45,0.9863417212584005,0.9886654634648465,1.0515151558454578,0.9786587727475606,0.9771106405839686,0.8362146581527271,4.5
46,0.9926743395542628,0.9978125327884512,1.0466161961420752,0.9889720969885203,0.9850612471846882,0.8357825200526644,4.6000000000000005
47,0.9982431367533849,1.00628212939485,1.0388760186292265,0.9969951029027873,0.9936491818837734,0.8372803982094602,4.7
48,1.0026961493772515,1.0127274385258003,1.0316539554843527,1.0045799271549054,1.0015391668701163,0.8392773112750366,4.800000000000001
49,1.0054551739751978,1.0161078226552769,1.026946912346283,1.011704415333368,1.0075287941406235,0.8400711160229215,4.9
50,1.006413628799266,1.0162763279421132,1.0244604513257256,1.01764424663024,1.011064686766362,0.8398943183996527,5.0
51,1.0060396127063735,1.0139149632739792,1.0226851314064411,1.0224173200765505,1.0123371681432334,0.8407937841870705,5.1000000000000005
52,1.005092928536287,1.0102743942136276,1.0202575529872948,1.0265213909275244,1.0121402691442032,0.8442564399505861,5.2
53,1.0043059527439295,1.0067526886070617,1.016459662520576,1.0296958989208749,1.0114403738136233,0.8496274537072666,5.300000000000001
54,1.0040878655386527,1.0041854474308984,1.0113569443080033,1.0305840684830956,1.0107981519102496,0.8548627539140164,5.4
55,1.0043323853117236,1.0024191016241086,1.0057988798451178,1.0278401772751111,1.0101711672533253,0.858057220164127,5.5
56,1.0045092521145507,1.0008244610104495,1.0010264235983217,1.021429134901793,1.0091917976594196,0.8582210296630446,5.6000000000000005
57,1.004069858952921,0.9992516318222961,0.9980926163128047,1.0128130389489236,1.0075051762646339,0.8555118939362771,5.7
58,1.002857540694159,0.9981979253406459,0.9974056851492573,1.0040338657896062,1.005147686655012,0.8509795484787335,5.800000000000001
