,Li-Li,Li-Nb,Nb-Nb,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,1.6739186827749423e-07,0.0,0.0,0.30000000000000004
4,1.091532095251664e-06,0.0,0.0,0.4
5,6.262349066712961e-06,0.0,0.0,0.5
6,2.836983564951719e-05,0.0,0.0,0.6000000000000001
7,0.0001056798919435212,0.0,0.0,0.7000000000000001
8,0.00034184319671565124,0.0,0.0,0.8
9,0.0009893558822488416,2.102534539264028e-07,0.0,0.9
10,0.0026278757579579148,1.9336474108558673e-06,2.5005451927872596e-07,1.0
11,0.006467531542181219,1.2819549017772178e-05,2.528262941366283e-06,1.1
12,0.01475578345841254,6.590649610800715e-05,1.9198029046169083e-05,1.2000000000000002
13,0.031161916608352314,0.0002765537918927785,0.00011680812263714237,1.3
14,0.0608321287062685,0.0009833411245834998,0.0005810111259088501,1.4000000000000001
15,0.10973479035098457,0.003015606777603505,0.0024364277628352183,1.5
16,0.1832165174508704,0.00810836914582848,0.008799397935085983,1.6
17,0.28426542405366023,0.019350383197939837,0.027545977368574857,1.7000000000000002
18,0.41212782947709664,0.04140956497030332,0.0748633747325415,1.8
19,0.5617423472895149,0.08011559720216338,0.17710267462192747,1.9000000000000001
20,0.7242731394087392,0.1410278079624987,0.36669784666746785,2.0
21,0.8885340300298451,0.22704144747589933,0.670063405524625,2.1
22,1.0425753374311366,0.3360540687472347,1.0913237502712032,2.2
23,1.1752520838650535,0.4603220090960186,1.6001108654259595,2.3000000000000003
24,1.2783696341196313,0.5881419920816598,2.1310690403145722,2.4000000000000004
25,1.3488811517536559,0.7068246087530526,2.5989900218306796,2.5
26,1.3890816504381387,0.8055978404456152,2.9270384095791426,2.6
27,1.4042468819421212,0.8777908482391016,3.0754611576924296,2.7
28,1.3999031476551966,0.9216883798402372,3.0529105212085907,2.8000000000000003
29,1.380461626369589,0.9396391931289001,2.9029707112397434,2.9000000000000004
30,1.3490326588824968,0.936366564322863,2.6778155082475843,3.0
31,1.3081119028401567,0.9178011305118015,2.418875732462095,3.1
32,1.2607119570975314,0.8903712026358932,2.153270233294581,3.2
33,1.210712734050456,0.8600285354458932,1.8991670195242807,3.3000000000000003
34,1.1620588631018647,0.8312248457441631,1.6701096428177005,3.4000000000000004
35,1.1179567114110571,0.8064325325307399,1.4755207925041531,3.5
36,1.0807026535394884,0.78638578095393,1.3196991235512494,3.6
37,1.051529831038175,0.7708490473533663,1.2015061389041,3.7
38,1.0302916521997283,0.7595821173196466,1.115684824058769,3.8000000000000003
39,1.0156844414894493,0.7530200887276898,1.0557003679909405,3.9000000000000004
40,1.0060859186058781,0.752248864066246,1.0165543185249684,4.0
41,1.0001757449553579,0.7583404523512541,0.995674706517256,4.1000000000000005
42,0.9969895904561165,0.7716041560668664,0.9916863561861482,4.2
43,0.9958232604575529,0.7913573285184989,1.0026669250552847,4.3
44,0.9962681071021566,0.8162293393408668,1.0251947510447763,4.4
45,0.9981681273904662,0.844502073513095,1.0543848617309786,4.5
46,1.0014109561938669,0.8741970624965738,1.0848705211025855,4.6000000000000005
47,1.0057638161971905,0.9032361234813286,1.112561747151829,4.7
48,1.0107991966235363,0.9300405284700864,1.1359516631643074,4.800000000000001
49,1.0158053208583753,0.9541173974115222,1.1554003824772985,4.9
50,1.0198980887478288,0.9758176876930106,1.1708301132561785,5.0
51,1.0224871972926606,0.995238996835412,1.1804464157121057,5.1000000000000005
52,1.0235939607257227,1.0114342265627911,1.1819421302147641,5.2
53,1.023520838522476,1.0230053999862614,1.174308061408471,5.300000000000001
54,1.0223381970690701,1.029510200845923,1.1581080637861887,5.4
55,1.0199339162854337,1.0319989947794959,1.134825111017008,5.5
56,1.0164316343100674,1.0321446395401002,1.106382878346638,5.6000000000000005
57,1.0122356900547502,1.0312081141807086,1.0744871317466593,5.7
58,1.0077100188062076,1.029887823328265,1.0399605161269654,5.800000000000001
59,1.0030288396079419,1.0286685090161751,1.0033229465120148,5.9
60,0.9982390701628988,1.0278701647266735,0.9662194928326836,6.0
61,0.9932497586048107,1.0274562501313447,0.931610661434392,6.1000000000000005
62,0.9878837655392154,1.0270950497298361,0.9022662438471803,6.2
63,0.982239991724257,1.0265062732677368,0.8793423898549595,6.300000000000001
64,0.976986673456424,1.025748812203208,0.8623131892002249,6.4
65,0.9729488370077385,1.0252771741883955,0.849808153177943,6.5
66,0.9703308709703823,1.0258404708872075,0.8405069078931678,6.6000000000000005
67,0.9686270089245778,1.028182011225919,0.8336943809380178,6.7
68,0.9673049963521944,1.0325848865277683,0.8293560638824892,6.800000000000001
69,0.966202750862819,1.0386425077861996,0.82777478510812,6.9
70,0.9652415762104897,1.0455043736880372,0.8289097865283465,7.0
71,0.9641988108921709,1.052358370035421,0.8320676820150568,7.1000000000000005
72,0.9629797249001242,1.058768082685066,0.8361389271435892,7.2
73,0.9619038354106464,1.0647037445017071,0.8402471983822428,7.300000000000001
74,0.961471129457867,1.070285637968494,0.8442979896908991,7.4
75,0.9618115282675522,1.075472659854474,0.8487149727231981,7.5
76,0.96254487484409,1.0799664240096942,0.8534139145437204,7.6000000000000005
77,0.9632445856535065,1.0834091593668935,0.857209639711611,7.7
78,0.9638490268384953,1.0856598074507278,0.8584965271878986,7.800000000000001
79,0.9645795773820767,1.0868785198391702,0.8563913599983045,7.9
80,0.9656672335032912,1.087368688960102,0.8510595982937741,8.0
81,0.9671751697701502,1.0873550019269105,0.8430818452487284,8.1
82,0.9688224946086855,1.086892246344032,0.8329805935215416,8.200000000000001
