,Li-Li,Li-Cu,Cu-Cu,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,3.394153392261482e-06,7.542563093914402e-08,0.0,0.6000000000000001
7,2.8046029803220878e-05,8.203574222592048e-07,0.0,0.7000000000000001
8,0.00016221974727303424,6.892138983145517e-06,0.0,0.8
9,0.0007283787893166417,4.280999113714e-05,8.184594416095352e-08,0.9
10,0.002645306857392053,0.00021532612490300494,2.541328033467876e-06,1.0
11,0.00788319250085584,0.0009064833177395526,2.599041420820779e-05,1.1
12,0.019708991920599876,0.0032649536116262086,0.00017835318706502503,1.2000000000000002
13,0.042379852626195695,0.01015548665630844,0.000930998532539898,1.3
14,0.08053556293480679,0.027487963955815795,0.003937427368404802,1.4000000000000001
15,0.13866584878462668,0.06517489819172645,0.01387441996460538,1.5
16,0.22016175091179388,0.13626319505041423,0.04122800518143786,1.6
17,0.32542393265407343,0.25289556236534727,0.10413069959228703,1.7000000000000002
18,0.4503367581196382,0.4195794067689984,0.2251829359048317,1.8
19,0.5868375009469693,0.6272696343026392,0.42033485776351404,1.9000000000000001
20,0.724802735421156,0.8532198340046069,0.6839566638780217,2.0
21,0.8533895323077724,1.0682063221073503,0.9817209130970208,2.1
22,0.9621179860566531,1.2464815093950041,1.2601872819177062,2.2
23,1.042878977162261,1.3718708486018742,1.468472206692858,2.3000000000000003
24,1.0925317202526006,1.4385044345048625,1.577515636219475,2.4000000000000004
25,1.114159726607785,1.4494696512382297,1.586524938672763,2.5
26,1.1151236301398655,1.415333372992269,1.5170852760131304,2.6
27,1.1028964623546085,1.3512473686904911,1.4013613832297271,2.7
28,1.0824709770746845,1.2723474771091534,1.2703783031556535,2.8000000000000003
29,1.056855720644178,1.1901462963474443,1.146316305401836,2.9000000000000004
30,1.0282852474325221,1.1121420176009775,1.0405880827035692,3.0
31,0.9983173045401823,1.0432964584075883,0.9565445116591597,3.1
32,0.9680231534723143,0.9867824827553071,0.8936134079579744,3.2
33,0.9391369647807748,0.943771226074182,0.8501330344654864,3.3000000000000003
34,0.9147189245988001,0.9137480887886738,0.8241580304484457,3.4000000000000004
35,0.8981279190651035,0.8955744060940072,0.8133153182879213,3.5
36,0.8912783271888713,0.8881989313350301,0.815051118687461,3.6
37,0.8937367054035981,0.8906311019891188,0.8273522431170848,3.7
38,0.9031067784459341,0.9017211965559327,0.8490102644526631,3.8000000000000003
39,0.9162119486120041,0.9199785434168412,0.8789524491741986,3.9000000000000004
40,0.9304504563591549,0.9433299749502483,0.9152483818491229,4.0
41,0.9447567742407229,0.9690847442044126,0.9546407756834794,4.1000000000000005
42,0.9597069426942696,0.9943586553533332,0.9930138294886997,4.2
43,0.9765631775910415,1.0166018267297583,1.0265203129397455,4.3
44,0.9954702216631258,1.0339633022401589,1.0525884896847035,4.4
45,1.013827191080824,1.0456259465492541,1.0701615002168459,4.5
46,1.026784287423714,1.0518984055579124,1.0792684500929153,4.6000000000000005
47,1.030487923854538,1.0536464164505608,1.080514038921772,4.7
48,1.0253373538600952,1.0515642877621887,1.0748935956693473,4.800000000000001
49,1.015745339171096,1.0461597636329771,1.0638680137001821,4.9
50,1.0065046976162297,1.038248666517394,1.0493571738365077,5.0
51,0.9994977235749901,1.029036234742314,1.0333538068674506,5.1000000000000005
52,0.9936763843957678,1.0195971311268406,1.0173378268754716,5.2
53,0.9875637523624429,1.0105277586763728,1.0020638915272184,5.300000000000001
54,0.9813408933455208,1.0022553802261733,0.9879435408295331,5.4
55,0.9766245242016487,0.9954007338334624,0.9755398513715979,5.5
56,0.9746240323685078,0.9904787855154823,0.9656548161559428,5.6000000000000005
57,0.9748318753384536,0.987407989647627,0.9590080526426447,5.7
58,0.9755267826117184,0.9857029893917886,0.9559160355741305,5.800000000000001
59,0.9753587572699269,0.9851236471380096,0.9562608043374817,5.9
60,0.9742592105268751,0.9859374352068299,0.9596755288215232,6.0
61,0.9730108439904762,0.98859587128532,0.9656498355952072,6.1000000000000005
62,0.9723145852484022,0.9931607964233468,0.9734993079797701,6.2
63,0.9722704635172492,0.9989252081680383,0.9823478661157732,6.300000000000001
64,0.9725581319574171,1.0046776675886102,0.9912132089000647,6.4
65,0.9730449441106315,1.009526587500753,0.9992277505524805,6.5
66,0.9740881524786552,1.0134070013903547,1.0058871380910215,6.6000000000000005
67,0.9761150982980328,1.0166652060614012,1.0110505789185797,6.7
68,0.978919820999497,1.019315439038167,1.0146957587058805,6.800000000000001
69,0.9815309823875521,1.0209380523029465,1.0167474697334757,6.9
70,0.9827513946620609,1.0212337020581836,1.0171335835665403,7.0
71,0.9818660683195093,1.0204275323843623,1.0159231683764363,7.1000000000000005
72,0.9792476873537623,1.0190441029321715,1.0134371908694568,7.2
73,0.9765091780287267,1.0173898706173394,1.0102208748805157,7.300000000000001
74,0.9756937880617774,1.0153394127465452,1.0067565676968164,7.4
75,0.9778070059192285,1.0126096011690635,1.0031761758800366,7.5
76,0.9819241414879147,1.0091907250258627,0.9993647680698685,7.6000000000000005
77,0.9856987666924265,1.005453615309005,0.9952920408208865,7.7
78,0.9868722169706347,1.0018608562311673,0.9911692158838171,7.800000000000001
79,0.9847614899903059,0.9986915220341505,0.9874004834909933,7.9
80,0.9807302956669501,0.9960698467661705,0.9844956067328539,8.0
81,0.9771511839405183,0.9941318348562155,0.9828973481922602,8.1
