,Li-Li,Li-Pd,Pd-Pd,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,7.299541209875969e-07,0.0,0.0,0.6000000000000001
7,5.7137055071901434e-06,0.0,0.0,0.7000000000000001
8,3.2627846205562345e-05,6.287300143662702e-07,0.0,0.8
9,0.00014795624584667261,8.431569361813062e-06,0.0,0.9
10,0.0005424004552337682,6.501911258074413e-05,0.0,1.0
11,0.0016656979285957717,0.0003664246099521411,4.9539822615501734e-08,1.1
12,0.004402643351507712,0.0016468146345527165,6.360080519023582e-07,1.2000000000000002
13,0.010330332386243047,0.0061226066378661705,6.0334146115411984e-06,1.3
14,0.022077408997274985,0.01912985492234452,4.689612155570302e-05,1.4000000000000001
15,0.043599001414737194,0.05079401042653854,0.0002777989651003975,1.5
16,0.0798730632140048,0.11574719289705494,0.0013313373394044056,1.6
17,0.1355031450457355,0.2287066571085306,0.005342958223908055,1.7000000000000002
18,0.2125605444055533,0.39631650506705096,0.01815012774439979,1.8
19,0.30919850695811546,0.6099417308358441,0.052431521013387605,1.9000000000000001
20,0.4203242371211044,0.8454664640577539,0.1293278026050577,2.0
21,0.5393727506102611,1.0715826291118349,0.27388557574578576,2.1
22,0.659001773081097,1.2612537382022238,0.5015259411088473,2.2
23,0.770652005744444,1.3988126485905168,0.8007748663848745,2.3000000000000003
24,0.8651846773018049,1.4797824675565678,1.1257745517676698,2.4000000000000004
25,0.9358996018259317,1.5068314107772987,1.4098036441993698,2.5
26,0.9819777122275386,1.4869852810667241,1.5952662478530941,2.6
27,1.0085006508229415,1.4313072912552296,1.659816497285569,2.7
28,1.0222662549019252,1.3539630556098694,1.6203081562462598,2.8000000000000003
29,1.0277028898326768,1.2685855329740547,1.5155824928351302,2.9000000000000004
30,1.0267029026676753,1.1845099523859852,1.3847372201068864,3.0
31,1.0208171521346276,1.106365570601295,1.254854801575007,3.1
32,1.0122694399225864,1.0364736918189517,1.1397720478950386,3.2
33,1.0032710381659378,0.9768971716884572,1.044229274565701,3.3000000000000003
34,0.9953550922058223,0.9296400283648074,0.9682963382273625,3.4000000000000004
35,0.9894670494807289,0.8959038266234847,0.9100833138736983,3.5
36,0.986190780355876,0.8755331346353102,0.8671016361705107,3.6
37,0.9854723577519471,0.8669007951779268,0.8373393105474313,3.7
38,0.9863046563301999,0.8672368789327398,0.8200115824010437,3.8000000000000003
39,0.9873475395000022,0.8735469178133226,0.8151096384412955,3.9000000000000004
40,0.9881682976449216,0.8838147854998235,0.8221645199929177,4.0
41,0.9895775234457879,0.8974995413264155,0.8398384219294933,4.1000000000000005
42,0.9925910139733695,0.9149430811035685,0.8664262275287768,4.2
43,0.9973309099208703,0.9363660577767197,0.8996638993261186,4.3
44,1.003133389683148,0.9611628396461527,0.9357873576320558,4.4
45,1.0095098830786173,0.9875332700931484,0.9700538232620387,4.5
46,1.0166607197422084,1.012505372540428,0.999231832132671,4.6000000000000005
47,1.024799967663569,1.0327704067630337,1.0232052647681469,4.7
48,1.0330378132968356,1.046199588056336,1.043496389144945,4.800000000000001
49,1.0391860968440323,1.0527827656186866,1.0604906833103211,4.9
50,1.0408887855824793,1.054013229770122,1.0725861069554152,5.0
51,1.037221405025863,1.051413948277911,1.0777633974793936,5.1000000000000005
52,1.0295683868023389,1.0457553345787352,1.0754592125764422,5.2
53,1.0208778162287502,1.0374851291465377,1.0670314433204817,5.300000000000001
54,1.013587318246388,1.0274196770877717,1.0548927187055712,5.4
55,1.0079057219489214,1.0166841705387535,1.041352851805089,5.5
56,1.0021427216222565,1.0061507930576206,1.0279337716329442,5.6000000000000005
57,0.9947279972335701,0.9963176530101746,1.0152640359374152,5.7
58,0.9858114596976039,0.9877666944484954,1.003442112546362,5.800000000000001
59,0.9770020404509692,0.9813826144296265,0.9926350685039124,5.9
60,0.9700245220885307,0.977906647934693,0.9833702529992939,6.0
61,0.9658697497846843,0.9773739711221305,0.9761657078491048,6.1000000000000005
62,0.9647942241335892,0.9791144331781636,0.97100627389179,6.2
63,0.9664271405935931,0.9822659908362867,0.9674532465340059,6.300000000000001
64,0.9698439889251979,0.9861732022480546,0.9652881572865064,6.4
65,0.9740211055218904,0.990342113691296,0.9649418801995582,6.5
66,0.9783426161589645,0.9942917545435772,0.9672707869174202,6.6000000000000005
67,0.9824636543128585,0.9976418422644298,0.9727425029376509,6.7
68,0.9858986784317477,1.000329602238422,0.9805807062265252,6.800000000000001
69,0.9881873692214762,1.0027299635836648,0.9887590857162565,6.9
70,0.9893754103749902,1.0055420480927528,0.9951599055997945,7.0
71,0.9898835334384185,1.0093423126083616,0.9990104234215905,7.1000000000000005
72,0.9899302726250134,1.0139910841841095,1.0012468682275621,7.2
73,0.9893809506646564,1.0184752058205098,1.0034238328864595,7.300000000000001
74,0.9880601220281435,1.021548435664775,1.0062401255267208,7.4
75,0.985928424249645,1.0226220404768163,1.0091098559620113,7.5
76,0.9831115339604659,1.0220151189585647,1.0109698443849178,7.6000000000000005
77,0.9800261354661788,1.0204023617872113,1.0112634036025578,7.7
78,0.9773429236989092,1.0181000642454776,1.0101909037953378,7.800000000000001
79,0.9755962082969576,1.0149215909220728,1.0082683356727393,7.9
80,0.9749161275642848,1.0107264187448304,1.005841476845632,8.0
81,0.9752214230467858,1.006005270680983,1.0030693622836047,8.1
82,0.9764843190401141,1.0017740550909218,1.0002324376426028,8.200000000000001
