,Li-Li,Li-Si,Li-Se,Si-Si,Si-Se,Se-Se,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
6,8.798322491147335e-07,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,6.5036586008281245e-06,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,3.615466941992474e-05,0.0,0.0,0.0,0.0,0.0,0.8
9,0.000156180518736163,0.0,1.7901085206901845e-06,0.0,0.0,0.0,0.9
10,0.0005516565609982436,1.5967326002452571e-06,1.406807276955029e-05,1.0644884001635047e-06,2.6612210004087617e-07,0.0,1.0
11,0.001613269344494045,1.6383165163171628e-05,9.066212365303824e-05,1.494269164236263e-05,6.631685846908064e-06,0.0,1.1
12,0.004057815313521318,0.00010862697481521606,0.00046204896562798464,0.00011652685693491694,5.960238169212081e-05,8.62235604132439e-07,1.2000000000000002
13,0.009186694666122644,0.0005439771103688407,0.0019223356493102473,0.000661406033771708,0.00036486326597368355,1.0705957630763548e-05,1.3
14,0.01939658945166841,0.0022059787420796386,0.00681881393396953,0.0029977817709794415,0.0017358714376695583,7.025284101964667e-05,1.4000000000000001
15,0.03848945425757251,0.007413192751941414,0.02094546692944308,0.011202248640681464,0.00673600494348257,0.0003510497544466024,1.5
16,0.07059567433753845,0.020968774918520647,0.056053768468414054,0.03515762850026763,0.021712435647391018,0.001408890894167155,1.6
17,0.11751750294190147,0.05065965526786337,0.13084376825513344,0.09360516405813574,0.058805541270923196,0.004626767584410419,1.7000000000000002
18,0.17719140541642003,0.10608559564052504,0.2668032200584808,0.2131585224843789,0.1352278781453042,0.012620670347278947,1.8
19,0.24612523650421556,0.19544064812836182,0.47762076026099265,0.4182854894042127,0.26681920629091854,0.02903791122992656,1.9000000000000001
20,0.32331496411890764,0.32131396866952344,0.7570427512925701,0.7128107528358013,0.4567383537170265,0.057324157930454235,2.0
21,0.4100788538611003,0.4774545371337006,1.0737486451833589,1.0643639796681506,0.6862416291062918,0.09891743619245721,2.1
22,0.5055967495215415,0.6484274199567229,1.3786528853444158,1.4079917503438144,0.916300481911905,0.15203746371988744,2.2
23,0.6039913126665482,0.813450093595706,1.6226455605996177,1.6725979945382714,1.1022852128047738,0.21216295608748661,2.3000000000000003
24,0.6963558441309777,0.9534943785420336,1.7749612364685519,1.8130867787883442,1.2137352384708402,0.2743243949640331,2.4000000000000004
25,0.7755394967854787,1.057428974934215,1.8307922049034961,1.8254999483464902,1.246422206376572,0.3360174734490643,2.5
26,0.8396783146391258,1.1232530663954938,1.8060075194407603,1.7387033171273256,1.2192508074138435,0.39853353027631966,2.6
27,0.8916432610542243,1.1552274152056474,1.7267439845157804,1.5946194268938936,1.1601108943460678,0.46541228890627306,2.7
28,0.9350989029978288,1.1606780628547817,1.6199891339236974,1.4318985141132037,1.092134113117988,0.5391155535124363,2.8000000000000003
29,0.9714196433019587,1.1478439809503307,1.5062955051963884,1.2783448942256515,1.0285409835032961,0.6185949541596797,2.9000000000000004
30,1.0003045235049983,1.1240366589875666,1.3971127301776234,1.1495182165977702,0.9752430678856426,0.6997485291607736,3.0
31,1.021978579925307,1.0945959811573358,1.2981786318730153,1.0505474074637677,0.9351008477908302,0.7781327838056437,3.1
32,1.0376126422662142,1.0633815717620196,1.2134593343651632,0.9799133837802265,0.9096780930736499,0.8510325055212248,3.2
33,1.047676691433834,1.0334207363556156,1.144369474125261,0.9334378610415687,0.8988671449515483,0.9172008571894485,3.3000000000000003
34,1.0505999102675028,1.0067800560520541,1.087875725114665,0.9064408855023435,0.9004432686560295,0.9755763506882686,3.4000000000000004
35,1.0440320753725927,0.9847862277386777,1.0389627431142767,0.8941687119903557,0.9105035640045942,1.0251694803571438,3.5
36,1.0282360825004282,0.9686995201271772,0.9952261955820814,0.8923557911004856,0.92474266822696,1.0661898600891608,3.6
37,1.007920368922845,0.9593983721338936,0.9579645412977498,0.8980448418776633,0.9398728279998028,1.1004499381801678,3.7
38,0.9900606859761124,0.9564204531210099,0.9295340975291722,0.9092739437481625,0.9542543368823243,1.1296819778591622,3.8000000000000003
39,0.980055565853047,0.9581202924202445,0.9110433133714919,0.9238040501665419,0.9674352727863879,1.1532658838578123,3.9000000000000004
40,0.9797857807995987,0.9627936530364956,0.9022223150868073,0.9387634878675456,0.9794066643348447,1.1679214743548707,4.0
41,0.9879618703704018,0.9692911761712635,0.9020778795750135,0.9517235104145295,0.9903046468896296,1.1697972334986424,4.1000000000000005
42,1.0010601376389856,0.9769395932013575,0.9090109557033074,0.9618345203219808,1.0002760741714725,1.1572994279286466,4.2
43,1.0143788420574198,0.9852775363600297,0.9206303701143324,0.9697088839603476,1.009138385756949,1.1331511767252263,4.3
44,1.0237228169150088,0.9936750042554522,0.9339010146108468,0.9762638145800032,1.016230738420016,1.1041661778022491,4.4
45,1.0271443227048032,1.0011254510722205,0.9459567798076479,0.9817646857010204,1.0207593259513643,1.078029334666605,4.5
46,1.025555290098648,1.0066188083027134,0.9551903684511822,0.9859806972049593,1.0222198279314767,1.0590788289223096,4.6000000000000005
47,1.0218777147754805,1.009610222216257,0.9616848915735998,0.9888476008268979,1.0206644732671148,1.046394855714195,4.7
48,1.0193062496178134,1.0100701697040941,0.9665680682155064,0.9905263576958867,1.0170354550581553,1.0353422868196338,4.800000000000001
49,1.019317717532495,1.0083849330407726,0.9709545757417068,0.9909591862261412,1.0132849583663113,1.0213665184401002,4.9
50,1.0206439525803765,1.005437792769911,0.9753655248814135,0.98972686159484,1.011641699450822,1.003508135536056,5.0
51,1.020587892916658,1.0025220351593258,0.9798163603606461,0.9864378188937636,1.0132042515375437,0.9849373895189872,5.1000000000000005
52,1.0176929619297876,1.000835683296049,0.984135193768794,0.9813458930765044,1.0171870769205151,0.97008335413469,5.2
53,1.0126861857419962,1.0009203043163106,0.988070675417847,0.9757861648151224,1.0217315079041713,0.9614583676510606,5.300000000000001
54,1.0069648753343345,1.0024573724299386,0.9911268703996999,0.9717902626545496,1.0254962970438668,0.9589564077342638,5.4
55,1.0009857275176122,1.0045941803423566,0.9925064269348106,0.9707623813304604,1.0284148867225973,0.961016532895782,5.5
56,0.9943924660274295,1.0066745216461706,0.9915561234396021,0.9723950713001711,1.0311920915354185,0.9653687943042638,5.6000000000000005
57,0.9871690860198242,1.0087640133783924,0.9883919706682862,0.9750039865240093,1.0343297213882416,0.9691030184221168,5.7
58,0.9801907725824034,1.0113722694033507,0.9841160061240065,0.9768001242189261,1.0374736160257139,0.9694424633330905,5.800000000000001
59,0.9745656337455659,1.014733570367442,0.9803677441176831,0.9767728004692582,1.0394088954081788,0.9654456754176616,5.9
