,Si-Si,Si-Sn,Sn-Sn,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.7000000000000001
8,0.0,0.0,0.0,0.8
9,0.0,0.0,0.0,0.9
10,0.0,0.0,0.0,1.0
11,1.6890438510925178e-06,0.0,0.0,1.1
12,3.997682887588904e-05,3.810905189027495e-07,0.0,1.2000000000000002
13,0.00034780192822952445,6.172065911364706e-06,0.0,1.3
14,0.002023991669143372,5.9024038760547034e-05,0.0,1.4000000000000001
15,0.009223949962230742,0.0003801649192590098,7.684244867604273e-07,1.5
16,0.03414027434237752,0.0018991334250694698,1.2067988917329642e-05,1.6
17,0.10395640420575077,0.007737681694629498,0.00010127540369524932,1.7000000000000002
18,0.2628300863974569,0.026293774109385035,0.0005909182956740175,1.8
19,0.5568498634050962,0.07514110692387099,0.002722856171053771,1.9000000000000001
20,0.9986262222907785,0.1817022982909391,0.010282435377990416,2.0
21,1.532233779581377,0.3742542474578693,0.03234312800064244,2.1
22,2.0339345457555886,0.6620110375270709,0.08548794452455671,2.2
23,2.363360021721842,1.016288745647087,0.19142932935059856,2.3000000000000003
24,2.4370236903427087,1.3720952172512408,0.3664824903726557,2.4000000000000004
25,2.2718151420070494,1.6553334054474234,0.6063153409666445,2.5
26,1.9657307279999536,1.81629292707279,0.8781604420647199,2.6
27,1.6333326636499719,1.844971267384834,1.130924250289714,2.7
28,1.3489343644873955,1.763944092398047,1.3184610091555644,2.8000000000000003
29,1.1343109776006517,1.61249210012709,1.4185560462701337,2.9000000000000004
30,0.9809674848996036,1.4334885991382638,1.4356217683184647,3.0
31,0.8745777498120129,1.2641008044456166,1.390779452778267,3.1
32,0.8046586781303703,1.1287759297556617,1.3100450035471696,3.2
33,0.7638362778614888,1.036133432043103,1.2167414161104473,3.3000000000000003
34,0.7462176356436497,0.9814326826035539,1.1281950718495817,3.4000000000000004
35,0.7476268227781974,0.9527488286984692,1.0549256867912276,3.5
36,0.7645889820037928,0.9373579440545527,1.0012241429718005,3.6
37,0.7916164145766239,0.9261948958110354,0.9665687169138567,3.7
38,0.8213777613046825,0.915800157897115,0.9473473041918234,3.8000000000000003
39,0.8484738773760749,0.9074379945533975,0.9385336018034666,3.9000000000000004
40,0.8712981201758634,0.903955001664427,0.9351450235201345,4.0
41,0.8895551796207994,0.9066783370688438,0.9334943506045732,4.1000000000000005
42,0.9020460489329353,0.9147373181238148,0.9320428059149796,4.2
43,0.9079940595243337,0.9263315063029567,0.9312218744730782,4.3
44,0.9091557488128134,0.9395636118598888,0.932175717543293,4.4
45,0.9098067448946346,0.9523998502159189,0.9354811015607118,4.5
46,0.9149368775165398,0.9632706280639779,0.9408939891926104,4.6000000000000005
47,0.9274407698769583,0.9720889060765624,0.9478451227982995,4.7
48,0.9455450734429242,0.9800047195519767,0.9557314128248924,4.800000000000001
49,0.9633001125616977,0.988006939225619,0.9637405741367515,4.9
50,0.9745921484804946,0.9961213063447139,0.9708529711834829,5.0
51,0.9764219321463844,1.0038893127787922,0.9763845085263186,5.1000000000000005
52,0.9685567822141828,1.011142700962174,0.9804688024776945,5.2
53,0.9524444238156905,1.018002518414661,0.9838092205585202,5.300000000000001
54,0.9321134714977954,1.024056130492643,0.9870896116698289,5.4
55,0.9141338362365368,1.0277481971954898,0.9908326303410766,5.5
56,0.9044542482497856,1.0271741368780194,0.9954655714655527,5.6000000000000005
57,0.9053638050717085,1.0220409839449611,1.0008732755825833,5.7
58,0.9151388769826271,1.0146720450678324,1.005868377726044,5.800000000000001
59,0.9288638914490728,1.0082799982704644,1.008680635926431,5.9
60,0.9399613064322278,1.0040056104088049,1.008329139968307,6.0
61,0.943642715032171,1.0003013601499933,1.0053108921659104,6.1000000000000005
62,0.9402470351190473,0.9953859392712214,1.0008177447977729,6.2
63,0.9347570584677802,0.9896055983705608,0.9957508739311484,6.300000000000001
64,0.9325148631146979,0.9851236499866426,0.9908177658255195,6.4
65,0.9351549447987807,0.9838821351678873,0.9869470900330571,6.5
66,0.9401976437640487,0.9863252322892521,0.9848948607966383,6.6000000000000005
67,0.9441773237168554,0.991773442802593,0.98471633764684,6.7
68,0.9460779599763172,0.999268120511243,0.9860576105363957,6.800000000000001
69,0.9477406477585947,1.0077256985043124,0.9886500206589539,6.9
70,0.9512835726075557,1.0156605519337376,0.9922403829161547,7.0
71,0.9568372009071979,1.0213998053203692,0.9964220258067392,7.1000000000000005
72,0.9629018005284661,1.0239013938581316,1.0007593949868647,7.2
73,0.9680073495406656,1.0233804661662549,1.0048060019106213,7.300000000000001
74,0.9715400709388038,1.020988806896105,1.0080020522163735,7.4
75,0.9734161189830433,1.0176952182835082,1.0098538336998608,7.5
76,0.9734966969424272,1.0135303320568394,1.010102496437171,7.6000000000000005
77,0.9714677534916278,1.0081014178126435,1.0086022943069972,7.7
78,0.9674758579561902,1.0017524588743205,1.0055085519383207,7.800000000000001
79,0.9624542008603382,0.9958545777701802,1.001839490203639,7.9
80,0.9571009461605283,0.9917459039027272,0.9993202514329436,8.0
81,0.9509970446706819,0.9895273057976909,0.9991535606902082,8.1
82,0.9436402549037962,0.9881145186470838,1.001004349046451,8.200000000000001
83,0.936107024738058,0.9864481183739687,1.0034105368648307,8.3
84,0.9310276977378813,0.98454976170192,1.0050256225249452,8.4
