,Si-Si,Si-Sb,Sb-Sb,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.7000000000000001
8,0.0,0.0,0.0,0.8
9,0.0,0.0,0.0,0.9
10,0.0,0.0,0.0,1.0
11,5.891647671601615e-06,0.0,0.0,1.1
12,6.880243749363089e-05,1.266002862766776e-07,0.0,1.2000000000000002
13,0.0004924468771725247,7.83017925707688e-06,0.0,1.3
14,0.0026156297063460988,7.811807781608848e-05,0.0,1.4000000000000001
15,0.011094248713248444,0.0005051244743873417,8.934613776299868e-07,1.5
16,0.03884641730110171,0.0024789538329018515,1.297667175941251e-05,1.6
17,0.11355281543043785,0.0098505321766512,0.00010468145852304928,1.7000000000000002
18,0.27911746460085307,0.03230758423852552,0.0006027647492233565,1.8
19,0.5805261398916846,0.0884984057127727,0.0027429979780390144,1.9000000000000001
20,1.0284161847323272,0.2045924312666665,0.01027169116238215,2.0
21,1.5641343547963749,0.40348755168819744,0.03211463353553574,2.1
22,2.0623918274888378,0.6868101958190184,0.08457543061408201,2.2
23,2.385260242737858,1.0219589337589596,0.18909474609782922,2.3000000000000003
24,2.45349509705323,1.347436983604447,0.362109808348631,2.4000000000000004
25,2.2831647967363473,1.5967374298983228,0.6001976799621039,2.5
26,1.9658882395860913,1.7261002073875442,0.872096879634805,2.6
27,1.613840799949506,1.729019680089707,1.1277319346723989,2.7
28,1.3095517289615144,1.6317210571032323,1.3203949365689958,2.8000000000000003
29,1.0872726705570372,1.47729257505778,1.4259760990822192,2.9000000000000004
30,0.9441073565532759,1.3093397002250848,1.446869915066167,3.0
31,0.8612544677345957,1.1602844141863207,1.4029220764645065,3.1
32,0.8189634532377434,1.0458783418434623,1.3204294474386358,3.2
33,0.8020997527473668,0.9669717682218865,1.2254311804820084,3.3000000000000003
34,0.8011869167093121,0.916247632500396,1.1391302555058787,3.4000000000000004
35,0.8115536227718955,0.8847582551554497,1.073178577695487,3.5
36,0.8303708300862673,0.8654279945824361,1.0280535988396007,3.6
37,0.8536440718621049,0.8541778586402612,0.997340485852169,3.7
38,0.8764886124411895,0.8496418715462092,0.9744167226515764,3.8000000000000003
39,0.8958938816226562,0.8518630500706597,0.9560613397369678,3.9000000000000004
40,0.9118710946887258,0.8606832190754168,0.9420281036571005,4.0
41,0.9255476091231063,0.8746825120542446,0.9330919873764223,4.1000000000000005
42,0.9371767865338039,0.8911967447395852,0.9295742268962547,4.2
43,0.9464416981992578,0.9073328223833967,0.9308645781884604,4.3
44,0.9538115436715097,0.9212734534123804,0.9357769572490904,4.4
45,0.9608820336566981,0.9327746460814014,0.9430064475144282,4.5
46,0.9694203425713926,0.9424523838862323,0.9510992823103258,4.6000000000000005
47,0.9795354568656284,0.9508586200255709,0.9583386936372567,4.7
48,0.9885398336777612,0.958501987817932,0.9633926503145025,4.800000000000001
49,0.992725955337568,0.9662766349679117,0.9665707598892139,4.9
50,0.990939797479673,0.9750104900014192,0.9701366223878242,5.0
51,0.9858787880720843,0.984249402465456,0.9765159338751084,5.1000000000000005
52,0.981939129135743,0.9919563964178312,0.9856781346668203,5.2
53,0.9820522786137174,0.9959821870628893,0.9945679189282014,5.300000000000001
54,0.9861571715748123,0.9958961606935299,0.9996070283452242,5.4
55,0.9923677246386043,0.993230405585464,0.9996859149979263,5.5
56,0.9991386485226342,0.9900537014901639,0.9965587676186469,5.6000000000000005
57,1.0055850875133492,0.9875737750533864,0.9929121799158745,5.7
58,1.0105607853964997,0.986042670473492,0.9906451887687675,5.800000000000001
59,1.0135645503667046,0.9855092075804307,0.9905125684266433,5.9
60,1.0166700897548857,0.9862597017769948,0.9924945183906051,6.0
61,1.0235426266621181,0.9885240375194574,0.9962346822850628,6.1000000000000005
62,1.0356577367043298,0.9919696764241878,1.001208525892247,6.2
63,1.0502931226527954,0.9957266507238726,1.006496360080033,6.300000000000001
64,1.0624731717782139,0.9990937114888045,1.0106807019544863,6.4
65,1.0679457407790733,1.0020738580515611,1.0125412827507037,6.5
66,1.0644898830791771,1.0049932434950348,1.0120027901015303,6.6000000000000005
67,1.0522833420503162,1.007684007353119,1.0099461420706475,6.7
68,1.0342518436488453,1.0093278777043984,1.0069294431735507,6.800000000000001
69,1.0152500155494584,1.0091786639120415,1.0026855139249893,6.9
70,0.9997910306052725,1.0073520461109025,0.9971681332678107,7.0
71,0.9901486265904235,1.0048328647988851,0.991476678978899,7.1000000000000005
72,0.9860054605315706,1.0027172449895587,0.9872846646555401,7.2
73,0.9849892823070663,1.0015515912421784,0.9857266436926098,7.300000000000001
74,0.9836814595657123,1.001357108823814,0.9870572168458215,7.4
75,0.9793472424364703,1.0019027337723325,0.9907957199263568,7.5
76,0.9713916954858184,1.0027023988086348,0.9956993918050785,7.6000000000000005
77,0.9612193287960724,1.0031133573778352,0.9999519493206126,7.7
78,0.9509663941506595,1.002898676238491,1.0021007976837624,7.800000000000001
79,0.9426093749142735,1.0025728423717044,1.002124470276058,7.9
80,0.9378349002029386,1.0029042765650038,1.0014038401392604,8.0
81,0.9379726056475632,1.0041497238157069,1.0015078334343912,8.1
82,0.9433581674713125,1.0058724140683115,1.003064120536838,8.200000000000001
83,0.9524375124828074,1.0073036224199532,1.0056909152301685,8.3
84,0.9619111970045698,1.0078759611071775,1.0086089349370817,8.4
