,Si-Si,Si-Bi,Bi-Bi,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.7000000000000001
8,0.0,0.0,0.0,0.8
9,0.0,0.0,0.0,0.9
10,4.6449247872441835e-07,0.0,0.0,1.0
11,8.388824218313902e-06,0.0,0.0,1.1
12,7.317623749097161e-05,8.062262309288118e-08,0.0,1.2000000000000002
13,0.00044359720195627923,1.0376152126262197e-06,0.0,1.3
14,0.0021101396246567235,8.00670256282926e-06,0.0,1.4000000000000001
15,0.008226272719734147,5.151866661427847e-05,0.0,1.5
16,0.026776073922706593,0.0002655927789977198,1.6796379811016912e-06,1.6
17,0.0735603316835972,0.0011421825708426562,1.528688767987387e-05,1.7000000000000002
18,0.172052580326767,0.00420089091232911,9.934162092023048e-05,1.8
19,0.34557067647418904,0.01330511359983973,0.0005009390810242856,1.9000000000000001
20,0.6015177240108709,0.036313977642714115,0.0020448610686565672,2.0
21,0.9167450996849386,0.08550262338332955,0.007007894323125506,2.1
22,1.2379371856327883,0.174379392168592,0.02047607572879072,2.2
23,1.5018352750022361,0.31044087173432,0.05163419188170632,2.3000000000000003
24,1.6629724474891312,0.48775102976029155,0.11335182809302255,2.4000000000000004
25,1.7100254039094918,0.6854923111691004,0.21847006815112824,2.5
26,1.6629729367588888,0.8749144258529387,0.373363033455943,2.6
27,1.5579358427929846,1.030431334637194,0.5725000484538765,2.7
28,1.4310126543633799,1.1376287339721025,0.7977455834510597,2.8000000000000003
29,1.3083189830060873,1.1945261341629168,1.0226780690115722,2.9000000000000004
30,1.203704599281117,1.2082063684724353,1.219672534753482,3.0
31,1.1214559486622238,1.1906630216474183,1.367101925882414,3.1
32,1.0602323807667626,1.1551540263089946,1.4543544275764295,3.2
33,1.0162358389331876,1.1130043039329967,1.4831920206202411,3.3000000000000003
34,0.9853377739375241,1.0719533133242738,1.4654827811708249,3.4000000000000004
35,0.9642772784553673,1.0365809167106443,1.4180325988792373,3.5
36,0.9509930530380547,1.00916118442419,1.3561741966458336,3.6
37,0.944313598827481,0.9898178209964038,1.2896758453656207,3.7
38,0.9433841193977531,0.9770151465304779,1.2236807040609299,3.8000000000000003
39,0.9471955896297309,0.9688902211366344,1.1623471763910957,3.9000000000000004
40,0.9543861184897463,0.9640178662515555,1.110518134094781,4.0
41,0.9633035979963827,0.9609527592458454,1.071828952712862,4.1000000000000005
42,0.9722293097631688,0.9579679925611055,1.045832015836404,4.2
43,0.9797376153561025,0.9540715387633508,1.028216025839985,4.3
44,0.9851101255462704,0.950022166757047,1.0146625660896569,4.4
45,0.9884234085411431,0.9477429207074416,1.003681539384354,4.5
46,0.9901413131246988,0.948615852582955,0.9955153087594206,4.6000000000000005
47,0.9907604811782089,0.9524341884290661,0.9902440572423747,4.7
48,0.9908762595580796,0.9578558922158202,0.987988930310308,4.800000000000001
49,0.9911751105593387,0.963715105187225,0.9892053707594892,4.9
50,0.991992793791566,0.9698157606972809,0.993222864537865,5.0
51,0.9930733623760467,0.9764972175257985,0.9970015341028898,5.1000000000000005
52,0.9939895343471499,0.9838691723073388,0.9967728277673923,5.2
53,0.9945460819154893,0.991854877673139,0.9915093514396753,5.300000000000001
54,0.9946725493311777,1.0005755192159589,0.9842913558953781,5.4
55,0.9943319536191415,1.010051532412133,0.9796659334745867,5.5
56,0.9937052451552257,1.0196389241360357,0.9796096451920039,5.6000000000000005
57,0.993138759296959,1.0282535796581593,0.9819002807434501,5.7
58,0.9927827619386881,1.0351810156175894,0.9821753968222883,5.800000000000001
59,0.9925081827806868,1.040366242683369,0.9775169308453074,5.9
60,0.9922306270693236,1.0438491910975611,0.9684139630269472,6.0
61,0.9920688102752612,1.0452212233733174,0.9579016822854433,6.1000000000000005
62,0.9920654771245853,1.0438703839194707,0.9495554492998739,6.2
63,0.9919185844846088,1.0396792468655676,0.9460988197348079,6.300000000000001
64,0.9911274902571111,1.0334239672621492,0.948450892910445,6.4
65,0.9893972509207948,1.0266710686975609,0.9548212715792297,6.5
66,0.9869238465813424,1.021275741377554,0.9609919512787303,6.6000000000000005
67,0.984360491647502,1.0185348262090381,0.9625017541124478,6.7
68,0.9824414564194899,1.0184375843332567,0.9574955981885742,6.800000000000001
69,0.9815035021551027,1.0196932861813033,0.9480341032906927,6.9
70,0.98135645054161,1.0205663449494946,0.9385706708385273,7.0
71,0.9815994357551314,1.0198597787633437,0.9327326364535398,7.1000000000000005
72,0.9819437939978138,1.0174817455728877,0.9314017396347984,7.2
73,0.9821857626049029,1.0143931754410656,0.9335730833074959,7.300000000000001
74,0.9820859370636583,1.011919340766486,0.9381672017578444,7.4
75,0.9815616919590424,1.01081811839826,0.9446423522986432,7.5
76,0.9809460892738329,1.0109602923199945,0.952478066313603,7.6000000000000005
77,0.9808162918048862,1.0119328916829446,0.960585714426165,7.7
78,0.9815289240778603,1.013726328219663,0.9672411295089787,7.800000000000001
79,0.9829760613695442,1.016609814403787,0.9711412134076216,7.9
80,0.9846790942018869,1.0205024984334037,0.973009609711957,8.0
81,0.9860332259831147,1.0248012531087778,0.9752799445189673,8.1
82,0.9866322633887814,1.0288527755137014,0.9792608178704371,8.200000000000001
83,0.9865476073639932,1.032365852256282,0.9832526432506982,8.3
84,0.9862305045208473,1.0353067120147315,0.9842724563088406,8.4
