,Li-Li,Li-O,O-O,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,2.0633275500057094e-06,0.30000000000000004
4,1.3336679142665112e-07,6.668339571332556e-08,3.772734177923166e-05,0.4
5,1.3242126280593878e-06,1.628029111107924e-06,0.0002921753882689142,0.5
6,8.458373740896175e-06,2.1550968291499304e-05,0.0015896975907474407,0.6000000000000001
7,4.236527946546992e-05,0.00016294723819525823,0.006830496604657884,0.7000000000000001
8,0.00017572542139735145,0.0009036531444848212,0.02382286538255683,0.8
9,0.0006154119924181325,0.0040069314060536595,0.0680049234859182,0.9
10,0.001873713515167852,0.01466126909398799,0.15985015088998328,1.0
11,0.005076987784670512,0.04482940039541891,0.31141530581484955,1.1
12,0.012401855931380575,0.11551490389501269,0.5067246940336868,1.2000000000000002
13,0.027408463309466786,0.25298176854659515,0.6953327278140079,1.3
14,0.05475227378890659,0.4754108437046234,0.8149362424577483,1.4000000000000001
15,0.09900544314265597,0.7750747210206029,0.8303925758747823,1.5
16,0.1632186147865009,1.1100833574139737,0.7549609776842421,1.6
17,0.24826140244918007,1.4164486740941529,0.6361516084560895,1.7000000000000002
18,0.35291307866399446,1.6350257982612717,0.5236546920922918,1.8
19,0.4736242719318107,1.735402134441128,0.4475580516021953,1.9000000000000001
20,0.6037518846862313,1.7228847326127583,0.416288925950094,2.0
21,0.7336475878153068,1.6285157460978685,0.42505007676739737,2.1
22,0.8527478538763602,1.4917364838948455,0.46429278554749737,2.2
23,0.952783575030402,1.3460961926422828,0.524708740161405,2.3000000000000003
24,1.0300610450538572,1.213112425185409,0.5990027518989625,2.4000000000000004
25,1.0855514673328954,1.1030090237066372,0.6814627710909678,2.5
26,1.122932876565376,1.0181282498880004,0.7669692178020857,2.6
27,1.1458194796297223,0.9561139016813114,0.8508312778440449,2.7
28,1.156283312687847,0.9123781193447875,0.9293606428677297,2.8000000000000003
29,1.155946039945168,0.8821915521637106,1.0001363845964666,2.9000000000000004
30,1.1478238068970432,0.8621839817716838,1.0615992886037697,3.0
31,1.135954881899678,0.8506137906087096,1.1125351480990724,3.1
32,1.1231309914334606,0.8464347519803477,1.151924943022475,3.2
33,1.1098049441634659,0.8483888931000197,1.17914035306403,3.3000000000000003
34,1.095184874467089,0.8551678254119606,1.1942614282336945,3.4000000000000004
35,1.0786871600596741,0.8660602721142948,1.1982296555038807,3.5
36,1.0603914516961903,0.880902746407726,1.192573407500294,3.6
37,1.0408770829161906,0.899353791083029,1.1788172706844384,3.7
38,1.0210399206464367,0.920434604928485,1.1581768146405165,3.8000000000000003
39,1.0020194545753556,0.9427172151640205,1.1318531181865377,3.9000000000000004
40,0.9851777677687985,0.9647583647778483,1.1015976620540413,4.0
41,0.9717877649973542,0.9853698138773573,1.069956038393552,4.1000000000000005
42,0.9624066244747174,1.0037015071396513,1.0398286988911527,4.2
43,0.9566501601584952,1.019254456245417,1.0134775108947311,4.3
44,0.9537360841579005,1.0317897940992196,0.9917686702163895,4.4
45,0.9530549801451703,1.04110737317932,0.9743209743248749,4.5
46,0.9541750073503358,1.046961870999791,0.9602644211327832,4.6000000000000005
47,0.9567153218052769,1.0494008643055648,0.9489094727182426,4.7
48,0.9604441366198067,1.049168134071286,0.9400975292020549,4.800000000000001
49,0.9652472048176752,1.047408493721325,0.9342101878807648,4.9
50,0.9708245761627359,1.0447821041320988,0.9318226493481622,5.0
51,0.976664682023442,1.0410803223503922,0.9331168514021017,5.1000000000000005
52,0.982501413564835,1.035821694446669,0.93737668439104,5.2
53,0.9886120652119355,1.0290427525678834,0.943092184917029,5.300000000000001
54,0.9953877170849964,1.021467123669075,0.9488841386455834,5.4
55,1.0025360277645659,1.0140691795775714,0.954485841358994,5.5
56,1.0087776457641873,1.0074814089807957,0.9607053521504336,5.6000000000000005
57,1.0125805362365627,1.0017319010063608,0.968423167078228,5.7
58,1.0134183141514448,0.9965936810537223,0.9777064912747747,5.800000000000001
59,1.012220103899425,0.9921411714031032,0.9877067177401913,5.9
60,1.0104863271479254,0.9888112701967026,0.9971905195844308,6.0
61,1.0090821708288413,0.986935069664368,1.0052297161131354,6.1000000000000005
62,1.007917348740488,0.9863425439519259,1.0115495110402606,6.2
63,1.0064796227424966,0.9864752159819976,1.0163350651047156,6.300000000000001
64,1.0043489032201172,0.9868873839563287,1.0198376236379205,6.4
65,1.0013651383958038,0.9875968425698928,1.0222237796128062,6.5
66,0.9977780876691567,0.9888771597443697,1.023625987514662,6.6000000000000005
67,0.9943579647980322,0.9907709312276302,1.024107046239378,6.7
68,0.9920310808425397,0.9929555580183657,1.0235937438442377,6.800000000000001
69,0.9911881622793453,0.9950554886023013,1.0220088170383017,6.9
70,0.991354783427576,0.9968859631132971,1.0195202837952761,7.0
71,0.9915646399489778,0.9983277987314342,1.016562539493342,7.1000000000000005
72,0.9911198173290054,0.9991202411251989,1.013537199993125,7.2
73,0.9901427658790664,0.9989773751247596,1.0105661229407998,7.300000000000001
74,0.989474081982609,0.9979412690588094,1.007590579036799,7.4
75,0.9900110701478337,0.9964886012821308,1.0046044596708628,7.5
76,0.9920649945881557,0.9952252545271073,1.00169190911192,7.6000000000000005
77,0.9952132067235725,0.9945345144520258,0.9989188597815163,7.7
78,0.9986444866622501,0.9945361531853304,0.9963328708028384,7.800000000000001
79,1.0016504837767406,0.9952506215215545,0.9940128187948505,7.9
80,1.0038984116952674,0.9966821971628581,0.9919275860906538,8.0
81,1.0053508408960812,0.9987725543939763,0.9898014739596421,8.1
