,Li-Li,Li-Si,Li-As,Si-Si,Si-As,As-As,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
6,8.529026777687293e-07,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,5.561624088975083e-06,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,2.8244257651090383e-05,0.0,0.0,0.0,0.0,0.0,0.8
9,0.00011460040192353309,1.4460979657670497e-07,0.0,0.0,0.0,0.0,0.9
10,0.0003675885660346798,2.748811477582662e-06,2.3217906228148745e-06,3.8696510380247907e-07,3.8696510380247907e-07,0.0,1.0
11,0.0009649036121900237,2.3857737264251313e-05,2.2549125710152266e-05,5.8806000990482086e-06,6.2279039595246715e-06,9.261436279372353e-07,1.1
12,0.0021847978449909267,0.00014604690705456372,0.00015173893326454274,6.061786231021609e-05,5.4733082878095363e-05,2.1502340625172096e-05,1.2000000000000002
13,0.004642415946013227,0.0007006844711931822,0.0007700748288535499,0.00040786764347204585,0.0003503065996235492,0.00015993199880988022,1.3
14,0.009972867113487608,0.0027651609638526323,0.0031848846359325135,0.0020871920748263286,0.0017229820960028258,0.0008684929473115458,1.4000000000000001
15,0.021740604628379515,0.009147574439039548,0.010968606177142279,0.008674783906329659,0.006955324581167321,0.003727900720942795,1.5
16,0.04572198294722278,0.025702537285342032,0.03203425785084016,0.029931048628863886,0.023476367097133195,0.012995411098652198,1.6
17,0.08882650835328712,0.06201551131411976,0.08030431789740124,0.0863224713744143,0.06673575293171598,0.03729058357107777,1.7000000000000002
18,0.15683986647548404,0.12987836052831586,0.17454641989741002,0.20913000183196023,0.1604529786411905,0.08932709684181166,1.8
19,0.25212731989790305,0.23869053833365841,0.3318217929554141,0.42812749385831245,0.3280566850760249,0.18134083653540864,1.9000000000000001
20,0.3724107626159901,0.3893024568857101,0.5562687379316877,0.7464237822067404,0.5748502602969293,0.31703664156728995,2.0
21,0.5107702597577009,0.5701108497749239,0.8295546789075765,1.1195508855918743,0.8728251515034513,0.4849199016273752,2.1
22,0.656175618331707,0.7588054667670667,1.1119373279090363,1.463165529670806,1.164696018026901,0.6585008668816736,2.2
23,0.7947819249964946,0.9295950399273436,1.3568034490221772,1.6926844316228737,1.388822950722314,0.8052771320573462,2.3000000000000003
24,0.9132371889715611,1.061987095142383,1.5299481347566168,1.7665796433637533,1.5067609333435332,0.9009892612254411,2.4000000000000004
25,1.0034584272356015,1.146756869185314,1.6201025908176836,1.7007320757951436,1.5148073209027586,0.9405226621646446,2.5
26,1.0653926424554063,1.187022153196737,1.635541859207368,1.5489186415310408,1.43753539028885,0.9371979411492425,2.6
27,1.1047461859327945,1.1944799463161946,1.5937138495246492,1.3707010049499275,1.3125951845297215,0.9118132584032254,2.7
28,1.1274847176212568,1.1827374640303807,1.5136367029824453,1.2088550514441863,1.175741902733811,0.881920457195122,2.8000000000000003
29,1.1362702672022353,1.1617975462435357,1.4138211452566949,1.0833028292144873,1.0517943704741,0.858357497358557,2.9000000000000004
30,1.1312464803562954,1.1369608622101584,1.3117453684687659,0.9962978675354962,0.9534370032260544,0.8465081641806562,3.0
31,1.1127495073271547,1.1110306947938988,1.2212440371062399,0.9410252051921963,0.8847134968651124,0.8478957392104376,3.1
32,1.082824369456782,1.0861955933760399,1.1488518783783186,0.9086261321468643,0.8444025954934962,0.8616575358812278,3.2
33,1.0452447975802808,1.064196246247404,1.0931055102311775,0.8918883645283737,0.8279322493314117,0.8856618572391819,3.3000000000000003
34,1.0050508444809305,1.0458969071745248,1.0487526266242673,0.885944252304226,0.8291512164410902,0.9159462836402231,3.4000000000000004
35,0.9678680474061847,1.0312848819700906,1.0120544007571997,0.887488777103051,0.8422602243570455,0.945669716426204,3.5
36,0.9388817335931826,1.019951285954644,0.9820720793636557,0.893997153539844,0.8627423395560254,0.9672304852423117,3.6
37,0.9212905486133041,1.011622069448412,0.958373176545178,0.9033140308465024,0.8870112124378092,0.9776480901560398,3.7
38,0.914389537134985,1.0062074300628976,0.9400010923611897,0.9136143215862119,0.911611492384647,0.9813803894124561,3.8000000000000003
39,0.9136536131169656,1.0035206365141123,0.9271090127120037,0.9238255184745854,0.933138877889427,0.9856909755348378,3.9000000000000004
40,0.9143332859269171,1.0033576539005635,0.921690559298114,0.9337923485356188,0.9494116608313837,0.9933117470866203,4.0
41,0.9148372102157483,1.005851819124704,0.925332921423825,0.9433892206741362,0.9608864746520657,1.0014380146291249,4.1000000000000005
42,0.9162952135451915,1.011314003862484,0.9367033042970353,0.9515024752862556,0.9704240048462368,1.0068892246045529,4.2
43,0.9201991630087313,1.0194249417141783,0.951843650696333,0.9565116967579382,0.9810893546911179,1.0094854839386544,4.3
44,0.9272905322355703,1.0285494618128586,0.9665429933624538,0.9580569903648457,0.9938797477724878,1.0110467841287145,4.4
45,0.9375405851663073,1.0360169649625859,0.9781885608851224,0.9580169555590392,1.0072494851071094,1.0139208533407527,4.5
46,0.9500689321568635,1.0395696245359767,0.9860148080387002,0.9590969652426986,1.0186069712274757,1.0200531917573705,4.6000000000000005
47,0.9629789854544165,1.0390386651695311,0.9904131645310522,0.9622214204732099,1.0261890703471244,1.028919717642845,4.7
