,Li-Li,Li-Si,Li-P,Si-Si,Si-P,P-P,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,1.8313328934974008e-07,0.0,0.0,0.0,0.0,0.0,0.5
6,2.3784721376729548e-06,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,1.6263064696635805e-05,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,8.454798218838381e-05,1.1334054895058374e-07,0.0,0.0,0.0,0.0,0.8
9,0.00035511171914945523,1.542261607116734e-06,4.417536136260812e-06,0.0,0.0,0.0,0.9
10,0.001235667950072815,1.2125125625719203e-05,3.883589305118715e-05,6.716476974849407e-07,2.686590789939763e-06,0.0,1.0
11,0.003635736388989454,7.570560428150008e-05,0.0002454493971196067,1.2216203125189013e-05,2.4752474109052933e-05,0.0,1.1
12,0.00923779218968777,0.0003754023101498978,0.0011888844533141489,9.945604363410187e-05,0.00017857202893016037,8.704554159404835e-06,1.2000000000000002
13,0.020708405237583303,0.0015516385558415327,0.004679228234980512,0.0005853639245173213,0.0009362271141738567,6.465611041601087e-05,1.3
14,0.04173713490970203,0.005475475808202636,0.015341005345199046,0.002717589463678306,0.003989374514924451,0.00033973898494846417,1.4000000000000001
15,0.07672140754359902,0.016633619934949585,0.042636974749072964,0.010344735660189517,0.014142736637946686,0.0014212732952331934,1.5
16,0.12990313994582198,0.04372784681612548,0.10183402072457848,0.0329405612864397,0.042249444127634594,0.004680549180649257,1.6
17,0.2041912783162142,0.09999259187720998,0.21148700341806023,0.08865066385522516,0.10693739230373411,0.012308114568483977,1.7000000000000002
18,0.3003634661531267,0.20033140793558574,0.38607142618957857,0.20322598461716246,0.23024378326230788,0.026206896183179878,1.8
19,0.41682245119919664,0.35500488076316045,0.626401974680776,0.39951697672530895,0.4236930868426298,0.04616405517574611,1.9000000000000001
20,0.5491444847803947,0.5625928534679179,0.913888223374665,0.6781381113078864,0.670648554716865,0.06927294247618328,2.0
21,0.689288842534554,0.8064612334512675,1.2129240225006443,1.0019983965163386,0.9208504573826534,0.0914772538522786,2.1
22,0.8260594540825563,1.0575006481911406,1.4803302352980272,1.302494730985159,1.1090950298009752,0.10923112596912858,2.2
23,0.9478631774962861,1.2823086655586662,1.6779812700007064,1.5100116322577855,1.1891759403548179,0.12039118282379785,2.3000000000000003
24,1.0461458950489875,1.452798069538436,1.7842833673509588,1.5877956227300016,1.1569674935374956,0.12584270853472473,2.4000000000000004
25,1.1171434268484872,1.5532160903770265,1.7990926875736635,1.544299420427988,1.0455802202761129,0.13020938926055212,2.5
26,1.1615265977147182,1.5829734937512137,1.7389254455839234,1.4196188413934159,0.9019082469979878,0.1384818092524335,2.6
27,1.1828719208243152,1.5548576846891806,1.6271937468704736,1.2612590319988042,0.7654893990428021,0.15242092218305606,2.7
28,1.1857717413530988,1.4887490756260542,1.4878371922382072,1.1055524445750975,0.6592542794573744,0.17299076164141766,2.8000000000000003
29,1.1743747171368475,1.4037585513876478,1.3436614633367543,0.9712540917368783,0.589759102979736,0.20501146475998133,2.9000000000000004
30,1.1520044559130764,1.3134043316979571,1.2139270665304185,0.8635032724905001,0.5528471625541033,0.25509458211663166,3.0
31,1.121702441188514,1.2253867502481577,1.1096717993320115,0.7815877521441101,0.540819309728193,0.32472644478759544,3.1
32,1.0869443381419563,1.1436639188585693,1.0316234492916265,0.723609750843137,0.547574925459091,0.4092330052181141,3.2
33,1.0518983473752623,1.070451911055369,0.9736448675891737,0.6867120685119422,0.5705376241990601,0.5036360401080905,3.3000000000000003
34,1.020853838062937,1.0074652072684065,0.9286020070547518,0.6668602309837625,0.6094426089015991,0.6046422336846399,3.4000000000000004
35,0.9968846774888146,0.9561997024151803,0.8925577422874208,0.6603398902660161,0.662571552784448,0.7058534097023459,3.5
36,0.9805793305096444,0.9173693976548786,0.8657864520729531,0.6650653819039899,0.7241739975500335,0.7969153588033201,3.6
37,0.9700959782975996,0.8905407778311083,0.8507586540559513,0.680241094088519,0.7869982669815904,0.8706961792464135,3.7
38,0.9629321179641421,0.8749001113855341,0.8487687594320197,0.7053657346267412,0.8472004512010537,0.9278690894661882,3.8000000000000003
39,0.9579274434092497,0.8702444640940856,0.8581039224132251,0.7394955777629323,0.905194641404344,0.9727029864654726,3.9000000000000004
40,0.9556054991700642,0.8766021338082636,0.8746485256561124,0.7807530550937856,0.9617846972160982,1.0080302666357204,4.0
41,0.9568850777770771,0.8926542490561644,0.8935561530007003,0.8260756613277452,1.0153118966306276,1.034845775486427,4.1000000000000005
42,0.9618393796721867,0.914953291387313,0.9112579183801163,0.8714897626326055,1.0626958321871396,1.0524671834062245,4.2
43,0.9695149784786576,0.9391813078300498,0.9271675635380263,0.9130513747862242,1.1015561693231168,1.0583514430186807,4.3
44,0.9784298057534822,0.9621563159932552,0.9430403171798134,0.9483332731574035,1.1310701942513401,1.0511936250910856,4.4
45,0.9871454813477224,0.9823702530938238,0.9600459217052285,0.9772045370665836,1.152116023777953,1.0337435182540278,4.5
46,0.9946988515998942,0.9990955213842417,0.9771641927230134,1.0008151957331481,1.1670411523812112,1.010213463490092,4.6000000000000005
47,1.0007830777760545,1.011909987298708,0.9925652469356794,1.0199858082871511,1.1786905000900232,0.9823753858269842,4.7
48,1.0055635861619097,1.0210082330122128,1.005246463897391,1.0348499337290817,1.1891116125141596,0.9504385059632012,4.800000000000001
49,1.0093315494224482,1.0270820702650245,1.0147802084273123,1.045245223555936,1.198857037301913,0.916318485158282,4.9
50,1.0122303823607681,1.0306478409732305,1.0205069813608223,1.050646287947958,1.2069793529695225,0.8839873719325376,5.0
51,1.014134683201485,1.0318165082210606,1.0219200203011694,1.0500637101288102,1.210644359519418,0.8569676031450616,5.1000000000000005
52,1.0148019646477868,1.0305386653968687,1.0196834366114575,1.0426954423332575,1.204960092386361,0.8374664768875508,5.2
53,1.0142236578404213,1.02672680653353,1.015696458806852,1.029116411096695,1.185537632250923,0.827842989907131,5.300000000000001
54,1.0126949986506841,1.0205105961715442,1.0118180965001435,1.0118324173853595,1.1532008639123106,0.8304337273254933,5.4
55,1.0104730818166001,1.012832064987815,1.0085324166864185,0.9943538044351019,1.115827941277699,0.8428595115265114,5.5
56,1.0075940489764947,1.0055499673384969,1.0050019636254022,0.979546325483722,1.0836082803417313,0.854764834792139,5.6000000000000005
57,1.0040765701887864,1.0003678225735317,1.0003090458671164,0.9689957328566055,1.0615289231113907,0.8533194699498075,5.7
58,1.000115482245946,0.9974866459887518,0.9945447474772425,0.9632759295612244,1.046707199640791,0.8333216555343712,5.800000000000001
59,0.9960568075356867,0.9956299932220025,0.9890311029311948,0.961808786404944,1.0330386671892864,0.8008965722590042,5.9
