,Li-Li,Li-Cu,Li-Si,Cu-Cu,Cu-Si,Si-Si,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
6,2.201350228199652e-06,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,1.866925310585867e-05,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,0.0001107248371957089,1.0533804802908498e-06,0.0,0.0,0.0,0.0,0.8
9,0.0005085784559672002,1.2280873601554609e-05,9.330982801192299e-07,0.0,1.8661965602384597e-07,0.0,0.9
10,0.0018905760494483503,8.548797983076672e-05,1.2410049866808728e-05,1.5813711901650278e-06,5.711336403804013e-06,1.3316810022442345e-06,1.0
11,0.005808464634175638,0.0004465537608520421,8.57426327248265e-05,1.8155289041704144e-05,5.7374286559852565e-05,1.256802793708044e-05,1.1
12,0.015039542851474633,0.001888148120398832,0.0004478415341486378,0.0001279856988636074,0.0003710773465102325,8.533879681103947e-05,1.2000000000000002
13,0.033603810754714136,0.00661798696419055,0.0018912355999664804,0.0006806143046790302,0.0018425572454987542,0.00044446415937280656,1.3
14,0.06641973464566828,0.019575739573995457,0.006589880562966499,0.0029124115554992154,0.007426324826350534,0.0018828978145197532,1.4000000000000001
15,0.11888698592617003,0.04960548322732497,0.019348453904831836,0.01034577604038167,0.02481789925366097,0.00668982477892109,1.5
16,0.1961139816119496,0.10916810900374978,0.048724312482902786,0.03099761522714898,0.06958786276630677,0.020284677168704187,1.6
17,0.3008688337345662,0.21120750689727083,0.10701452740789637,0.07923108219211135,0.16537955688344416,0.05299395046307828,1.7000000000000002
18,0.43047349833848975,0.36305117091573036,0.20781188250615518,0.17439902259058432,0.33652124383756205,0.11998327033760582,1.8
19,0.575237041062726,0.5597461349932963,0.36033534374598986,0.3334785987189713,0.5925849714549822,0.23653315150338128,1.9000000000000001
20,0.7208674858258691,0.7816777486498064,0.5619710917382136,0.5588605619767587,0.9132528113236646,0.4082237807999494,2.0
21,0.8535734876964536,0.9999097095141407,0.7940850229347787,0.8287085499193801,1.2466533245601334,0.6212242839766163,2.1
22,0.964081353051656,1.1866254706909214,1.026150338132042,1.0990736784876058,1.5269881262094542,0.8411981056943472,2.2
23,1.0481746928297435,1.323567961754718,1.2267037735152995,1.3197177931446018,1.7022133372946795,1.0247534545633128,2.3000000000000003
24,1.1044050783800499,1.4042396067028546,1.3733717013850262,1.4547956806720754,1.7540702183806365,1.1378638501119922,2.4000000000000004
25,1.131923608801282,1.4314204587321713,1.4564955186902384,1.4955080199942432,1.699238824937613,1.1701956634101083,2.5
26,1.1313776264312987,1.4135563937540212,1.4779476776439417,1.4581746104390103,1.5749028636805642,1.1368215778796027,2.6
27,1.1080926969239173,1.3621729556461277,1.4488817804321354,1.371699834537658,1.4207617840481073,1.0668368580486596,2.7
28,1.0726734747225475,1.2903035309532591,1.3865388044571847,1.2642419258015956,1.2671971513627138,0.9872341445139987,2.8000000000000003
29,1.035992472622891,1.2106115754244653,1.3090381484021696,1.1562398977482942,1.1320751792292014,0.9134014917547892,2.9000000000000004
30,1.003009430524687,1.1330942477405603,1.2303200048842002,1.0597895718829524,1.023366694616072,0.8506382233749066,3.0
31,0.9725010253714275,1.0639554566480354,1.1582529193240652,0.9805150097973464,0.9431381390386155,0.8006745687875035,3.1
32,0.9423644047295197,1.006258067675054,1.0957566869425794,0.9195665409320961,0.8899612542626968,0.7652854321949902,3.2
33,0.9134949770064635,0.9610425145054723,1.0430544985519816,0.8756447035819875,0.8598348117295049,0.7457294006844382,3.3000000000000003
34,0.8885383405628035,0.9278248354864241,0.999715998064563,0.8470412616952225,0.8472368056892331,0.7416389833729428,3.4000000000000004
35,0.8692469667697015,0.9049631011558985,0.9657664752985662,0.8328860154152699,0.8468659353452523,0.7513409569075619,3.5
36,0.8566374318355683,0.8908061284243268,0.9418608054353724,0.8326978237604058,0.8550673368485076,0.7725890199322776,3.6
37,0.8523534942465173,0.8850092653745114,0.929099559736498,0.8448049289810436,0.870021430043784,0.8027953815765894,3.7
38,0.8578424641509838,0.8884077952825419,0.9281373375136847,0.8657394907422047,0.8909557358274064,0.8393286255286586,3.8000000000000003
39,0.8722084868085423,0.901372278407771,0.9375783566687399,0.8917304271760639,0.9172070027078767,0.8801170497344425,3.9000000000000004
40,0.8920640945905466,0.9224787734550338,0.9536063990690321,0.9205289320777481,0.9475157418484422,0.9235633168625513,4.0
41,0.9135555128389408,0.9486386324518787,0.9720071428093502,0.9511483175978684,0.9795981355660531,0.9674245611269524,4.1000000000000005
42,0.9339627569197467,0.9760422670442549,0.99035853807029,0.9821094532690713,1.010305828049642,1.0079892081460977,4.2
43,0.9519027517464829,1.001166721739581,1.008080906890717,1.0107081391989425,1.0365436411042017,1.0408981630068557,4.3
44,0.9672208379185897,1.021693608998368,1.0250660404588812,1.0339604937201776,1.0563150299180322,1.0630079785056963,4.4
45,0.9805735565757372,1.0368997653209957,1.0405756822993975,1.049747127200081,1.0690290811579386,1.0733371445604143,4.5
46,0.9923320247188714,1.0470639532878938,1.0528066595693608,1.0573152923983522,1.0749702671371573,1.0726618953951514,4.6000000000000005
47,1.002020795764283,1.0524265247517899,1.059314428526638,1.0573917435813986,1.0746419806249314,1.06311048255342,4.7
48,1.0092151641379936,1.0527927598741487,1.0585352121950078,1.0518223855958964,1.0686579520804276,1.0479627786077916,4.800000000000001
49,1.0145140270323594,1.048180012621823,1.0511696983357879,1.0426333446063178,1.0580564170851248,1.030579909455543,4.9
50,1.0187946155854455,1.0397412915292301,1.0398436064223036,1.0313319515996724,1.0443801004701552,1.013151982106206,5.0
51,1.0215555857707086,1.0297901386996333,1.027494120540382,1.0191532950132518,1.0293239557111598,0.9968652621548266,5.1000000000000005
52,1.020783317176379,1.0206110814999767,1.016155631051907,1.0074704828228842,1.01437737209643,0.9829281139054399,5.2
53,1.014883946776583,1.0130632240343385,1.0066667296939305,0.9973499793416954,1.0007741520705626,0.9727979957016314,5.300000000000001
54,1.0045078812132877,1.0063166868404991,0.9988399960991715,0.9888376060875509,0.9896215510157366,0.9675846732573359,5.4
55,0.992283988268292,0.9991066121264554,0.9919930494477874,0.981220795583988,0.9818547113756753,0.9674267721974592,5.5
56,0.9810632217501771,0.991393826531155,0.9857985465558176,0.9741535098143058,0.9779015227129774,0.9709873349127024,5.6000000000000005
57,0.9726124358151169,0.9847384459201278,0.9807505612986793,0.9683493752593604,0.9774253251560282,0.9756340426803951,5.7
58,0.9676167317442022,0.980974206017716,0.9777297670045272,0.9651515608155123,0.979540448449628,0.9789681420821673,5.800000000000001
