,Li-Li,Li-Si,Li-Os,Si-Si,Si-Os,Os-Os,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,7.690831047957052e-07,0.0,0.0,0.0,0.0,0.0,0.5
6,6.672896772916445e-06,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,4.1189210065774706e-05,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,0.00019856448605604107,2.538575092001449e-07,0.0,0.0,0.0,0.0,0.8
9,0.0007823257956231422,2.667275337889006e-06,1.1243515978414718e-07,2.2487031956829436e-07,0.0,0.0,0.9
10,0.0025818229361960995,2.0420757070667662e-05,1.5354844305232343e-06,1.6669174521370254e-06,0.0,0.0,1.0
11,0.0073200898870022495,0.00011521468683189083,1.4445728262201605e-05,1.109489104890168e-05,2.61030214446243e-06,0.0,1.1
12,0.018148427188244227,0.0005306893450959967,9.090841643586056e-05,6.0453192682888625e-05,3.6517564840020374e-05,6.49875223552371e-07,1.2000000000000002
13,0.03989526300735202,0.0020482280232528003,0.0004490650875796635,0.00028373187900172586,0.0002898337668396113,1.4405834526225261e-05,1.3
14,0.07853100475267129,0.006754082479850716,0.00183121709266785,0.0011473415003012786,0.0016213471519696929,0.000125152899129275,1.4000000000000001
15,0.13960690769347228,0.019252220885264876,0.006267517531641846,0.004096816248999401,0.007206035116587763,0.0007436229130735394,1.5
16,0.22633539089863244,0.04782988239112914,0.018227823042142807,0.012861138101842978,0.026297982911357386,0.0034634498310722847,1.6
17,0.33842933430814093,0.10440456053463312,0.04558194246782231,0.0352048174310034,0.07979038231133607,0.013154547034200022,1.7000000000000002
18,0.47200646752769465,0.20185370247088305,0.09920425621823403,0.0835077735393184,0.20292446056216526,0.04145171235282189,1.8
19,0.6200218950071213,0.3486064854741472,0.1902318762265678,0.17153021877067426,0.4360429081307852,0.10957013869056259,1.9000000000000001
20,0.7729744597363518,0.5425791776431937,0.32509390256141535,0.30653127094241195,0.7987839956870647,0.24540320923818879,2.0
21,0.9199807305762092,0.7678770978942407,0.5003185921217042,0.4807983122271771,1.2602744523578155,0.4703991280253545,2.1
22,1.0502482449251735,0.9969408262347146,0.7005123589662955,0.6699756731489817,1.732041240532805,0.7797340222327213,2.2
23,1.1549523222662603,1.1983204771694937,0.9017691034666421,0.8419478728966906,2.0994699371877505,1.1300126972779538,2.3000000000000003
24,1.228908428504999,1.346909575418231,1.0788470480329349,0.9711888951954767,2.276022404070543,1.4494159165731273,2.4000000000000004
25,1.271278191455659,1.4312375957608579,1.211978070151411,1.048192635446017,2.2431399141503943,1.6692074480964736,2.5
26,1.2854308345414411,1.4545123605698496,1.2909546951687016,1.0784946699458902,2.0495399969925785,1.7556281417628383,2.6
27,1.278075640202726,1.4304325249719079,1.3164214003542578,1.075423023870576,1.77599461250077,1.7193642130258038,2.7
28,1.2567557715822884,1.3765080247173755,1.298193010361258,1.0533197353016308,1.4950855848665305,1.5998310850968396,2.8000000000000003
29,1.2264013984830278,1.3076082083810219,1.2506936764983123,1.0233792886738318,1.25051880538239,1.4413338106515574,2.9000000000000004
30,1.1882825076945254,1.2328729679676176,1.1878434249748908,0.9918267646110938,1.0583648326589956,1.277871118425292,3.0
31,1.1428741889445095,1.1572272112513144,1.1204087836689092,0.9610135322756757,0.9180344471801988,1.1296004951705292,3.1
32,1.0929495161688132,1.0847413483645876,1.0560772330299948,0.9325316111797589,0.8221272008563689,1.0053536768869682,3.2
33,1.0431084527820207,1.0201383049505304,1.0000579396415024,0.9091870731786738,0.7619282917903817,0.906765496654449,3.3000000000000003
34,0.9974028389125802,0.9678234633039488,0.955124611605829,0.8942590107401133,0.729875428465885,0.8325786510464265,3.4000000000000004
35,0.9586043222683635,0.9303011733262462,0.9218455555952564,0.8897909659082153,0.7204987612476438,0.7819956344956529,3.5
36,0.9287786120426738,0.907455601999581,0.8994886712106749,0.8957978284232629,0.7299968873139119,0.7556691076539235,3.6
37,0.9090326107169923,0.8971009261038912,0.8871216587936435,0.910548020856958,0.7547828814872786,0.7542405070456696,3.7
38,0.8988113737816436,0.8962726056487972,0.8841338815942531,0.9312835443888945,0.7905566397080531,0.776070220706581,3.8000000000000003
39,0.8961238565273408,0.9023047653194919,0.8898570704202737,0.9549326226271334,0.8328293181327925,0.8161902459728959,3.9000000000000004
40,0.8986739678971674,0.9133204429285042,0.9030232096515242,0.9787500350839388,0.8778664142453007,0.8674840543166095,4.0
41,0.9049193311066471,0.9283474697528045,0.9221020900982475,1.0007077413538863,0.922790917480567,0.9230698367001744,4.1000000000000005
42,0.9141531035109492,0.9470721020093527,0.945908804028652,1.019425708887134,0.9650491475852537,0.9774328095899184,4.2
43,0.9257966357019066,0.9690589405081004,0.9730894961965415,1.0339498907519058,1.0021647881167954,1.0255685574794504,4.3
44,0.9392149782442409,0.9929128947519753,1.0010353229675608,1.0438208482227116,1.032208555008643,1.0625375379408086,4.4
45,0.9544055239402469,1.016187566366533,1.0261528911917852,1.0492084095080405,1.0545338208445156,1.085141991189841,4.5
46,0.9718340098730789,1.0362093054382229,1.045615836034676,1.050434123156829,1.069737060132377,1.093664779924339,4.6000000000000005
47,0.9906356219195708,1.0510878555995367,1.05856945137222,1.0471603072286393,1.078575623983684,1.090964468498092,4.7
48,1.0074317024754311,1.060094135118077,1.0655741671027181,1.0385865360484554,1.0810240922372283,1.0798530268544708,4.800000000000001
49,1.0179868959119078,1.063366644380643,1.0673431030496563,1.0249654282097667,1.076683080228332,1.0619654299199244,4.9
50,1.020293980431915,1.0615999911529534,1.0642988238048439,1.0086477884104745,1.066080465539841,1.0391010259832838,5.0
51,1.0157492165252857,1.0559058313066336,1.0569819538442784,0.9930865179077597,1.0512565250316457,1.01479921238908,5.1000000000000005
52,1.0075771698964437,1.0475130263079722,1.046406701247888,0.9807583257076347,1.0349807636591764,0.9937688236889429,5.2
53,0.9987514710165641,1.0374542924854284,1.0339890645163012,0.9722527767031405,1.0195237468055365,0.9793477036786159,5.300000000000001
54,0.991210698105641,1.0266026663541008,1.0212883880396704,0.9669557734852001,1.0060335503510216,0.9714625251040037,5.4
55,0.9857819353007753,1.015910630585305,1.0097221759264499,0.9639309338495291,0.9946149884318131,0.9673211481386027,5.5
56,0.9821141172528585,1.0063952655980721,1.0002953263441288,0.9623961291566745,0.9848352137859473,0.9642522842048054,5.6000000000000005
57,0.9790396930813513,0.998725635644814,0.993410394765903,0.9622622357058691,0.976460323179307,0.9619610228509043,5.7
58,0.9754510914620707,0.992839043503894,0.9889009411144967,0.964241050626323,0.9698811754082363,0.9622354942389915,5.800000000000001
