,Si-Si,Si-Rh,Rh-Rh,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.7000000000000001
8,0.0,0.0,0.0,0.8
9,0.0,0.0,0.0,0.9
10,4.381771527574949e-07,6.572657291362421e-07,0.0,1.0
11,5.649469862173325e-06,1.1364717456907344e-05,0.0,1.1
12,4.7305194498020224e-05,9.731293388416354e-05,0.0,1.2000000000000002
13,0.0002862149479461315,0.0005835053593521428,8.692003928169085e-07,1.3
14,0.0013634753651726565,0.0027506045558483433,9.891781441509865e-06,1.4000000000000001
15,0.005368642282947844,0.010629543377343424,7.009468293715885e-05,1.5
16,0.01776814544382073,0.03429540690682298,0.0003778774458666236,1.6
17,0.04980719820228891,0.09331613803293283,0.0016314342030485148,1.7000000000000002
18,0.11895965269701503,0.2158575718329651,0.005857740496611065,1.8
19,0.24372779815495846,0.4278751975787072,0.017771139908210613,1.9000000000000001
20,0.4320647593632789,0.7329951151246547,0.04599069644187179,2.0
21,0.6698577355018651,1.0957970900626883,0.10243147303302332,2.1
22,0.9199057293230815,1.446045842858521,0.19822438836835501,2.2
23,1.1356258360488924,1.7076079903118102,0.33721419787228446,2.3000000000000003
24,1.2815717634330863,1.8334968052439873,0.5112820948308389,2.4000000000000004
25,1.3469225354094747,1.8225120572626914,0.700878803353312,2.5
26,1.3442361613670955,1.7099472741292254,0.8800422997794285,2.6
27,1.2976643579110254,1.5447422298673028,1.0236987188007622,2.7
28,1.230845884941956,1.3695956910520002,1.1157632296208906,2.8000000000000003
29,1.1607759294793223,1.2118134279814412,1.154354505239029,2.9000000000000004
30,1.0971104932203097,1.0835319192645458,1.1498170719813146,3.0
31,1.043920610473774,0.9865808094108164,1.117150995578113,3.1
32,1.0019953433192752,0.9178413071845505,1.0695560341291037,3.2
33,0.970737772391242,0.8728664625462135,1.017024083132953,3.3000000000000003
34,0.949115816543148,0.8474979215872616,0.9682801328167142,3.4000000000000004
35,0.9358586570136167,0.8381039412515439,0.9321236267174067,3.5
36,0.9295904294919819,0.8412551819446882,0.9158199560719246,3.6
37,0.9291786910514654,0.8536791413092226,0.9216103723387726,3.7
38,0.9339110553032607,0.8725992301841696,0.9448465433494033,3.8000000000000003
39,0.9431598214459687,0.8958239252416342,0.9761752968903123,3.9000000000000004
40,0.9558933039251614,0.9213517867428028,1.0064960638660467,4.0
41,0.9706135109555647,0.9470642491148031,1.0308360535031729,4.1000000000000005
42,0.9857304956213087,0.9709078613735426,1.0484493309998844,4.2
43,0.9999502101925166,0.9914135335373445,1.0602636312411065,4.3
44,1.0122712677349595,1.0080708438658288,1.0669910411943828,4.4
45,1.0217024923209685,1.0210986259852766,1.0690033209869785,4.5
46,1.0273250755485366,1.0306972452254253,1.0666104223027446,4.6000000000000005
47,1.0288807954824064,1.0365884668515468,1.0599121760159504,4.7
48,1.0271058151551578,1.0383430525044701,1.0487673063610672,4.800000000000001
49,1.023217389997358,1.0360524637971595,1.0331908107128602,4.9
50,1.0181604873055594,1.030628747309104,1.013879731837666,5.0
51,1.0124906697376284,1.0234625949987657,0.9923765118336363,5.1000000000000005
52,1.0067819007198227,1.015826230131034,0.9707165320953437,5.2
53,1.0017925984928324,1.0085861465110821,0.950967415002761,5.300000000000001
54,0.9981102508168963,1.002329968387227,0.934984293120544,5.4
55,0.9957026563406346,0.9974929037220325,0.9243185866264345,5.5
56,0.9939845105802175,0.9942680844696576,0.920149878361886,5.6000000000000005
57,0.9924129493746777,0.9925793561702229,0.923199005203935,5.7
58,0.9909672769079819,0.9922972436046642,0.9334300980741818,5.800000000000001
59,0.9900116019146218,0.9933664466978771,0.9493892230191218,5.9
60,0.9898226896501161,0.9955966590441152,0.9678673697067646,6.0
61,0.9903532421226852,0.9985147258396011,0.9846979217852703,6.1000000000000005
62,0.9913553668522791,1.0016030842932595,0.9963623219709196,6.2
63,0.9925918975067667,1.0045351047089084,1.0014534121458276,6.300000000000001
64,0.993944319917106,1.007081334892375,1.0013754986604864,6.4
65,0.9953874944194098,1.0089784673311213,0.9995493138024506,6.5
66,0.996866587303891,1.0100073948821686,0.99904201052797,6.6000000000000005
67,0.9982062780247214,1.0100605417576292,1.0003940564023703,6.7
68,0.9991908923969877,1.0091565546502634,1.0016107581157312,6.800000000000001
69,0.9997338944316808,1.0075585179513646,1.0001042356935754,6.9
70,0.999931140230753,1.0058471075098017,0.9946242761657873,7.0
71,0.999964528693521,1.0046855834867396,0.985851360214785,7.1000000000000005
72,0.9999721552449473,1.0044658951975391,0.9758053866770727,7.2
73,0.9999638690680819,1.0051849242190753,0.9669712245803828,7.300000000000001
74,0.9998395028640115,1.0065545010117982,0.9615313167410438,7.4
75,0.99948368788881,1.008117873107757,0.9604319574016431,7.5
76,0.9988729034701092,1.0092789691318111,0.9627984022396008,7.6000000000000005
77,0.9981069334956608,1.0093881857167328,0.9668451297098334,7.7
78,0.9973343321676874,1.0080870485385034,0.9713939746223638,7.800000000000001
79,0.9966714922162475,1.0057407923595818,0.9759675836631865,7.9
80,0.9961889592126766,1.0033809897360215,0.9798733893081871,8.0
81,0.9958788357570271,1.0019612679009842,0.9822255959470283,8.1
82,0.9956171367095753,1.0016474592769575,0.9829286855810945,8.200000000000001
83,0.995275910894655,1.0018543212328972,0.9831861120326632,8.3
