,Li-Li,Li-Ir,Ir-Ir,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,9.749897435893657e-08,0.0,0.0,0.4
5,9.680773728439707e-07,0.0,0.0,0.5
6,6.756624251617962e-06,0.0,0.0,0.6000000000000001
7,3.533229558058284e-05,1.5599835897429856e-07,0.0,0.7000000000000001
8,0.00015096312446846212,1.9084386444393816e-06,0.0,0.8
9,0.0005422883125678568,1.6867742815794243e-05,0.0,0.9
10,0.0016688178495927225,0.0001054169954450538,0.0,1.0
11,0.004477974419484381,0.0005186032016904608,0.0,1.1
12,0.010660405110807201,0.0021132213886361556,0.0,1.2000000000000002
13,0.022902149948397968,0.007257040539822866,2.586707482992194e-06,1.3
14,0.045084491557331206,0.02121232854747744,3.662912389605201e-05,1.4000000000000001
15,0.08225989530461848,0.053232554092713845,0.00027705800942102104,1.5
16,0.14006194154460644,0.1158480990764544,0.001522104732605733,1.6
17,0.22323058576807236,0.2212451811103179,0.006651119410057438,1.7000000000000002
18,0.3333652653264438,0.3756807877484669,0.023898473953278918,1.8
19,0.4668412870541569,0.5748554938117385,0.07156221270191612,1.9000000000000001
20,0.6143561239483718,0.8029334363072071,0.1803213165284251,2.0
21,0.7628603681294712,1.0356315793722153,0.386107639281921,2.1
22,0.899054212291755,1.2457498610580466,0.7099470101521393,2.2
23,1.0127475447388183,1.4092995376612427,1.133907202411744,2.3000000000000003
24,1.098660146309777,1.5109575867890344,1.5920261834470504,2.4000000000000004
25,1.156072303150287,1.5474414334468145,1.9877957109119908,2.5
26,1.1871318583489654,1.5271524003637347,2.2307231235965874,2.6
27,1.1954827004531337,1.4657177562590449,2.272757711024382,2.7
28,1.1857969782516118,1.3796815322178484,2.126344177606907,2.8000000000000003
29,1.1633494213918225,1.2822275042407683,1.8544350143812993,2.9000000000000004
30,1.1331855345537796,1.1830040997854376,1.538417172992421,3.0
31,1.0994921234896138,1.0899931697849508,1.2444849803193954,3.1
32,1.0655527618901255,1.010014743455501,1.0074060276839374,3.2
33,1.0338147847707522,0.9474266316174874,0.834317679736918,3.3000000000000003
34,1.0058347031451556,0.903154030697421,0.7178192045053908,3.4000000000000004
35,0.9825094016107618,0.8753342695149385,0.6469226345367761,3.5
36,0.9645930842449826,0.8610364670179846,0.6119832634599164,3.6
37,0.9528120162788324,0.8578696905727993,0.605557484175284,3.7
38,0.9473001254154976,0.8645160528798544,0.6215182470389233,3.8000000000000003
39,0.9470928080945306,0.8800019071744777,0.6535994898062333,3.9000000000000004
40,0.95045390683126,0.9025206777670717,0.6951939713327879,4.0
41,0.9558158121948104,0.9291475577023375,0.7413434225996804,4.1000000000000005
42,0.9624833888561007,0.9568991969425672,0.7901954776950113,4.2
43,0.970544267494812,0.9839494204931303,0.8412908931668255,4.3
44,0.9801477060292607,1.0095939260359232,0.8928700650428899,4.4
45,0.9907641101071067,1.033201595561384,0.9416885141044739,4.5
46,1.0009569992465288,1.0534665291033298,0.9844843532649616,4.6000000000000005
47,1.0088616966466533,1.0686189321507025,1.018357798309307,4.7
48,1.0131642496259403,1.0773307467423772,1.040540832987756,4.800000000000001
49,1.0138442128633467,1.079533267965678,1.0494029348040754,4.9
50,1.012032682770966,1.076367217619125,1.046012899959309,5.0
51,1.0092099449904728,1.069284050401358,1.034169892791748,5.1000000000000005
52,1.006460804025202,1.0592912230718836,1.0187180021760656,5.2
53,1.0040750996106669,1.0470360758704813,1.0033968023322453,5.300000000000001
54,1.0015768144804562,1.0332294857946265,0.9895833294406357,5.4
55,0.9983983653669564,1.018737559962766,0.9768560590913558,5.5
56,0.9947500610768908,1.004558962574088,0.9647395653695134,5.6000000000000005
57,0.9916593997052734,0.991971004642108,0.9534601225162204,5.7
58,0.9900184920296892,0.982319955966786,0.9434409186491574,5.800000000000001
59,0.9897930438193724,0.9762891663313207,0.9352357649036002,5.9
60,0.9903123886158982,0.9735490538401049,0.9301091314188503,6.0
61,0.9911181258122451,0.9732783872443729,0.9297573922244045,6.1000000000000005
62,0.9922786565850216,0.9747340428456993,0.9350671285530756,6.2
63,0.9939692386382385,0.9772565847519207,0.9451267930294585,6.300000000000001
64,0.9960133141050103,0.9802244705690385,0.9572893086903418,6.4
65,0.9979345002777658,0.9833315420041124,0.9685797189415892,6.5
66,0.9993624889674301,0.9867196206822921,0.9777133066127959,6.6000000000000005
67,1.0002460870446162,0.9906023313351021,0.9857206826622911,6.7
68,1.000677561501626,0.9948345839631084,0.9941642584565779,6.800000000000001
69,1.0007458256677983,0.9989662682630769,1.0028341142540111,6.9
70,1.0006820410645931,1.002623139994038,1.0096601205729498,7.0
71,1.000873700089018,1.00569961446614,1.012858428422441,7.1000000000000005
72,1.0014436031643377,1.0082805274793412,1.0126289607828525,7.2
73,1.001973456496892,1.0105360711639428,1.0107451068171702,7.300000000000001
74,1.0019153961787015,1.0125829710226517,1.009023187782031,7.4
75,1.0012206558039178,1.0142652694032754,1.0081251157531406,7.5
76,1.000334773001227,1.01514360551562,1.0072107085696569,7.6000000000000005
77,0.99961493401632,1.01482627323534,1.0045266075509613,7.7
78,0.9989833048637781,1.01321575530833,0.9987219658489052,7.800000000000001
79,0.9982030729961994,1.0104186521440661,0.9900212087473135,7.9
80,0.9973175350452792,1.0066738088755065,0.9802305911078486,8.0
81,0.996636688945702,1.0025245800569118,0.9714841546674144,8.1
82,0.9963131206700244,0.9988331547788782,0.9648682258333598,8.200000000000001
83,0.9961043001162116,0.996388971658517,0.9599608729393981,8.3
84,0.9956539220652278,0.9954791165604818,0.9552431708284661,8.4
85,0.9949001514184383,0.995813223869495,0.9490756009421567,8.5
86,0.9940815425793101,0.9967630189829322,0.9409651751349168,8.6
87,0.9934261556599739,0.997687406563357,0.9322292022027335,8.700000000000001
88,0.9929840084774723,0.9982139620212185,0.9252923877708641,8.8
89,0.992732564853971,0.9983932788116762,0.9223846582620757,8.9
90,0.9926920351413911,0.9986102238383915,0.9248420637577259,9.0
91,0.9929083555061871,0.9992670809415742,0.9329091114240463,9.1
92,0.9934177129650705,1.0005075647869628,0.9454407714242181,9.200000000000001
93,0.9942780599779276,1.0022563131465234,0.9598756084227414,9.3
94,0.995592312558573,1.0044673043076666,0.9731082652576568,9.4
95,0.99744680676808,1.007182577299144,0.9828455956573532,9.5
96,0.9997818552149588,1.0103396050176765,0.9884442393146572,9.600000000000001
97,1.0023020364598823,1.0136752822073984,0.9907872854468404,9.700000000000001
98,1.004557428668446,1.0168095536285466,0.9914401040670072,9.8
99,1.006166008714818,1.0193046800601326,0.9916382201903642,9.9
100,1.0069702183765066,1.0207083069283407,0.9917864244551146,10.0
