,Li-Li,Li-In,Li-Si,In-In,In-Si,Si-Si,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,6.197142894520133e-07,0.0,0.0,0.0,0.0,0.0,0.5
6,4.575390272072878e-06,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,2.4471963319690534e-05,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,0.00010516978623917139,0.0,2.0455413069802777e-07,0.0,0.0,0.0,0.8
9,0.00036037612942578273,1.8119673861140176e-07,2.0586474410438116e-06,0.0,0.0,0.0,0.9
10,0.0010199299980172567,1.1815511576786862e-06,1.5379059523145147e-05,0.0,0.0,6.464920673912978e-07,1.0
11,0.0024629879908343523,8.46639409975377e-06,8.624094301187361e-05,0.0,1.450577768938923e-07,1.2629008894032672e-05,1.1
12,0.005337765703098744,4.5703472295372204e-05,0.00039856209053965497,0.0,1.6004687433559618e-06,0.00010638118549521368,1.2000000000000002
13,0.010879825234918596,0.00020861392629366408,0.0015530558459862771,0.0,1.2159336863763624e-05,0.0006401379905089852,1.3
14,0.021387543988261877,0.0008224324551867571,0.0052059414890981365,8.655513629536383e-07,7.562979155184302e-05,0.0030350151043034516,1.4000000000000001
15,0.04042490704849357,0.002834333781568831,0.015189431883073451,9.207753912172137e-06,0.0003783867855917093,0.011772371644305323,1.5
16,0.07246388819819714,0.008552365594729562,0.03882759511803988,6.499250622871435e-05,0.001583018305285104,0.0382058582865096,1.6
17,0.12211062318831163,0.022596368206927772,0.08737213839339436,0.00034657140190559127,0.005678502529690983,0.10482885148382194,1.7000000000000002
18,0.19309067697752888,0.052475796278311365,0.17390171050529923,0.0015009781964931705,0.01753503370915958,0.24492263038730264,1.8
19,0.28667290971621245,0.10789524459051299,0.30799671276928847,0.005418040263283775,0.0466612913310021,0.490127239591109,1.9000000000000001
20,0.39948396219644056,0.1982015334582426,0.4893523263068455,0.016619869004286223,0.10725163581640948,0.8451165764449066,2.0
21,0.5225728363888086,0.3284436571459827,0.7045780670501344,0.043797130611966884,0.2141794581748888,1.2653568590591924,2.1
22,0.6441695335312538,0.49565580533408043,0.9299621936944176,0.09994283119108341,0.3750979914097568,1.663308612781856,2.2
23,0.7548833185988748,0.687514935693805,1.1387721996870848,0.1988937724864618,0.582822876263994,1.9487278640420027,2.3000000000000003
24,0.8503361658973562,0.8845761815465945,1.308884759756345,0.3479453078996444,0.8134125799872581,2.073575812027053,2.4000000000000004
25,0.9291733490807085,1.0653120937529494,1.4269506296080385,0.5406627149553944,1.0322410242808484,2.0461283298892177,2.5
26,0.9905063548608188,1.2116245788318352,1.4884764152375791,0.7563022118767107,1.2058824933836843,1.9114097504177565,2.6
27,1.0343149575798227,1.312885607574723,1.4963635319164033,0.9672740646367087,1.3141259625190405,1.7228490451613816,2.7
28,1.0628203501429596,1.3675262656188736,1.4600309650514707,1.1484271919148894,1.3555663497991646,1.5244117308348608,2.8000000000000003
29,1.079759019275158,1.3815444742818987,1.394012981767042,1.282010868741762,1.343908151220171,1.3441318857835987,2.9000000000000004
30,1.0882933847348308,1.3645993399471033,1.314415999628354,1.3590624891527556,1.2984664431528756,1.1941191012325667,3.0
31,1.089895869719543,1.3264193409667573,1.234591311705725,1.3805807691403573,1.2359640638141292,1.074942635972866,3.1
32,1.0847368018757875,1.275560581648007,1.162763693826475,1.3577560620786693,1.1680003364586378,0.9822710117024669,3.2
33,1.0726321398830359,1.21961826254141,1.1020260474199295,1.3082656909512609,1.102660291900002,0.9120856011752662,3.3000000000000003
34,1.0542804817728586,1.164925233450619,1.0516232955465978,1.2489553647436582,1.046047085941725,0.862231059105438,3.4000000000000004
35,1.0322100298122525,1.1154648458299274,1.0092602907274641,1.189821223486589,1.0019666410180748,0.831229129504542,3.5
36,1.0101316350014833,1.0724286840006885,0.9738428719873188,1.1338210321015847,0.9711843374772461,0.8171502755048471,3.6
37,0.9909250371271914,1.035243231978306,0.9466481137224281,1.0811850368926283,0.9519589111875268,0.8178156368169172,3.7
38,0.9753114575422684,1.0031151004024548,0.9297693033947627,1.0327925682153274,0.9417067730366147,0.8310552040211745,3.8000000000000003
39,0.962356412257441,0.975830990864097,0.9236363522246518,0.9901276229746784,0.9383777158514,0.8538225688779604,3.9000000000000004
40,0.9509754199713418,0.9536271913863311,0.9265058736922028,0.9543487632808326,0.9404670435857405,0.8813944204382378,4.0
41,0.9411857659319626,0.9366762017222672,0.935901676836812,0.9265774365941304,0.9460263912779251,0.9086360905515689,4.1000000000000005
42,0.9343928142772344,0.9248331204630589,0.949658499955032,0.9081622919444966,0.9523251032263153,0.9325836678752036,4.2
43,0.9324582633188203,0.9181029564436256,0.9657789417509165,0.8998053094689159,0.9571107040867001,0.9533174046644062,4.3
44,0.9362583188445668,0.9170189730095631,0.9823552307255282,0.9006028839086428,0.9602910171747214,0.9720437561312444,4.4
45,0.9449660247830519,0.9218246937807607,0.9977965843959576,0.9080109422878699,0.9638778487931122,0.9887351097926917,4.5
46,0.956488110677052,0.931370099680898,1.0107117737139317,0.9187392005041599,0.9698616206888038,1.001744062326863,4.6000000000000005
47,0.9685022726694358,0.9434963122165301,1.0199784441500614,0.9302162110864006,0.9784044039675122,1.0091955896266698,4.7
48,0.9792083226448168,0.9564112126058566,1.0256132015898465,0.9416638776674048,0.9882378060331671,1.0103616927754222,4.800000000000001
49,0.9874177836074572,0.9693121496348626,1.0291367100668296,0.9538104068821248,0.998172509288594,1.0059215327731714,4.9
50,0.992442442242681,0.9819155479176064,1.0324026866782525,0.9675897343797737,1.0075466731302682,0.9973498599765757,5.0
51,0.9942044217062,0.9937999684848545,1.0360794016714023,0.9831946226794899,1.0155326477668807,0.9863535734543318,5.1000000000000005
52,0.9934310139065787,1.004240978820867,1.0393459223280617,0.9998658789394589,1.0209005196030965,0.9747907365524902,5.2
53,0.9914874459203793,1.012421625554805,1.040847836612341,1.0159601179056217,1.0228134706674403,0.9645835229601377,5.300000000000001
54,0.989740655353558,1.0176395696071283,1.0398886733882884,1.0292159124021396,1.0215028597599514,0.9570004856828175,5.4
55,0.9888743475038814,1.0194484023186332,1.0368357860549617,1.0374389930673895,1.0179402205463923,0.9517593300374031,5.5
56,0.9887213769791813,1.0180102061418603,1.0325700373831488,1.0395366641646304,1.0132563075811087,0.9472043329617567,5.6000000000000005
57,0.988676838761502,1.0145031735332088,1.0277711644390786,1.0362593108318392,1.0087849551802168,0.9419676601391076,5.7
58,0.9882495608257795,1.010836663089319,1.022695567762579,1.0295976286580018,1.0060615451365402,0.9366843147366736,5.800000000000001
59,0.9872806237289159,1.0085560723415783,1.0173694491524878,1.0213117979069013,1.0059582315469924,0.9337531671056911,5.9
