,Li-Li,Li-Cr,Li-Si,Cr-Cr,Cr-Si,Si-Si,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,7.214602916367404e-07,0.0,0.0,0.0,0.0,0.0,0.4
5,5.933982857112206e-06,0.0,0.0,0.0,0.0,0.0,0.5
6,3.614905995498745e-05,1.325131147904217e-07,0.0,0.0,0.0,0.0,0.6000000000000001
7,0.00017532497527085835,2.0184305192386654e-06,0.0,0.0,0.0,0.0,0.7000000000000001
8,0.0006940952041470871,1.5060566948414883e-05,0.0,4.058214140456665e-07,0.0,0.0,0.8
9,0.0023353814906931507,8.624626401919938e-05,1.797409723108834e-06,7.139812343920475e-06,0.0,0.0,0.9
10,0.006826280412089799,0.000391614668250978,1.9416160133640562e-05,6.294130693025502e-05,8.817848008893494e-07,0.0,1.0
11,0.017663781647268586,0.0014775633282454943,0.00013215070509873202,0.0003810241277612106,1.114592258970894e-05,2.877847146695031e-06,1.1
12,0.040876218025980106,0.004719436443245065,0.000677277962774299,0.001803678621887698,8.782704839870214e-05,3.3310560178953094e-05,1.2000000000000002
13,0.08502274341158571,0.01293549747158487,0.0028004625907255025,0.0069867425037751845,0.0005009779427230297,0.00023725994629410243,1.3
14,0.1595554665329179,0.030769864514565284,0.009587302899155022,0.022540425254771387,0.0022956102240731303,0.0012454442502170251,1.4000000000000001
15,0.27149940088850016,0.06418454259290667,0.027588102660606288,0.06113227575001993,0.008709742531221316,0.0052560907565577745,1.5
16,0.42187898902969256,0.1187126496294518,0.06754181063519184,0.1406127651591367,0.027865069497262838,0.018293206645341058,1.6
17,0.6039860360416711,0.19711370570956238,0.14235653172451376,0.2771005442135955,0.07596376594061191,0.053206913360617066,1.7000000000000002
18,0.8045853020176418,0.2978931143694011,0.26159418581374805,0.47376130921886017,0.17785512379813723,0.13051397647503857,1.8
19,1.0069827822363482,0.4157225601721849,0.4249855622689668,0.7137648715066743,0.36018078878103493,0.2723125393969837,1.9000000000000001
20,1.194076045213524,0.5432176173021971,0.6197988897954976,0.9653203828884243,0.6353794533664936,0.48760137883681465,2.0
21,1.3505896478022013,0.672337144527964,0.824405472448483,1.1958739084684649,0.9839312101720511,0.7566737949615032,2.1
22,1.4647397908538766,0.7943914852435257,1.0151890497640907,1.3834680692203505,1.3500318138980407,1.0290477555713209,2.2
23,1.5299041336132033,0.8999455127292922,1.1722852531505081,1.5178978307533058,1.6601797517496084,1.242643492413228,2.3000000000000003
24,1.5465268843954376,0.9805347770916567,1.2826938777158292,1.5961130274531632,1.8552702950542612,1.3538517280150117,2.4000000000000004
25,1.5229324535255508,1.0316092171108675,1.3417364025543592,1.6198967934684412,1.9140088918523426,1.357012054252564,2.5
26,1.4727504320228368,1.054039786606311,1.3530989591480356,1.5969404533485319,1.8537482257414986,1.2805053950498781,2.6
27,1.4094578384130982,1.0528571439604952,1.327122047664237,1.5401975997430926,1.7135877236252437,1.166203398082895,2.7
28,1.342280117455836,1.0346647730193397,1.2775333965475402,1.4627979630006889,1.5345570968575624,1.04918143698548,2.8000000000000003
29,1.2762321548912643,1.0057789673491546,1.217432049088833,1.3722541730900197,1.3482369566580845,0.9488738110349985,2.9000000000000004
30,1.2141453536677909,0.9717226189307284,1.156192065073333,1.2695763529171018,1.175452001333065,0.8713369461788606,3.0
31,1.1577366689787147,0.9373884216891146,1.0988946951120073,1.1543771385766435,1.0292912301881219,0.8156346948671271,3.1
32,1.107753420001763,0.9069482929706405,1.0478169973234697,1.0315212188955467,0.9170402067906915,0.7785094306668976,3.2
33,1.0644144629130685,0.8834179339127487,1.0040972928659277,0.9135674344901099,0.8405278782822394,0.75672381018562,3.3000000000000003
34,1.0280421436612752,0.8685047258375974,0.9685441765479093,0.8169306181555058,0.7969933893123125,0.7485938408917072,3.4000000000000004
35,0.9989556892929838,0.8628044411768339,0.9416468325838109,0.7548396182510603,0.7810506945126996,0.7542869293025922,3.5
36,0.9770922946375903,0.865861983024116,0.9234161151023506,0.7322611412802511,0.7867352781693077,0.7739332348646853,3.6
37,0.9623025894037426,0.8762457472793979,0.9137079362629639,0.7454498601749727,0.8086254909170815,0.8052336727347704,3.7
38,0.95457811537216,0.8920449907163519,0.9127467277921815,0.7848770666901774,0.8418092829068377,0.8431741226457936,3.8000000000000003
39,0.953422094486344,0.9114729906519774,0.920724782769513,0.8389914369832231,0.8815019221988962,0.8820981235654626,3.9000000000000004
40,0.9573623418278987,0.9330536517550476,0.9363982403860769,0.8974345192879585,0.9232992387177474,0.9180287580698603,4.0
41,0.9643995321393855,0.9555749049508444,0.9564777776455686,0.953195966321599,0.9637882790361875,0.9496431164485711,4.1000000000000005
42,0.9725949901760375,0.9781230780662927,0.9772262178484703,1.0029051035142997,1.0006622227630988,0.9780300562705009,4.2
43,0.9802323967990122,0.9999650863100985,0.9967788392833313,1.045044215165621,1.032286904929394,1.0054558650534196,4.3
44,0.9861549694946354,1.0201665777085354,1.0152168368248107,1.0778205520849644,1.057302784977473,1.032825121843702,4.4
45,0.9903703986316001,1.0373736764316588,1.0322640645518284,1.0988019762023156,1.0745707201068955,1.0575219282230401,4.5
46,0.9938519028613669,1.0501405513770687,1.0459110338121125,1.1063465180598315,1.0834126846165422,1.0745704273678174,4.6000000000000005
47,0.9972377018315244,1.0575876395935737,1.0539354078094945,1.1009981878155386,1.084012251995178,1.0804127492960534,4.7
48,0.9999473992704992,1.059797839849356,1.0560213872446214,1.085525739533996,1.0776520605992095,1.075167071635819,4.800000000000001
49,1.0007350459593658,1.0575431765330412,1.053548738095929,1.063871006064667,1.0662772814538042,1.0615543659934772,4.9
50,0.9985908949077555,1.0516729931745838,1.0478783863362906,1.039936789934937,1.0516480813738676,1.042527978741632,5.0
51,0.9929834090486778,1.0429538280917061,1.0397378438457408,1.0168119277001564,1.0351031789397518,1.0200793846763183,5.1000000000000005
52,0.9840731130376792,1.03250494380207,1.02994788000438,0.9965048918345518,1.0181783257946841,0.9958089984751333,5.2
53,0.9732569449879825,1.022085530348573,1.019757317878392,0.9798964300454603,1.0028012177004197,0.97208548319658,5.300000000000001
54,0.9630879259872893,1.013570149900595,1.0103104790800344,0.9667885835979326,0.9903094918670452,0.9519245176822912,5.4
55,0.9559548825306745,1.0079506351770244,1.002261634629103,0.9564387646499286,0.9806066211863176,0.9373407072563507,5.5
56,0.9523968733469225,1.0048765812265539,0.9959526303841495,0.9485009761352136,0.9728725832404945,0.9282750972389826,5.6000000000000005
57,0.950786710236364,1.0032352295315061,0.9916043944141629,0.9433287030472928,0.9670057861614757,0.9235400794857918,5.7
58,0.9488184513086374,1.0022050242887457,0.9893009996530581,0.9411553539437224,0.9639291871659302,0.9224184856636256,5.800000000000001
