,Li-Li,Li-Sc,Li-Si,Sc-Sc,Sc-Si,Si-Si,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,5.223158977262099e-07,0.0,0.0,0.0,0.0,0.0,0.5
6,5.207384364495037e-06,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,3.218223962650532e-05,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,0.00015577279296436232,3.448101043583181e-07,0.0,0.0,0.0,0.0,0.8
9,0.000609725057955858,2.4011629835206827e-06,1.374467959241462e-06,0.0,0.0,0.0,0.9
10,0.0019812103564488554,1.4049048527400425e-05,1.2368188843799804e-05,0.0,0.0,5.44885103183515e-07,1.0
11,0.005456948346638175,6.356756039827937e-05,8.019345808367927e-05,0.0,1.222595383874369e-07,7.954440581169841e-06,1.1
12,0.01304548295184818,0.0002361866050294768,0.0004037944569465433,6.620354003679711e-07,2.231642369690135e-06,6.351604401361256e-05,1.2000000000000002
13,0.027685874065427933,0.0007465443494480587,0.0016550868904917488,8.520412464470557e-06,2.1809006981744648e-05,0.00036931731327001694,1.3
14,0.053216661665765816,0.002065707795345819,0.005705758313987223,5.754025887905162e-05,0.00014550764584519003,0.0017037685943139189,1.4000000000000001
15,0.09407620126170353,0.005145844111077455,0.016855698517533185,0.0002882675121935267,0.0007556962721076719,0.006471860216163943,1.5
16,0.15455021762145538,0.011763607176994192,0.043223689133364,0.0011645403620588594,0.0032160685137578504,0.020632884924744223,1.6
17,0.23755554502051407,0.024945312306186053,0.09711364297477842,0.003847832997059182,0.011482892436702223,0.05570329952734714,1.7000000000000002
18,0.3431819630563864,0.04924642769387395,0.19265631776122538,0.010545061604545405,0.03487638605277537,0.12819946003817556,1.8
19,0.46777440406948473,0.0904311333713413,0.3402326744691475,0.024429573465620826,0.0908783041002337,0.2532119963401078,1.9000000000000001
20,0.6049296249329195,0.15412874414469854,0.5397718813144533,0.049068676806883975,0.2046843577776277,0.43267507989489173,2.0
21,0.7481259640073515,0.24379246992047884,0.7766302766398947,0.08812813667035302,0.4014554097415375,0.6464817791384803,2.1
22,0.8917290241079824,0.3590984148470238,1.0227462501973708,0.14590817775297046,0.6912260707208399,0.8564607239711951,2.2
23,1.0285803013256272,0.49561429526904105,1.2437539191644422,0.22751784163869754,1.0544789916476105,1.0227865983138853,2.3000000000000003
24,1.1482901749065733,0.6453865419659934,1.410070939983073,0.33712860195950106,1.4403467053997034,1.1201141648951813,2.4000000000000004
25,1.2402284440111861,0.7978986069346647,1.5066576665196039,0.4751213621407085,1.7822846924774434,1.1430411058935572,2.5
26,1.298111277302427,0.9416152926635969,1.5356075525065869,0.6363075064928124,2.022968019060541,1.1027462025965638,2.6
27,1.3213638378489256,1.0662420872448168,1.5108167087106077,0.8096851067561928,2.1339091936746617,1.021035055194168,2.7
28,1.3140900982208004,1.1646790867774337,1.449998182124044,0.9793442645160371,2.120156555966869,0.9233748474927659,2.8000000000000003
29,1.2842463367581867,1.2335344979786471,1.3691789024851553,1.1274614432328585,2.010757284956371,0.8309820382414222,2.9000000000000004
30,1.2418821563964173,1.27255495644148,1.2805231219929332,1.2396437355788528,1.843564650725921,0.7555462349258456,3.0
31,1.195415305086614,1.2840248206238523,1.1923420619950722,1.3095291255996033,1.6531768202812165,0.6999204096959759,3.1
32,1.1490513476449338,1.2723006484726795,1.1104304938640022,1.3389830368206763,1.4650711728593897,0.6627454866332807,3.2
33,1.1038868398488033,1.2429923463130943,1.039300169594181,1.334713589133554,1.2944274974154113,0.642375577465031,3.3000000000000003
34,1.0604339883573046,1.2017846443261275,0.9819909726502604,1.3055662539815525,1.147568945709462,0.6384331015084299,3.4000000000000004
35,1.019683096384819,1.153760976050673,0.9391899726214641,1.2614419654634348,1.0250288683806328,0.6514412721629279,3.5
36,0.9830351913427382,1.1036828391083116,0.9093193805761602,1.2110626974045569,0.925366987393917,0.6808690154238446,3.6
37,0.9522078053274511,1.0564217015402109,0.8898595411543718,1.159017871782264,0.8477725565707819,0.7232206511665256,3.7
38,0.92876847273684,1.0163431959962406,0.8787264205135432,1.1061481506422004,0.7919463406754648,0.7727913791533432,3.8000000000000003
39,0.9129266800224414,0.9857734594442383,0.8747759559714395,1.0534984595264922,0.7565125637540324,0.8247688027563517,3.9000000000000004
40,0.9030968004515431,0.9642704324599457,0.8774156912589081,1.0048916279444875,0.7386042520317135,0.8769767513962922,4.0
41,0.8974518600098582,0.9500458935014074,0.886040887024152,0.9653143162580023,0.7351048171467192,0.9283913956243106,4.1000000000000005
42,0.8957412527680859,0.9421083526888772,0.8998136778347026,0.9377865605854395,0.7438112534273367,0.9769690182061682,4.2
43,0.8989717132736299,0.9405526229923371,0.9177293824942013,0.9221156360771581,0.7634326728176599,1.0199573950917669,4.3
44,0.9077970124640411,0.9450127748482803,0.9386831301629857,0.9159217966894647,0.7927562140379106,1.055876848011149,4.4
45,0.9217726845354621,0.953732447767246,0.9612838081466124,0.9164780473692316,0.829691407504114,1.0848649842328026,4.5
46,0.9393485057166715,0.9645885119420117,0.9836129947476635,0.9218893148807609,0.8708175711127137,1.1068697554224454,4.6000000000000005
47,0.9578360326788731,0.9767076237095991,1.0034890374212118,0.9310631099698149,0.9118989079706525,1.1207949602565959,4.7
