,Si-Si,Si-C,C-C,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,2.246339257014161e-06,0.30000000000000004
4,0.0,0.0,4.956762771973468e-05,0.4
5,0.0,0.0,0.0004259343805830073,0.5
6,0.0,0.0,0.0024183098711827956,0.6000000000000001
7,0.0,6.34216450230332e-06,0.010708670557078961,0.7000000000000001
8,0.0,9.187753515713702e-05,0.03838391313301447,0.8
9,0.0,0.0006793654225620922,0.11193522231964956,0.9
10,1.3981844140880322e-07,0.00362576418365439,0.2664094270989998,1.0
11,4.090760591829227e-06,0.015377885012340577,0.519157239463369,1.1
12,4.446202481631134e-05,0.05326426156943833,0.8318015234543841,1.2000000000000002
13,0.0002969420513160097,0.15210917817391953,1.102150764555771,1.3
14,0.0015079178862689752,0.36057934381898266,1.2181394790680065,1.4000000000000001
15,0.006180578423293365,0.7144303649559569,1.137881881824939,1.5
16,0.020938211236024986,1.192306904657063,0.9171862408191117,1.6
17,0.05922252231490458,1.6913546843229916,0.6600343873384483,1.7000000000000002
18,0.14100877262246098,2.0620659753633386,0.44906504844258466,1.8
19,0.28512454303145573,2.190770501897749,0.3164218777184064,1.9000000000000001
20,0.49467338079405077,2.0647344398959864,0.2577916089338766,2.0
21,0.745668141628843,1.7680898811911483,0.25742942649575273,2.1
22,0.9917970040340301,1.4220266112284428,0.30208876679108865,2.2
23,1.1856760661880354,1.1228656451458736,0.38249133977816835,2.3000000000000003
24,1.3006374119897002,0.9151552735760619,0.48917489386182317,2.4000000000000004
25,1.3373773904060045,0.7993462973536842,0.6093698675484207,2.5
26,1.3155277877618727,0.7535338605485563,0.7291644844742454,2.6
27,1.2609818678238771,0.7516901892234791,0.8391620156435305,2.7
28,1.196766431824462,0.7728088371784909,0.9370145036690277,2.8000000000000003
29,1.138373160973914,0.8032626706362004,1.023746448726126,2.9000000000000004
30,1.0924395351158405,0.835776903987718,1.0987129098806765,3.0
31,1.0586046199218442,0.8670881203505499,1.158250798349868,3.1
32,1.0335590069785017,0.8958212451461732,1.1977369532982258,3.2
33,1.0143350350880156,0.9215016704370574,1.214566256213243,3.3000000000000003
34,0.9989482016021115,0.9445196362213772,1.2100874359941434,3.4000000000000004
35,0.985802172376896,0.9661456877870919,1.1889085706586282,3.5
36,0.9738973503558956,0.9877769072553231,1.1560529554700505,3.6
37,0.963348106821549,1.0096466031095386,1.1150831556888152,3.7
38,0.9549344056060436,1.0303758219712675,1.0689857867155215,3.8000000000000003
39,0.9491469390787881,1.0480290251827447,1.02163862448041,3.9000000000000004
40,0.9460285367701636,1.0613331681802465,0.9776076546525897,4.0
41,0.9457018914731969,1.069671746333971,0.9408729359798645,4.1000000000000005
42,0.9483520934364191,1.0724473305077118,0.9138623695497454,4.2
43,0.9535514347701575,1.0692320859844966,0.8971857194098551,4.3
44,0.9601510180305449,1.0607153391509583,0.889937548288239,4.4
45,0.9671313211250665,1.0490614280660127,0.8901980506742184,4.5
46,0.9742571582151616,1.036987606928856,0.8953258020978209,4.6000000000000005
47,0.9816657370784901,1.0264052246887436,0.902286260624342,4.7
48,0.9890218314829398,1.0178445839048378,0.9086510581152565,4.800000000000001
49,0.9954050731709692,1.0109350507393797,0.9136702529398151,4.9
50,1.0001274371141746,1.0052696140664439,0.9180709026147476,5.0
51,1.003490527285203,1.000759882853612,0.9229922699510283,5.1000000000000005
52,1.0064518192776801,0.9972077476741067,0.9294693245224419,5.2
53,1.0094636194553543,0.993816218397086,0.9382055822649236,5.300000000000001
54,1.0118749429034417,0.9895841645382785,0.9488980061677337,5.4
55,1.0125621144039831,0.984427848947814,0.9600295578829646,5.5
56,1.010964632580178,0.9796567346446985,0.9699094546389135,5.6000000000000005
57,1.0074832971750665,0.9769831133681668,0.9777474706201271,5.7
58,1.0031812343399298,0.9770766653369922,0.9834328448475427,5.800000000000001
59,0.9992137795356809,0.9792367307387502,0.9866640656267134,5.9
60,0.996290037853667,0.9822983598957711,0.9870256682366512,6.0
61,0.9945096263209623,0.9855547132768308,0.985150974022932,6.1000000000000005
62,0.9936974310711044,0.9888364104559518,0.983071954151255,6.2
63,0.9937470239197178,0.9920377470256908,0.9825786082690625,6.300000000000001
64,0.9945583494531002,0.9948483590299215,0.9833694138621831,6.4
65,0.995846059412052,0.9969057537393851,0.9835059126322734,6.5
66,0.9971967545177713,0.9979939498859732,0.9817004078398212,6.6000000000000005
67,0.9982790379718209,0.9980492623862107,0.9785907231697912,6.7
68,0.9989448688530748,0.9971954484749774,0.9759715864772497,6.800000000000001
69,0.9991603122094006,0.9958087113035092,0.9754920850532512,6.9
70,0.9988886528538943,0.9942925031640594,0.9778517962192138,7.0
71,0.9981252928952108,0.9927436568237031,0.9822981993473549,7.1000000000000005
72,0.9970716159299524,0.991116502699754,0.9867365577614253,7.2
73,0.9961258144291985,0.9897411652419947,0.988964029666768,7.300000000000001
74,0.9955733328172522,0.9893267448815063,0.9881504333356558,7.4
75,0.9954118858973948,0.9903041952646516,0.9851336602895656,7.5
76,0.9956449543625038,0.992362955837056,0.9814265640728718,7.6000000000000005
77,0.9965502368167759,0.9947309124134196,0.9780215141580161,7.7
78,0.9983139040235006,0.9968146201627894,0.9749196525255917,7.800000000000001
79,1.000455571001847,0.9985579705790524,0.971670930719816,7.9
80,1.0019633702075417,1.0003222940790375,0.9683906410191447,8.0
81,1.0020697754705536,1.002488859784178,0.96615938656774,8.1
82,1.000712599185935,1.0050557310240322,0.9662252687182388,8.200000000000001
83,0.9983315172803642,1.007487952669596,0.9686710527746583,8.3
84,0.9955653299656053,1.0090165570135035,0.9719932097230184,8.4
85,0.9931628774061635,1.0091856715031282,0.9742119024261169,8.5
86,0.9918233445424856,1.0081086992415789,0.9743984056924736,8.6
87,0.9918696513232723,1.0062687296845947,0.9728804214526766,8.700000000000001
88,0.9930521662343386,1.0042780908302746,0.9702450475788358,8.8
89,0.9946951463594446,1.0028013297340876,0.9668637693901674,8.9
90,0.9960987701869383,1.002333652979889,0.9633643202728441,9.0
91,0.996907351117358,1.0028511520134595,0.9606595333433167,9.1
92,0.997131951087662,1.0038116792283966,0.9591216223633672,9.200000000000001
93,0.9968850556844194,1.004573512808273,0.958270682676761,9.3
94,0.9962373297466941,1.0047146829896172,0.9575623759542424,9.4
95,0.9953506632894488,1.0039978927039956,0.9571262026501584,9.5
96,0.9945826113517697,1.0022912387314729,0.9575647498563896,9.600000000000001
97,0.9943144221297943,0.9997005856205932,0.959293971673473,9.700000000000001
98,0.9946625123971031,0.9967238123218055,0.9620914044371669,9.8
99,0.9953574122655072,0.99413134008475,0.9650454061413081,9.9
100,0.9959008042022968,0.9926367445636654,0.966947136374259,10.0
