,Li-Li,Li-Si,Li-Se,Si-Si,Si-Se,Se-Se,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,4.82162729040508e-07,0.0,0.0,0.0,0.0,0.0,0.5
6,3.559838295739146e-06,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,1.9764490724484552e-05,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,8.62311664316123e-05,0.0,0.0,0.0,0.0,0.0,0.8
9,0.000306526967602529,3.916065994225578e-07,7.04891878960604e-07,0.0,0.0,0.0,0.9
10,0.0009069604074287001,4.99871972286526e-06,1.0883933955042792e-05,4.657378898482273e-07,0.0,0.0,1.0
11,0.0023289100887550276,3.62483926749094e-05,8.69143734051866e-05,7.70469249693766e-06,2.8215201249254095e-06,0.0,1.1
12,0.005415263210592936,0.00019871531823862276,0.0004925407513227,6.956407776595947e-05,2.8867245798073335e-05,5.092843825490365e-06,1.2000000000000002
13,0.011822585651178821,0.000879366908219871,0.0022293623216006614,0.00042956470749854235,0.0001830002937214011,3.320951339411273e-05,1.3
14,0.02453163411990753,0.0032401110470273234,0.008300555595545153,0.002074684968329022,0.0008941651416532596,0.00016865182503614896,1.4000000000000001
15,0.047917196151692286,0.010140695770867668,0.02589937918771976,0.008204008519214134,0.003526104140456673,0.0006708818290857227,1.5
16,0.08677664687035318,0.027358924573080916,0.06858237355229303,0.027074735885026412,0.011466905649073161,0.002090321094514575,1.6
17,0.14440572249159558,0.06439022085684529,0.15616647092132593,0.07525796663944781,0.031275116951777725,0.005148256231134665,1.7000000000000002
18,0.2209764590779893,0.13344612330360833,0.30994254334640037,0.1775462181864087,0.07261880711076549,0.010239707085607857,1.8
19,0.3136201062644602,0.24543127693484618,0.5433096743105684,0.3583268194613362,0.1455945515959562,0.01730404857646483,1.9000000000000001
20,0.4180791568844435,0.4035191849537486,0.8514148206118275,0.6242553215620994,0.25526569953524614,0.027306863341076446,2.0
21,0.5297590708773806,0.5979185603416078,1.2050430827103282,0.9486691170281495,0.3957029826546172,0.04465744879627657,2.1
22,0.6428631583958826,0.8063789216757113,1.5536178179619469,1.2732250697548848,0.5479681442130879,0.07700943277877625,2.2
23,0.7498453081318753,1.0014396381186605,1.8397585797173326,1.53130363702334,0.6855314733297978,0.1305524795363736,2.3000000000000003
24,0.8436994532649641,1.1598758383901373,2.0209781947184333,1.6784202975807376,0.7853255500969528,0.20489465490656675,2.4000000000000004
25,0.9211577980634115,1.2684679541933734,2.0849003790214886,1.7080139340656793,0.8372932541619693,0.29394813483307386,2.5
26,0.9825132918580182,1.324508786892914,2.046853043097453,1.64461115004149,0.8464913543592549,0.3930394522061984,2.6
27,1.0285708075158295,1.333589453345511,1.9356661110964417,1.5250919837477506,0.8280735766908197,0.5037179377845585,2.7
28,1.0593490996264858,1.3068690378454313,1.7826969478806263,1.3834406958690737,0.7997026328437253,0.6279593006197876,2.8000000000000003
29,1.0755339145949339,1.2580691477648822,1.6178134889808666,1.2445365344557198,0.7754367541585118,0.7566607232911416,2.9000000000000004
30,1.079309539500596,1.2002452966963049,1.4650660150237595,1.1234859305745732,0.762834541130679,0.8686874861391398,3.0
31,1.0734957351795544,1.1430777980015678,1.3368376391285057,1.0269216625500701,0.763374566482105,0.9466074340814299,3.1
32,1.0609182524280971,1.091690081715091,1.23327627711071,0.955599898375638,0.7752364683394358,0.9915577293268064,3.2
33,1.0443975930424683,1.0476437061270092,1.148821875167929,0.9074212747204502,0.7962361322906076,1.017224989508509,3.3000000000000003
34,1.0261222957356957,1.0112556269905002,1.0789353948856248,0.879226909389441,0.8246581049020723,1.031373267132434,3.4000000000000004
35,1.00714318054199,0.9830505409672325,1.0216606137065074,0.8672989926684521,0.8579043871374865,1.0314247620332104,3.5
36,0.9884570700151513,0.9633660516291849,0.9760063182830186,0.8678657713921996,0.8914191394441813,1.0180763360233165,3.6
37,0.971929230384742,0.9516143973265526,0.9407616633491546,0.8777636036239062,0.9202455155313999,1.0027128227029265,3.7
38,0.9590140008784351,0.9466648680841069,0.9142496753458974,0.89436207877841,0.942351264582946,0.9962670679192676,3.8000000000000003
39,0.94944235475017,0.9476623737735671,0.8948873084786376,0.9148353778992835,0.9599095666034674,0.9968655377317898,3.9000000000000004
40,0.9424206497213848,0.9539748137961195,0.8826132380955004,0.9359997222035605,0.9765537138690867,0.9929387756409116,4.0
41,0.938513898961741,0.9645891424935654,0.8789937720954621,0.9551726723431337,0.9935658678917216,0.975663539917047,4.1000000000000005
42,0.9393363377314267,0.9780609442330263,0.884697833022306,0.9709476784993365,1.0093971683417802,0.9466689910333652,4.2
43,0.945701463948793,0.9930284659457947,0.897082084986246,0.9829594409351151,1.0226484501856115,0.9154176804611228,4.3
44,0.9564873470911541,1.0083925102153581,0.9110580103445187,0.9912671409280402,1.0343658283221906,0.8902425270742811,4.4
45,0.9689887624980239,1.022929737771335,0.9223451844652351,0.9962004683018147,1.0467833096976091,0.8720809787191672,4.5
46,0.9801850663902641,1.0350505336727793,0.9297496931094125,0.9983154385364977,1.0605354610034015,0.8564126598837607,4.6000000000000005
47,0.9880756573227669,1.0431954439396482,0.9344552372606398,0.9979618927932673,1.0738596681210508,0.8397105831244867,4.7
48,0.9923373117965385,1.046520364850759,0.9375033044537482,0.995193135732981,1.0841854375919033,0.8226369248053441,4.800000000000001
49,0.994010650789219,1.0452725901841107,0.9387704851664139,0.9905723867458588,1.0900508737447263,0.8079584546687044,4.9
50,0.994417433889392,1.0406165961818254,0.9383966911615916,0.9857602817332796,1.091689500404541,0.798023429932603,5.0
51,0.9939667764992162,1.0340639697025005,0.9379229887028094,0.9826506742177568,1.0901216450405204,0.7950602531941441,5.1000000000000005
52,0.9919313770694858,1.026875784354477,0.939226551065847,0.9818210145238403,1.0860727896125495,0.8012371350485527,5.2
53,0.987719028983566,1.0197852881799783,0.942904061836261,0.9822101451996421,1.080049873844665,0.8161449158995442,5.300000000000001
54,0.982367148236655,1.0132068173707613,0.9483735543784934,0.982446736034077,1.0731119871303627,0.8352679903585674,5.4
55,0.978294814463979,1.0077071532811865,0.955275936378313,0.9821728286630975,1.066797926692149,0.8524517198880002,5.5
56,0.9771966586782806,1.0040302039688485,0.964012955603448,0.9819101279608351,1.0620168833106738,0.8634985186685207,5.6000000000000005
57,0.9782642667595745,1.0023869007820223,0.9746352871060859,0.9820507767077465,1.058253155672309,0.8672089656318347,5.7
58,0.9788544526487273,1.001970749942764,0.9856580569815161,0.9823889721949638,1.0541244625519368,0.8645649474567587,5.800000000000001
59,0.9771398229138372,1.0017260502944259,0.9946164245602473,0.9825242992541591,1.0488258094051572,0.8578284833364827,5.9
