,Si-Si,Si-Mo,Mo-Mo,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.7000000000000001
8,0.0,0.0,0.0,0.8
9,0.0,0.0,0.0,0.9
10,1.7005452348915948e-07,0.0,0.0,1.0
11,2.9403961381998456e-06,7.440474234103254e-07,0.0,1.1
12,2.9144831202720186e-05,1.130855635373541e-05,9.297731071769796e-07,1.2000000000000002
13,0.0002022886566392763,9.20427641915478e-05,1.1122871953770729e-05,1.3
14,0.0010609159460501583,0.0005425423119890366,7.73603338770778e-05,1.4000000000000001
15,0.004518163172487163,0.002536810314856916,0.00040199928947612373,1.5
16,0.01603205119553006,0.009779687934097288,0.0016906150373448769,1.6
17,0.04778134408781259,0.03167851192342189,0.005883872280549381,1.7000000000000002
18,0.12012641335483,0.08713355215459964,0.017251816986870356,1.8
19,0.2560000282005377,0.20506428188130096,0.043328576339812026,1.9000000000000001
20,0.4656640730642016,0.41564532238652163,0.09475568499746374,2.0
21,0.7300685486826821,0.7303081590626173,0.18328894519749486,2.1
22,0.9995115837519635,1.1204832939502454,0.3177810439270862,2.2
23,1.2150878437274908,1.514653649045558,0.4987400247600358,2.3000000000000003
24,1.3385989112575785,1.824714733563335,0.7133367931973105,2.4000000000000004
25,1.3678456494469577,1.9873961839187855,0.9340598002095175,2.5
26,1.3291411334225218,1.990549300846194,1.1239380938124464,2.6
27,1.258043445779426,1.867637611229646,1.2487837441753311,2.7
28,1.18308150814092,1.6719089305513597,1.2919324059151343,2.8000000000000003
29,1.1190567127562152,1.453185026269507,1.2617932241796963,2.9000000000000004
30,1.0686470709548601,1.2480127002684256,1.1849665935883797,3.0
31,1.0279666535083183,1.078738970427937,1.0899480438043685,3.1
32,0.9921785756302205,0.9548574232887821,0.9949378747280179,3.2
33,0.9591357442360375,0.8752970241770077,0.9072327135930558,3.3000000000000003
34,0.9303345206686356,0.8323095172961994,0.8300674912452372,3.4000000000000004
35,0.9092726143518943,0.8158695227627221,0.7683242894066714,3.5
36,0.8985632916617506,0.8168460374842839,0.7282758744383023,3.6
37,0.8980717418864994,0.8284245636181032,0.7132860723907138,3.7
38,0.9053747610912714,0.8463252076364159,0.7213113334610771,3.8000000000000003
39,0.9176584158225907,0.868472955857401,0.746976825370085,3.9000000000000004
40,0.9332502674236626,0.8942096932284401,0.7847593344935129,4.0
41,0.951782364110586,0.9229826250268025,0.8294995950170703,4.1000000000000005
42,0.9730883445704975,0.953202936332826,0.8757314595687881,4.2
43,0.9959168867152547,0.9822478182302973,0.9192303883920583,4.3
44,1.0177438992219294,1.007423260944837,0.9594269868047376,4.4
45,1.0357413441592394,1.0268739216925067,0.9981475936390577,4.5
46,1.0478937480385166,1.039942628337434,1.035134859442614,4.6000000000000005
47,1.0535741007164863,1.0471292628221254,1.0663843491895668,4.7
48,1.0534895456051565,1.0497923140028802,1.0875215042637276,4.800000000000001
49,1.0490203347717095,1.0496457153947962,1.097230260554918,4.9
50,1.041381498562466,1.0480971822374934,1.096608516550287,5.0
51,1.0313428241331046,1.0455134075132944,1.08670999058318,5.1000000000000005
52,1.019592651637776,1.040912089938144,1.0682262558307178,5.2
53,1.007132527159016,1.03274812487918,1.0433612694137013,5.300000000000001
54,0.9953485053997516,1.0204837998995904,1.0168847123385305,5.4
55,0.9858129252032146,1.0055453951940734,0.9945222710308356,5.5
56,0.9798052121480082,0.9907481655576387,0.9799424730212489,5.6000000000000005
57,0.9776747675295224,0.9787891306994706,0.9731026706135623,5.7
58,0.9785403313618493,0.9711244588191411,0.9714191951139164,5.800000000000001
59,0.9807697207893369,0.9677702758534774,0.9727922171373607,5.9
60,0.9830278326324722,0.9676885078679821,0.9774717129456886,6.0
61,0.9850325553354222,0.9694831613144943,0.9864585229063748,6.1000000000000005
62,0.9873477486217433,0.972248531802497,0.9983467283059577,6.2
63,0.9905158657888881,0.9760303685452238,1.0090399593981256,6.300000000000001
64,0.9944520502949271,0.9813439007487872,1.0150583506782813,6.4
65,0.9985042607932693,0.9882288188688279,1.0161812407992483,6.5
66,1.001927951205712,0.9959169956624414,1.0145700695938367,6.6000000000000005
67,1.0043880714496292,1.0032907227942751,1.0125124692384864,6.7
68,1.0061254434185694,1.009351738446428,1.0115359097120877,6.800000000000001
69,1.0075815157358408,1.0133196532491688,1.012458395667086,6.9
70,1.0088319580404173,1.0147456989647496,1.0149391413839712,7.0
71,1.0094949090204652,1.0137952325523085,1.0171539097071278,7.1000000000000005
72,1.0091948196507747,1.011305263726284,1.016902941595471,7.2
73,1.0079944743861209,1.0083947784257195,1.0134922838099951,7.300000000000001
74,1.006357023152408,1.0059039550065476,1.00831444482701,7.4
75,1.00478748544447,1.004051333467875,1.0034206369640537,7.5
76,1.003527148494807,1.0025416217455678,0.9997265003492444,7.6000000000000005
77,1.0024949309372826,1.0010046047422108,0.9966982393177598,7.7
78,1.0013804577580943,0.9993549261973395,0.9932994492268873,7.800000000000001
79,0.999789174329456,0.9978160721892217,0.9887714841574716,7.9
80,0.9975200423977529,0.9967402368024398,0.9828116978142555,8.0
81,0.9948569380456668,0.9964306086024043,0.9757449429640209,8.1
82,0.9924962503324494,0.996966981179033,0.9687570468703023,8.200000000000001
83,0.9910982131289542,0.998076121663358,0.9636191611066326,8.3
84,0.9909289913569884,0.9992034595291266,0.9618030402708848,8.4
85,0.991871378749826,0.9998011244553439,0.9635574484305333,8.5
86,0.9936155507505423,0.9995869067151704,0.9675951245283855,8.6
87,0.99575979454287,0.9985641610424242,0.9718306058307405,8.700000000000001
88,0.9977796632358523,0.9969362589548372,0.9747916327174097,8.8
89,0.9990627610178099,0.995123750885198,0.9766268540649254,8.9
90,0.9991822119221798,0.9937843409589623,0.9788569166970366,9.0
91,0.998240294596446,0.9936530455638468,0.9829047327693963,9.1
92,0.9968913994921663,0.9953062141588431,0.988527550815366,9.200000000000001
93,0.9959804466767188,0.998983445820085,0.9935006323340467,9.3
94,0.9960937415016335,1.0044554723846417,0.9947722929141359,9.4
95,0.9972902731780622,1.0110330099974691,0.9902606529210987,9.5
96,0.9990902421972139,1.0178555322865308,0.9803158844310451,9.600000000000001
97,1.0007089720218425,1.0241976891118596,0.9678923417938793,9.700000000000001
98,1.0015051393386396,1.029478364167616,0.9569015943810554,9.8
99,1.001436483247565,1.0332084879095365,0.9498123498383413,9.9
100,1.00108872717881,1.0351040380145144,0.9467159485494633,10.0
