,Li-Li,Li-Cu,Li-Si,Cu-Cu,Cu-Si,Si-Si,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
6,1.96364185308231e-06,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,1.5085286989676666e-05,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,8.440937891540571e-05,1.7539821760605006e-06,1.2528444114717863e-07,0.0,0.0,0.0,0.8
9,0.00037721740326510724,1.4766758669578827e-05,1.926743232380829e-06,0.0,3.3293581592053013e-07,0.0,0.9
10,0.0013592747225840219,9.008903310571475e-05,1.4454260453663398e-05,3.959607028849103e-07,6.130621263146405e-06,3.959607028849103e-07,1.0
11,0.004074776905685082,0.0004296776911421725,8.392066681887668e-05,1.359868978370075e-05,5.301487625935194e-05,7.912650216511335e-06,1.1
12,0.01045796462668066,0.0016750398060800121,0.0003895074783727258,0.00011028786184834244,0.00033020328335412467,6.928130624528479e-05,1.2000000000000002
13,0.023660185407390538,0.005479871522501972,0.0015126767465103743,0.0006319415958371434,0.0015972666003760063,0.0004215896948973863,1.3
14,0.04814335984694947,0.015404994574320359,0.005016785925048291,0.0028427359311280955,0.006347568787025871,0.0020057201959718385,1.4000000000000001
15,0.08888174363717147,0.037930778064127924,0.014435986258301678,0.010387381754764342,0.02112568036526208,0.007806994587088655,1.5
16,0.1491728159006216,0.08282685462700785,0.036462683723493115,0.03135750749607749,0.05947649756288613,0.025336882879308676,1.6
17,0.22869645529993984,0.16138587079283145,0.08148306968352759,0.07939648951513428,0.14275269132291693,0.06930975408674085,1.7000000000000002
18,0.3243711821419695,0.2814202872244831,0.16204522695795193,0.17118533963433172,0.2943868835116991,0.16123544542855234,1.8
19,0.4333841764982747,0.4408339040742515,0.28822672120827275,0.31905315466353856,0.5262780540780444,0.32179816017451585,1.9000000000000001
20,0.5541131352291229,0.6250894416693625,0.4610605196142444,0.5213136543361023,0.8240482833437983,0.5562581603886485,2.0
21,0.6831842216520808,0.8123539321468893,0.6679860929507119,0.7563213131053734,1.1432749470810846,0.8416954376139557,2.1
22,0.8127540483555966,0.9826101562106128,0.8845505230396573,0.9861989735890017,1.4232356815725051,1.1284531903167652,2.2
23,0.9321944356594214,1.122799137094035,1.0822162700717635,1.1710443620215225,1.6117829940934343,1.3588667617543733,2.3000000000000003
24,1.0324399735252856,1.225724358262204,1.2373740008155258,1.2858649798441082,1.6862440976227724,1.491660933343412,2.4000000000000004
25,1.1081364333409354,1.2878997662199334,1.3368809970711442,1.3285441159943707,1.6579671366290947,1.5164795327713263,2.5
26,1.1566131351146582,1.3100156983575137,1.379390062905784,1.314474226642265,1.560202365672903,1.4525725856278866,2.6
27,1.1770449206340368,1.2978790367836393,1.3736389345515743,1.26493030467718,1.4303070101717499,1.336133991872099,2.7
28,1.1714913341012816,1.261078379238941,1.334427098205733,1.1986049611228526,1.297556773604056,1.2044506316825299,2.8000000000000003
29,1.145993386570493,1.2098323754906946,1.2773113117776775,1.1289804248211681,1.1793552261631264,1.084384543051841,2.9000000000000004
30,1.1098205159866539,1.1521739651820222,1.2142394470368993,1.0648569457410246,1.082621893308872,0.9890914960960207,3.0
31,1.0727412004547001,1.093230592747301,1.1520513300822184,1.011231257442009,1.007418522342679,0.9210571731481147,3.1
32,1.0412053073215914,1.036846257160984,1.0938154244195457,0.9697365156164185,0.9511882913433832,0.8768687364752273,3.2
33,1.016054481389074,0.9875033600294596,1.0412359682912953,0.9391551873936351,0.9117283275558166,0.8511938848290576,3.3000000000000003
34,0.9943018323526015,0.9497701281388152,0.9962930680279565,0.9165743678710229,0.8877795241040228,0.8394822588737276,3.4000000000000004
35,0.9733752325152539,0.9255952254184533,0.9612992735821327,0.8992674203191457,0.8781225064417241,0.8390022084412977,3.5
36,0.9532265231758762,0.9130974392381463,0.9378429958443997,0.8865539007703247,0.8807823765253898,0.8482865061633514,3.6
37,0.9353595533215451,0.9086701658349532,0.9258728681742902,0.8803693331092287,0.8930716449359041,0.8660000814414168,3.7
38,0.9215521210604379,0.9098331554488637,0.9238123188673875,0.8838008886986433,0.9121626951108435,0.8902248212999742,3.8000000000000003
39,0.9133545982743416,0.9158768483412235,0.9293705806257654,0.8981730050592526,0.9355705585253532,0.9183139303285283,3.9000000000000004
40,0.9113122611769989,0.9266741561565924,0.9402948903075241,0.9206077400267253,0.9611914716870439,0.947041502009719,4.0
41,0.9141742520277908,0.941701712961225,0.954712090168737,0.9444687881885155,0.9870298212292149,0.9731152533273504,4.1000000000000005
42,0.9195519405252,0.9598221464723582,0.9712046434639708,0.9632247149595335,1.0109669048195045,0.9940512076455692,4.2
43,0.9257441383696248,0.9792608693270412,0.9887010080844141,0.9745722931867402,1.0308851232291505,1.0088007838660964,4.3
44,0.9326595148452302,0.9976939653649025,1.006144331121115,0.9808139923984558,1.0450508209803515,1.0175913861359236,4.4
45,0.9410977712006158,1.012756095162192,1.0221042817842287,0.9855763856674854,1.0524588872134355,1.0213493038432402,4.5
46,0.951647439097977,1.0228440735608917,1.0348713852877265,0.9907078350665712,1.0531116494391362,1.0212807150767929,4.6000000000000005
47,0.9640980134526984,1.0278303344422848,1.0431180351095743,0.9957646966695481,1.048237903951925,1.0185856381000078,4.7
48,0.97724966089443,1.0292925597000688,1.0465268107493,0.9990617244808434,1.0400815503523604,1.0141536788685788,4.800000000000001
49,0.9893222403802288,1.029741774036716,1.045812697146144,0.9985867436532954,1.0310356915658176,1.0084777617368135,4.9
50,0.9988283360317103,1.0309942884105172,1.0421858055174953,0.993079325615124,1.0226428223319328,1.001903626118889,5.0
51,1.0049306833212375,1.03300577191325,1.0367616864293758,0.9835843505606175,1.015225513524916,0.9948641270700347,5.1000000000000005
52,1.0071117445639186,1.0341944249081874,1.0304418880540913,0.9736241885299695,1.0082842058348198,0.9879943302144889,5.2
53,1.0049655206616606,1.0327837129042716,1.0241227183532247,0.9667379023416582,1.0012542264935482,0.9821486086925657,5.300000000000001
54,0.9984520609697439,1.0279720400309162,1.018572838514967,0.9637189472166497,0.9941814816185431,0.9780788504598986,5.4
55,0.9884120808020408,1.0202096569534784,1.0139367332569151,0.962642307929001,0.9880449095822625,0.9758871890356233,5.5
56,0.9768950510381545,1.0108065039741057,1.009740864978099,0.9615332765585632,0.9843887208705892,0.975027663261833,5.6000000000000005
57,0.9666226377267675,1.001549483381438,1.0056988378219252,0.9605356609899041,0.9842124299420252,0.9750419575043608,5.7
58,0.9595545607529279,0.9944424767445474,1.0022968024349077,0.9611673302883389,0.9870894375264123,0.9761040283029632,5.800000000000001
