,Li-Li,Li-Cu,Cu-Cu,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,2.07088361467968e-07,0.0,0.0,0.5
6,1.8860683963656071e-06,0.0,0.0,0.6000000000000001
7,1.0973099824551438e-05,1.5554636928038487e-07,0.0,0.7000000000000001
8,4.960330815756137e-05,2.244685824029506e-06,0.0,0.8
9,0.00018264247409108462,2.0561285620726453e-05,1.211001144916491e-07,0.9
10,0.000552833888890156,0.00013045925406591897,3.1660748060571916e-06,1.0
11,0.001425693739817212,0.0006489029046568846,3.201256487282163e-05,1.1
12,0.0032749543870488813,0.0026557910870982655,0.0002104926898936058,1.2000000000000002
13,0.0071006849856242995,0.009126976499371078,0.001069817066203953,1.3
14,0.015110524033133867,0.026617641629068437,0.0044180337524499826,1.4000000000000001
15,0.03148724859843749,0.06642497402503834,0.015198938710237446,1.5
16,0.06235780558389767,0.14309232330936933,0.04412745210848143,1.6
17,0.11423544492909465,0.2687173550114012,0.10914698133952885,1.7000000000000002
18,0.191459994430887,0.4448604643625184,0.23201348678275732,1.8
19,0.2941690205574909,0.6574866153415811,0.42764299335415923,1.9000000000000001
20,0.4176790969756629,0.879925412915097,0.6902765087967493,2.0
21,0.552754687163371,1.0831130575658636,0.9871699005383691,2.1
22,0.6868065627815292,1.2462242735796853,1.2679536664519204,2.2
23,0.8071823059384962,1.360652738612693,1.4850186976283695,2.3000000000000003
24,0.9058036470100815,1.4266767580060224,1.6108358123224575,2.4000000000000004
25,0.9813645760710921,1.4483109881934084,1.6430743743373324,2.5
26,1.036934873219318,1.4313158686454865,1.5993766470319941,2.6
27,1.0757619516206356,1.3840242606853488,1.5075240734896247,2.7
28,1.0992982114751308,1.3175794155487546,1.394570956859987,2.8000000000000003
29,1.1080016068217151,1.2437696704203218,1.278515117636713,2.9000000000000004
30,1.1030515148615552,1.1718526080115126,1.1667168736654387,3.0
31,1.0875694338095234,1.1071008699760911,1.0610127447944893,3.1
32,1.066401706617382,1.0519453893535031,0.9640306029175576,3.2
33,1.0443627639070938,1.0076051853331298,0.8815658098339788,3.3000000000000003
34,1.0245612145090002,0.9741530684583107,0.8205217542714972,3.4000000000000004
35,1.0083552222173142,0.9501140054012981,0.785276374453445,3.5
36,0.9961494733852339,0.9336304237105526,0.7754158300083565,3.6
37,0.9876455746458368,0.9241321036966357,0.7860384884404291,3.7
38,0.9819838508711424,0.9220410054107007,0.8099401057321493,3.8000000000000003
39,0.9784339579283909,0.9270553555782444,0.840222097507627,3.9000000000000004
40,0.9767951751859575,0.9375301667389394,0.872145639489727,4.0
41,0.9769989140996505,0.9513592339749752,0.9036873785758259,4.1000000000000005
42,0.9788305466363343,0.9667739351733428,0.9347188176168817,4.2
43,0.9821239763282257,0.9824166042207163,0.9653344174691143,4.3
44,0.9867516957515113,0.9972563553699635,0.994328251467678,4.4
45,0.9923836036749261,1.0105406939556858,1.0189939854087364,4.5
46,0.9984928453393748,1.0215516276347896,1.0365091958236314,4.6000000000000005
47,1.0043717806927814,1.0293919688627522,1.045762102069307,4.7
48,1.0089265227880726,1.0332781005254157,1.0481681186583827,4.800000000000001
49,1.0107671679104429,1.0331510702323068,1.0467728117265802,4.9
50,1.0089725756862054,1.029790320791763,1.044112342879372,5.0
51,1.0039875429246259,1.0242625618052092,1.0405382344872458,5.1000000000000005
52,0.9976621213721444,1.0174972267981004,1.0346876196777628,5.2
53,0.9921778790539671,1.0104047791518425,1.0255620703606159,5.300000000000001
54,0.9888752865229086,1.0039609065589263,1.0137355509834685,5.4
55,0.9880933944261033,0.9988266509012732,1.0007232426951922,5.5
56,0.9895864297881686,0.9950181694110417,0.9880038778407444,5.6000000000000005
57,0.9925596034955988,0.9922484112831599,0.976868770814087,5.7
58,0.9955772293949656,0.9905351853509423,0.9683958930053003,5.800000000000001
59,0.9972141928178532,0.9902069977814342,0.9630325224459114,5.9
60,0.9970767397874513,0.9913247532309677,0.9604928679125975,6.0
61,0.9959901050894785,0.9933199096043684,0.9603797224901814,6.1000000000000005
62,0.9951211549994678,0.9953228863769334,0.9627418031661651,6.2
63,0.9950409965639625,0.9968400067471127,0.9677908009691459,6.300000000000001
64,0.9955419361482916,0.9980195746008473,0.9751669109815243,6.4
65,0.9961172993960644,0.9992196136535341,0.9837366859427921,6.5
66,0.9965312896704855,1.0004459390550275,0.9922546644557864,6.6000000000000005
67,0.9968850392310208,1.0013560003433526,1.0000907488727757,6.7
68,0.9971700423224583,1.0017137253271258,1.0070980236115878,6.800000000000001
69,0.9970380491230176,1.001642988528645,1.01273550450947,6.9
70,0.9962031552129011,1.0014290176152396,1.0156556431157093,7.0
71,0.9948893778441572,1.0011813661494224,1.0145963680954513,7.1000000000000005
72,0.9936412762334887,1.00071836845273,1.0097809324159757,7.2
73,0.9927791070233288,0.9997551212291043,1.003162392008913,7.300000000000001
74,0.9921450448360111,0.9982093333205029,0.9969781877518804,7.4
75,0.99137251015625,0.9963846615265226,0.9921325217572556,7.5
76,0.9904591537788998,0.9949207138395486,0.9881667228082178,7.6000000000000005
77,0.9900729035455258,0.9945313291301884,0.9845325798532796,7.7
78,0.9910439680620778,0.9956392663213417,0.9814746778932164,7.800000000000001
79,0.9934192531704393,0.998074595460304,0.9797108322355922,7.9
80,0.9961739222695939,1.0010400448018077,0.9795540256961234,8.0
81,0.9979553072588591,1.0034707591880896,0.9804673431237592,8.1
82,0.9980674410656373,1.004635762374995,0.9814795099357051,8.200000000000001
83,0.9967938593303262,1.0045113621591923,0.9820477059454187,8.3
84,0.9949607939922686,1.0036301875265805,0.9823872850518819,8.4
85,0.9932482267467577,1.0026496428150107,0.9827750868273618,8.5
86,0.9918661966143973,1.0020664645609623,0.9827345349430091,8.6
87,0.9908305092701296,1.00211967371442,0.9812986566406392,8.700000000000001
88,0.9903489032598177,1.0027651089973202,0.9781287174787933,8.8
89,0.9906685884560789,1.0037462246310271,0.974150141081209,8.9
90,0.9915651586102001,1.004731733914732,0.9709747427849172,9.0
91,0.9923193145538077,1.0054159806856677,0.9696794835980448,9.1
92,0.9923649710076526,1.0055687849187926,0.9700237667276486,9.200000000000001
93,0.9918374509645627,1.0050578615633758,0.9707483216928762,9.3
94,0.9914664895926721,1.003850962702463,0.9706317311816478,9.4
95,0.9920474045779722,1.0020571359416615,0.9693889880804984,9.5
96,0.9939510939714371,1.000016920803717,0.9678352394075913,9.600000000000001
97,0.9969077561717399,0.9982743455180669,0.9672753071892198,9.700000000000001
98,1.000136209397862,0.9972876570228525,0.9684433943303069,9.8
99,1.0027549732728707,0.9970724616905067,0.9707467176308656,9.9
100,1.0041762353504498,0.9971918805443858,0.9725804198718664,10.0
