,Li-Li,Li-Si,Li-As,Si-Si,Si-As,As-As,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,9.674869452131525e-07,0.0,0.0,0.0,0.0,0.0,0.8
9,9.451187114637652e-06,3.570886072297679e-07,3.570886072297679e-07,0.0,0.0,0.0,0.9
10,5.9664375912893536e-05,4.2395955415537536e-06,3.2840528796148357e-06,5.972141637118226e-07,7.962855516157633e-07,3.1851422064630532e-06,1.0
11,0.00029193779632058394,3.350625851977117e-05,3.0062557667878958e-05,1.0862375558589763e-05,1.1267144324871899e-05,4.3639233705451543e-05,1.1
12,0.0011571231568789293,0.00019197370520907404,0.00018792230854971113,0.00010149517120081187,9.145859906330339e-05,0.00027008507144332726,1.2000000000000002
13,0.00381359766368154,0.0008844696378645712,0.0009342604703635169,0.000647344566306956,0.0005251214194761158,0.001324588161258609,1.3
14,0.010656924708082728,0.003388489260439888,0.0038567523053304525,0.0031824519863607593,0.002387179697205516,0.00521144010644834,1.4000000000000001
15,0.025735539439420578,0.010982610029895982,0.013415768392335417,0.01275311604233303,0.00891999914724986,0.016698695396573603,1.5
16,0.054702258614742934,0.030443857175746814,0.039625305578684863,0.042506261986816105,0.027824953138251993,0.044544426139942334,1.6
17,0.1040397901841664,0.07283792980249562,0.10004097027309385,0.11871877582685551,0.07302916446226684,0.10128456146071466,1.7000000000000002
18,0.1794574030157322,0.15175490074471526,0.2176929646448512,0.2793040401939751,0.16261193353771766,0.20125134389072508,1.8
19,0.2835991988261107,0.2778939504007761,0.41241121099536604,0.556567050782962,0.31021427485809167,0.35618519672990595,1.9000000000000001
20,0.41364232250844085,0.45169313850777054,0.687642723655577,0.9459578012005071,0.5131619441591343,0.5661422242995501,2.0
21,0.5601964549030564,0.658765692889544,1.0205265540968778,1.3841310047937554,0.7466341548243173,0.8079686152970301,2.1
22,0.7090539909236157,0.8726872236448007,1.363551023048426,1.765376644000749,0.9701704435483796,1.0349969639087457,2.2
23,0.845610837896034,1.0645601634272954,1.6591216630760959,1.9947921830739797,1.1422860392834038,1.1977153191141463,2.3000000000000003
24,0.959350465915676,1.2131042802922922,1.859775396997749,2.03741362692214,1.2341969878069305,1.2701664189102573,2.4000000000000004
25,1.0456496950086769,1.3092796394837638,1.9440361821631493,1.9247837090822644,1.2379095681699082,1.2569400132270356,2.5
26,1.104589473492933,1.3550228591063462,1.9209135238751838,1.722767272662631,1.167194251388031,1.1793701014972655,2.6
27,1.1386510669387013,1.3592658457891045,1.8214364419337203,1.4943726641854478,1.0508295588924363,1.0611462852725908,2.7
28,1.1512794432534954,1.333661128077203,1.6830982330920754,1.2816762609535999,0.9213732942419681,0.9246761824687374,2.8000000000000003
29,1.1465888518382479,1.2893417069429627,1.5370745824969692,1.1059821837613597,0.8052035678880998,0.7914645279706316,2.9000000000000004
30,1.129033566999024,1.2356081134798342,1.4029034840574448,0.9743294965372125,0.7171299574764001,0.6794821715745152,3.0
31,1.102854928697586,1.179975569284768,1.2885492568953332,0.8847901834391158,0.6605281085679781,0.5996971309178302,3.1
32,1.0721940921142912,1.1280704895506144,1.1934209124692472,0.8302695967415676,0.6321263804511914,0.5544440519125978,3.2
33,1.0413670118776048,1.0829708831163976,1.1132184025727825,0.8022277006848672,0.6274575934597434,0.5372909160501875,3.3000000000000003
34,1.0139831821483203,1.0450413683116946,1.0443570892035847,0.7932551728784436,0.6428916906124212,0.5359255622206535,3.4000000000000004
35,0.9917399967392209,1.0131801159906022,0.9856575738039365,0.7974151925202363,0.6741990680451257,0.5394240754191391,3.5
36,0.974829527726108,0.9868774474856601,0.9375992239421312,0.8098538908936972,0.7152545960083503,0.5448888645287516,3.6
37,0.9634095916764966,0.967184860974891,0.9013434996871771,0.8270057853043148,0.7596425075040987,0.55618332475065,3.7
38,0.9578429652716519,0.9554964110851139,0.8782647834738867,0.8467445524964194,0.8037940401280921,0.5764011796763241,3.8000000000000003
39,0.957681724088605,0.9516199528741957,0.8689982984823241,0.8677071702151712,0.8476586176963538,0.603765821723087,3.9000000000000004
40,0.9613196242200143,0.9534849059506534,0.8719772785830242,0.8883316464673897,0.8916306235637984,0.635211246084474,4.0
41,0.9667261190778066,0.9586448761751318,0.8831770192696465,0.9067550620451514,0.9333079411258907,0.6709683390729926,4.1000000000000005
42,0.9722256645633336,0.9657971315382657,0.8980972480238808,0.921873024597247,0.9680386697583723,0.7137034447988696,4.2
43,0.9770569772675716,0.9750357285445399,0.9142235528547096,0.93420814360355,0.9927630364687581,0.7645872496657795,4.3
44,0.9816648272239463,0.9869120915531745,0.9315672527452888,0.9452574257280749,1.0087557649986294,0.8210051900761257,4.4
45,0.9870803266284877,1.0011412438530152,0.9510016567942149,0.955913201182426,1.0201881952317409,0.8768439365306542,4.5
46,0.99355467019609,1.0159445348068956,0.9720238165383983,0.9656809213875662,1.0304416098618288,0.9244023984065444,4.6000000000000005
47,0.9998364717379861,1.0286004327784688,0.9918173208343672,0.9732231015404968,1.0404960074287255,0.9572529908484053,4.7
48,1.003914197268954,1.0368067725615069,1.0066718413541547,0.977461237324102,1.0501684639571243,0.972919312122911,4.800000000000001
49,1.004603466931404,1.039685265933555,1.014559261209946,0.9783733734398532,1.0592015903271006,0.9737142680194506,4.9
50,1.0025803038816652,1.037760917576286,1.0159494711694617,0.9770737931660503,1.0669269441361027,0.964839979098243,5.0
51,0.9998829210184454,1.0323079935487243,1.0120745898648085,0.9752212658128342,1.0721900813786882,0.9502791608768318,5.1000000000000005
52,0.998369488717248,1.0247457060295209,1.0035089172462486,0.9741692048737256,1.0741649920703775,0.9299790725376943,5.2
53,0.9986511196622746,1.0163846356101802,0.991062928070429,0.9744805378850768,1.0727729439088556,0.902704191992635,5.300000000000001
54,1.0003845893968253,1.0084374971950227,0.9769021975116199,0.9761215668189059,1.0682922467086904,0.8718784213401036,5.4
55,1.00316071465736,1.0019781091800952,0.9637821827615997,0.9788460308229169,1.061107440236687,0.8459495097821973,5.5
56,1.0066654518145348,0.9976806806049703,0.9538226522752876,0.982057991019957,1.0521530088180342,0.8318811037231685,5.6000000000000005
57,1.010142586524422,0.9955300620113432,0.9484945910595192,0.9844724122741918,1.0433976653516526,0.8304921216291049,5.7
58,1.0123750945087615,0.994755907823504,0.9485687437842457,0.9844605946444609,1.0373105631060149,0.8392010276778269,5.800000000000001
59,1.0124189758186066,0.994223540114502,0.9530907862954393,0.9812041519670649,1.0355336010936351,0.8562623326396378,5.9
