,Li-Li,Li-Cd,Li-Si,Cd-Cd,Cd-Si,Si-Si,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
6,9.583363163754787e-07,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,8.544885662311876e-06,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,4.872364412691907e-05,0.0,0.0,0.0,0.0,0.0,0.8
9,0.0002181115885364501,0.0,0.0,0.0,0.0,0.0,0.9
10,0.0007846343128747423,8.696014722666381e-07,3.91320662519987e-06,0.0,0.0,0.0,1.0
11,0.0022977723819502882,1.243461621801831e-05,3.852520164224193e-05,0.0,2.601577811767227e-07,7.804733435301682e-06,1.1
12,0.005597401859216216,9.039676707149277e-05,0.0002419978043988933,0.0,3.3399886163837766e-06,0.00010677384562184917,1.2000000000000002
13,0.011703934925083929,0.0004853892980792202,0.0011755771549612755,0.0,2.6999204320272012e-05,0.0007659560553969048,1.3
14,0.02194606432516689,0.0020904935188499557,0.00461270439461421,7.761732149156768e-07,0.00015906243201083782,0.004039562078591008,1.4000000000000001
15,0.03872801966934441,0.0074100839403768185,0.01496702937925273,9.677241537721428e-06,0.0007556295875379785,0.01698587090272245,1.5
16,0.06649355434424471,0.021986034309473972,0.04086666704351849,7.569527722180801e-05,0.002999862765663803,0.05846258625140746,1.6
17,0.11159679978739899,0.055397784458260484,0.09543188027996517,0.00043051339491364214,0.010104197790117658,0.16658805811168745,1.7000000000000002
18,0.1802900964682107,0.1202362723843225,0.1935870412314541,0.001959650182436232,0.029308094531528814,0.39629339468966895,1.8
19,0.27559737302177256,0.22795195175729493,0.34601547558191414,0.007376826936697982,0.07378024269332817,0.7935631652473059,1.9000000000000001
20,0.39488099967915774,0.38252612764308885,0.5519461515727629,0.023359900113546616,0.16195895934797105,1.349370068916237,2.0
21,0.5298880463096753,0.5752907306537797,0.7950279059559091,0.06278612038467897,0.3108103896359885,1.9672363355846552,2.1
22,0.6694238618939136,0.7850364427253768,1.0459329296378455,0.14413886567226036,0.5226954716439389,2.486618660522799,2.2
23,0.8023372317210683,0.9847395711573051,1.2712063059121188,0.2844056477979336,0.7738738370346949,2.762080371320868,2.3000000000000003
24,0.9186155796747395,1.1513325907443948,1.443443365219763,0.48595485816373196,1.0178748771891049,2.7410163878112965,2.4000000000000004
25,1.009856354918685,1.2726069107305653,1.547748795526317,0.726323146991148,1.206739265865361,2.4795478569927623,2.5
26,1.0715285380068185,1.3481286851821992,1.583104966092706,0.9629458016583662,1.3141884997809885,2.0941502829207423,2.6
27,1.1053780520805392,1.385242456166168,1.5602609650350279,1.1533419233677864,1.341971700238115,1.6969133501840186,2.7
28,1.118112693575748,1.3934777565275551,1.4974176189837218,1.274622103726465,1.3091599126691789,1.3575873008800845,2.8000000000000003
29,1.1171492931269065,1.3806930163351996,1.4144221615092285,1.3270119257177888,1.2387745414050793,1.1006483651870942,2.9000000000000004
30,1.1080614266647255,1.3522922283479475,1.3274365831885355,1.32472367835738,1.1511072630270525,0.9219284705313501,3.0
31,1.095039892275252,1.3123692071376443,1.2462812074996428,1.2870367787037895,1.061907514682429,0.8064317656446381,3.1
32,1.0814409085353025,1.2648084243654978,1.174774060294701,1.2332743036690579,0.981492618347207,0.7381492435040229,3.2
33,1.06892489516445,1.2133618714823595,1.1130279212750316,1.1781250542961907,0.9148190520763874,0.7034928039273919,3.3000000000000003
34,1.0568852918200655,1.1612606346040777,1.0602022402120739,1.1281730042674514,0.8635162085640694,0.6927613047427763,3.4000000000000004
35,1.0435020171401832,1.111221720032879,1.0159102706304972,1.0829130519631571,0.8282775787014963,0.700014245835015,3.5
36,1.0274087558943965,1.0655380058191581,0.9798681419749563,1.0392745153168825,0.8093465800927426,0.7210394398697281,3.6
37,1.0086477585978435,1.0259175288535476,0.9514787589305647,0.9957512678961596,0.8055272289721772,0.7517737415014376,3.7
38,0.9888999706515957,0.993613315019931,0.9305604801166689,0.9536141573322663,0.8140977200806565,0.7882930259288311,3.8000000000000003
39,0.9710468427691082,0.9696024383598774,0.9178381349575385,0.9154169665586911,0.8319894560262313,0.8267161123305727,3.9000000000000004
40,0.9578000369737779,0.9540250660227181,0.9139884155298416,0.8830124007354289,0.8566703528534145,0.8626310641833552,4.0
41,0.9503750975429619,0.94545290680525,0.9183499865847012,0.8569866282624298,0.8859003106495879,0.8919895903396606,4.1000000000000005
42,0.9485560197516518,0.9414041962966937,0.9286608439552927,0.8377567242003258,0.9170874444734413,0.9135819890337659,4.2
43,0.9515006068798862,0.9398104368000251,0.9417115269316585,0.827046044416409,0.9472981964467231,0.9297398067835382,4.3
44,0.9579412022214828,0.9398740334032003,0.9543698839010023,0.827654496085255,0.9740510445135755,0.9436155101455856,4.4
45,0.9661322651110839,0.9417869494159736,0.9648404276024672,0.8411141300743441,0.9959581956766607,0.956245023934755,4.5
46,0.9745282347262442,0.9461492896299944,0.9734387909764904,0.8658618387489091,1.0125485589503553,0.9664190447451741,4.6000000000000005
47,0.9826741835531777,0.9536452054538378,0.9818858959202788,0.8978924999193111,1.0237780083402042,0.9721236877444219,4.7
48,0.9910548284287996,0.964641706159365,0.9914282550114382,0.9322340811005689,1.0299124255039451,0.9718673152621186,4.800000000000001
