,Sr-Sr,Sr-Si,Si-Si,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.7000000000000001
8,0.0,0.0,0.0,0.8
9,0.0,0.0,8.272693430867001e-08,0.9
10,0.0,0.0,9.82189671584151e-07,1.0
11,0.0,0.0,1.1255909512890597e-05,1.1
12,0.0,0.0,9.651262682244681e-05,1.2000000000000002
13,0.0,0.0,0.0005856359667500289,1.3
14,0.0,4.445718102001048e-07,0.0028149185004250395,1.4000000000000001
15,0.0,5.00053362062842e-06,0.011146069853610862,1.5
16,0.0,3.6208676703715974e-05,0.03684079402848124,1.6
17,0.0,0.00019830887426543987,0.10207728026923109,1.7000000000000002
18,9.549086810806985e-07,0.0008819931636792332,0.23822146480444528,1.8
19,1.0949371282590972e-05,0.003281955782724561,0.47135919679020893,1.9000000000000001
20,7.394446377347738e-05,0.010421072495411424,0.7977808374078543,2.0
21,0.00037069702789419977,0.02860319206169599,1.1681004666518804,2.1
22,0.0015014074247149257,0.06852275609716699,1.5003399316363994,2.2
23,0.004997728430979862,0.14440492050988665,1.718639257746528,2.3000000000000003
24,0.013870068243941748,0.26964797089707854,1.7888270004148186,2.4000000000000004
25,0.032600420057868076,0.44959431760256025,1.7261120866118786,2.5
26,0.06620719256430406,0.6753318078346505,1.5769835496672406,2.6
27,0.11899745677290537,0.9234582938008085,1.3942659307656202,2.7
28,0.19404722913397238,1.1631608692856963,1.219518871138285,2.8000000000000003
29,0.2928649803447796,1.3664561229832015,1.075908469355378,2.9000000000000004
30,0.4135363706520322,1.5156467949069266,0.9696286447533806,3.0
31,0.5480071697137747,1.6051551705006235,0.8966040403703234,3.1
32,0.6823480669023178,1.6390987933821801,0.849867190954755,3.2
33,0.8018403794308759,1.627530369366323,0.8234515978787021,3.3000000000000003
34,0.8969029979821046,1.5833691040200115,0.8124140716533474,3.4000000000000004
35,0.9644292199113296,1.5199963204750757,0.8119145202039697,3.5
36,1.0047251574525367,1.4485131633566144,0.8177792467187167,3.6
37,1.0194661884442735,1.375339757268383,0.8277100191791111,3.7
38,1.0133759913260705,1.302400554631201,0.8410159556031185,3.8000000000000003
39,0.9955494377408766,1.230145007316884,0.8569059367906454,3.9000000000000004
40,0.975871315901886,1.160644959790328,0.8734875243556396,4.0
41,0.9592076557388824,1.0980799742901013,0.888634657255148,4.1000000000000005
42,0.9444536900304639,1.0467359215485947,0.9014036702508371,4.2
43,0.9294729566425,1.008850458122952,0.9121692565781303,4.3
44,0.9153154030937456,0.983969346083726,0.9215204180214083,4.4
45,0.9052497043260783,0.9695631657183045,0.9293806633837584,4.5
46,0.9015895249806243,0.9623765210735782,0.9350651972673283,4.6000000000000005
47,0.9044470749094915,0.9603650442025224,0.9377244683082391,4.7
48,0.9124234936583804,0.9639457869824062,0.9368049832459268,4.800000000000001
49,0.9236463619847166,0.9746087987963924,0.9327119323668527,4.9
50,0.9365763334612249,0.9917167264803037,0.927331720017291,5.0
51,0.9500716962235939,1.0109857954062125,0.9235661810657627,5.1000000000000005
52,0.9627701859850448,1.0265437883108766,0.9239671306298819,5.2
53,0.9730462740063245,1.034564834461149,0.9295622349081141,5.300000000000001
54,0.9796978626401851,1.035058749501574,0.939637902346103,5.4
55,0.9824350812073833,1.03059672508241,0.9523913424007306,5.5
56,0.9821461629789624,1.0237806774537614,0.9658690591659919,5.6000000000000005
57,0.9810760966541145,1.015941800599998,0.9786456473494403,5.7
58,0.9822021379984001,1.0076408442693539,0.9899641779604031,5.800000000000001
59,0.9877391796268455,0.9996056522348772,0.999431929597944,5.9
60,0.9979935136036587,0.9928730071020535,1.006707013668863,6.0
61,1.0114780874244567,0.9881999855904995,1.0116204670361817,6.1000000000000005
62,1.026141495357475,0.9855101975090776,1.0146113039919398,6.2
63,1.0405312326191123,0.9839723188906,1.016782298412971,6.300000000000001
64,1.0537591138727755,0.982649675526867,1.0192376141742179,6.4
65,1.0644942564203934,0.981107410361732,1.0222657463451343,6.5
66,1.0703083594539082,0.9794947924769936,1.025106062586356,6.6000000000000005
67,1.0687311185643449,0.978199017089015,1.0264934273836395,6.7
68,1.0599605568042672,0.9775495364604487,1.0255757354203139,6.800000000000001
69,1.048605030136135,0.9778197822657321,1.0224772296288263,6.9
70,1.0412341232390898,0.9792325288122237,1.0181077989579794,7.0
71,1.041153381522589,0.9817051265104821,1.013604101451654,7.1000000000000005
72,1.0459057647920442,0.9846276630828689,1.0099268429703856,7.2
73,1.0498302536169388,0.9870610657519019,1.0076548645097751,7.300000000000001
74,1.0484436869995748,0.98822254158577,1.0069093892735286,7.4
75,1.0408929238129512,0.9878626019424119,1.0075135726429985,7.5
76,1.0294500567136102,0.9862887946125215,1.0092051021441386,7.6000000000000005
77,1.0171955352437896,0.9840242905600908,1.011582253552027,7.7
78,1.0061318944353537,0.9814432216111354,1.0139679424084131,7.800000000000001
79,0.9972399370936319,0.9787926493515208,1.015605348906446,7.9
80,0.9915662377647991,0.9764753402358975,1.01605910692574,8.0
81,0.9902673747627699,0.9750588710989909,1.0153934360491372,8.1
82,0.9933480186167772,0.9749481384149485,1.0140498813764494,8.200000000000001
83,0.9988050248025723,0.9761654795507082,1.012594710898382,8.3
84,1.0032776390815195,0.9784218032548394,1.0113803306995388,8.4
85,1.00371937955995,0.9812772918269036,1.010274890879555,8.5
