,Li-Li,Li-C,C-C,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,3.86642688432487e-05,0.30000000000000004
4,0.0,0.0,0.0008007629619409789,0.4
5,2.232475916221175e-07,0.0,0.005715685871529392,0.5
6,2.129486503019614e-06,8.662234358603076e-07,0.02929557959940292,0.6000000000000001
7,1.3379207643614215e-05,1.0846682487517165e-05,0.11907381530131217,0.7000000000000001
8,6.532785268405751e-05,8.306746009992829e-05,0.3876873792576743,0.8
9,0.00025949368764434074,0.0004623229277672446,1.013775064249916,0.9
10,0.0008620879142760547,0.002064439323998127,2.1348797289796484,1.0
11,0.0024518177963174345,0.0076323876475164,3.6323624809059054,1.1
12,0.0061138400236487485,0.02374434110285894,5.013065868896215,1.2000000000000002
13,0.013686805787244061,0.06284307803622503,5.639541706445102,1.3
14,0.02807604031636324,0.14291706965552065,5.204486789547391,1.4000000000000001
15,0.05350442403163992,0.2821311612708011,3.9751795648322483,1.5
16,0.09527676022148757,0.4886208946187909,2.546789140369847,1.6
17,0.15845867106035458,0.7507207347853403,1.3993803111250613,1.7000000000000002
18,0.2455141777045261,1.0353067819980915,0.6874455684141073,1.8
19,0.3542304283318531,1.297903997081635,0.32981904470854384,1.9000000000000001
20,0.4777756483178362,1.4997143587642925,0.18546331629109084,2.0
21,0.6071166457658649,1.621108744457654,0.15130121696907006,2.1
22,0.733666354654147,1.6641203635807869,0.17417905311375584,2.2
23,0.8501002234972664,1.6453324965143385,0.22899573346653115,2.3000000000000003
24,0.9499914011803211,1.5863600285236252,0.29848260084768735,2.4000000000000004
25,1.0284629816256758,1.5072697232554009,0.36536349807575935,2.5
26,1.0839613343344439,1.4234493083400668,0.4150127944289753,2.6
27,1.1188439734393218,1.344581259127725,0.44208264067458275,2.7
28,1.1376605905993271,1.2751399277065762,0.4532567195594481,2.8000000000000003
29,1.1447023271612482,1.2158972154192595,0.46261217668576976,2.9000000000000004
30,1.142775989645245,1.1653857044470906,0.48298407111964237,3.0
31,1.1335097080221894,1.120931706072442,0.5198060495556007,3.1
32,1.1183133381988515,1.0798352847248236,0.5709740604033259,3.2
33,1.0990075295045165,1.040649055036377,0.6307334909197179,3.3000000000000003
34,1.0776740737642636,1.0035857197678313,0.6933146629560424,3.4000000000000004
35,1.0561501152870794,0.9698133438202613,0.7544249271475987,3.5
36,1.0359395860702503,0.9406498335368895,0.8115598676736121,3.6
37,1.0184115937810267,0.9173515586814309,0.8639797177674626,3.7
38,1.0045497459884103,0.9009724951635147,0.9119991374909047,3.8000000000000003
39,0.9944375350254488,0.891886736634141,0.9556895084477103,3.9000000000000004
40,0.9873272962506549,0.8895594341707662,0.9939864809845351,4.0
41,0.9823752425404368,0.8929048966548012,1.024957667410986,4.1000000000000005
42,0.9792548504778624,0.9005749193621793,1.0469860427489286,4.2
43,0.9781039785561569,0.9108482223577065,1.0600262505856481,4.3
44,0.9790110684259887,0.9218401200623274,1.0659412047976833,4.4
45,0.981681401052168,0.9322778355318795,1.0673806324957158,4.5
46,0.9855591737192507,0.9418355601626341,1.0661895974078626,4.6000000000000005
47,0.9900089558941625,0.9506080469798431,1.0629455182727363,4.7
48,0.9942802330387265,0.9587507457558528,1.0574537319198536,4.800000000000001
49,0.9974665146611015,0.9668046437659782,1.049186692683713,4.9
50,0.9987067384835359,0.975640966019927,1.037950906362767,5.0
51,0.9975973665031813,0.9854606676711665,1.0248822659899102,5.1000000000000005
52,0.9946170792296586,0.9951178402327104,1.0124010601007316,5.2
53,0.991205641750279,1.002832381724755,1.0026852532051438,5.300000000000001
54,0.9891507213827105,1.0074509060577865,0.9963564647073685,5.4
55,0.9895170965064453,1.0089303375278356,0.992472083718628,5.5
56,0.9919648209951891,1.00805986186346,0.9891327851143922,5.6000000000000005
57,0.9951087798579001,1.006099993008761,0.9841852426170128,5.7
58,0.9975405199969324,1.004380883765904,0.9762394242689839,5.800000000000001
59,0.9986639421558589,1.0037026653432801,0.9657289878824467,5.9
60,0.9988899635408915,1.0039302031361128,0.9550457887836182,6.0
61,0.9990945031024537,1.004262924151774,0.9472259626361962,6.1000000000000005
62,0.9997196858688592,1.0039696424078408,0.9439634758193939,6.2
63,1.000418854733749,1.0029576537493088,0.9445323538916788,6.300000000000001
64,1.0005682446558393,1.0017877648377358,0.946453712727127,6.4
65,0.9999095066802788,1.0012341964136149,0.9474676033598906,6.5
66,0.998606095211481,1.0017253950971323,0.9474355007887681,6.6000000000000005
67,0.9969158939403406,1.0030098010473032,0.9484481962621484,6.7
68,0.9950819994879241,1.0042577653192875,0.9527567128260124,6.800000000000001
69,0.9934875552973383,1.0046020158458966,0.9604411714122596,6.9
70,0.9926224220428335,1.0038147906361248,0.9691793155650249,7.0
71,0.9927025583041261,1.002501095523694,0.9762634458226368,7.1000000000000005
72,0.9933983750123776,1.001502125540092,0.9807567198506133,7.2
73,0.9941109683093104,1.0011137546147522,0.9837970442062971,7.300000000000001
74,0.9944888384724206,1.0009698896166561,0.9870283271554986,7.4
75,0.9945705085758259,1.0005608388934988,0.9909548999457377,7.5
76,0.9945354960828343,0.9997266309240948,0.9949367768699479,7.6000000000000005
77,0.9944848041595152,0.9987250137234486,0.9984073981071844,7.7
78,0.9944423863256356,0.9979460848388463,1.0013824402054479,7.800000000000001
79,0.9944340072792087,0.9975783708250217,1.003797708005733,7.9
80,0.9945253055345245,0.9974796058601002,1.0051728661356598,8.0
81,0.9948408262870195,0.9973265406253388,1.0052928910537249,8.1
