,Li-Li,Li-Si,Li-Sb,Si-Si,Si-Sb,Sb-Sb,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,2.5763690059190326e-06,0.0,0.0,0.0,0.0,0.0,0.8
9,1.9082217816398044e-05,1.9018179513127806e-07,0.0,0.0,0.0,0.0,0.9
10,0.00010630626583051553,3.1061532055441145e-06,0.0,1.6963746541030667e-07,0.0,0.0,1.0
11,0.0004631885847155532,2.4708166406976335e-05,1.2180063998435316e-06,5.52144842740467e-06,0.0,0.0,1.1
12,0.0016267202609002638,0.00014417110563488033,1.0415713666466417e-05,6.587487269548955e-05,4.1221904094704523e-07,0.0,1.2000000000000002
13,0.004706516462991525,0.0006741680089164257,6.767971189484836e-05,0.00046684077615745303,9.29348098770357e-06,0.0,1.3
14,0.01152011200046424,0.0026120339911160214,0.0003465989189549614,0.0024407419393085036,8.045775229356369e-05,0.0,1.4000000000000001
15,0.024621385846826663,0.008557540614256605,0.001459384205712331,0.010260277626608172,0.0004906678614515137,8.311915129367009e-07,1.5
16,0.04736181623216986,0.024075706213978306,0.005217184604534566,0.03550872615232577,0.002332764050616309,1.1145313967811606e-05,1.6
17,0.08384338054547681,0.05877877081085104,0.016160324763355126,0.10210490877173303,0.009060060871026655,9.335127666943832e-05,1.7000000000000002
18,0.13795160411864488,0.12538813254261175,0.04380425070358744,0.24571019046268427,0.02933560234784678,0.0005353141591463308,1.8
19,0.21139603732894732,0.23487968244347046,0.10419986756345617,0.49878947890855047,0.0800349871694363,0.0024177785747208167,1.9000000000000001
20,0.3021660793248347,0.388359023961952,0.21754308392104982,0.8623318155028721,0.1855850502990291,0.008963151773922916,2.0
21,0.40515745308507495,0.5713510102161685,0.3990769428147573,1.2842275320989762,0.36879127318938987,0.02754242942057397,2.1
22,0.5145433653784147,0.7575880639601773,0.6459317447058612,1.669399093427826,0.6337500154564221,0.0705485177104433,2.2
23,0.6253509841206116,0.9216143651121238,0.9295463830540016,1.9226976877765412,0.9519129995926308,0.15163961664204817,2.3000000000000003
24,0.7328226291162981,1.0496793149005714,1.2027379946616505,1.9951423428253732,1.2659838247147368,0.27624160914369084,2.4000000000000004
25,0.831192394481376,1.1403614221399179,1.4193957428666333,1.9017782164329018,1.5135172588274062,0.43259154225750823,2.5
26,0.9143353212832737,1.1982283256775856,1.553415174131467,1.7045664178172488,1.654141188628197,0.5934771863112658,2.6
27,0.977859867111326,1.228743235158635,1.6047911036784583,1.4774100676723674,1.6819214450249667,0.7297225471408265,2.7
28,1.0203105622857556,1.2369293244724442,1.5924328212987005,1.2756208468838923,1.6188580463152573,0.8239666333369862,2.8000000000000003
29,1.0426481624322825,1.2274325559535442,1.5417714979034371,1.123229485076982,1.4992846316981727,0.8747575193697076,2.9000000000000004
30,1.0471109690530216,1.204564560141673,1.474461252641173,1.0186470590376273,1.3565855184014917,0.892429375827326,3.0
31,1.0370022016281615,1.172434421962849,1.4033750134204186,0.9492653978535138,1.2165350260793233,0.8922029652444828,3.1
32,1.017384787602918,1.1351009984557854,1.3332507276044088,0.9034693906246523,1.0952027772752844,0.8868352450436662,3.2
33,0.9944699645495034,1.0964224514350402,1.2649948380867801,0.874823168586182,0.999245027149269,0.8818540329223764,3.3000000000000003
34,0.9729457215888735,1.0596339435025797,1.1996959840232218,0.8606243038942355,0.9287249843842837,0.8767604879000367,3.4000000000000004
35,0.9541501205429915,1.0271083476115546,1.1397723443958614,0.8589235037566159,0.8813760092235281,0.8702412566117026,3.5
36,0.9374396916350364,1.0006187631183496,1.0881109571786192,0.8663372511435518,0.8548223211186909,0.864005253171273,3.6
37,0.9228683034862812,0.9814385206831016,1.0471055265514977,0.8779604989857968,0.8456251156395396,0.8628946130276265,3.7
38,0.9114948735064454,0.9698118916138312,1.0177496286932646,0.8896417779963972,0.8484838484602276,0.8721005129409347,3.8000000000000003
39,0.9032254224818899,0.9648260702606338,0.9988001900488493,0.900402304571337,0.8580421589348345,0.8933346204137831,3.9000000000000004
40,0.8959416657742764,0.9653366449450167,0.9871237866762045,0.9120689118683043,0.8713473649580822,0.9228739674510967,4.0
41,0.8883018506763627,0.9706805080507362,0.9792542739816319,0.9261719753740464,0.8878616792315012,0.9533551996290601,4.1000000000000005
42,0.8830126938777072,0.9800467020087663,0.9725993294177321,0.9412585094674822,0.9072559943069111,0.9776144498830835,4.2
43,0.8853231679805111,0.9916448869714632,0.9657247839271775,0.9534058654533597,0.9277233410866282,0.9911230555413381,4.3
44,0.8976227774234045,1.0034174871035506,0.9583016237835724,0.9594938737144575,0.9463296909029906,0.9924770443436247,4.4
45,0.9164877159255782,1.0143819971081947,0.9508686834413783,0.9599842694291515,0.9607448415090275,0.9838252194980952,4.5
46,0.9353898538924956,1.024451874627247,0.9443149209465798,0.9584914233604334,0.9708748581179715,0.9714322552989783,4.6000000000000005
47,0.9495645966140133,1.0331474114046402,0.9397422897892829,0.9588050816137785,0.9789596467623073,0.9641848606481352,4.7
48,0.9581863228430914,1.0394292819637303,0.9387504005379956,0.9623391699713438,0.9876058176394932,0.9694441543567269,4.800000000000001
49,0.9632191872782688,1.0428212393884522,0.9429457378932117,0.9680377511856018,0.9972832024710522,0.9887720776374295,4.9
50,0.9676491921553296,1.0439157766504503,0.9523925085845726,0.9742121936578715,1.0058545271533694,1.0162144623774827,5.0
51,0.974470549609212,1.0436633200972778,0.9648785979029124,0.9802024006826511,1.0106983969379266,1.0403988153545456,5.1000000000000005
52,0.9853823562682075,1.0427227851024905,0.977164116099237,0.9863702013539343,1.0111801638367477,1.0503647573136587,5.2
53,0.9989508830861369,1.04138028626224,0.9868703136059999,0.9928544612861655,1.0091182095572955,1.0422812307439715,5.300000000000001
54,1.0107255832102637,1.0395651747019028,0.993259952477186,0.9987038887345013,1.0071646568575259,1.0217272205411616,5.4
55,1.0165001672146103,1.036985483893217,0.9970175515893107,1.0022134862660175,1.0068408267825069,0.9993769721182485,5.5
56,1.015593386759505,1.033501745249666,0.9996292374888189,1.0019333730359765,1.007881739567091,0.9842666785469876,5.6000000000000005
57,1.010660972895954,1.029251954086127,1.002310199646951,0.9975213596669343,1.0090398737264399,0.9799668287308366,5.7
58,1.004735721744395,1.0244289778482827,1.0050420417582553,0.9900349644809909,1.0092654969533956,0.9846838288200909,5.800000000000001
59,0.9989276062222392,1.0192117928166164,1.0068674261654795,0.9815976891983909,1.0082497380760167,0.9933164997007778,5.9
