,Si-Si,Si-Sn,Sn-Sn,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.7000000000000001
8,0.0,0.0,0.0,0.8
9,0.0,0.0,0.0,0.9
10,2.943465129098615e-07,0.0,0.0,1.0
11,5.155561282790217e-06,0.0,0.0,1.1
12,5.338072201513967e-05,4.4703876648185225e-07,0.0,1.2000000000000002
13,0.00036778681608840865,7.699691538711906e-06,0.0,1.3
14,0.0019009155349644933,6.528908861274025e-05,0.0,1.4000000000000001
15,0.00797147415876857,0.00038656099195787515,4.0563063877370324e-07,1.5
16,0.027730975438969314,0.0018082513792208813,7.115431689925803e-06,1.6
17,0.08061178276327499,0.006943516986277087,6.524273228675285e-05,1.7000000000000002
18,0.19681531973444022,0.022279553616721768,0.00039812526103995055,1.8
19,0.4060602385200682,0.06043974866429666,0.001879520555499752,1.9000000000000001
20,0.7137392312346914,0.13999855317353352,0.007246554017807994,2.0
21,1.0802393925411158,0.2795588672867653,0.02311623589938169,2.1
22,1.4265681872866451,0.4859182330685493,0.06144231204832565,2.2
23,1.67041754930594,0.7426482240213294,0.13711733367529724,2.3000000000000003
24,1.7675315030632357,1.0093406780193446,0.259438030246386,2.4000000000000004
25,1.7277711743539268,1.236186241277297,0.4217373228883046,2.5
26,1.5989567780303344,1.385602976082359,0.5990574982383469,2.6
27,1.4365281128514313,1.4458118106680387,0.7588252704553023,2.7
28,1.2808669491711515,1.4292085583959675,0.8766855294453011,2.8000000000000003
29,1.1511406299176998,1.3612530683290198,0.9452786988497515,2.9000000000000004
30,1.0512846592343603,1.2691312347607937,0.9723871412380054,3.0
31,0.9789866950939645,1.1745982491821623,0.973509128625685,3.1
32,0.9311150442175791,1.0912583483903,0.9639585068915834,3.2
33,0.9044554642173501,1.0253491640211698,0.95276352204992,3.3000000000000003
34,0.8945694490657654,0.9785061584214753,0.9409784616025499,3.4000000000000004
35,0.8958793206213903,0.9503347304168405,0.9257548904513199,3.5
36,0.9033876810061705,0.9391060253962965,0.9064512364297002,3.6
37,0.9140477526955442,0.9411213764212684,0.8872921075835278,3.7
38,0.9264703251177449,0.9509503046536064,0.8751745425981292,3.8000000000000003
39,0.9396926416274386,0.9632773825447031,0.875349980379443,3.9000000000000004
40,0.9523342791004146,0.9746539795550222,0.8885519275791423,4.0
41,0.9627402407089571,0.9836718546153529,0.9110509999267041,4.1000000000000005
42,0.9697976276697514,0.9902905476710115,0.9366141062216007,4.2
43,0.9735719963076852,0.9956644531968534,0.9590147637731947,4.3
44,0.9751494840314258,1.0019009465355435,0.973836606159759,4.4
45,0.9759521439253122,1.0104734205014874,0.9790528017933153,4.5
46,0.9770872384145647,1.0204645048225724,0.9752481525533585,4.6000000000000005
47,0.9789026960551733,1.0289875370620976,0.9663888966949568,4.7
48,0.9809553723519155,1.0335298938618904,0.9595471234124046,4.800000000000001
49,0.9825962864600094,1.0337510279471385,0.9612834063057427,4.9
50,0.9836199121054865,1.0314618712998294,0.9724407312391089,5.0
51,0.9841618129844903,1.0292722907558456,0.9867961049474022,5.1000000000000005
52,0.9841677127449407,1.0287808476811606,0.9962829684040782,5.2
53,0.9834303375528263,1.0295668730966463,0.9979596826398731,5.300000000000001
54,0.9821933235362406,1.0300762860038115,0.9952527627766676,5.4
55,0.9812370856244969,1.0295593766555484,0.9927609710787212,5.5
56,0.9810592458168214,1.028855104712751,0.9912578307734059,5.6000000000000005
57,0.9812650923543653,1.0291944125545016,0.9877693095236878,5.7
58,0.98111462757153,1.0305055508604304,0.9789108647245663,5.800000000000001
59,0.9805870359062014,1.0311394512613399,0.9638275642379498,5.9
60,0.980623771239703,1.0293300022309995,0.9454947301457761,6.0
61,0.9822846961566701,1.0249166306985085,0.930098195733209,6.1000000000000005
62,0.9857355312870151,1.0196043994738286,0.9240477966163876,6.2
63,0.9900082906628593,1.015545177193224,0.9299352393322474,6.300000000000001
64,0.9935990797595621,1.013743064546816,0.9446830941514366,6.4
65,0.9953072497825203,1.0137176576113631,0.9618507173635155,6.5
66,0.9947734785063747,1.0144383981061191,0.9759561923626361,6.6000000000000005
67,0.9925326535841311,1.0153816403639793,0.9846436009073156,6.7
68,0.9896210492582722,1.0166916117607212,0.9875837889274325,6.800000000000001
69,0.9869443496916999,1.0185333734103794,0.9847801427879277,6.9
70,0.9848107211506586,1.0205354513253357,0.9766396822944586,7.0
71,0.982955135048012,1.0219163211415718,0.965102223765889,7.1000000000000005
72,0.9810338218787201,1.0220104212618515,0.9536787278246511,7.2
73,0.979149427984488,1.0206551055537822,0.9459586306511731,7.300000000000001
74,0.9778927723717381,1.0182520560976036,0.9439376908350531,7.4
75,0.9778676090158894,1.0154993226964335,0.9474075251070209,7.5
76,0.9791740148376125,1.0129852379624673,0.9547719709197144,7.6000000000000005
77,0.9812794207419668,1.0109861815409424,0.9648335812742198,7.7
78,0.9833136237253283,1.0094322484471454,0.9779539517098932,7.800000000000001
79,0.9845317895107657,1.0078659816394646,0.9949779393620315,7.9
80,0.9845798369754091,1.005701232190475,1.0145504191582444,8.0
81,0.9834275423325989,1.0029074954261976,1.0320222482396313,8.1
82,0.9812642642078273,1.0004427230176594,1.0421516520030363,8.200000000000001
83,0.9785996465099572,0.9997477167856171,1.0431703070783498,8.3
84,0.9762825906385473,1.0015491276090343,1.0376526770773105,8.4
