,Li-Li,Li-Si,Li-Sn,Si-Si,Si-Sn,Sn-Sn,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,1.8168811235014225e-06,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,1.2645987256971143e-05,0.0,0.0,0.0,0.0,0.0,0.8
9,6.749507406328761e-05,0.0,0.0,0.0,0.0,0.0,0.9
10,0.00028328767467334596,1.8925845036473152e-06,0.0,1.5771537530394291e-07,0.0,0.0,1.0
11,0.0009548853648844347,2.0975790352592653e-05,8.493038492821746e-07,3.859446265792571e-06,1.415506415470291e-07,0.0,1.1
12,0.002645370378950133,0.00014056804285724156,1.2692126203156024e-05,5.038297441712649e-05,1.0507755838910552e-06,0.0,1.2000000000000002
13,0.006259544945043046,0.0007181682950616812,9.725409042662756e-05,0.0003848004679570586,9.576082774204218e-06,0.0,1.3
14,0.013360540987501533,0.0029535557623604908,0.0005405479089091499,0.0020917524480876418,7.033099973231473e-05,0.0,1.4000000000000001
15,0.02710172262383701,0.010053641255471571,0.0023923693254799365,0.00909917061156888,0.00039422461749085634,1.1591632876781282e-06,1.5
16,0.05330554222910162,0.02876948777841602,0.008715420063322826,0.03250195704973513,0.001818894107326418,1.2526728451950453e-05,1.6
17,0.09987870557360674,0.07012658957072401,0.0265371351035991,0.09613528842474421,0.007045574960436286,9.858015055279425e-05,1.7000000000000002
18,0.17318218228347151,0.14742150285015843,0.0683490229951494,0.23689918616291147,0.023027530978558572,0.0005529395950524844,1.8
19,0.2732609435248868,0.2706253661996117,0.15067245144859237,0.489847351413062,0.06369474172130915,0.002473152727062623,1.9000000000000001
20,0.3922330350323197,0.439491659672117,0.28777130921962857,0.8578067024350403,0.14992792587672882,0.009158087755405548,2.0
21,0.517941345864411,0.6402702661834999,0.48226324615545996,1.2869651994915292,0.3027490288508221,0.02839331257369077,2.1
22,0.6398312236473868,0.8491347266477491,0.7184598921586995,1.6773684935195439,0.5296148820152144,0.07408106186220317,2.2
23,0.7521353914575197,1.040120899213992,0.964355240666917,1.9305306200152184,0.8114083993950414,0.16346296157843976,2.3000000000000003
24,0.8525880502261299,1.1925855671700705,1.1829000641166858,2.0000770515614166,1.1018022326318533,0.30718693798596847,2.4000000000000004
25,0.9391996174352698,1.2953078585672262,1.3463105776383835,1.907620023127465,1.3441439305078573,0.4969147402218537,2.5
26,1.0086316707744793,1.3470721093430358,1.4443941303173966,1.7179688890680063,1.4966902419652752,0.7024180341396081,2.6
27,1.0571466423192015,1.3543726855741338,1.482796656907656,1.499625323685622,1.548516505121608,0.8853027458463665,2.7
28,1.0824939241801257,1.3278330065296464,1.4753974848288627,1.2993904784577195,1.5165450123041226,1.0198501259937043,2.8000000000000003
29,1.0855421549519646,1.279607084529586,1.4374313849265319,1.1388814311963809,1.4306822679903595,1.1023315711919257,2.9000000000000004
30,1.0711877898892903,1.2220078990204355,1.3818080288955108,1.022436539135743,1.320140801698774,1.142105865452896,3.0
31,1.0472915250004067,1.1655907001214765,1.3180212794801454,0.9452113057059437,1.2065469998875373,1.147689721496658,3.1
32,1.021201127091423,1.1165446508394006,1.2529011499884342,0.8984170652788245,1.1026652081553576,1.1233554342773164,3.2
33,0.9966472058161068,1.0759080144932078,1.1914648720022172,0.8728721967344883,1.0149060572998727,1.0751633016467443,3.3000000000000003
34,0.9743538751840947,1.0419798910620093,1.1365050616212662,0.86139887772851,0.9468671594439738,1.014766510722232,3.4000000000000004
35,0.9552531725002321,1.0135870059279708,1.0886691128648764,0.8598706990414012,0.9003212028942444,0.9561588799863888,3.5
36,0.9418803485511782,0.9909194523768692,1.0486010337926337,0.866745667294272,0.8738236041078508,0.9095902985487531,3.6
37,0.9365297360135637,0.9740252738142986,1.018527164303573,0.8811666835698538,0.8626432455849209,0.8779759032899835,3.7
38,0.9389417621131222,0.9618346320753897,1.0005649005137038,0.9006865415228855,0.8612244679275642,0.8582095385157702,3.8000000000000003
39,0.9459596668538404,0.9531552336722637,0.9938993091092402,0.9206627440796021,0.8656051268032353,0.8457671784021313,3.9000000000000004
40,0.952855042460546,0.9479567694321336,0.9945046965415926,0.9364435059858155,0.8740727833898546,0.8383631727522106,4.0
41,0.9556649032456038,0.9468705616088049,0.9974201272860967,0.94637991124519,0.8867919001975267,0.836647304369317,4.1000000000000005
42,0.9538434203835104,0.9496406096236879,0.99899490940518,0.9523736413059208,0.9050229993620073,0.8428047890111103,4.2
43,0.9509306904704821,0.9549829820812455,0.9978113643182409,0.9574525173793454,0.9297276380465127,0.8581763161886976,4.3
44,0.9517057911578862,0.9620212231217168,0.9944147498984804,0.9632868777483221,0.9599925931478103,0.8811754109652106,4.4
45,0.958252261397479,0.9708381068708364,0.9903059550239888,0.9700522424211674,0.9924147322238582,0.9075764541442994,4.5
46,0.968635902968037,0.9811422547191773,0.987099014959672,0.9775716051882701,1.022063165280634,0.9327736573610428,4.6000000000000005
47,0.978626001733739,0.9913749056392545,0.9861815982938569,0.9853127216659727,1.0445196306387834,0.9533446194423884,4.7
48,0.9842823568517983,0.9999940667834576,0.9883821725883176,0.9914317331375847,1.057726098699527,0.9673672596526597,4.800000000000001
49,0.9839596649990328,1.0070166043619528,0.9934753695170927,0.9932066424485667,1.0625016399575902,0.9749993147187006,4.9
50,0.9791446434219673,1.013298856467943,1.0000699089281986,0.9892617428484541,1.0616639955130152,0.9787722966429653,5.0
51,0.9734679246626413,1.0185149416899997,1.0060923261653338,0.9810332400835645,1.058464240992027,0.9818195900691138,5.1000000000000005
52,0.970369790709113,1.020821598533689,1.0096411859034355,0.9717822179772437,1.0550818594138616,0.9850788720901908,5.2
53,0.971374734166379,1.0189323106330317,1.0098902213761958,0.9644633972647588,1.0519284550113537,0.9865718960999792,5.300000000000001
54,0.9760627251635943,1.013970931425145,1.007532981141769,0.9605291758045189,1.0481609809401227,0.9836568223847814,5.4
55,0.982963627395828,1.0087128081485464,1.0042002153088632,0.9599830409849761,1.0429222271473764,0.9759453769231468,5.5
56,0.990341291026645,1.0051808039924308,1.0012895632655365,0.961879462351314,1.0363584583894279,0.9660563259749666,5.6000000000000005
57,0.9967093283688717,1.0032912563247687,0.9994318928989384,0.964828556941119,1.0298021810838989,0.9577411381462495,5.7
58,1.0011542011481314,1.0015438792967484,0.9988870432038541,0.9675464353858613,1.0249096753165796,0.9533304216179254,5.800000000000001
59,1.0034039386136415,0.9986249171715752,0.9999701833090031,0.9693671709855768,1.0223082436637765,0.9526954476758863,5.9
