,Si-Si,Si-Pd,Pd-Pd,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.7000000000000001
8,0.0,0.0,0.0,0.8
9,5.2673562500240835e-08,0.0,0.0,0.9
10,5.783923593295972e-07,5.638022060210963e-07,0.0,1.0
11,6.6074384442440265e-06,7.977591472093095e-06,0.0,1.1
12,5.2765274955369034e-05,6.96085903562781e-05,0.0,1.2000000000000002
13,0.00031388338520133696,0.0004211037719961434,3.1066652168509395e-07,1.3
14,0.0014916587468364701,0.002005429140593456,7.120987899477623e-06,1.4000000000000001
15,0.005883331712419161,0.00785081744261877,5.9569831771918084e-05,1.5
16,0.0194969799292614,0.025708152994745083,0.00034956489734913057,1.6
17,0.054608480816422125,0.07101681155219344,0.001616668270958721,1.7000000000000002
18,0.13000168475919566,0.16670568511629308,0.006104457286684671,1.8
19,0.26494614937747135,0.3352499036849253,0.019195556041737578,1.9000000000000001
20,0.4664846931275134,0.5831539021138508,0.050919778137427034,2.0
21,0.7174984068567976,0.8873585284747738,0.11529296482309558,2.1
22,0.976870507364066,1.1966412619261138,0.22538317550559375,2.2
23,1.195314589361473,1.451199593558491,0.3848185974204008,2.3000000000000003
24,1.336944224068058,1.608203050627865,0.5809475620106119,2.4000000000000004
25,1.3920018763631081,1.6564596389319142,0.7860868725050283,2.5
26,1.374688408583972,1.6134485445774678,0.9676593541182511,2.6
27,1.3113916835961512,1.5112987166592668,1.1005989708989496,2.7
28,1.2284442768368362,1.3828727155468048,1.174852146640163,2.8000000000000003
29,1.1450275229574904,1.2539403882715552,1.196036387030768,2.9000000000000004
30,1.0718561121921863,1.140691850571331,1.1806448886980132,3.0
31,1.0133401901431969,1.0501190457220348,1.1478655409547054,3.1
32,0.97037884872272,0.9823577111800922,1.1117280025428062,3.2
33,0.9420381483942163,0.9342663009942861,1.077799569308686,3.3000000000000003
34,0.926082299725318,0.9025329382796792,1.0457075957288622,3.4000000000000004
35,0.9193698205714886,0.8848737617782042,1.0145640875576778,3.5
36,0.9187406697573446,0.8794454489739878,0.9864222667285683,3.6
37,0.9220650603338661,0.8839154003657614,0.9653079838335743,3.7
38,0.9286425756997267,0.8955456565814885,0.9540117155612153,3.8000000000000003
39,0.9385315775663203,0.9120754432556926,0.9523122436986006,3.9000000000000004
40,0.9513798711308286,0.9319267517523723,0.9575874482698746,4.0
41,0.9659560702133804,0.9534154137534041,0.9663492349301265,4.1000000000000005
42,0.9806720908989637,0.9743218173875158,0.9754488430863018,4.2
43,0.9942037613063123,0.9925948082487719,0.9826659889191476,4.3
44,1.0056441776268241,1.0072028247644451,0.9869062994551554,4.4
45,1.0144994972643322,1.0180505295285036,0.9881365369050441,4.5
46,1.020654883350285,1.0252962379530817,0.9871805235672879,4.6000000000000005
47,1.024096943693422,1.0290769604375083,0.9857212305445711,4.7
48,1.0246992472117542,1.029803212456777,0.986082079149527,4.800000000000001
49,1.0224877826407424,1.0282735445444509,0.9898579608351948,4.9
50,1.018066054207285,1.0252746854808026,0.996571959486579,5.0
51,1.0125958540139104,1.021253563778878,1.0043600543705804,5.1000000000000005
52,1.0073354608382763,1.0165112373276048,1.0117964893997353,5.2
53,1.0031326384675328,1.011499533301346,1.018255362473267,5.300000000000001
54,1.0001521721762936,1.0067459427982592,1.0227007519251894,5.4
55,0.9979847986618318,1.0026890489172255,1.0232501762496502,5.5
56,0.9961298794110763,0.9997061947320693,1.0185516225663522,5.6000000000000005
57,0.9944751745934961,0.9980537643179515,1.0094432730850462,5.7
58,0.9932442874037258,0.9976090829176161,0.998812443391679,5.800000000000001
59,0.992537859706937,0.9978573714578868,0.9894330225681897,5.9
60,0.9921826543861274,0.9983151063317208,0.9821213919508514,6.0
61,0.9920454302066225,0.9988327142945193,0.976066040390619,6.1000000000000005
62,0.9922087427116435,0.9993934700833197,0.9701889939832938,6.2
63,0.9927189462898026,0.9998487657665158,0.9638832400111129,6.300000000000001
64,0.9933859086421399,1.0000635356298933,0.9573075759470524,6.4
65,0.9940072760953823,1.0001681597636616,0.9516894373854479,6.5
66,0.9946796266574235,1.0004157509649259,0.9490060824286979,6.6000000000000005
67,0.9957114055494616,1.0007830719371003,0.9506762766464053,6.7
68,0.9972656177800324,1.0009266089011883,0.9562835830671872,6.800000000000001
69,0.9992045602301101,1.000632938645972,0.9637992395065862,6.9
70,1.0012661833458374,1.0001316893216958,0.9713354234038145,7.0
71,1.003217284031171,0.9998295840335736,0.9785948045900347,7.1000000000000005
72,1.0047725902866271,0.9999237458939948,0.9863564408592931,7.2
73,1.0055854486454854,1.0004230846085371,0.9949794052770338,7.300000000000001
74,1.005530722578931,1.0013505368551094,1.0037847327897023,7.4
75,1.0048738547033005,1.0026412830595455,1.0113458256764796,7.5
76,1.0039703931034512,1.003862767476545,1.0159049230360304,7.6000000000000005
77,1.0028823505508317,1.00434653802437,1.0160678401093157,7.7
78,1.0014549719980237,1.0038139178094554,1.0116463020354138,7.800000000000001
79,0.999729754021417,1.0027821027191488,1.0037331115873436,7.9
80,0.9981358541987403,1.0022433093320813,0.993934200687154,8.0
81,0.9971828763671682,1.0029152169983067,0.9838179151442844,8.1
82,0.9969959708932993,1.004733315974495,0.9748376857242091,8.200000000000001
83,0.9972350391656218,1.0069567002377957,0.9679611351668226,8.3
84,0.9974276422355527,1.008767546362502,0.9630179322630044,8.4
85,0.9972569772764488,1.00985897167531,0.9589431807825822,8.5
86,0.9965946610035603,1.0105115363352284,0.955118675157604,8.6
87,0.9954730278054655,1.0111119179163819,0.952224927996019,8.700000000000001
88,0.9940873832254746,1.0116251844636523,0.9514355135972784,8.8
89,0.9927368132754364,1.011602374392223,0.9530051683902785,8.9
90,0.9917463392775052,1.0106822195194942,0.9560327318157398,9.0
91,0.9913897083843447,1.008935069280793,0.9596056118606003,9.1
92,0.9917040380906221,1.0066883901823351,0.963677298634717,9.200000000000001
93,0.9923462329774848,1.0042264004422357,0.9684813254588082,9.3
94,0.9928372309853984,1.0017959568684183,0.9734524049300702,9.4
95,0.9930325565146594,0.9997506619104658,0.9772914772250422,9.5
96,0.9932200171094098,0.9984865194790516,0.9791598736196145,9.600000000000001
97,0.9937471664672067,0.9982349961054761,0.9795761117841302,9.700000000000001
98,0.9946701874751385,0.9989163799121576,0.9799000658510909,9.8
99,0.9957068064004455,1.0000671057263597,0.9808704751144526,9.9
100,0.9964006635161896,1.000943363336283,0.9818685985658634,10.0
