,Si-Si,Si-P,P-P,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.7000000000000001
8,0.0,0.0,0.0,0.8
9,0.0,0.0,5.251634793277004e-07,0.9
10,0.0,1.4052985696824571e-06,8.811473907748579e-06,1.0
11,4.256770044176643e-06,2.7609701307723353e-05,8.778140697323451e-05,1.1
12,4.483200511655738e-05,0.00022280987970087307,0.0005631063264877905,1.2000000000000002
13,0.00030689533945783744,0.0012633153898768056,0.0027566999452590213,1.3
14,0.0015805337929118246,0.005626219128406954,0.01097693145702678,1.4000000000000001
15,0.006532391885101213,0.020429775101811962,0.036120541783901505,1.5
16,0.022330162126573648,0.06122958994744457,0.09875332906390064,1.6
17,0.06389274171690136,0.15282722123394854,0.2254980060379838,1.7000000000000002
18,0.15412665145342677,0.320570554985163,0.4331325093068446,1.8
19,0.3153286795914523,0.5709974289679183,0.7068700195457623,1.9000000000000001
20,0.5507418117140114,0.8742829482660543,0.9936264163776483,2.0
21,0.8285292906234186,1.1676852008007534,1.2244041664674576,2.1
22,1.0876381432680156,1.383934286051412,1.3512047489064825,2.2
23,1.2685722653255043,1.484211831337438,1.3680504049383118,2.3000000000000003
24,1.3448405173287405,1.4715089366841725,1.3038831339815151,2.4000000000000004
25,1.3291532972162843,1.3801957724061746,1.2008728671211941,2.5
26,1.256029959248009,1.255338024183831,1.0956489502743378,2.6
27,1.1614920043075796,1.1352703246033256,1.0103496180709148,2.7
28,1.0723298604983833,1.0427075513810729,0.9526630898415537,2.8000000000000003
29,1.0034848338624556,0.9841902412097234,0.9210240098240277,2.9000000000000004
30,0.9594302534996959,0.9550684518853225,0.9099361299660917,3.0
31,0.9375169546672851,0.945924759633553,0.9126300380127863,3.1
32,0.9314173618510022,0.9473965864723709,0.9220993512225507,3.2
33,0.9336948550462957,0.952795359263145,0.9324008683195769,3.3000000000000003
34,0.9380017190892717,0.9588861887049792,0.9402087952607899,3.4000000000000004
35,0.9410413172593088,0.9650408686231209,0.945433626444555,3.5
36,0.9432043112585743,0.9714454800727802,0.9501067991996699,3.6
37,0.9469215508350193,0.977992452812099,0.95620097622835,3.7
38,0.9538106479936842,0.9844335133193448,0.9640595493074311,3.8000000000000003
39,0.963297094672908,0.9905273659047164,0.9723430399820924,3.9000000000000004
40,0.9734482069126238,0.9955878932650216,0.9790297819854321,4.0
41,0.9820588078404663,0.9985250599687211,0.9826002336624028,4.1000000000000005
42,0.9868052293515014,0.9987273200823096,0.9828176735942808,4.2
43,0.9855817623785174,0.99669132943064,0.9807357321005626,4.3
44,0.9777915418522309,0.9938484025736395,0.9780119945784896,4.4
45,0.9654467876349309,0.9919614473343025,0.9760524282968797,4.5
46,0.9525474900408208,0.9923898904942523,0.9754331822945829,4.6000000000000005
47,0.9427578568133066,0.9954669082828144,0.9759741587737674,4.7
48,0.9371777060047919,1.0003994932955462,0.9774133730341668,4.800000000000001
49,0.93422181567141,1.005681360084708,0.9799364487389128,4.9
50,0.9316472885330687,1.0097730557901323,0.9838661911696238,5.0
51,0.9286381005364982,1.0119867006599832,0.9888871886908416,5.1000000000000005
52,0.9259211906455678,1.0131009537508868,0.9938064336249639,5.2
53,0.9241974913093307,1.0148129471352392,0.997326352461353,5.300000000000001
54,0.9231282357766606,1.018125450121648,0.9991507343361388,5.4
55,0.9220965952148027,1.0222778930439345,1.000182209327043,5.5
56,0.9214959748716423,1.0255211651358935,1.001480931247499,5.6000000000000005
57,0.9227091335671104,1.0268082302906878,1.0031426247864097,5.7
58,0.9266027270155296,1.026374054518197,1.0043812908022187,5.800000000000001
59,0.9322396989622299,1.0248247105468837,1.0045765656920433,5.9
60,0.9373671912283774,1.0222629770305174,1.0039428027157877,6.0
61,0.9402614307245437,1.0184482422025427,1.0031117169045294,6.1000000000000005
62,0.9409463506469055,1.0135362444260045,1.002377847061387,6.2
63,0.9406178085953633,1.0084527243262627,1.001763594723987,6.300000000000001
64,0.9402697496389704,1.0044191891070318,1.0016829351180914,6.4
65,0.9402464710807721,1.0020328036397081,1.0029271037167062,6.5
66,0.9409856027789749,1.0008998569602194,1.0057257923526457,6.6000000000000005
67,0.9436311894377782,1.0001381607334758,1.009180427818709,6.7
68,0.9494283725082733,0.9990468535074943,1.011854238438861,6.800000000000001
69,0.9583627350934243,0.9974189465899351,1.0127305479697282,6.9
70,0.9686475122579457,0.995626447173789,1.0115638275314645,7.0
71,0.9778424503817624,0.9944646581437203,1.0086929788148409,7.1000000000000005
72,0.9846270405544437,0.9945126723694663,1.004845581692362,7.2
73,0.989539971244836,0.9954749775314579,1.0009696337068443,7.300000000000001
74,0.9941440964408458,0.9964087475335122,0.9978732901079923,7.4
75,0.999459444094917,0.996699807662164,0.9958582771505425,7.5
76,1.0048955759874836,0.9965778307901946,0.9947245788483585,7.6000000000000005
77,1.0085743270354726,0.9966108708850633,0.9941035859392555,7.7
78,1.0088693569440346,0.9969808058978818,0.9937282855144413,7.800000000000001
79,1.0056051914654909,0.9973896206063256,0.9934628768579479,7.9
80,0.9997774672864888,0.9975123105042559,0.9933040045120576,8.0
81,0.9926287581075023,0.9973420720797181,0.9934887673902184,8.1
82,0.9851105537215535,0.9971467670047977,0.9944061932005435,8.200000000000001
83,0.9776809147263711,0.9972645462831781,0.9961655775462083,8.3
