,Li-Li,Li-Si,Li-S,Si-Si,Si-S,S-S,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,2.341591033932101e-07,0.0,0.0,0.0,0.0,0.0,0.5
6,2.1326166352402774e-06,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,1.2759270460032052e-05,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,6.0236224860346974e-05,0.0,1.3912343603948146e-06,0.0,0.0,0.0,0.8
9,0.00023108385625900793,5.477216397709688e-07,1.5507716885431618e-05,0.0,1.369304099427422e-06,0.0,0.9
10,0.0007417442354099095,5.403671911304338e-06,0.00010990038058060821,4.885541786845988e-07,1.5524465765334815e-05,4.885541786845988e-07,1.0
11,0.0020420258694852445,3.721001233890059e-05,0.0005850378681807453,1.1516907845147388e-05,0.00011619659360015632,7.13210025806124e-06,1.1
12,0.004975560409611568,0.0001957877572854402,0.002528738603704397,0.00011403469034464167,0.0006489666873959699,4.5869264718349384e-05,1.2000000000000002
13,0.011020970390966322,0.0008378840536179414,0.009100146490048394,0.000728539491000347,0.00288579299223963,0.00022729694864439442,1.3
14,0.02255869617043609,0.003012555760065612,0.027790088543189248,0.0035675944882902085,0.010647336862259302,0.000897331010622065,1.4000000000000001
15,0.042869080991042315,0.009259853550736963,0.07295551160531658,0.01421246643090029,0.03305185145034654,0.0028676801668286456,1.5
16,0.07554304144500047,0.02464530384431283,0.16634328041751129,0.04685257572772145,0.08681634325296934,0.007507767966473375,1.6
17,0.12351984820138039,0.057357127575965984,0.33215032368296193,0.1290933279421226,0.19374534018810813,0.016331878560389472,1.7000000000000002
18,0.18840957405059197,0.11775215312464614,0.5849600275838432,0.2999788968468731,0.3691185974055471,0.030043594778317473,1.8
19,0.27020066889524846,0.21505606101084832,0.9148986918631675,0.5936934838678399,0.6046967259310342,0.047725879713836496,1.9000000000000001
20,0.3668214779018457,0.3524050846985603,1.280740202811441,1.0118428589863275,0.8608144980387639,0.06702604233530443,2.0
21,0.47385910361422456,0.5226592695562541,1.619886855045857,1.503093413128091,1.0799077079278936,0.0854368293490586,2.1
22,0.5854566301608816,0.7081274923524066,1.872125410361473,1.9714447865579,1.2145719303737996,0.10206323823949921,2.2
23,0.6959128884602939,0.8855949625157378,2.002880309405663,2.315006378862054,1.248503586252501,0.11886675618529621,2.3000000000000003
24,0.8001943114326988,1.0343697294494392,2.0126731971644998,2.471768453236219,1.1969930115088137,0.14042653602468871,2.4000000000000004
25,0.8934196083870717,1.1424740758048155,1.9298861398474996,2.441410025904384,1.0927760200658212,0.17219746394321758,2.5
26,0.971242437404126,1.2077726907144484,1.793793876027638,2.271594729694095,0.9704988074869021,0.21832326328141868,2.6
27,1.0313154269858267,1.2349717803306148,1.6385551415617443,2.0262149136711356,0.8568351443098795,0.280160495987043,2.7
28,1.0737440768619038,1.2316927708082388,1.485637118476709,1.7613869702430736,0.7666574628549099,0.35621066086854786,2.8000000000000003
29,1.099985305022803,1.2059542674474906,1.3450258333641822,1.5172419509641202,0.7043629709891588,0.44347426784511756,2.9000000000000004
30,1.1121237090175689,1.1654394192780841,1.22045829455234,1.3172189369252558,0.6686526557683872,0.5389091505960991,3.0
31,1.113185588589526,1.1175614741375652,1.113894620015784,1.1686573784672178,0.6569569812384913,0.6396817783300534,3.1
32,1.1068591068875426,1.0691153376498312,1.0273342733380468,1.065991418305216,0.6664952445551975,0.7429646292533039,3.2
33,1.0961280436682481,1.0252543912789602,0.9621547384722373,0.9977208817459996,0.6929998332434798,0.846271107616667,3.3000000000000003
34,1.0825045877910173,0.9887057315320601,0.9174135740215805,0.9538752957216546,0.7304694465281525,0.947237007269404,3.4000000000000004
35,1.0668041133828174,0.9601043147399452,0.889276358936524,0.9294201915542939,0.7728518103284802,1.0420564717552394,3.5
36,1.0503110292304536,0.9392388675828574,0.8725287475685416,0.9224203810282833,0.8154889186499164,1.1246071990488746,3.6
37,1.0350006373572622,0.9260211352152763,0.8627917606974349,0.9301275780440771,0.8551900949317853,1.1886676835244727,3.7
38,1.0229722931570868,0.9204221589194074,0.8577958116828069,0.9471550526532752,0.8901489083547403,1.2317394651262965,3.8000000000000003
39,1.0157535715849384,0.9218885146059225,0.8573970638571966,0.9672528761705604,0.9203094001379964,1.2564322941890982,3.9000000000000004
40,1.0135334909148794,0.9291876582214642,0.8624594000034204,0.9867550790243726,0.9471055529491335,1.2681277149021182,4.0
41,1.0146928770640349,0.9406451845849807,0.8730618639024877,1.0058117226075105,0.9721757130334694,1.2714685031355715,4.1000000000000005
42,1.0166131502111084,0.9543114135409788,0.8875087406818221,1.025442637865661,0.9960255624985996,1.2685466285327756,4.2
43,1.0175696443805,0.9681163084204799,0.9031276024330499,1.043533045709726,1.0174082461296392,1.2592536019795766,4.3
44,1.0177237741009615,0.9802198549703042,0.9177797878621611,1.0549166004415163,1.0339954977737489,1.242560174761202,4.4
45,1.0178981084390464,0.9893313000092294,0.9306439783530462,1.0557041227648079,1.0444036115900865,1.218082540559693,4.5
46,1.0176728184895403,0.9949332298140272,0.9420943463766551,1.0467352529068774,1.0497761045131269,1.1875087662888413,4.6000000000000005
47,1.0154616986389657,0.997479180467504,0.9530659473645909,1.0328353458396757,1.052945377994402,1.154353169974292,4.7
48,1.010625558180404,0.9981025732401754,0.9643887974873608,1.0195665232320115,1.0561091272120642,1.1217625381458654,4.800000000000001
49,1.0047138890408087,0.997771116593903,0.9765075903428262,1.010325654594155,1.0595698292245752,1.0907513618414988,4.9
50,0.9998954904514615,0.9970228057582845,0.9894766053177081,1.0050678540253233,1.06234258265604,1.060629067087568,5.0
51,0.996573895151849,0.9965956044080464,1.0028046080698456,1.001119746152413,1.0633942058530708,1.0306990369014353,5.1000000000000005
52,0.993452853829747,0.9974395803769991,1.0152477803399618,0.9956572085611408,1.0623086508125086,1.0017238360659442,5.2
53,0.9897450364302672,0.9996193040526059,1.0250945010319827,0.9879537147212641,1.0591858741804598,0.9761529932442639,5.300000000000001
54,0.986280040701908,1.0019590160569565,1.0309796486473362,0.9795775087662102,1.0543053601998347,0.956525394762272,5.4
55,0.9842693532751131,1.0032781814570957,1.0326776960541493,0.9726765904857787,1.0481507163021142,0.943265715146561,5.5
56,0.9838744178641275,1.0035177576928869,1.0313147297152157,0.9682004355806412,1.0417322712466064,0.9344196484950051,5.6000000000000005
57,0.984373664819542,1.0034313987218426,1.0287553849238802,0.9655898080911608,1.0363539027089574,0.9277642199298561,5.7
58,0.9851472978475052,1.0037613775954244,1.026391830690389,0.9636541094994403,1.0326414387302818,0.9226342935164247,5.800000000000001
