,Si-Si,Si-Pb,Pb-Pb,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.7000000000000001
8,0.0,0.0,0.0,0.8
9,0.0,0.0,0.0,0.9
10,5.199194321510895e-07,0.0,0.0,1.0
11,9.339849533249491e-06,0.0,0.0,1.1
12,7.796494791199636e-05,0.0,0.0,1.2000000000000002
13,0.00046403005526028695,7.16215544289766e-07,0.0,1.3
14,0.0021771711746557394,7.933236137711542e-06,0.0,1.4000000000000001
15,0.008388847687411537,5.705559259451517e-05,7.16486325213883e-07,1.5
16,0.027051749063926784,0.0003090747398239443,6.317135307200303e-06,1.6
17,0.07385559774276491,0.001346972857705242,4.051823164885166e-05,1.7000000000000002
18,0.17224736680911837,0.004894402491371772,0.00020075817479551134,1.8
19,0.34598693667609054,0.015058867194554479,0.0008229598966002009,1.9000000000000001
20,0.6034996452421328,0.039661354185639736,0.002847332691393417,2.0
21,0.9224597774845017,0.09024703752888834,0.008524937785123492,2.1
22,1.2489813929370142,0.1791133169195692,0.022484692986434428,2.2
23,1.5177051166668076,0.31334010721199335,0.05274823982375151,2.3000000000000003
24,1.680794788826553,0.48878615631634714,0.11049164038430062,2.4000000000000004
25,1.7253352035471772,0.6882150113359804,0.20685239425621404,2.5
26,1.6704188480411202,0.8856591040226905,0.34685234848869345,2.6
27,1.552254703284408,1.0553465130721664,0.5241280907438141,2.7
28,1.4091891999968407,1.1804157969007496,0.721306038594726,2.8000000000000003
29,1.2714957217777778,1.2564495432122442,0.916490757178774,2.9000000000000004
30,1.1563366083358864,1.2888548987200412,1.090689301972656,3.0
31,1.0682797217130005,1.2878148106332783,1.230805733986316,3.1
32,1.0042726893674025,1.2644819111323693,1.3280992372000284,3.2
33,0.9593845868163274,1.2288327278514204,1.377043062655296,3.3000000000000003
34,0.9300242346513689,1.1884918847291688,1.3778394510481433,3.4000000000000004
35,0.9141081890703282,1.1485708050690857,1.338900095115662,3.5
36,0.9096298720694216,1.112205897452426,1.2741169303286304,3.6
37,0.9135242734504713,1.0809125002046927,1.196979918480283,3.7
38,0.9218637591405391,1.0547434704339234,1.1177823333891692,3.8000000000000003
39,0.9309892102422521,1.0328875050399866,1.0449795653347487,3.9000000000000004
40,0.9385781982547625,1.0147901776646053,0.9861262459564645,4.0
41,0.944061130844777,1.000778073267102,0.9461412742017152,4.1000000000000005
42,0.948244226576,0.9914120742395705,0.9253259085260287,4.2
43,0.9522337714914944,0.9864818183132168,0.9191244790526371,4.3
44,0.9563155183290796,0.9850708833502261,0.919796084691981,4.4
45,0.9597475197631553,0.98638640189127,0.9201242485663303,4.5
46,0.9617072541396986,0.9901108369219032,0.917320150051107,4.6000000000000005
47,0.9623117142494851,0.9960929142076622,0.9128103422905438,4.7
48,0.9624226892001779,1.0039155301008091,0.9077130365601439,4.800000000000001
49,0.962576774666728,1.0126919057105672,0.9004867136146019,4.9
50,0.9625782729344794,1.0212593022585124,0.8902518025138484,5.0
51,0.9621524835990116,1.0286745964951434,0.880169325100634,5.1000000000000005
52,0.9615623799370563,1.034555420633194,0.8753395585368681,5.2
53,0.9614603215600367,1.039034500276274,0.8783897270486719,5.300000000000001
54,0.9623790979499929,1.0425542736797981,0.8883997166796613,5.4
55,0.9645102168558065,1.0455959438618163,0.9031150075418043,5.5
56,0.9677790086200461,1.048409072619261,0.9208837753801046,5.6000000000000005
57,0.9717979191863125,1.0509290084083787,0.9409265694266122,5.7
58,0.9757472713187233,1.052850099071786,0.9627045934528431,5.800000000000001
59,0.9787252644301705,1.0536759384612497,0.9851561480999645,5.9
60,0.9804830775906825,1.052886284926838,1.0062616804261668,6.0
61,0.9816076429269184,1.0503195579611875,1.0233993719063246,6.1000000000000005
62,0.9828252290412316,1.0464039759645603,1.0341677656881092,6.2
63,0.9842191969629703,1.0419674935618564,1.0368800682392671,6.300000000000001
64,0.9852194419944899,1.037744956717369,1.0309095496545593,6.4
65,0.9853321836577281,1.0338613670935435,1.017455056057938,6.5
66,0.9848197464126506,1.0296820191422367,0.9999888771328297,6.6000000000000005
67,0.9845463140592323,1.0244386620244954,0.9831666070036114,6.7
68,0.9850920927372108,1.0181819181622427,0.9706540341900921,6.800000000000001
69,0.986143331940176,1.0119184402454533,0.9635855459052033,6.9
70,0.9868476335254664,1.006737979205707,0.9607587792095328,7.0
71,0.9866453579984769,1.0030068634846978,0.9601571072538554,7.1000000000000005
72,0.9856646814615074,1.0003869512065615,0.9603536116640431,7.2
73,0.9844607921860651,0.9983193529759092,0.9608312005250851,7.300000000000001
74,0.9835596290666554,0.9964416679701641,0.9614797666342415,7.4
75,0.9832301347135687,0.9948379393372079,0.962182479689935,7.5
76,0.98347240321046,0.9940621893440141,0.9629889430435679,7.6000000000000005
77,0.9841007273571968,0.9947404088089872,0.9646253963053828,7.7
78,0.9849677427887066,0.9969668877913949,0.9686193894648993,7.800000000000001
79,0.9862101518716573,1.0001104437056387,0.9765767495241854,7.9
80,0.988153019998787,1.00322411624289,0.9886886246487074,8.0
81,0.9908136315482641,1.0056799754516308,1.002635188315687,8.1
82,0.9936087890683669,1.0075195138557929,1.0144755772425533,8.200000000000001
83,0.9957830820757693,1.0092345388137656,1.021219708489681,8.3
84,0.9971022502663903,1.0111602265358486,1.0224836323076738,8.4
85,0.9979483510030955,1.0131110196369868,1.0195301762481106,8.5
86,0.9987781204176371,1.0146302297415526,1.01327997448871,8.6
87,0.999639785552479,1.0155082529408608,1.0039927183622428,8.700000000000001
88,1.0001731746863822,1.0159831754328503,0.9926733828461679,8.8
89,0.9999749198342297,1.0164691358743978,0.9816871725049352,8.9
90,0.9990056350392184,1.0171007809385182,0.9733096631410724,9.0
91,0.9976415354848449,1.0174710163218426,0.9680599189498393,9.1
92,0.9962904660102894,1.0168350232492278,0.9647913287803777,9.200000000000001
93,0.9950809639009145,1.0147205389675749,0.9620809206540225,9.3
94,0.9939698997094886,1.0114427455139114,0.9593377570815542,9.4
95,0.9929847557356953,1.0079638738997063,0.9569004494136878,9.5
96,0.9922990945546369,1.0051940514335083,0.9553295038538848,9.600000000000001
97,0.9921321597505002,1.0034779319437133,0.9547002612900602,9.700000000000001
98,0.9925572442774914,1.0026809325064177,0.9546032381893036,9.8
99,0.9933264608909299,1.002485084950665,0.954625068191958,9.9
100,0.9939268726448105,1.0025264790335997,0.9546253559445469,10.0
