,Li-Li,Li-Te,Te-Te,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,2.7594114698816647e-07,0.0,0.0,0.5
6,1.9183267304300336e-06,0.0,0.0,0.6000000000000001
7,1.1157236050159725e-05,0.0,0.0,0.7000000000000001
8,5.0740144650852764e-05,0.0,0.0,0.8
9,0.00018883022238205192,0.0,0.0,0.9
10,0.0005983445677302857,5.39745993530094e-07,0.0,1.0
11,0.001659638188964333,5.3765514350771465e-06,0.0,1.1
12,0.004129971026852363,4.120418747332395e-05,0.0,1.2000000000000002
13,0.009356071511916406,0.00023384458729986803,0.0,1.3
14,0.019476475797987485,0.0010753987301098558,0.0,1.4000000000000001
15,0.03751344401076112,0.0041415707556444106,0.0,1.5
16,0.067216568133325,0.0135900634362056,7.590178034016946e-07,1.6
17,0.11238175753847567,0.0383013749533982,6.814779958732739e-06,1.7000000000000002
18,0.1755936769345575,0.09332481221800934,4.2041645265995997e-05,1.8
19,0.2570190375687252,0.1980371871735286,0.00019750802445005956,1.9000000000000001
20,0.35409408108135876,0.369253070922444,0.0007511423388669269,2.0
21,0.4619865718480708,0.6111721664601197,0.0023557688655041677,2.1
22,0.5741049580147491,0.9077409942536462,0.00618242619578684,2.2
23,0.6829374952723207,1.2229456080246304,0.013818229075841314,2.3000000000000003
24,0.7819785799543761,1.5103332742432667,0.026837882509677044,2.4000000000000004
25,0.8677466076846357,1.7278906723018754,0.046344572856333054,2.5
26,0.9397456059919176,1.8513488101510758,0.07282764033143693,2.6
27,0.9984600268147829,1.8797422857220958,0.1062030932406532,2.7
28,1.043811385536789,1.8312917526368035,0.14580115758834497,2.8000000000000003
29,1.0754474741539009,1.7329643318640673,0.19086129581260225,2.9000000000000004
30,1.093779436020709,1.6100533102218573,0.241960458577518,3.0
31,1.1003496258483685,1.4806733034551014,0.3019578573413486,3.1
32,1.0976320296222912,1.3556231595571013,0.3742444097450956,3.2
33,1.088769197369243,1.2408281032895228,0.4586502904727291,3.3000000000000003
34,1.076881250559931,1.1396646115830134,0.5487625133690699,3.4000000000000004
35,1.0638853587233,1.0539802093705872,0.6343867176491609,3.5
36,1.0499639236763576,0.9841136236990158,0.7083196853045027,3.6
37,1.0344908407275513,0.9290885774560274,0.7716323400912031,3.7
38,1.0176696156889282,0.8875578607770035,0.8326224143612598,3.8000000000000003
39,1.0012300622692938,0.8584702840744379,0.9004273521560452,3.9000000000000004
40,0.9874976065862313,0.840525300647148,0.978619036495996,4.0
41,0.9781010637723163,0.8314676535792058,1.0634677128269008,4.1000000000000005
42,0.9736602484396372,0.8286615159255446,1.1475897425394939,4.2
43,0.974075002676103,0.8303962564897149,1.22525908998119,4.3
44,0.9785785366279742,0.8362599170287311,1.2942763955598884,4.4
45,0.9858065883475089,0.8462810290341423,1.3531266008232041,4.5
46,0.9941784908892323,0.8599549368628682,1.3976991229532083,4.6000000000000005
47,1.002207727544797,0.8760940000338646,1.4223612732239188,4.7
48,1.0086467970033695,0.8934164048442355,1.4245448548048747,4.800000000000001
49,1.0127420982113078,0.91107636310423,1.407156352717559,4.9
50,1.014497867790629,0.9285524013739068,1.3758557606835098,5.0
51,1.0144900650907862,0.9452649846921719,1.335073966858574,5.1000000000000005
52,1.0132414605916331,0.9606693452085039,1.287466038132665,5.2
53,1.0108491696667776,0.9746274978344117,1.2359971413171953,5.300000000000001
54,1.0073021542749383,0.9872677895049141,1.1848530759920792,5.4
55,1.0029687689076832,0.9984262791759315,1.13790828231309,5.5
56,0.9985546620609759,1.007607509999063,1.0966809653957026,5.6000000000000005
57,0.9946243680531591,1.014622315540957,1.0597777985934533,5.7
58,0.9913117074732049,1.0199958253026193,1.0244672028673427,5.800000000000001
59,0.9885343087009278,1.0245711815910752,0.9894067831179587,5.9
60,0.9863554894587677,1.0287541425275535,0.9560665947776641,6.0
61,0.98502146426805,1.0322132383338491,0.9273103034853458,6.1000000000000005
62,0.9847061063526137,1.0343648811329487,0.9048279856120879,6.2
63,0.9852680656078687,1.0351552527586858,0.8883537010523758,6.300000000000001
64,0.9861936019905341,1.035245762962147,0.8771065157058341,6.4
65,0.9867663409686482,1.0353202764833729,0.8709896103333362,6.5
66,0.9865137080075012,1.035290275328717,0.8698525850244334,6.6000000000000005
67,0.98566250286623,1.0343752939437874,0.8722359895333682,6.7
68,0.9851113697507099,1.0320058486761567,0.8758433115208635,6.800000000000001
69,0.9858181602977815,1.0285492744134352,0.8794127615991395,6.9
70,0.9881094626564482,1.025079369783506,0.8836867209459349,7.0
71,0.9914243615860584,1.0223647890341117,0.8904977907479331,7.1000000000000005
72,0.9946743689335815,1.0200606952080389,0.9010725920038503,7.2
73,0.9969867044477108,1.0169978644833089,0.9149471302625115,7.300000000000001
74,0.9982114331946973,1.012358192422371,0.9302875048245409,7.4
75,0.9987706298378495,1.006506767386646,0.9454322657141797,7.5
76,0.9991484242463194,1.0007106550000984,0.9600960959296607,7.6000000000000005
77,0.9995962707412789,0.9961769929147273,0.9748540612326064,7.7
78,1.0001679974822308,0.993347666861322,0.9896094559991265,7.800000000000001
79,1.0008865077400997,0.991952797459523,1.0029641421238606,7.9
80,1.0018466362684162,0.9915341569948913,1.0130757430030857,8.0
81,1.0030953488053838,0.9916643097099976,1.0188685572556964,8.1
82,1.0044234762770516,0.9917023157055196,1.0204354072144708,8.200000000000001
83,1.0054108432548874,0.9908157866115234,1.018556255963937,8.3
