,Li-Li,Li-Sc,Sc-Sc,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,9.243378421523412e-07,0.0,0.0,0.6000000000000001
7,7.867899222681659e-06,0.0,0.0,0.7000000000000001
8,4.7261742679898354e-05,5.054972574270617e-07,0.0,0.8
9,0.000221203533267416,4.460474086499461e-06,0.0,0.9
10,0.0008415129247809581,2.6967499105575216e-05,3.1952419234895757e-07,1.0
11,0.0026663840123503893,0.00012990805403041418,2.3703346382817236e-06,1.1
12,0.0072046582095265654,0.0005076370340380229,1.4780528450610132e-05,1.2000000000000002
13,0.01698333141900824,0.0016640547323904455,7.357782258715282e-05,1.3
14,0.03567799469932574,0.004689867192514258,0.0003008621145087394,1.4000000000000001
15,0.06797868174611893,0.011588448572425228,0.001053387726577223,1.5
16,0.11898372953190776,0.0254761330017878,0.003232663593651515,1.6
17,0.19292220132968416,0.05037042921361182,0.008756523272243848,1.7000000000000002
18,0.29125531942771166,0.09049087852691245,0.021020311300530184,1.8
19,0.4108896504882789,0.14951549545776371,0.04509243330561406,1.9000000000000001
20,0.5440048473072997,0.2301433752526269,0.0878563449256853,2.0
21,0.6804407710375137,0.33351751442874317,0.1586216619900494,2.1
22,0.8112034951786342,0.45810902591020575,0.26925921133530667,2.2
23,0.930216410159491,0.5989318280209529,0.43093503271555444,2.3000000000000003
24,1.0334894474964431,0.7480411201257817,0.6464826337047738,2.4000000000000004
25,1.1177767454210747,0.8957798685835985,0.9034985265759904,2.5
26,1.1806355026007287,1.0317793618800746,1.1751800355282613,2.6
27,1.2214210003148496,1.1458682713547799,1.4297423380385217,2.7
28,1.2416945373199517,1.2294698205477697,1.6420762419421027,2.8000000000000003
29,1.2445251806637871,1.2773183905436378,1.8004690575222477,2.9000000000000004
30,1.233449860296671,1.2889119677418357,1.9053122946858032,3.0
31,1.2119040053922556,1.2691986234572903,1.962298688597024,3.1
32,1.1831604002589817,1.2275903283356053,1.9765797087787458,3.2
33,1.1502591401788822,1.1748903453897395,1.952100031403887,3.3000000000000003
34,1.1157431640965725,1.1197262415975942,1.8932733763610978,3.4000000000000004
35,1.0816158386981505,1.0669520694817032,1.8048295827877996,3.5
36,1.0496490194887167,1.018629706216414,1.6911655740675915,3.6
37,1.0215196501719315,0.9759690158953381,1.5578648513902194,3.7
38,0.998372257469545,0.9403710580085596,1.4135576055582848,3.8000000000000003
39,0.980092566605146,0.9130214460640705,1.2690411406905788,3.9000000000000004
40,0.9652013576806964,0.8938084892695013,1.134546477343824,4.0
41,0.9520044763540171,0.88105825140125,1.0181387699155717,4.1000000000000005
42,0.9401923331577502,0.8728723179847206,0.925524730903657,4.2
43,0.9313066321365725,0.8688930689778783,0.859600907721025,4.3
44,0.9276155683650279,0.8704523802852712,0.8196151984312137,4.4
45,0.9304811027842707,0.8788424802841195,0.8015439364781116,4.5
46,0.9394541484458093,0.893557942370338,0.8005613086053487,4.6000000000000005
47,0.9523977772078183,0.9122139054514424,0.8139809701142345,4.7
48,0.9663279732849752,0.9319486967001601,0.8416203485562875,4.800000000000001
49,0.9785228809865172,0.9509150073425177,0.882654691684863,4.9
50,0.9874270719890034,0.9687176827020592,0.9321477253047626,5.0
51,0.993015499933137,0.9856614834014605,0.9815501044360802,5.1000000000000005
52,0.9965314556908493,1.0016014648688387,1.0230750011542924,5.2
53,0.9996489493947374,1.0155697173794074,1.0532987811193983,5.300000000000001
54,1.003410113365788,1.026493406808278,1.0728820115233755,5.4
55,1.0075707184606495,1.0340037625912508,1.084175005710003,5.5
56,1.0108257606721405,1.0384424129778465,1.0894639268434883,5.6000000000000005
57,1.0118390693354218,1.0403419346439744,1.0902681007092172,5.7
58,1.010259194767223,1.040119347287017,1.087141412309943,5.800000000000001
59,1.006746351360922,1.0381365603820736,1.0799773041216687,5.9
60,1.0021826245441705,1.0347824092582851,1.0685983838318687,6.0
61,0.9972741268729494,1.0304817270055526,1.0532531574868267,6.1000000000000005
62,0.9927801671627641,1.0257706824396264,1.0349188857266696,6.2
63,0.9894487241806981,1.0212266479391343,1.0152022538714716,6.300000000000001
64,0.9874962647150404,1.0170410388498876,0.9959998915972753,6.4
65,0.9864672556070244,1.0128370594564142,0.9793275316696044,6.5
66,0.9857353741881935,1.0082880771476939,0.966904419284675,6.6000000000000005
67,0.9850055188167927,1.0037725314386963,0.9589658860757792,6.7
68,0.9843839105929589,1.0000418747533562,0.9535059243167857,6.800000000000001
69,0.9841475090437793,0.9974590506583144,0.947387751610139,6.9
70,0.984431185949391,0.9959474711169729,0.9386549998463195,7.0
71,0.9850484078421062,0.9954316329127696,0.9279972843918476,7.1000000000000005
72,0.9856357365129035,0.9959377436519311,0.9182321877234763,7.2
73,0.9859746782517054,0.9974549218265195,0.9124281694752003,7.300000000000001
74,0.9861287995904747,0.999981727062698,0.912001410519998,7.4
75,0.9863048168251005,1.0035370441085991,0.9158486202262494,7.5
76,0.9866237197639174,1.0079222022799765,0.9210004301754342,7.6000000000000005
77,0.987009210225475,1.0125479105319517,0.9245955094682088,7.7
78,0.9873241482559684,1.016618433265313,0.9259215661880015,7.800000000000001
79,0.987689562135268,1.019576612793747,0.926708307197148,7.9
80,0.9885860306479222,1.0214554687178805,0.9291444463264225,8.0
81,0.9904294555125959,1.0227818444049035,0.9335573395662029,8.1
82,0.9930517187803225,1.024096455251282,0.9381281976493772,8.200000000000001
