,Li-Li,Li-Fe,Fe-Fe,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,2.140004688844469e-07,0.0,0.0,0.4
5,1.9424891336286546e-06,9.11717973945573e-08,0.0,0.5
6,1.1439935216004543e-05,6.731272168265177e-07,0.0,0.6000000000000001
7,5.4283001988292806e-05,3.874213379612077e-06,0.0,0.7000000000000001
8,0.00021064352081861856,1.7920733048076756e-05,0.0,0.8
9,0.0006875782159679908,6.971193882960497e-05,1.599449871247078e-06,0.9
10,0.001954954039073881,0.00024005945993956182,2.136752504542035e-05,1.0
11,0.004989393096188653,0.000757237374960792,0.0001660324723248473,1.1
12,0.01167167560640507,0.002252823372382746,0.0009271728174676791,1.2000000000000002
13,0.02521714371673845,0.006298243445327762,0.004122284717176946,1.3
14,0.05034435865915323,0.0161830369492377,0.015105295960502472,1.4000000000000001
15,0.09298901146719407,0.0373725598611384,0.04626914799492958,1.5
16,0.15967365919925508,0.07665121425965754,0.11957641775957174,1.6
17,0.25639889635211144,0.13952662287046663,0.26321065198831173,1.7000000000000002
18,0.3864231297748341,0.22723084528737034,0.49894218744948177,1.8
19,0.5469173579953942,0.33571368028141885,0.8252932990047216,1.9000000000000001
20,0.7264858337641591,0.457350003608546,1.209416229026373,2.0
21,0.9066046355472344,0.5834045103581064,1.5959694357831629,2.1
22,1.067762600497783,0.7052222884537461,1.9270234155478254,2.2
23,1.1966717793559285,0.8145076145771519,2.1599643189478583,2.3000000000000003
24,1.2892272287470778,0.9041088781771395,2.2762980486134166,2.4000000000000004
25,1.347822610701023,0.9692727950065283,2.2816248344942074,2.5
26,1.376947624179294,1.0083358727637166,2.198935604473694,2.6
27,1.3811541795504934,1.0225318867987523,2.0579817131747444,2.7
28,1.3651713849488971,1.015357062553452,1.8852811839413268,2.8000000000000003
29,1.3338854479707876,0.9918653759032569,1.6994138727965535,2.9000000000000004
30,1.29190239669119,0.9579911513498328,1.512807146910351,3.0
31,1.2437159311879789,0.919917372236319,1.336269663116965,3.1
32,1.1941112791549542,0.883418277183992,1.181019764463005,3.2
33,1.1476588132969332,0.8530981277772842,1.0568423453931806,3.3000000000000003
34,1.107526565314339,0.8317230822466153,0.969163111957814,3.4000000000000004
35,1.0749347703198096,0.8200815721501772,0.9179816314182333,3.5
36,1.0495597623634638,0.8175259988545269,0.8991139927995581,3.6
37,1.02998477333072,0.8228213179830551,0.9062716674651988,3.7
38,1.0141326901996377,0.8346745823740672,0.9322443001888351,3.8000000000000003
39,1.000452077623014,0.8517313689532654,0.9691659469860155,3.9000000000000004
40,0.9890229732832468,0.872481939808077,1.009320341770096,4.0
41,0.9809999004125225,0.8954867931149615,1.0467089871793422,4.1000000000000005
42,0.977038615386672,0.9196337858648306,1.0777895699734876,4.2
43,0.9766383239100062,0.9439115524889538,1.100755038948768,4.3
44,0.97865880664106,0.9669899018994339,1.1148071840701772,4.4
45,0.9819753795565869,0.9872635027976422,1.1203015218867423,4.5
46,0.9857898157264628,1.0033583585138266,1.1187390707640439,4.6000000000000005
47,0.9896515062270911,1.0146311922380162,1.1117783043182785,4.7
48,0.9931737685129675,1.0213847035739194,1.1002033401819729,4.800000000000001
49,0.9957829669469503,1.024616838631393,1.0840849250995936,4.9
50,0.9969713967698006,1.025307296894712,1.063876100389315,5.0
51,0.9968436835202169,1.023979742835024,1.0411148670924997,5.1000000000000005
52,0.9962374544744791,1.0211387410839496,1.017984084468279,5.2
53,0.9961422783574932,1.0178713049144335,0.9963573126754655,5.300000000000001
54,0.9969207333802653,1.0155439674680742,0.9772760366115038,5.4
55,0.9980694459747429,1.0148363353742476,0.9611227538023952,5.5
56,0.9986061662030508,1.0152984985745324,0.9480616920824553,5.6000000000000005
57,0.9976673435506072,1.0159422678567502,0.9382320383533008,5.7
58,0.9949367146578992,1.016246815751016,0.9316050524301288,5.800000000000001
59,0.990726008352653,1.0166482117314277,0.9279047877444909,5.9
60,0.9857035833770201,1.0181022589107966,0.9268020069397311,6.0
61,0.9805922234071577,1.02113701512307,0.9279767125211491,6.1000000000000005
62,0.9760549190268946,1.025355676039141,0.9307575580537746,6.2
63,0.9725849543551618,1.029843743865379,0.9338623198400209,6.300000000000001
64,0.9702771892025719,1.0338928336532316,0.9358451651277344,6.4
65,0.9687880699336021,1.0372577460335197,0.9359665355929745,6.5
66,0.9676899644126964,1.0399165067839649,0.9346254042529211,6.6000000000000005
67,0.9668545652051157,1.041761084946786,0.9328684497646047,6.7
68,0.9664502491898804,1.0425521978320338,0.9314006001269354,6.800000000000001
69,0.9666019580053123,1.0422295070900582,0.9301378123663719,6.9
70,0.9670244009165497,1.0413197125243057,0.9287404874476097,7.0
71,0.9670234672487463,1.0409081487675163,0.9272999571152645,7.1000000000000005
72,0.9660914556916523,1.0419625558388848,0.9261846917191666,7.2
73,0.964534543215995,1.0445566776455266,0.9253052563496691,7.300000000000001
74,0.9632346897047572,1.0478484709944014,0.9239755577846116,7.4
75,0.9627763607290767,1.050829955645728,0.9217550379397972,7.5
76,0.9630557265118675,1.052965553711946,0.9191917845957434,7.6000000000000005
77,0.9636681522403896,1.0541825378189609,0.9173697601836779,7.7
78,0.9642824865242007,1.0545599081835768,0.9167535757932341,7.800000000000001
79,0.9646263374812933,1.0542149044581524,0.9167501704505115,7.9
80,0.9645011507043878,1.0533718261176508,0.9163680121664395,8.0
81,0.9639899527048774,1.052363782275215,0.9150706906997069,8.1
