,Li-Li,Li-Ge,Ge-Ge,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,1.8496002262690773e-07,0.0,0.0,0.5
6,2.0034950312245622e-06,0.0,0.0,0.6000000000000001
7,1.2783481206940837e-05,0.0,0.0,0.7000000000000001
8,6.42949041564272e-05,0.0,0.0,0.8
9,0.000262817130355236,3.244800396949557e-07,0.0,0.9
10,0.0008986009592872843,5.01015748255903e-06,0.0,1.0
11,0.0026352104922970267,3.966259173047368e-05,6.927034642426017e-07,1.1
12,0.006783877211725412,0.00023009728724317466,9.51831300618365e-06,1.2000000000000002
13,0.015632159424472138,0.001057548780282476,7.086204517126835e-05,1.3
14,0.03267318326155294,0.0040217561531120756,0.0003995818504745556,1.4000000000000001
15,0.062384195948168346,0.012882205231836726,0.0017878493986453034,1.5
16,0.10928386877547495,0.03519903693853758,0.006632117297453101,1.6
17,0.17650088616141732,0.08306647153688898,0.020712607198792254,1.7000000000000002
18,0.2647175285226052,0.17139030943657055,0.05505119624010234,1.8
19,0.3721853043556463,0.31297876201098124,0.12546889837319442,1.9000000000000001
20,0.49540076866376864,0.5115882396679649,0.24689040723249164,2.0
21,0.6291779591235558,0.7558088135400568,0.4225596109585775,2.1
22,0.7659087119159894,1.0177152783922427,0.6347674204338379,2.2
23,0.8955958238557861,1.2596575452709269,0.8465510923106523,2.3000000000000003
24,1.0078933945481137,1.4477757809059006,1.0165831568550487,2.4000000000000004
25,1.095137538527834,1.564129230845757,1.1172547401581878,2.5
26,1.154323730202855,1.6094693185972864,1.1428368785642546,2.6
27,1.1869831060331868,1.5969538176711822,1.105391084571125,2.7
28,1.1974910820123286,1.5435774623852097,1.0265350949570171,2.8000000000000003
29,1.1911488445251395,1.464768488506474,0.9307357498115312,2.9000000000000004
30,1.1729921013175322,1.3728968015983716,0.839109263551419,3.0
31,1.1472335415527997,1.2777723305221576,0.7641903569225348,3.1
32,1.1171219204723164,1.1871509326760894,0.7093137466471698,3.2
33,1.0853458727992642,1.1065494468223367,0.672455801697614,3.3000000000000003
34,1.0545544131720976,1.0390291607231033,0.6504032677062843,3.4000000000000004
35,1.0270458740456063,0.9855540647634211,0.6410451491931846,3.5
36,1.0039348043932077,0.9455583707976553,0.6443291229575603,3.6
37,0.9851289644633696,0.9174941059415027,0.661471650682561,3.7
38,0.9702956771803591,0.8995254716268721,0.6921784161015191,3.8000000000000003
39,0.9595420661682383,0.890123958783197,0.7324920863652585,3.9000000000000004
40,0.9531395130721312,0.8880858461164236,0.7762574885767395,4.0
41,0.9509899921851447,0.8922116219571395,0.8190602508989276,4.1000000000000005
42,0.9526177312513355,0.9012544338258447,0.8603207281183582,4.2
43,0.9574092635464005,0.9141074201945426,0.9014246878312775,4.3
44,0.9645340332770448,0.929790940474783,0.9424231983328493,4.4
45,0.9727646790847582,0.9471698635775442,0.9813533547617999,4.5
46,0.9808130034284714,0.9648064498168477,1.0163452780489488,4.6000000000000005
47,0.9880039208563721,0.9812307663634998,1.0465700216117437,4.7
48,0.9945232279650911,0.9953527307143288,1.0704234198575622,4.800000000000001
49,1.0008488431586764,1.0065369436102878,1.0850799372996536,4.9
50,1.0068900880504816,1.014452945332339,1.0900001046705863,5.0
51,1.0117684456068277,1.0191438824454868,1.0893329171534583,5.1000000000000005
52,1.0145143323702108,1.0210600121551994,1.0881352431140192,5.2
53,1.0148541425474598,1.0206545793814505,1.0867525458343552,5.300000000000001
54,1.0132508591444356,1.0181248451556133,1.081352110451309,5.4
55,1.0103249731458062,1.0139821299845002,1.0697402545902082,5.5
56,1.0063905157307231,1.0097099451242302,1.0542007972132137,5.6000000000000005
57,1.0016003703567324,1.0072256301716653,1.0382326389939471,5.7
58,0.9965196419621694,1.0074648428459312,1.0228744507124943,5.800000000000001
59,0.9923617591683414,1.0096348449631938,1.0075736510586704,5.9
60,0.9903426128996452,1.0118347614465821,0.9929991011343745,6.0
61,0.9906345487768828,1.0123691719025651,0.981236516411281,6.1000000000000005
62,0.9921011630520136,1.0107296608444079,0.9736928137599763,6.2
63,0.9932271698579928,1.007686958211331,0.9698857405008224,6.300000000000001
64,0.9932959895711703,1.0046813876189977,0.9682245233975423,6.4
65,0.9926898365768695,1.0030162332054988,0.9673058699784047,6.5
66,0.9922391611549191,1.0031851512874688,0.9662538261496882,6.6000000000000005
67,0.9924343272762184,1.0045565411816766,0.9642922641839863,6.7
68,0.9932047621504447,1.0057928324577492,0.9606065175721246,6.800000000000001
69,0.9942472522878405,1.0059639280080117,0.9547098541275336,6.9
70,0.9953906308356474,1.0052926578723587,0.9469067906419927,7.0
71,0.9965971806551666,1.0045825888498263,0.9385862820023104,7.1000000000000005
72,0.9976975923550254,1.0040720083723085,0.9319948139717643,7.2
73,0.9983163296641187,1.003252078347146,0.9291765448231267,7.300000000000001
74,0.9982113878818627,1.0017749444616244,0.9305448212924131,7.4
75,0.9976503735075809,1.00014978484323,0.9344625087197048,7.5
76,0.9972950273251782,0.9993816058462204,0.9387987422850552,7.6000000000000005
77,0.9976791248328453,1.0000141535279665,0.9432451835801932,7.7
78,0.9988371047176954,1.0015937813512579,0.9496494609592221,7.800000000000001
79,1.0003230904330112,1.0030236225883313,0.9596840983301834,7.9
80,1.0014431679592015,1.0034328356937123,0.9725651053924222,8.0
81,1.0015852901765776,1.0028473697015379,0.9854592259316851,8.1
82,1.000602598079948,1.0021028490251083,0.9959397680461813,8.200000000000001
