,Li-Li,Li-Se,Se-Se,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,9.228514411719866e-08,0.0,0.0,0.6000000000000001
7,8.429465755747948e-07,0.0,0.0,0.7000000000000001
8,5.335260358191291e-06,0.0,0.0,0.8
9,2.7935389116560807e-05,1.4082265936223046e-07,0.0,0.9
10,0.00012036072947168916,2.2999927752774687e-06,0.0,1.0
11,0.00044609422394651987,2.3819564132772587e-05,0.0,1.1
12,0.0014550369868893019,0.00016994064343784184,0.0,1.2000000000000002
13,0.004230083295264106,0.0009135354390970386,0.0,1.3
14,0.010994391761345668,0.003999450312964344,0.0,1.4000000000000001
15,0.025557059853793935,0.014602380840144865,0.0,1.5
16,0.05326704566875456,0.04496423637742809,0.0,1.6
17,0.10011426343364685,0.11756089021281123,2.3441903168074337e-06,1.7000000000000002
18,0.1709670332019197,0.26272114565386,1.6369708900480796e-05,1.8
19,0.2673339764174162,0.5056599878232844,8.570020660642675e-05,1.9000000000000001
20,0.38556862115318075,0.8455825998766416,0.00035180311860375326,2.0
21,0.5169315867897727,1.24103554922142,0.0011370269763526042,2.1
22,0.6503294307108282,1.6179119829247175,0.0029274013697300023,2.2
23,0.7761872963501384,1.9009071886943996,0.006085412008355244,2.3000000000000003
24,0.8883115119630954,2.047726496801306,0.010483053562488086,2.4000000000000004
25,0.9827729749204509,2.061533644158201,0.015714792884310314,2.5
26,1.0564530838039552,1.9769910473999193,0.022215165796221837,2.6
27,1.1075264786538097,1.8365251898789052,0.03240605568167524,2.7
28,1.136678094932702,1.674564824100716,0.050422594330950074,2.8000000000000003
29,1.147117505590351,1.5136720568888973,0.08001099113643219,2.9000000000000004
30,1.1435771755577637,1.366500841047665,0.12221010572308753,3.0
31,1.1311101976865252,1.2384408483934632,0.17535920844465488,3.1
32,1.1138260342838278,1.1301633180820674,0.23790767109007746,3.2
33,1.0942359734863063,1.040383642951528,0.31112824444097503,3.3000000000000003
34,1.073914795908408,0.9680136049202057,0.39853759057090626,3.4000000000000004
35,1.0544705031315895,0.9124284913099762,0.5019418860898858,3.5
36,1.037401593018825,0.872295135544774,0.6171682699173766,3.6
37,1.0233313088347573,0.8452092790918768,0.7333020168743878,3.7
38,1.0119533792885325,0.8290236506334047,0.8363761353016973,3.8000000000000003
39,1.0026684120600244,0.8227108871400284,0.9147554547947873,3.9000000000000004
40,0.9950431430920215,0.8252093280024617,0.9634980898155817,4.0
41,0.9890151310544849,0.8341393095860252,0.9867749001988446,4.1000000000000005
42,0.9851261332696809,0.8465444807812478,0.9966143567725436,4.2
43,0.9842773278680466,0.8605066114413432,1.0067153697434963,4.3
44,0.9867508980029395,0.8755313499065467,1.0247943145313536,4.4
45,0.991531575348462,0.891853089032255,1.0494596832830891,4.5
46,0.9967458802375397,0.9097185073659896,1.0736654817391267,4.6000000000000005
47,1.0005649243025438,0.928890870925063,1.0905799071699362,4.7
48,1.0018090752477957,0.9483693887642116,1.0966978917755232,4.800000000000001
49,1.0004524059775612,0.9665785883702667,1.0922628902871387,4.9
50,0.9978446088449047,0.9820063481059076,1.0816484543143392,5.0
51,0.9957928180029058,0.9938498733510079,1.072308064091905,5.1000000000000005
52,0.9950181937897636,1.0022146688270288,1.0700835498441479,5.2
53,0.9948604757041385,1.0077427823162248,1.0743991586885282,5.300000000000001
54,0.9945234495441292,1.0110270190916117,1.0783682424046503,5.4
55,0.9940638135534963,1.0124761415790957,1.0735566438676307,5.5
56,0.9939965826950578,1.0127124647663663,1.055329515391396,5.6000000000000005
57,0.99445671588412,1.0126640125370645,1.0255837713304408,5.7
58,0.9950856794644942,1.0129728104678444,0.9916901325750075,5.800000000000001
59,0.9954776302609919,1.013560980137302,0.9622088417667891,5.9
60,0.9954037413022817,1.0139140621762555,0.9419862490131279,6.0
61,0.9947334144682887,1.013651321931251,0.9299302724007604,6.1000000000000005
62,0.9934948027362361,1.0128393359371295,0.9210222858672383,6.2
63,0.99201388639197,1.0118455197467255,0.9111886216747415,6.300000000000001
64,0.9907439626629658,1.0108906594313303,0.9011772799783424,6.4
65,0.9899411485637444,1.00989979355744,0.8958071422101033,6.5
66,0.9896139722209626,1.0087866104865977,0.8994621678961006,6.6000000000000005
67,0.9896370270598388,1.0075208760829095,0.9127985331967521,6.7
68,0.9897507212603455,1.005824768070049,0.9336189455102111,6.800000000000001
69,0.9896588617726217,1.0032398054608207,0.9597185385106108,6.9
70,0.9893328220878154,0.9998075325854022,0.9896670340434806,7.0
71,0.9891369405573326,0.9965022956581079,1.020732288135918,7.1000000000000005
72,0.989604900101853,0.9946949615118374,1.0473675591259357,7.2
73,0.9910837504206744,0.995139850832796,1.0634486412657058,7.300000000000001
74,0.9933832577531387,0.9974969161681682,1.0663723936580707,7.4
75,0.9957104599689035,1.0006570701993933,1.058560684662449,7.5
76,0.9972139763319702,1.0033750990611838,1.0452134304879577,7.6000000000000005
77,0.997720181402823,1.0047989267941486,1.0308571943650398,7.7
78,0.9977847428231968,1.0047655718844712,1.017703897791682,7.800000000000001
79,0.9980516608869956,1.0037361843229207,1.006897782189052,7.9
80,0.9987924034163782,1.0023390282921774,1.0006867051616344,8.0
81,1.0000175464921435,1.0008204205701872,1.002021544702109,8.1
82,1.0016636515306323,0.9989114580791592,1.011373642132315,8.200000000000001
83,1.0034685009110933,0.9963523602040574,1.024838736702781,8.3
