,Li-Li,Li-Si,Li-Ge,Si-Si,Si-Ge,Ge-Ge,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,1.101780673571171e-06,0.0,0.0,0.0,0.0,0.0,0.4
5,9.06210321629283e-06,0.0,0.0,0.0,0.0,0.0,0.5
6,4.87293945208649e-05,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,0.0002100077546390524,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,0.0007158753507099567,3.098758144418918e-07,3.098758144418918e-07,0.0,0.0,0.0,0.8
9,0.0019621604409042906,2.5696282775891647e-06,2.2951362066648596e-06,0.0,0.0,0.0,0.9
10,0.004403019991056025,1.763652625531404e-05,1.4744832437280653e-05,8.569405238886886e-07,1.2242007484124124e-07,0.0,1.0
11,0.008326961542127866,9.120333502617107e-05,7.580787647543787e-05,1.0642105941064504e-05,2.336499274099529e-06,0.0,1.1
12,0.0139347862992843,0.000392772086527945,0.00032408323842726455,8.66210488243751e-05,2.4297958051596794e-05,5.15633355231308e-06,1.2000000000000002
13,0.02197624445458577,0.0014418598344876135,0.0012076697794579485,0.0005034036797253621,0.00016550230469952973,4.837388825265525e-05,1.3
14,0.03457467252664449,0.004598533434498383,0.003967114291972825,0.002322196075447021,0.0008559606439698634,0.00030496390135597125,1.4000000000000001
15,0.055406755805752425,0.01291350011422743,0.011592727408063977,0.008859887060001854,0.00360173766311884,0.0014735493573183346,1.5
16,0.08898306358115282,0.03219790005645024,0.03010651013187632,0.028365604721763374,0.01261245936822029,0.005751073872403789,1.6
17,0.13942698643213852,0.07166141980701118,0.06934905200312026,0.07683512762055149,0.037143898879859256,0.018557394768013446,1.7000000000000002
18,0.2092818330584625,0.14288098565041757,0.14168733072000797,0.17735576244344453,0.0927733254491897,0.05025291735606554,1.8
19,0.29854736649393065,0.2559488888043574,0.2575068493127624,0.3516916948270628,0.19828548680905256,0.11569706188611954,1.9000000000000001
20,0.40417059998058047,0.41343547541982095,0.4188156587579707,0.6049263035618371,0.366397155519445,0.22927463291755998,2.0
21,0.5204775267250956,0.6055260317147542,0.6152243690856234,0.9125567919155473,0.5921664585020094,0.39591514021787955,2.1
22,0.6404361560838248,0.8103846344971823,0.8259116832623657,1.2221340473012032,0.8478091581257192,0.6035423452719408,2.2
23,0.7567878853426034,1.0007842572382286,1.0263273097675365,1.4722457631961254,1.0901771019296105,0.8237030075338255,2.3000000000000003
24,0.8626418900023557,1.1536062039866624,1.1952866748727506,1.61806114913401,1.2778806980577084,1.0212703227237758,2.4000000000000004
25,0.9517834175015918,1.2567173917565215,1.3194391636849718,1.647737969572408,1.3872214775365697,1.1669922126199792,2.5
26,1.0192365507783177,1.309619948439916,1.3942420455994409,1.581866094533186,1.4173816785113649,1.246429315548009,2.6
27,1.0630048631547482,1.319245255421543,1.4220205060979965,1.459751923784416,1.384512595611788,1.2630218205486325,2.7
28,1.0859622799037623,1.29552376728756,1.409572743331159,1.3218383192699974,1.31187900264414,1.23461405655032,2.8000000000000003
29,1.094535188261073,1.2494123265212245,1.3671828647244997,1.1966969035726145,1.2221711331998033,1.18415119175523,2.9000000000000004
30,1.0941798192626588,1.1920751235894427,1.3074533837964906,1.0972052026340546,1.132974342793402,1.1298196438783774,3.0
31,1.0868008008777097,1.1334109360988327,1.2422539583180976,1.0247420668400857,1.054711666057091,1.0810182918261122,3.1
32,1.0727651096421058,1.0804540113353327,1.1798036504168528,0.9756303680857047,0.9913084988351735,1.0403260654115538,3.2
33,1.053380684226267,1.03689821873992,1.1244841871296198,0.944901674148186,0.9430306418768594,1.0066616126565953,3.3000000000000003
34,1.0303193832430613,1.003743257717942,1.0783514931713478,0.9272095967723002,0.9092986934485647,0.9776253047365229,3.4000000000000004
35,1.004838468962175,0.9803910316983796,1.0418994615237238,0.9175021527513327,0.889554489744101,0.9522015531328325,3.5
36,0.9797225763502414,0.9654097331142758,1.0139656446025798,0.9125672051731972,0.8823110678113398,0.9327562406170985,3.6
37,0.9601253489512291,0.9565559000579037,0.992292604820987,0.9118617019909955,0.8843053034572689,0.9235471760307293,3.7
38,0.9496889442920117,0.9511364401132345,0.9750299229676472,0.9161792550267228,0.8914365259376986,0.9261949531707916,3.8000000000000003
39,0.9468459332183721,0.9477175333186124,0.9619957639274008,0.9254394765452406,0.900935898079933,0.9368572774028257,3.9000000000000004
40,0.9470305362976832,0.9474086685431815,0.9546226398261506,0.9381782567890006,0.9124788303050826,0.9490054256005641,4.0
41,0.9474538937344932,0.9523701155440721,0.9543960353749611,0.9527642802103234,0.926950785864055,0.9594063163319879,4.1000000000000005
42,0.9482373631235419,0.9628227615009235,0.9608212218163459,0.9681173841601604,0.9442155720236118,0.9704163607163196,4.2
43,0.9504769839537875,0.976185846901173,0.9708650177338121,0.9829763897858386,0.9623277231152266,0.9857354527733626,4.3
44,0.9549466888858912,0.9892038083720445,0.9808092413342079,0.9952577287389922,0.9787391648100182,1.0045191926098813,4.4
45,0.9615606779252165,1.0002781957085696,0.9887009108984798,1.0029012450020678,0.9917831569701991,1.0203497471970033,4.5
46,0.9687127952528245,1.0094384788840016,0.9948380670739104,1.0053980768032302,1.0010136162470642,1.025919905901218,4.6000000000000005
47,0.9738875096074339,1.0167992692756358,1.0004009774054485,1.004295428655258,1.0066965152143625,1.0187161537009057,4.7
48,0.9757604444418879,1.021882746151689,1.006238828653573,1.0021176940207068,1.0093172254245422,1.0026434137086149,4.800000000000001
49,0.9754805223056743,1.0243133186410425,1.0126018433131074,1.00066532388791,1.009460825938497,0.984806836193754,4.9
50,0.9755877821523224,1.024546792673168,1.019078606719949,1.0001059867577151,1.0079926488611817,0.971041418160949,5.0
51,0.977653030591185,1.0237341870431225,1.0243702577399592,0.9995558027271879,1.0061450301489319,0.9638436988385576,5.1000000000000005
52,0.9809554463091803,1.0228859613136656,1.0265665166799358,0.9985251960328289,1.0050753610205807,0.962777774142784,5.2
53,0.9834521843250091,1.0221196369093872,1.0243701782132923,0.9976489542790842,1.0050840379617436,0.9654101454243492,5.300000000000001
54,0.9838043271745326,1.0208496686470345,1.018377757090822,0.9978980002463387,1.0054141801987164,0.9683451260948011,5.4
55,0.9822825675079366,1.0188202064598069,1.01095578253964,0.9993009663955488,1.0050800074075992,0.9691428474355368,5.5
56,0.980040174503234,1.016645148843479,1.004665066937037,1.0007541567153793,1.0039193840994458,0.9679652151523989,5.6000000000000005
57,0.9779627851015539,1.015007526938566,1.0008198821557777,1.000931941739138,1.0027669201607914,0.9668101500235492,5.7
58,0.9763350447461931,1.0135244072987137,0.9992738382701027,0.9990669891626593,1.0026329910655598,0.9669239689452576,5.800000000000001
