,Li-Li,Li-Hf,Hf-Hf,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,2.9091542257797264e-07,0.0,0.0,0.5
6,2.524107697084101e-06,0.0,0.0,0.6000000000000001
7,1.5798850054594094e-05,0.0,0.0,0.7000000000000001
8,7.595824510892076e-05,0.0,0.0,0.8
9,0.00029948878631702407,8.506004570186397e-08,0.0,0.9
10,0.0009935300149931114,7.06404093424909e-07,0.0,1.0
11,0.002839984404397162,5.100098061481266e-06,2.7238064496220154e-07,1.1
12,0.007173387303002264,2.730645008134561e-05,2.267791981834146e-06,1.2000000000000002
13,0.01638592696153355,0.00011946162723056607,1.579345678063147e-05,1.3
14,0.03443397222020647,0.00044400656193577037,8.578332426783951e-05,1.4000000000000001
15,0.06713963836597911,0.0014209063669022076,0.00039588015244683606,1.5
16,0.12158607802699258,0.003958431567822902,0.0015784051543187285,1.6
17,0.2040911599710252,0.009726304094311713,0.0055395382706676256,1.7000000000000002
18,0.31731493786074055,0.021424019831915813,0.017251916368809204,1.8
19,0.4580224764562639,0.042977316773443776,0.047704394342323445,1.9000000000000001
20,0.6168368906164783,0.07937636996585183,0.11685270011585076,2.0
21,0.7804749593069459,0.13552296569445682,0.25328773412640354,2.1
22,0.9357979581737319,0.2139199596616131,0.48677605734888535,2.2
23,1.0735817893479078,0.31241337673683767,0.8341270194451641,2.3000000000000003
24,1.1896716609398184,0.42376468180810706,1.2859135987728927,2.4000000000000004
25,1.2832522009024585,0.5374631117422735,1.8035758234010026,2.5
26,1.3541375456167803,0.6426989451016806,2.3288480538655176,2.6
27,1.401210681965332,0.73111827973695,2.7988425259224976,2.7
28,1.423122174907483,0.7982350058228269,3.1599340406294743,2.8000000000000003
29,1.420591202960946,0.8430958257276651,3.378344374909471,2.9000000000000004
30,1.3978254607397445,0.8671695169778766,3.445781066027491,3.0
31,1.3613307642330281,0.8735436308418341,3.3770928740680946,3.1
32,1.3175288879699194,0.8661556113503254,3.2012295931361905,3.2
33,1.2715284243487248,0.84881934629543,2.951948034692431,3.3000000000000003
34,1.22696023200001,0.8248607519620706,2.66220828346581,3.4000000000000004
35,1.1856740121954976,0.7974578512357547,2.360783163823821,3.5
36,1.1477318798947136,0.7696630693301707,2.069719277183757,3.6
37,1.1125189249344074,0.7439567492878988,1.8038619345595015,3.7
38,1.0801505038403276,0.722265216667587,1.5724942207832195,3.8000000000000003
39,1.0518944494823648,0.7063572071878602,1.3810528841547103,3.9000000000000004
40,1.029447851782797,0.6976268623744741,1.2315222063687283,4.0
41,1.0137566376636635,0.6963411767558297,1.1222289978551856,4.1000000000000005
42,1.004243336496382,0.7015444643648516,1.048456078787831,4.2
43,0.9991667570133622,0.7119791041408743,1.00448765051652,4.3
44,0.9969427579315484,0.7270541929077898,0.9856336878449371,4.4
45,0.9970727410446233,0.7468159895837307,0.9879425394132217,4.5
46,0.9996596449469168,0.7711232171843536,1.006141762493979,4.6000000000000005
47,1.0042957004113608,0.7991083328987081,1.0337731894582638,4.7
48,1.009861370845365,0.8293945942048684,1.066754478273558,4.800000000000001
49,1.0153834293064188,0.8605260439390783,1.105741003576221,4.9
50,1.0206535927280251,0.8911673951683134,1.1531718509504503,5.0
51,1.0257884739771967,0.9201865056000985,1.207672272756903,5.1000000000000005
52,1.0305332445229975,0.9466944876640149,1.2623068652267981,5.2
53,1.0343016541459777,0.9698863074682655,1.3086249127904663,5.300000000000001
54,1.0367160037006788,0.9887958790236283,1.3412125486019792,5.4
55,1.0377654190502539,1.00234608203513,1.35768740522168,5.5
56,1.0374418956776377,1.009902718092855,1.3562543085277827,5.6000000000000005
57,1.0354896225159254,1.0119836626902967,1.3357331113548068,5.7
58,1.0317104092541152,1.01041224450444,1.2977680476125968,5.800000000000001
59,1.0263536204682766,1.0075847186836562,1.247326503125056,5.9
60,1.0199752391522066,1.0054482742856061,1.1903780113684008,6.0
61,1.0129826533869966,1.0049559713635636,1.1311835971448947,6.1000000000000005
62,1.0055367083822737,1.006049957274913,1.0717374597946847,6.2
63,0.9979272197440348,1.007885718246623,1.013533517577185,6.300000000000001
64,0.9909077501840263,1.0093427111615296,0.9594207718311047,6.4
65,0.9854712257242926,1.0097252192789803,0.9134798463595359,6.5
66,0.982117768722499,1.009159997610049,0.8791611584780675,6.6000000000000005
67,0.9803429631933521,1.0084596911233659,0.8573171485288321,6.7
68,0.9790005651995065,1.008688455538368,0.8455251267938944,6.800000000000001
69,0.9772129364352005,1.0106797621240138,0.8393105729237889,6.9
70,0.9749358842341634,1.0147473969464171,0.8345277336576034,7.0
71,0.9727233123842115,1.0206728562310685,0.8291804789622123,7.1000000000000005
72,0.9710605274511931,1.0278167631451458,0.8235806925114961,7.2
73,0.9699237774083322,1.0353297328745135,0.8192574516418462,7.300000000000001
74,0.9689264899161923,1.0425280794239227,0.8177543579273879,7.4
75,0.9678252023030807,1.0491719228396668,0.8199329565385455,7.5
76,0.9667934934996513,1.0553242597081611,0.8256970296113602,7.6000000000000005
77,0.9661419617989042,1.0609647652503995,0.8338930099807025,7.7
78,0.9659006580885138,1.065859895947238,0.8423807260286381,7.800000000000001
79,0.9658321785309426,1.0698878797472324,0.8484968471424648,7.9
80,0.9658274780120636,1.0734039837117757,0.8501648032090623,8.0
81,0.9661220823585132,1.0770507668818412,0.8472066235791021,8.1
82,0.9670047922676107,1.0811026093292262,0.8415000205289858,8.200000000000001
