,Li-Li,Li-As,As-As,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,8.738858017342043e-08,0.0,0.0,0.5
6,1.0972976262543425e-06,0.0,0.0,0.6000000000000001
7,7.908659492279859e-06,0.0,0.0,0.7000000000000001
8,4.339625995068258e-05,1.0095770541519173e-07,0.0,0.8
9,0.00019204116603924553,1.2843345763143888e-06,0.0,0.9
10,0.0007092478961760769,1.2849638116244005e-05,0.0,1.0
11,0.002233341737340696,8.443040681580548e-05,0.0,1.1
12,0.006088649932199031,0.0004403958516268834,9.04581040520118e-07,1.2000000000000002
13,0.014581890896961342,0.0018880700022786475,1.287270353486272e-05,1.3
14,0.03109645123009099,0.006814339737266857,9.038416946677336e-05,1.4000000000000001
15,0.05980258646112851,0.02096943993237232,0.00047154844813036633,1.5
16,0.10492292338001795,0.055534051825230156,0.0019736366483529126,1.6
17,0.16963805629822093,0.12759825042092784,0.006758975280121104,1.7000000000000002
18,0.25496598599472814,0.25634988505185924,0.019243118077853866,1.8
19,0.3591930308823061,0.4539555528133195,0.04615064406251621,1.9000000000000001
20,0.4781523763186181,0.7149114617219198,0.09454277238521741,2.0
21,0.6057278296262232,1.0115558333335999,0.16775088981569164,2.1
22,0.7340364348365006,1.3008135836467445,0.26127467396717335,2.2
23,0.8540419050232773,1.539168096757202,0.3619561867323091,2.3000000000000003
24,0.957469665376729,1.6973554110434301,0.45249012615641304,2.4000000000000004
25,1.039063652548095,1.767533059817414,0.5192139274372567,2.5
26,1.0973959365643358,1.7606639071307337,0.5573948385866202,2.6
27,1.1339831433045386,1.6974041437459078,0.570362646493738,2.7
28,1.1518121356437694,1.5991284178909655,0.5652592896863924,2.8000000000000003
29,1.1541348719281108,1.4835288771212944,0.5502335601448177,2.9000000000000004
30,1.1439383435598807,1.3639700679583702,0.5336595535761298,3.0
31,1.124280551916914,1.2500183912279266,0.5229753010779252,3.1
32,1.0989524133168769,1.1481240593831388,0.5227310874648923,3.2
33,1.0722974969702403,1.062078021952971,0.5338115744219059,3.3000000000000003
34,1.0479039940635713,0.9930963500949764,0.5550338662287417,3.4000000000000004
35,1.0274576540478577,0.9401103850628099,0.5859016156149656,3.5
36,1.0109779639209235,0.9006881523532866,0.6277959197227511,3.6
37,0.9979136759090353,0.8722229363923416,0.6825450131326092,3.7
38,0.9878575941090157,0.8529330693219119,0.750309522918226,3.8000000000000003
39,0.9806493072106801,0.8422763006337672,0.8284226945934678,3.9000000000000004
40,0.9764095576370792,0.840327368017383,0.9111707175231645,4.0
41,0.9754689142833585,0.8465369848255471,0.9910656463494354,4.1000000000000005
42,0.9778432892329756,0.85918702735833,1.061705680158718,4.2
43,0.9826367421145972,0.8759313135622031,1.1199767322325311,4.3
44,0.9881992013249492,0.8945176533526579,1.1658628421043604,4.4
45,0.9930844476096209,0.9131995731640479,1.2008179511611285,4.5
46,0.9968641901983445,0.9309676224554356,1.2262046803256714,4.6000000000000005
47,1.0000359163493342,0.9474562438121488,1.242556747481873,4.7
48,1.0032359499307626,0.9625049402446708,1.2499891099417713,4.800000000000001
49,1.0065645450411584,0.975863395174389,1.2489723503639008,4.9
50,1.009549471167691,0.9873430728386888,1.240086825521201,5.0
51,1.0114865429652509,0.9971143634200708,1.223187724856589,5.1000000000000005
52,1.0117438274587573,1.0056636735939637,1.1976983153693306,5.2
53,1.010091689659438,1.0132913664730119,1.163967941041305,5.300000000000001
54,1.0069852870436435,1.0196419064223758,1.1241369914405719,5.4
55,1.0033256554551506,1.0239555326537002,1.0820292020117679,5.5
56,0.9997486499489054,1.025837553511528,1.0423319871580667,5.6000000000000005
57,0.9962672228128657,1.0255514580452494,1.0089330465194843,5.7
58,0.9927086364502312,1.0235999031358667,0.983094051027994,5.800000000000001
59,0.9893159697328829,1.0204482047366155,0.9631957811088767,5.9
60,0.9867304858600118,1.016750542741965,0.9466741789801221,6.0
61,0.9854893321977394,1.0133700423162626,0.9323746143483436,6.1000000000000005
62,0.985708183851203,1.010807600863277,0.9211461093338391,6.2
63,0.9871179759884543,1.0088208750745895,0.9146235167773245,6.300000000000001
64,0.9891908614028773,1.0069617091681826,0.9135669418645066,6.4
65,0.9913316614301017,1.005405535351359,0.9168790457658997,6.5
66,0.9931523424556061,1.0049260395287307,0.9221282067081926,6.6000000000000005
67,0.9945664830052912,1.0059401834706556,0.9273695633800426,6.7
68,0.995636589401108,1.007792453228251,0.932242128610495,6.800000000000001
69,0.996486804701487,1.0092055685614083,0.9370211346614997,6.9
70,0.9973736140496943,1.0094064460407188,0.9413746413817334,7.0
71,0.9986096687263203,1.0087045006053736,0.944894820803008,7.1000000000000005
72,1.000232138518984,1.0080338203389143,0.9482048435809166,7.2
73,1.0018303742255699,1.008075823471497,0.9523213328162692,7.300000000000001
74,1.002858454788573,1.008761226141699,0.9570676515652129,7.4
75,1.0031021843233008,1.0093809086450507,0.9611263010715935,7.5
76,1.0027327324941862,1.009017726131827,0.9640659024231807,7.6000000000000005
77,1.0020234733051034,1.006985797181521,0.9675856879728477,7.7
78,1.0012206120290554,1.00320566620498,0.9738608397992571,7.800000000000001
79,1.0005587104911149,0.9984903029160601,0.9828646056039159,7.9
80,1.0001004239236642,0.994420806229711,0.9920894923483001,8.0
81,0.99964630584174,0.9925490207091183,0.9988117951341167,8.1
82,0.9990725195486881,0.9933530788378592,1.0020665854875788,8.200000000000001
