,Li-Li,Li-Si,Li-Te,Si-Si,Si-Te,Te-Te,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
6,2.9331005038526774e-07,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,1.912621784737243e-06,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,1.0386791404513617e-05,0.0,0.0,0.0,0.0,0.0,0.8
9,4.459939635163752e-05,0.0,0.0,0.0,0.0,0.0,0.9
10,0.00015710448813970585,1.0646068495465278e-06,0.0,7.097378996976852e-07,0.0,0.0,1.0
11,0.00046915060639062694,1.3152806830752925e-05,7.962433500763504e-07,1.3545997987626727e-05,3.1849734003054013e-07,0.0,1.1
12,0.0012549154514594249,9.37190166877364e-05,1.137220162323117e-05,0.00013454513885624523,2.651751243400552e-06,0.0,1.2000000000000002
13,0.003127131429745421,0.0004988853068031874,8.191902203132928e-05,0.0009307882087438969,2.029248309093646e-05,0.0,1.3
14,0.007388129069327886,0.002132908463399002,0.00045460335761803435,0.004822322295561194,0.00012456099283391297,0.0,1.4000000000000001
15,0.016454035257434926,0.007540537037704939,0.00201831601887343,0.020292155375154396,0.0006065031475367613,4.346976928205104e-07,1.5
16,0.034185101817405875,0.022395035741275958,0.007434567942322969,0.07095163604909067,0.0024810164943376285,1.121836396708627e-05,1.6
17,0.06590331493321444,0.05656217357353943,0.023188062577736274,0.20770184548523582,0.008648445036180048,8.856450731866532e-05,1.7000000000000002
18,0.11765022594473172,0.12289995482899055,0.062067354983451194,0.5110883316870045,0.025661735852719574,0.0004882572859887803,1.8
19,0.19405064630978042,0.2323544989577081,0.14397920334878053,1.0619210774566237,0.06470292147251057,0.0021272179883672967,1.9000000000000001
20,0.29526495374590866,0.38661046052913367,0.29152388057856776,1.8744486911120297,0.1389268708345447,0.00750765145668611,2.0
21,0.41534131503600824,0.5728599086460096,0.5184876641135373,2.833410684607819,0.2558534437779073,0.021723888454451515,2.1
22,0.5439366535679322,0.7656159169096349,0.815976072244269,3.7041640599109074,0.40892665803006745,0.05220306324587808,2.2
23,0.6702005059292322,0.9364185593131243,1.1472208147395326,4.237285618174654,0.5759451961690807,0.10573438294978747,2.3000000000000003
24,0.7855173945747783,1.065893575671443,1.458575519056376,4.29965954523065,0.7274840404824761,0.18375792306252162,2.4000000000000004
25,0.8836762521091683,1.1496705904233808,1.7010232429211547,3.9345942634231954,0.8396829799624774,0.27961252698892536,2.5
26,0.9601858246993269,1.194434257746921,1.8475598034266398,3.316442346064733,0.9028101056423576,0.380594557813518,2.6
27,1.0127422802111528,1.2096182611818613,1.8970801325065243,2.6474955076806332,0.9216680494142498,0.4736621621346618,2.7
28,1.0424605079885827,1.2029614070170858,1.8672953817011402,2.0718995609556465,0.9099789956767126,0.5509128874323517,2.8000000000000003
29,1.054111948858524,1.1811490179833108,1.7840940876860538,1.6480449389042942,0.8833177422809617,0.6112806070616128,2.9000000000000004
30,1.0544132626520872,1.1508534033519924,1.6721203841967212,1.3697377581616892,0.8539906544930119,0.6576633759694022,3.0
31,1.0490763144162367,1.1176622453143665,1.5493209335218316,1.2015563244064704,0.8289051014948207,0.6928965020353585,3.1
32,1.0406978121728598,1.084671238746566,1.426911394414405,1.104733361960354,0.8100193665633687,0.7189128798293101,3.2
33,1.0293706805409446,1.0528606302477226,1.3123839303333897,1.0500472489298802,0.7965261266182697,0.7389399895570997,3.3000000000000003
34,1.0153419212274977,1.0230383279912247,1.2113806988966267,1.020830464604403,0.7876583673702043,0.7589346592029433,3.4000000000000004
35,1.0007066791757164,0.9972564643225691,1.1274347832345544,1.0095133988555731,0.784384479666987,0.7858692660711474,3.5
36,0.9884603570200374,0.9778896440919554,1.06142988652886,1.012496380310011,0.7884650878421671,0.823734972970438,3.6
37,0.9803831262999397,0.9652758862578567,1.0118219570108367,1.0268978986134243,0.799888002244989,0.8703192804378485,3.7
38,0.9761227668507142,0.9570466652393758,0.9752863508683484,1.048959731870421,0.8161683802621273,0.9179292467780241,3.8000000000000003
39,0.9740186506494758,0.9503560050076235,0.94783543536547,1.073180061475852,0.8347330618199501,0.9584083573667617,3.9000000000000004
40,0.9726194107144612,0.944267986191651,0.9264416686365081,1.092887059745579,0.8548780144892912,0.9886563358548326,4.0
41,0.9717089287962756,0.9398354863998324,0.9101607839117919,1.1028943270268383,0.8763439291960509,1.0118279948484936,4.1000000000000005
42,0.9721875471562131,0.938730879611855,0.8997829279204722,1.1024570978045354,0.8970863130771072,1.0329393376456055,4.2
43,0.974976739507427,0.9422121613238237,0.8964118535268234,1.0956131913503107,0.914286366587209,1.0529448465611206,4.3
44,0.9798943291624092,0.95045613180155,0.9000879254151608,1.0880018579832131,0.9274817946160795,1.0674229511554831,4.4
45,0.9856288616742179,0.9621627450279573,0.9090654371597086,1.0827285956964796,0.9391056302064403,1.071264478026749,4.5
46,0.9908686267754466,0.9749775748725645,0.9200421157648537,1.0791759033112651,0.951374880122145,1.0638945694447346,4.6000000000000005
47,0.9953008516552637,0.9865182654720657,0.9296239399739811,1.075460317241862,0.9637608534056061,1.0498456274773602,4.7
48,0.9992601989740525,0.9951197476184652,0.9361901615840947,1.070849232969567,0.9741917797759058,1.0359323610665774,4.800000000000001
49,1.0026777120590673,1.0001604402381006,0.940274235988633,1.0652335558478718,0.9816561465439869,1.0287697349577551,4.9
50,1.0048704681449172,1.002270250740067,0.9430580443157311,1.0576051941173366,0.9866462543089605,1.0328685067451249,5.0
51,1.0053340056747733,1.0030863471607514,0.9449775736281613,1.0467966114617313,0.9899166113377068,1.0481893573729264,5.1000000000000005
52,1.0042850558186591,1.0042066517714066,0.9459962287958387,1.0335957730226897,0.9919961691064714,1.0689052274370285,5.2
53,1.0023563544582539,1.0060212151145058,0.9466311339319534,1.0209296210979382,0.9935717395423951,1.085788713777892,5.300000000000001
54,1.0001205094760082,1.0074522232643504,0.9481846903964922,1.0115020140142823,0.9954031949426503,1.0913180289916888,5.4
55,0.998021993648421,1.0069294977172654,0.9521097211344263,1.0053321870449803,0.9980638610111542,1.083916333554509,5.5
56,0.9964804200090812,1.0039852770433244,0.9592225240891986,0.9995747376755637,1.0024257613475949,1.0682407441795065,5.6000000000000005
57,0.9958104544239542,1.0001578607197226,0.9691288012916611,0.9908074568307028,1.009811375404382,1.0513527739888524,5.7
58,0.9960682158427637,0.9979444646440644,0.9802452103067609,0.9779805343537779,1.020562403741645,1.0379660737953367,5.800000000000001
59,0.997089341079653,0.9984709107759553,0.9907321619897504,0.9635460917676351,1.0326103231405537,1.0288121855421204,5.9
