,Li-Li,Li-Si,Li-Ir,Si-Si,Si-Ir,Ir-Ir,r
9,0.000646096072518916,9.173312537913622e-07,8.441045365460659e-07,0.0,0.0,0.0,0.9
10,0.0022025651547259374,9.254698492309031e-06,7.048265843033354e-06,2.045592070568701e-07,2.045592070568701e-07,0.0,1.0
11,0.006346599418659285,6.025722516309843e-05,4.2856368394929875e-05,2.9862333331529394e-06,5.923726212329712e-06,0.0,1.1
12,0.01577580138122175,0.0003094688008320404,0.00021768577925352958,2.5833327079261026e-05,7.282460370792957e-05,0.0,1.2000000000000002
13,0.03457217729744004,0.0012881585621181797,0.0009371200300814565,0.000159578780217769,0.0005154693717479787,1.8034607642564883e-06,1.3
14,0.06811021157871179,0.00450003622586007,0.003465008047256334,0.0007728134190243854,0.0027133598302367377,2.5453674303425147e-05,1.4000000000000001
15,0.12233444078042598,0.013461374547492308,0.01103510802330113,0.0030851780340450667,0.011474642746386775,0.00018347023352819185,1.5
16,0.2020231212316191,0.03499197484291697,0.030347251085498152,0.010343486467827886,0.03996819112932253,0.0009696926718690017,1.6
17,0.3083709953882683,0.07979984057046156,0.0724376295448795,0.029392355236759003,0.11585334535536798,0.004099720539625867,1.7000000000000002
18,0.43736225276245116,0.16073063350394207,0.15117236815411708,0.07132310553797923,0.28164294620257097,0.01420991885057193,1.8
19,0.5804240384695483,0.2876846841365436,0.2782431973139332,0.1489414102538001,0.578847418540127,0.04091326016973216,1.9000000000000001
20,0.7272233642145737,0.4610139402760192,0.45611749207833513,0.2700939170469271,1.0148389116307983,0.09905859505045803,2.0
21,0.86836389215227,0.667645595759153,0.6732234060255311,0.4298757713571594,1.533156017439799,0.20438064630958877,2.1
22,0.9955493269843118,0.8830300701961947,0.9054501577398634,0.6079690115412417,2.01895764273667,0.36461033626199735,2.2
23,1.099931639703612,1.0782482206966846,1.123656737814947,0.7752358600083186,2.3484455706633574,0.5709947432601586,2.3000000000000003
24,1.1724799094232257,1.22903257083122,1.3023657504199966,0.9065236951705092,2.4505444391967273,0.7965961514157524,2.4000000000000004
25,1.2082310478404812,1.3228812465506405,1.4251045021541988,0.9907074641054046,2.3356846486480354,1.0037432960579327,2.5
26,1.2105312173819045,1.361056182624712,1.4860802153537438,1.031235105518051,2.076221899870419,1.1575979030535604,2.6
27,1.189757970173738,1.3548102441036727,1.4899741882770758,1.0393162690093962,1.7615714431976488,1.2391798389615045,2.7
28,1.1570345204751953,1.3189338616117188,1.4498998624379502,1.027376719981364,1.460990614754651,1.2503755812051363,2.8000000000000003
