,Nb-Nb,Nb-Si,Si-Si,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.7000000000000001
8,0.0,0.0,0.0,0.8
9,0.0,0.0,0.0,0.9
10,0.0,0.0,2.451211569547226e-07,1.0
11,0.0,0.0,3.1823758654167616e-06,1.1
12,0.0,2.9782220569998803e-07,3.091500148563072e-05,1.2000000000000002
13,0.0,7.506795243518676e-06,0.00020973554285623133,1.3
14,8.860825954710387e-07,7.287940676813017e-05,0.0010832038408563668,1.4000000000000001
15,1.0642226026860064e-05,0.00047442576977865304,0.004566310038157389,1.5
16,7.173382825064221e-05,0.0023696850095401368,0.01606346112871872,1.6
17,0.0003673108869577173,0.009614319628042288,0.04744357540550186,1.7000000000000002
18,0.0015145572812241483,0.03242198712316456,0.11812825115361304,1.8
19,0.0051634766404071,0.09179487086512333,0.24936586034385486,1.9000000000000001
20,0.014787079491944641,0.21978393225077195,0.4500630230707221,2.0
21,0.03621087544842354,0.44821319303471824,0.7024787087356958,2.1
22,0.0771643860900646,0.7850230748959836,0.9620432213872602,2.2
23,0.14558479442180378,1.1930727583287521,1.1759149462640968,2.3000000000000003
24,0.2468490900358813,1.5940161084668802,1.3074644163850329,2.4000000000000004
25,0.3805661774946162,1.9022588409404608,1.3492057124023846,2.5
26,0.538336860819001,2.0650566453497223,1.3188237723389566,2.6
27,0.704494310010506,2.079384410266294,1.245803149189052,2.7
28,0.86048277775409,1.9800543653006528,1.1584432224572434,2.8000000000000003
29,0.9905459379915649,1.8155930196613004,1.076401209299468,2.9000000000000004
30,1.0852492121666324,1.628703051819705,1.0093343518360192,3.0
31,1.1414869606964833,1.4473720221676434,0.9595922122351794,3.1
32,1.1606863930595366,1.285035105211685,0.9259869523690678,3.2
33,1.1473324880718443,1.1454907267311527,0.9063844322397607,3.3000000000000003
34,1.1075593195963045,1.0284332346982952,0.898522882997555,3.4000000000000004
35,1.0472873959989213,0.9332131359163582,0.8997827884369152,3.5
36,0.971933489611921,0.8600451643653245,0.9070028931733085,3.6
37,0.8891315213323508,0.8090552560814204,0.9169667248738723,3.7
38,0.8114741834072112,0.778823623418444,0.9273294394367843,3.8000000000000003
39,0.7549697668219344,0.7661815360650847,0.937112307282689,3.9000000000000004
40,0.7328042240137065,0.7675456008023737,0.9462433369978768,4.0
41,0.7489295594290893,0.7804158430925657,0.9548657278732527,4.1000000000000005
42,0.7964873976318132,0.8034909178763922,0.9633538802816999,4.2
43,0.8620842668700673,0.8352634773713801,0.9726639421401936,4.3
44,0.9326246600243949,0.8725802392954092,0.9840188827293318,4.4
45,0.9996913918043253,0.9108550956243283,0.9979938823625397,4.5
46,1.0588303898287923,0.9460407955434413,1.0138706774380464,4.6000000000000005
47,1.1061735737606382,0.9763380777762727,1.0296642332921606,4.7
48,1.1374252240126577,1.001692278293887,1.0428165058919054,4.800000000000001
49,1.1503265551613415,1.021891189676949,1.0513965315931693,4.9
50,1.1467593617154686,1.035881383350193,1.0550557723471798,5.0
51,1.131294684819782,1.0430199437662504,1.0547702862129484,5.1000000000000005
52,1.107855241778795,1.0442329027512631,1.0516112517585516,5.2
53,1.0785066924640907,1.0415154058437082,1.0459048709774021,5.300000000000001
54,1.0455410463730277,1.0365780829557996,1.0375414427588643,5.4
55,1.0135235565214513,1.030215920680974,1.0268550876341527,5.5
56,0.9875848700721337,1.0228423742194592,1.015111215773561,5.6000000000000005
57,0.9692642492395408,1.0152952078573463,1.004182067384975,5.7
58,0.9553822961530313,1.0087644666044677,0.9956462792418732,5.800000000000001
59,0.9420302741367756,1.003811941920554,0.9900172194275851,5.9
60,0.9287493256602755,0.9997511166972541,0.9867093237830549,6.0
61,0.9178971674468799,0.9954259566517657,0.9846827713143783,6.1000000000000005
62,0.9112977452453466,0.9907259063409262,0.9831053980637803,6.2
63,0.9089425119154858,0.9870178531848839,0.9815893539031522,6.300000000000001
64,0.9100004829299192,0.9858150533990445,0.9801574558667648,6.4
65,0.9132968006715086,0.9872723311143838,0.9791471624855385,6.5
66,0.9170209203250006,0.9903174484721956,0.9789332811634573,6.6000000000000005
67,0.9196751817433703,0.9940169228341145,0.9795179735656051,6.7
68,0.9221801751248727,0.9982831893600532,0.9804753863912153,6.800000000000001
69,0.9281620216521642,1.0033156889593917,0.9814491906426175,6.9
70,0.9409935384848345,1.0088790385839193,0.9826536054742333,7.0
71,0.9605172918693621,1.0142062745327505,0.9847067256254266,7.1000000000000005
72,0.9831618139534182,1.0182440783949165,0.9879035669665026,7.2
73,1.0046003382946311,1.0199843264184696,0.9917626860432361,7.300000000000001
74,1.0213189672901508,1.018924954959281,0.9954390092496154,7.4
75,1.0307157581414146,1.015443322902946,0.9985317745798772,7.5
76,1.0320872042208484,1.010735448199059,1.0013308502595422,7.6000000000000005
77,1.0281499086359076,1.0062997489187333,1.0042814936153435,7.7
78,1.0242363413244515,1.003199430040437,1.0073951681655753,7.800000000000001
79,1.024830865388447,1.0014541749135293,1.0102410417205725,7.9
80,1.0304814907254758,1.0000017266434003,1.0123129198780365,8.0
81,1.0377899649673048,0.9974699766228313,1.0132687310063995,8.1
82,1.042299179301802,0.9933932994484092,1.01300422892374,8.200000000000001
83,1.0417494300318941,0.9888628811946133,1.011757953572276,8.3
84,1.0369320854352535,0.9857745473848957,1.0101085947071498,8.4
