,Li-Li,Li-Cr,Cr-Cr,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,7.157093380225536e-07,0.0,0.0,0.4
5,6.344057868857525e-06,0.0,0.0,0.5
6,3.752880657926452e-05,0.0,0.0,0.6000000000000001
7,0.00017832582077558493,1.1451349408360862e-07,0.0,0.7000000000000001
8,0.0006864188313818113,1.0989849715641798e-06,1.912285887529011e-06,0.8
9,0.0022173370181814657,7.96144684763347e-06,2.6823481185783395e-05,0.9
10,0.006171425753849734,4.368333343427651e-05,0.00019493693357361522,1.0
11,0.015175795526733114,0.00019798414773216462,0.0010460349978510836,1.1
12,0.03359956137087986,0.0007582983411420428,0.00449102129688598,1.2000000000000002
13,0.06768870047744437,0.0025057778624012683,0.015861451439067236,1.3
14,0.12475026571276168,0.007227757448656701,0.04679513516088017,1.4000000000000001
15,0.21128538799234514,0.018320899277497853,0.11681786286448677,1.5
16,0.33079185262491106,0.041040706260639125,0.24992367619051933,1.6
17,0.48200502303298626,0.08175706971777641,0.46435801407313426,1.7000000000000002
18,0.6578532520898892,0.14601536534108717,0.7595778122776261,1.8
19,0.8454682480140486,0.23615383226453718,1.1093507557588658,1.9000000000000001
20,1.0284292167671647,0.3496997243084318,1.4677175633257966,2.0
21,1.1915283170600368,0.4791459332667692,1.7850690145229369,2.1
22,1.325058293152553,0.6129882031739124,2.023739046563353,2.2
23,1.424904574063455,0.7379093955346879,2.1649586601017274,2.3000000000000003
24,1.489691309615296,0.8417737785967961,2.207758213702042,2.4000000000000004
25,1.5196108782809596,0.9162992673659404,2.164318973237832,2.5
26,1.5176877539491491,0.9583281884880875,2.054314943674525,2.6
27,1.4901045529348154,0.9697450107710731,1.8998279816521455,2.7
28,1.4442856424760264,0.956608056051076,1.7223438498736776,2.8000000000000003
29,1.3869915502228838,0.9275504857946776,1.5413931857760044,2.9000000000000004
30,1.3241194731887822,0.8915137984948789,1.3732849266291463,3.0
31,1.2611858493004697,0.8556497444853695,1.229845087874654,3.1
32,1.2028385307667813,0.8243114772620204,1.1178087465042454,3.2
33,1.1516838213072722,0.7993401411904332,1.0387736346539242,3.3000000000000003
34,1.1082335039033624,0.7811667329605606,0.9898456489451815,3.4000000000000004
35,1.0724120446169738,0.7698712867762968,0.9656457613337724,3.5
36,1.0447883359094496,0.7656209655427046,0.960911515025738,3.6
37,1.0259608736849164,0.7686414632271101,0.9718197475066076,3.7
38,1.0151606421322286,0.7791117407561341,0.9955356350551086,3.8000000000000003
39,1.0101688423667015,0.7969258925881763,1.028996132563262,3.9000000000000004
40,1.0087703158445736,0.8212409328989283,1.06787038504254,4.0
41,1.009965549425672,0.8502143472102618,1.1065413063573277,4.1000000000000005
42,1.0137079843051884,0.8812891682754657,1.139547528190538,4.2
43,1.0197396606732028,0.9118340877445408,1.1632815937764274,4.3
44,1.0268737402690493,0.9397708712995386,1.1762387438185438,4.4
45,1.0333563908707286,0.9639656021753764,1.1781162869789916,4.5
46,1.0377520231748645,0.9841785309841066,1.1692782641886121,4.6000000000000005
47,1.0393652407844223,1.0005499793485606,1.1509706143747405,4.7
48,1.0380484248621316,1.0130215214405967,1.125489338960924,4.800000000000001
49,1.034018030772925,1.0212558248690073,1.0957933370062896,4.9
50,1.0279115021543523,1.0251211280525976,1.064802194632334,5.0
51,1.020697839948929,1.0251697793371517,1.0349547393845295,5.1000000000000005
52,1.0132814827455743,1.0226468013269143,1.008188411372663,5.2
53,1.0061503434733445,1.0191238611950926,0.98579720705172,5.300000000000001
54,0.9993548268784672,1.0159796388498112,0.9679804926244078,5.4
55,0.9927078956409434,1.013892968814973,0.9538524301853007,5.5
56,0.985932707583137,1.012760196801658,0.942323203404539,5.6000000000000005
57,0.9787513603264957,1.012242600661324,0.9329890312672395,5.7
58,0.9712062204399435,1.0124047622011083,0.9261654733218859,5.800000000000001
59,0.9640914812597131,1.0137557694136665,0.9222688346372686,5.9
60,0.9587402873098316,1.0168045856635126,0.9211857529165592,6.0
61,0.9559097130908984,1.0217265757001857,0.9220630036918708,6.1000000000000005
62,0.9548991575231142,1.0283821639842188,0.9236987924106216,6.2
63,0.9540956174237089,1.036458577299817,0.9252418336074762,6.300000000000001
64,0.9523915528871087,1.0454536859276626,0.9264646641409581,6.4
65,0.9499021930414608,1.054595258045889,0.927362746659627,6.5
66,0.9475468430512308,1.0629985663077677,0.9276484903214129,6.6000000000000005
67,0.9462853765473829,1.0701060193766332,0.9267701669531894,6.7
68,0.9465513322272684,1.0759884221516511,0.9243915689806872,6.800000000000001
69,0.9478938129314209,1.0810322781202981,0.9207247252409041,6.9
70,0.949009557266171,1.0852610392876292,0.9163430957114476,7.0
71,0.948520332823379,1.0881399173380575,0.9117210808648096,7.1000000000000005
72,0.9461473396954767,1.0891180453873393,0.9069651485952819,7.2
73,0.9430587940444021,1.0882105358692917,0.9019397350623055,7.300000000000001
74,0.9407572926580161,1.0860220708494548,0.896644581251862,7.4
75,0.9396699055094238,1.0833314350575178,0.8914584905288961,7.5
76,0.9390536629849062,1.08068908089241,0.8869611134823653,7.6000000000000005
77,0.9381464658368504,1.0782674806908452,0.8835079251027013,7.7
78,0.9370104767963233,1.0759828743609101,0.8810498760354235,7.800000000000001
79,0.9361578710092571,1.0737850807130995,0.879405530585998,7.9
80,0.9357262600759851,1.071824906315341,0.878622912085458,8.0
81,0.9353501389610029,1.070257439115507,0.8789613623957385,8.1
