,Li-Li,Li-Au,Au-Au,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,1.1936116219175691e-07,0.0,0.0,0.5
6,1.0870882079877952e-06,0.0,0.0,0.6000000000000001
7,7.66945504723845e-06,0.0,0.0,0.7000000000000001
8,4.0274955354957884e-05,9.849627153519003e-08,0.0,0.8
9,0.00017286458001977134,1.078522832870673e-06,0.0,0.9
10,0.0006243215350187411,9.764170903458491e-06,0.0,1.0
11,0.0019305418788826318,6.405040290861607e-05,0.0,1.1
12,0.005176253378465898,0.0003301102831821925,0.0,1.2000000000000002
13,0.01219597134477962,0.001415611217055843,0.0,1.3
14,0.025657291635520788,0.005139094952539536,1.8234020515605428e-06,1.4000000000000001
15,0.049041293116149895,0.01594739371354958,2.285313822839065e-05,1.5
16,0.08648882277641921,0.04265410768725685,0.00015835548861837772,1.6
17,0.14218216562164,0.09913808099496112,0.0008201551165554946,1.7000000000000002
18,0.2189006678550609,0.20198290914111705,0.0034084797043658055,1.8
19,0.31628599487197673,0.3639029900126579,0.011640287483335794,1.9000000000000001
20,0.43015987635380226,0.5848861579550683,0.03314144121372204,2.0
21,0.5534331974315373,0.846586179262929,0.07958530733336948,2.1
22,0.6776158240734073,1.1154258863529831,0.1631768051136957,2.2
23,0.7942210815781698,1.3537871729763757,0.28936651949483694,2.3000000000000003
24,0.8964675478630371,1.5322450899784075,0.4499572570615348,2.4000000000000004
25,0.9808000034642954,1.6363222497655756,0.6227075639898355,2.5
26,1.0466774964965924,1.666898437098935,0.7795713470435363,2.6
27,1.0948994821185558,1.6367003661919484,0.8987848727267895,2.7
28,1.1264718698151308,1.5650480872642296,0.9729123578792316,2.8000000000000003
29,1.1426148220775472,1.4720997985457238,1.0081990355641066,2.9000000000000004
30,1.1450255705784194,1.3738313429083975,1.0169279207176192,3.0
31,1.1361502892927775,1.2795585921672,1.0093994575514473,3.1
32,1.1193095579704122,1.1931386583059227,0.9914946921962137,3.2
33,1.0980155181090892,1.116329581087139,0.9671863327102219,3.3000000000000003
34,1.0749505054706812,1.0509825705095508,0.9408564143705778,3.4000000000000004
35,1.0518578982050268,0.9985132905465562,0.916942073693836,3.5
36,1.030127023423856,0.9585301794331682,0.8985054108700729,3.6
37,1.0109750252211058,0.9290272609571364,0.886665151592003,3.7
38,0.9952080153926268,0.9079914784789535,0.8813504409497002,3.8000000000000003
39,0.9832711676640336,0.894423830280562,0.8824611659013463,3.9000000000000004
40,0.9754533790204866,0.887859515413235,0.8904644733795148,4.0
41,0.9716486386053723,0.8874370153790104,0.905828659894798,4.1000000000000005
42,0.9709837046381264,0.8917734756895783,0.9274798493290789,4.2
43,0.9721626302053831,0.8994990222225011,0.951953241280571,4.3
44,0.9742526902488476,0.9097591058618992,0.9747593098781766,4.4
45,0.9769393300009688,0.9223615883261591,0.9929017796209253,4.5
46,0.9802815198968364,0.9374805453165409,1.0062409572546454,4.6000000000000005
47,0.984523035577618,0.9548846928159963,1.0167678356016643,4.7
48,0.9896830553468713,0.9732008480365785,1.0262750818594222,4.800000000000001
49,0.9949150028175863,0.9901486609462496,1.0341208525985077,4.9
50,0.9986819505313647,1.003808766995997,1.0374711789502606,5.0
51,1.0000301384328867,1.0136732785437563,1.034303055300496,5.1000000000000005
52,0.9994709918024965,1.020452184003058,1.026178613465063,5.2
53,0.9983747906411254,1.0250516231945408,1.0177215132298556,5.300000000000001
54,0.997762932591147,1.0278699503540936,1.0131256228358203,5.4
55,0.9978496763084702,1.0288619803181276,1.0130323468793376,5.5
56,0.9984189876439838,1.0280171519546963,1.0146665098252299,5.6000000000000005
57,0.9992695056600177,1.0257208610241562,1.0146996923888376,5.7
58,1.0002403431805398,1.0226975808665433,1.0118745016756023,5.800000000000001
59,1.0010684942793657,1.019594715522987,1.0072496111117524,5.9
60,1.0014759582312336,1.0166122961553472,1.0025120320414114,6.0
61,1.0013178503994928,1.0135851464449523,0.9984558500907234,6.1000000000000005
62,1.0004973296789523,1.0104011897519183,0.9949368347080781,6.2
63,0.9989440018781763,1.007177718779709,0.9915919798192486,6.300000000000001
64,0.9968439584250128,1.0039780940634788,0.9880536654987717,6.4
65,0.994646080211875,1.0006268615577165,0.9839262145616037,6.5
66,0.9927198609738925,0.9970320723895503,0.9794372975519192,6.6000000000000005
67,0.9912326389794665,0.9934744693066305,0.9760601208964234,6.7
68,0.9903136421690255,0.9903826885765672,0.9755896816267986,6.800000000000001
69,0.990037061920132,0.9880840726476124,0.9781684571516306,6.9
70,0.9902574485946242,0.9869350249003956,0.9815707746539646,7.0
71,0.9906915640930234,0.9873056105153426,0.9827727223274001,7.1000000000000005
72,0.9911608467435549,0.9891942207914544,0.9802254963001453,7.2
73,0.9917033492632581,0.9920629682138257,0.9748281504286838,7.300000000000001
74,0.9925467835606075,0.9951937495259475,0.9692643874806682,7.4
75,0.9939519192653411,0.9980486988130839,0.966424198534252,7.5
76,0.9959016362941925,1.0002838325246093,0.9678212107518365,7.6000000000000005
77,0.9979198121941765,1.0016792513959858,0.973171770402031,7.7
78,0.9993130994627221,1.0021828910841222,0.9812937833714243,7.800000000000001
79,0.9996206832880453,1.0019119297304957,0.9908193623861762,7.9
80,0.9988872029241931,1.0010509268961965,1.0000354325940541,8.0
81,0.9976716723901493,0.999862348795127,1.007085939080582,8.1
82,0.9967838653256168,0.9988263780532565,1.0110703946249104,8.200000000000001
