,Li-Li,Li-Ni,Ni-Ni,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,1.399901260926423e-06,0.0,0.0,0.5
6,1.25987938534795e-05,0.0,0.0,0.6000000000000001
7,7.687361293469686e-05,6.407464729698649e-07,0.0,0.7000000000000001
8,0.00036540564564406817,7.123931346348245e-06,0.0,0.8
9,0.0014107103870539988,5.0519384140979384e-05,2.8779868861768615e-07,0.9
10,0.004529328892709288,0.00027250571491949045,5.984032377248399e-06,1.0
11,0.012356230681136539,0.0011897973313168867,5.7556596875828516e-05,1.1
12,0.02925003065699766,0.004337131026188622,0.00036512947814588216,1.2000000000000002
13,0.061178499505269435,0.013453956970233695,0.0017949959300956058,1.3
14,0.11463460270454318,0.03594346641135145,0.007194344292473252,1.4000000000000001
15,0.19428490862128714,0.0834897661418973,0.023980891388724213,1.5
16,0.30017309706934797,0.16998596292114956,0.06720594120811661,1.6
17,0.4267398498979279,0.3058490150719879,0.15979210127049157,1.7000000000000002
18,0.5651498592851408,0.4907470200400772,0.3253315876079503,1.8
19,0.7069955384117077,0.709518493029949,0.5728441292321214,1.9000000000000001
20,0.8455551534818566,0.9350850129116253,0.8818016663086828,2.0
21,0.9737835863459211,1.1373741179985006,1.200800617796528,2.1
22,1.0824158560304966,1.2929921206931845,1.4656763869141884,2.2
23,1.161571942348831,1.390424974264623,1.6270471424010333,2.3000000000000003
24,1.2051283156084267,1.4296051996308932,1.669136817457481,2.4000000000000004
25,1.2139064561980533,1.4184899857747384,1.6096710571231838,2.5
26,1.1950223497641508,1.3695951078509954,1.485195543010553,2.6
27,1.1584181832444014,1.297266588673545,1.3335549355500822,2.7
28,1.113169876091501,1.2151734036411754,1.1828292130590037,2.8000000000000003
29,1.0654813398033864,1.1341449376768566,1.0492295054640273,2.9000000000000004
30,1.0190423915588616,1.0612411229659366,0.940453757413789,3.0
31,0.976713431847759,1.0003228809027773,0.8593190122810773,3.1
32,0.9414170702273454,0.9531797629136765,0.8054842937426959,3.2
33,0.9154799403737546,0.9202141396306215,0.7763376235820069,3.3000000000000003
34,0.8997800458618369,0.9006664991074691,0.7681635209344567,3.4000000000000004
35,0.8937359994472256,0.8930739435270438,0.7771730982551499,3.5
36,0.8957052788758217,0.8959254636164891,0.799775623376173,3.6
37,0.9036072552488391,0.9077575210751658,0.8324898731907259,3.7
38,0.9158365629081715,0.9266549268144969,0.8720002252953887,3.8000000000000003
39,0.9316161766012727,0.9499921893897947,0.9151299931568131,3.9000000000000004
40,0.9502607203343056,0.9748832379092597,0.9585946983614377,4.0
41,0.9704297518502036,0.9988692404696107,0.9990680519207176,4.1000000000000005
42,0.9903484200912672,1.0200969367271466,1.0337246147976764,4.2
43,1.00847842892718,1.0369400839982292,1.0605840039920238,4.3
44,1.023684163067056,1.0478969519908312,1.0783672534275894,4.4
45,1.0348907056429446,1.0522009663179834,1.0864853324346222,4.5
46,1.040953009546682,1.0503717733956819,1.0853996415276255,4.6000000000000005
47,1.0411746087769123,1.0439222476025256,1.07667756441686,4.7
48,1.036014199629902,1.0346551872447656,1.0624820296555388,4.800000000000001
49,1.0272895714898769,1.024305749094833,1.045058053157327,4.9
50,1.017695504525789,1.0143687789368834,1.0265552404902951,5.0
51,1.0096787660245428,1.005728611012393,1.0089324244242333,5.1000000000000005
52,1.0040534513841628,0.9984046387217121,0.9937505433999324,5.2
53,0.9996225065407252,0.9918902810895688,0.9819412139048563,5.300000000000001
54,0.9946503314021357,0.985911188367872,0.973685097936408,5.4
55,0.988882779439495,0.9808994823621469,0.9685944031021205,5.5
56,0.9838292041310419,0.9777427093398927,0.966174865730436,5.6000000000000005
57,0.9810718482449693,0.9771622250119201,0.9661327019437231,5.7
58,0.9807795072732133,0.9793234379081156,0.9682080172869763,5.800000000000001
59,0.981981387021794,0.9837925318125899,0.9718634400852499,5.9
60,0.9837472128779546,0.9896680150982778,0.9763533067700372,6.0
61,0.985738239436679,0.995886225195381,0.9811903190720955,6.1000000000000005
62,0.9879379908416253,1.0015900118791707,0.9864480766882511,6.2
63,0.9902653553338431,1.0063280522495137,0.9924176182166756,6.300000000000001
64,0.9923954472762437,1.010033135245111,0.9989343345463139,6.4
65,0.9938869460747953,1.012912310758087,1.0051100287436114,6.5
66,0.9945655943062486,1.0153056628655015,1.009737515673303,6.6000000000000005
67,0.9947037910168807,1.017468923576658,1.0119697571728785,6.7
68,0.9947452958984563,1.0193357851170526,1.0117289294259253,6.800000000000001
69,0.9949150889667697,1.020479143694725,1.0096004833018128,6.9
70,0.9950686303053893,1.020426353684371,1.0063850797163958,7.0
71,0.994823590911182,1.0190752381819708,1.002723512117866,7.1000000000000005
72,0.9938681316427636,1.0167427707209011,0.9990071531935396,7.2
73,0.9921906285607411,1.0138464629093003,0.9954418190043107,7.300000000000001
74,0.9899654134175299,1.0106815476544777,0.9920619288156346,7.4
75,0.9872995442866066,1.0074820135553333,0.9887557740043265,7.5
76,0.9843190559850811,1.0045483047320798,0.9854558744263966,7.6000000000000005
77,0.9814209409808938,1.0022841826884556,0.9823262931497412,7.7
78,0.9790948554686115,1.001097601143285,0.9796571833467991,7.800000000000001
79,0.9774985937920415,1.001174082269453,0.9775816280471172,7.9
80,0.9765233938620889,1.0023142845243653,0.9759792109003643,8.0
81,0.9762641119758073,1.0040776540894558,0.9746325505362454,8.1
82,0.9770759970799101,1.0060972096862213,0.9734426394907176,8.200000000000001
