,Li-Li,Li-Tc,Tc-Tc,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,1.3519815967141645e-06,0.0,0.0,0.4
5,9.200022219219401e-06,0.0,0.0,0.5
6,5.224190508145074e-05,0.0,0.0,0.6000000000000001
7,0.00023054047166847215,0.0,0.0,0.7000000000000001
8,0.0008294329847771726,0.0,0.0,0.8
9,0.0025151857736177997,2.8068822077110683e-07,0.0,0.9
10,0.006631891107507494,3.1822987135698396e-06,0.0,1.0
11,0.015640314948277792,2.417820896552657e-05,1.9324723099847884e-06,1.1
12,0.033648544227952215,0.00013452178933102016,2.083487031244655e-05,1.2000000000000002
13,0.06666484128498484,0.0006094875750086256,0.00014862352620129092,1.3
14,0.12207408792301609,0.00230190991841536,0.0007947863893009835,1.4000000000000001
15,0.20694581823422223,0.007400266677378209,0.003425650914133972,1.5
16,0.3253750134115184,0.02050143113101483,0.012271749526007843,1.6
17,0.4761112261440733,0.049464993693118936,0.03712287497187303,1.7000000000000002
18,0.6521596231047848,0.10492638657709408,0.0956738696451142,1.8
19,0.84201146085978,0.1974841533321304,0.2115899474539499,1.9000000000000001
20,1.0308494294773576,0.3328737230852244,0.40450572199854895,2.0
21,1.202230609803199,0.5074204040785809,0.6743725402885482,2.1
22,1.3417539243506078,0.7065733962128337,0.9913387695792233,2.2
23,1.4408378573275682,0.9076431191116385,1.302302626419442,2.3000000000000003
24,1.4974985027721919,1.0856296511193693,1.5520688087192314,2.4000000000000004
25,1.5147534806418508,1.2200593993978734,1.7044776558879857,2.5
26,1.4991204087280894,1.300353620126159,1.7512467846514927,2.6
27,1.4590999698329221,1.327360085439469,1.7078943911408941,2.7
28,1.4028154531188037,1.3105831875056466,1.6030095597246532,2.8000000000000003
29,1.3362674020046283,1.2633970745343888,1.4670160364580027,2.9000000000000004
30,1.263970346558161,1.1991320076819691,1.3244056605390886,3.0
31,1.1907964438242078,1.1289319351936886,1.1909827651999403,3.1
32,1.122270827918523,1.0607668861951425,1.0749822622577476,3.2
33,1.0628141591777445,0.9994160054517682,0.9796109864990513,3.3000000000000003
34,1.0143398595648387,0.9474751940104283,0.9053047241829885,3.4000000000000004
35,0.9766732695664471,0.9066194111068924,0.851340069553127,3.5
36,0.9486696385716783,0.8779649164065078,0.816653190353683,3.6
37,0.9287400425592698,0.8616105478005003,0.7998410681437925,3.7
38,0.9151807634855594,0.8564487213338686,0.7987855315710851,3.8000000000000003
39,0.9069089797128477,0.8608330924498131,0.8105599303073441,3.9000000000000004
40,0.9041022758128142,0.8733338766606122,0.8317956891638828,4.0
41,0.9078931841689661,0.8927577611748733,0.859350381310728,4.1000000000000005
42,0.9190918135483602,0.9176636805917913,0.8908895344984707,4.2
43,0.9368122559262304,0.9461448216235772,0.9248446361318127,4.3
44,0.9580771061160256,0.9759644850122539,0.9597260513653995,4.4
45,0.9787189910540292,1.0047534068570216,0.9935734683213814,4.5
46,0.9949569818747976,1.0303658636871829,1.0240354353541936,4.6000000000000005
47,1.0048265137645933,1.0512856740656602,1.0487335774687236,4.7
48,1.0087455825540037,1.06664018493894,1.0656258835611512,4.800000000000001
49,1.0086994738722577,1.0759134433668953,1.0736067863509964,4.9
50,1.006608056608173,1.0790292370252825,1.0731994525600812,5.0
51,1.0033848258339957,1.07682627392836,1.066516206714189,5.1000000000000005
52,0.999111627909499,1.0710465287543856,1.0561062087857385,5.2
53,0.993414312342777,1.0634573679034156,1.0436491580261698,5.300000000000001
54,0.985800443738859,1.05491318828444,1.0297671595828906,5.4
55,0.9764020016316848,1.0452973976375457,1.0148781102354616,5.5
56,0.9665321229119556,1.0343409677949567,0.9998011743295636,5.6000000000000005
57,0.9580422060150776,1.0225770643277132,0.9854796101626577,5.7
58,0.9519724400193943,1.0115563914675827,0.9725566318180662,5.800000000000001
59,0.947954912737801,1.0030836281479958,0.9615728276131986,5.9
60,0.9448289901790048,0.9981592442430643,0.9533502172035067,6.0
61,0.9417662170385411,0.9965341855955167,0.9487638338181342,6.1000000000000005
62,0.9389662827734852,0.99711129176782,0.9480475138380671,6.2
63,0.9373744924143018,0.9987366981214941,0.9505035896664945,6.300000000000001
64,0.9376571777813022,1.0008367832776877,0.9549521930174923,6.4
65,0.9394955408584796,1.0035908911111278,0.9603938254501684,6.5
66,0.9419152725521684,1.0076261962383,0.9663022854943805,6.6000000000000005
67,0.9440734805004877,1.0134332342582715,0.9725233464407729,6.7
68,0.9455472775753829,1.0208418502231356,0.9790349147622649,6.800000000000001
69,0.9463076157898485,1.0288470639440843,0.9856551548150606,6.9
70,0.9468698108181846,1.0359110935980298,0.9918117219494716,7.0
71,0.9481779892810536,1.0407127356814068,0.9966600050788085,7.1000000000000005
72,0.9507904776396033,1.0429268874409308,0.999579720900476,7.2
73,0.9541535817696822,1.0432715446641132,1.0006099931302912,7.300000000000001
74,0.9569890978192386,1.0426846044429876,1.000457163113476,7.4
75,0.9584022997664885,1.041553869357609,1.0000739172823183,7.5
76,0.9584491154049541,1.039803450827656,1.0000480134282852,7.6000000000000005
77,0.9577109480995034,1.0374374929976347,1.000220701442393,7.7
78,0.9566152810525573,1.0346494670344735,0.9998777552928091,7.800000000000001
79,0.9552844308239264,1.0314997672887418,0.9983731343212797,7.9
80,0.9537908818541093,1.0278536110773526,0.9956030046852103,8.0
81,0.9521762456588158,1.0237092581799956,0.9918889116327204,8.1
82,0.9502850395045449,1.0194075288740228,0.9874955591115516,8.200000000000001
