,Li-Li,Li-Ge,Ge-Ge,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,1.0915833432826997e-07,0.0,0.0,0.5
6,9.941654041639905e-07,0.0,0.0,0.6000000000000001
7,6.111990169894084e-06,0.0,0.0,0.7000000000000001
8,2.9510012203355907e-05,0.0,0.0,0.8
9,0.00011793017433811376,2.553322975983062e-07,0.0,0.9
10,0.0003989349954536051,2.575976148042909e-06,0.0,1.0
11,0.0011821606336142986,1.9608299449438982e-05,8.17629185661058e-07,1.1
12,0.0031612608088355592,0.00011327974350205591,2.52551912087944e-05,1.2000000000000002
13,0.0077841348131905425,0.0005334129619157801,0.00022994861705783915,1.3
14,0.017770696369597456,0.002120350646653023,0.0013712659992736703,1.4000000000000001
15,0.037506486428077204,0.007235141987489879,0.0063672955264201326,1.5
16,0.07280121667929414,0.02140436230493938,0.02392750916843442,1.6
17,0.1296008630954621,0.055230958071053333,0.0739460557236807,1.7000000000000002
18,0.21176789944504515,0.1248984295074444,0.1896966028964659,1.8
19,0.3189124613053347,0.24873503833027394,0.40794849450123094,1.9000000000000001
20,0.4457522765287176,0.43864928605482556,0.7437344934834813,2.0
21,0.5835841136696219,0.6895671700508665,1.1647519999164897,2.1
22,0.722554950460903,0.9742913261474111,1.5917528431030177,2.2
23,0.852996282083149,1.24966424024266,1.9329716486446693,2.3000000000000003
24,0.9660399034325216,1.471822927847438,2.126081919086992,2.4000000000000004
25,1.0549759372377192,1.6115167981292973,2.154733480929765,2.5
26,1.1171490225933485,1.661775092986301,2.038655714634805,2.6
27,1.1543382273924925,1.6360725130940377,1.8199660176103234,2.7
28,1.1708902018926983,1.559562532809974,1.5546611830943382,2.8000000000000003
29,1.1715054079884546,1.4584651442457848,1.2994222703177152,2.9000000000000004
30,1.160379127323514,1.3530759767432599,1.0920644071186936,3.0
31,1.1412554578887395,1.2561901890770952,0.940314451385506,3.1
32,1.1174249597597765,1.174091690280571,0.8297406727282346,3.2
33,1.0916651018452563,1.1074210359496786,0.743014990904995,3.3000000000000003
34,1.0662882591083425,1.0527273925796634,0.6730232459082248,3.4000000000000004
35,1.042990356145235,1.0058896093337926,0.6215644169494376,3.5
36,1.0224837042824344,0.9655020670460545,0.590388570835586,3.6
37,1.004594558704698,0.9333658178459615,0.5759024826152389,3.7
38,0.9889725785809969,0.9122372425679113,0.5712786062350489,3.8000000000000003
39,0.9756305205397827,0.9035108922630746,0.5717416653502537,3.9000000000000004
40,0.9649713889961201,0.9064021954773552,0.5775867558204638,4.0
41,0.9576324089727889,0.918121087426768,0.5932571754686152,4.1000000000000005
42,0.9541591015152634,0.934686241483523,0.6239511266156873,4.2
43,0.9545450344008837,0.9524633194174421,0.67120527298204,4.3
44,0.9581871745516116,0.9694682628493838,0.7290836768729658,4.4
45,0.9643440667028307,0.9851743476370102,0.7846377896645182,4.5
46,0.9723719020992505,0.9993062090536571,0.8248531569651155,4.6000000000000005
47,0.9814911801115577,1.0112773260544763,0.8449695005460113,4.7
48,0.9906788182993355,1.0206363990710623,0.8503344513465808,4.800000000000001
49,0.9989941582838715,1.027368609822441,0.8509150183617696,4.9
50,1.0058508210807469,1.0315708748024788,0.8542986193545601,5.0
51,1.0108524622084538,1.0332915843958714,0.8624382520057762,5.1000000000000005
52,1.0135949216023126,1.0328298284588624,0.8732317139456299,5.2
53,1.0139339684017783,1.0308035426030926,0.8840086483381582,5.300000000000001
54,1.0123845038976416,1.0276948250676397,0.8932279399463717,5.4
55,1.0099349656251717,1.0235203814779827,0.8998933681703922,5.5
56,1.0073719178919567,1.0181862189440065,0.9031031713245385,5.6000000000000005
57,1.004968023184385,1.0121539543895157,0.9028880580677197,5.7
58,1.002777469527276,1.0065335881998803,0.9010547380069358,5.800000000000001
59,1.0008893315026548,1.0023479477814843,0.9006621119107661,5.9
60,0.9992616697732771,0.9997416676228945,0.9043755086193365,6.0
61,0.9975806828095232,0.9980189558803623,0.9130560605781168,6.1000000000000005
62,0.995531928606729,0.9963699577295254,0.9255596965394841,6.2
63,0.9931886652752447,0.9944452992238617,0.9396624620687313,6.300000000000001
64,0.9909679110729889,0.9923395421841441,0.9536525400686547,6.4
65,0.9891914562222713,0.9902392562738251,0.9675002011900389,6.5
66,0.9878838497980756,0.9882592641495315,0.9823883867487527,6.6000000000000005
67,0.9870873453576232,0.9866346982539557,0.9991920666465678,6.7
68,0.9871530281786564,0.985799536541939,1.0176586810120598,6.800000000000001
69,0.9884824917579326,0.9860392962007993,1.0364678660086135,6.9
70,0.991021499659807,0.9872415023360179,1.0532710320475562,7.0
71,0.9941473638716983,0.9891539289320035,1.0648729784592503,7.1000000000000005
72,0.9970054549205284,0.9916005248087866,1.0684805013718441,7.2
73,0.9988740655557341,0.994279806060392,1.0635150199320051,7.300000000000001
74,0.9993788614520817,0.9966623713741359,1.0522354652704533,7.4
75,0.9986312432923703,0.9982391142022325,1.0384187316241564,7.5
76,0.9971955518969975,0.9986854879245001,1.025355135229284,7.6000000000000005
77,0.9958057608707985,0.9979058605294107,1.0146584012764237,7.7
78,0.9950195933591917,0.9962107522049851,1.0061666377335776,7.800000000000001
79,0.9950199459097634,0.9943816607699468,0.9986810122118024,7.9
80,0.9956309306544313,0.9932922406046608,0.9914595222910756,8.0
81,0.9965233568016391,0.9934124455004794,0.9855304911330285,8.1
82,0.9974065025201141,0.9947041113818765,0.9833892684012667,8.200000000000001
