,Li-Li,Li-In,Li-Si,In-In,In-Si,Si-Si,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,0.0,0.0,0.0,0.0,0.0,0.0,0.8
9,2.11089515107034e-06,3.5181585851172335e-07,3.5181585851172335e-07,0.0,0.0,0.0,0.9
10,2.066860875969659e-05,2.294127577018599e-06,3.392466283452575e-06,0.0,0.0,9.414331769434079e-07,1.0
11,0.00012675115948674023,1.4467017147274554e-05,2.4868032569174896e-05,0.0,0.0,1.4025048222711486e-05,1.1
12,0.0006061262379603285,7.512036684546937e-05,0.0001445597265620217,0.0,7.625608733241606e-07,0.0001239054110815989,1.2000000000000002
13,0.002339322454053314,0.00033110010114334486,0.0006764855363838372,0.0,1.0966953180460129e-05,0.0007645828877411501,1.3
14,0.007447294061641332,0.0012773531794360085,0.0026692008215319237,2.941006123013291e-06,7.789078788485216e-05,0.0036659304080066952,1.4000000000000001
15,0.019937167785444264,0.004381773125211781,0.009023287397879843,2.9941073032077236e-05,0.000422584446098526,0.014416796651124844,1.5
16,0.045735198375783284,0.013301950703942895,0.026263310280341377,0.0001993516756901415,0.0018360988582993621,0.04726381371667947,1.6
17,0.09163951675690687,0.03534201361700466,0.06590720486050125,0.0010021747884422874,0.006597031062694504,0.1300257456593029,1.7000000000000002
18,0.16315351767868372,0.08177267294013582,0.14302122747483756,0.004061009381170447,0.019978467322129302,0.30166048238942456,1.8
19,0.2617433600734468,0.16523396628981535,0.270133817260223,0.01362794960902298,0.05176668645554506,0.5935833764088322,1.9000000000000001
20,0.38272113652839584,0.2942314530379628,0.44865870118252266,0.038362695239905695,0.11610505981989656,0.9980689841988196,2.0
21,0.5154167101025162,0.4674153594053005,0.6640021135713052,0.09162739460652829,0.2274821062113347,1.4479483976993934,2.1
22,0.6464466527275494,0.6709306205427497,0.8889494495939174,0.187857915656099,0.39228446430046493,1.8346750637114797,2.2
23,0.764572517437187,0.8804421718031041,1.0933924554207308,0.33487606590959246,0.6000753800718867,2.061228025468371,2.3000000000000003
24,0.8641658591204089,1.0679236968990706,1.2540013201117004,0.5265445839627703,0.8224655064899133,2.091219379513417,2.4000000000000004
25,0.9453091114816845,1.2112421396263129,1.3591255920715153,0.7412857167855077,1.023472486695345,1.9579441663169064,2.5
26,1.0112275567633784,1.3013087726732608,1.4086016288527996,0.9475689974587127,1.174887556151313,1.7341809316451853,2.6
27,1.0647894886615021,1.342000899936146,1.410683821711416,1.1136491957629124,1.2652614277649736,1.4924085890350087,2.7
28,1.1055694720190374,1.3443267049196626,1.3782846335550407,1.2190062576777208,1.2981007095705235,1.2806593862381648,2.8000000000000003
29,1.1299430324490207,1.3204950166327438,1.3255011576811995,1.2629120620209424,1.2847034743451788,1.1183278148469924,2.9000000000000004
30,1.13571952930452,1.2807764131957466,1.2646180956803492,1.2627258813500986,1.238883529016844,1.0043712713448087,3.0
31,1.1267780875433617,1.2326217441593885,1.2040250061920466,1.2409958640698795,1.175181430318182,0.9294022577710219,3.1
32,1.1113075317439385,1.1815278240258453,1.147813712332355,1.2121784212858857,1.1075581521253532,0.884594776924194,3.2
33,1.0953265754832486,1.1328580002464066,1.0971849048878968,1.1798976713614906,1.0468658958125532,0.8638144176918001,3.3000000000000003
34,1.0797377823601662,1.0920189832059788,1.0525540199648422,1.143305799437202,0.9986589076874884,0.8614216799177198,3.4000000000000004
35,1.063894568372997,1.0619804491234905,1.0146170820184526,1.1027862632106942,0.963204811317998,0.8708971271448337,3.5
36,1.049397235047173,1.0413769342516042,0.9839040748462121,1.0605029006622866,0.9377385537462956,0.8861447797182165,3.6
37,1.03867754515934,1.026016029665295,0.9603082938289045,1.0192245823915742,0.9195845130928246,0.9031889623853324,3.7
38,1.0313101971927485,1.0122657608825563,0.9435691404310019,0.9819903987957219,0.908045785883259,0.9201370659720359,3.8000000000000003
39,1.0240297098992435,0.9992380787395344,0.9336551121010356,0.9513070532430908,0.9037687886881008,0.936167560644324,3.9000000000000004
40,1.0145883012309498,0.9883979694841734,0.930364582909959,0.9278788515862625,0.9066635069127377,0.9510968813175725,4.0
41,1.0041785890001351,0.9812776511508214,0.9332195421841126,0.9109975328726654,0.9149586222573,0.9652776955358578,4.1000000000000005
42,0.9955022204947599,0.9776942138708218,0.9418628314869416,0.9001536431614935,0.9261773760752484,0.9788254886611558,4.2
43,0.9897182796947044,0.9762259760042683,0.9558455046573988,0.8948680081244782,0.9384658793752039,0.9906702750505256,4.3
44,0.9863784380215849,0.9758466540346966,0.9738448635218334,0.8930113904911599,0.951005727924788,0.998891015617139,4.4
45,0.9854353788623308,0.9766049365115916,0.9933368607890053,0.8910523269508082,0.9637053507589659,1.0023368594467112,4.5
46,0.9877836521098767,0.9791895916146051,1.0109299329688621,0.8866192138493862,0.9765851242244538,1.001783911413531,4.6000000000000005
47,0.9936657619549037,0.9844486467919966,1.0231970402717134,0.8800564006830436,0.9889352746925232,0.999316160616818,4.7
48,1.00132755814862,0.9930145308463829,1.0282086088995077,0.87385207444479,0.9990580650489995,0.9965837095019715,4.800000000000001
49,1.0076056543834915,1.0046771079354053,1.026976405440315,0.8710915098266201,1.0053701292227162,0.993712723877137,4.9
50,1.0098059561287667,1.017789384972953,1.0230626467954205,0.8732963573096962,1.0079118409784023,0.9899650634187311,5.0
51,1.0073049938461247,1.0294972325935596,1.0201543104832316,0.8789179973549707,1.0085231662324368,0.9853191698019808,5.1000000000000005
52,1.0017765615774867,1.0370643064993799,1.0196255876476845,0.8853663856712245,1.0092967980551018,0.9811447783038348,5.2
53,0.9958883900085764,1.0394389075935706,1.020073749354893,0.8931753140594001,1.0106341965296914,0.9791497272697718,5.300000000000001
54,0.9911942803463435,1.0376897499567532,1.0190377500809402,0.9066490968589893,1.0109722476364833,0.9797303356766465,5.4
55,0.9869529846748423,1.0339934663775996,1.0154200359206722,0.9294049728552477,1.0088788274105194,0.9814942781521545,5.5
56,0.9812552859242551,1.0302655023961576,1.0104741037149332,0.9599809422657359,1.005281888927595,0.982480373874684,5.6000000000000005
57,0.9735400536588481,1.027396008487033,1.0064968662941758,0.9921301450477485,1.0030036885113607,0.9819039895911318,5.7
58,0.965705729647976,1.025176322747159,1.0047978277771612,1.0188664042349358,1.0040526717204448,0.9807314470992976,5.800000000000001
59,0.9607501308854944,1.0227485892808283,1.005160560342446,1.0361891174297162,1.0078178251638468,0.9804803888826107,5.9
